principal_kanonik,merek,merek_belum_dipanen,situs,status_situs,catatan
PT. PRIMA AGRO NETWORK,4,4,,belum-diperiksa,
CIPTO LANGGENG JOYO,4,4,,belum-diperiksa,
BIO ENERGI RIMBA,4,4,,belum-diperiksa,
SINAR EMPAT PILAR UTAMA,4,4,,belum-diperiksa,
LINTANG MAS AGRO,4,4,,belum-diperiksa,
GREEN AGRI INDONESIA,4,4,,belum-diperiksa,
RUINS SARANA TANI,4,4,,belum-diperiksa,
PT. WILMAR CHEMICAL INDONESIA,4,4,,belum-diperiksa,
PT. Bandung Inovasi Organik,4,4,,belum-diperiksa,
CV. Sumber Buana Perkasa,4,4,,belum-diperiksa,
PT CHEIL JEDANG INDONESIA,4,4,,belum-diperiksa,
SAYAP EMAS CITRA PERSADA,4,4,,belum-diperiksa,
PT.WONDERINDO PHARMATAMA,4,4,,belum-diperiksa,
PT.Antariksa Nusantara Indonesia Group,4,4,,belum-diperiksa,
PT. Agro Tani Marisi,4,4,,belum-diperiksa,
GLOBAL MANTEP LESTARI,4,4,,belum-diperiksa,
ECA TANI BAROKAH,4,4,,belum-diperiksa,
EVERCHEM RESOURCES INDONESIA,4,4,,belum-diperiksa,
TANINDO TETAP JAYA,4,4,,belum-diperiksa,
BINTANG TIMUR PASIFIK,4,4,,belum-diperiksa,
MISSION TANI,4,4,,belum-diperiksa,
PT. Angputra Global Organik,4,4,,belum-diperiksa,
ESTU SEBA AGRINUSA,4,4,,belum-diperiksa,
CV. BUMI AGRO FERTILIZER,4,4,,belum-diperiksa,
HABDHI NEGORO MANDIRI,4,4,,belum-diperiksa,
PT. Centra Agro Pratama,4,4,,belum-diperiksa,
CV. NOVIE AGRO INDUSTRI,4,4,,belum-diperiksa,
PT PUPUK SRIWIDJAJA PALEMBANG,4,4,,belum-diperiksa,
PT Pupuk Iskandar Muda,4,4,,belum-diperiksa,
SOBAT TANI,4,4,,belum-diperiksa,
PT.CENTRAL ALAM RESOURCES LESTARI,4,4,,belum-diperiksa,
TUNAS FOREST GEMILANG,4,4,,belum-diperiksa,
ALAM SEMESTA INDONESIA,4,4,,belum-diperiksa,
ALIF RAYA,4,4,,belum-diperiksa,
PT AJINOMOTO INDONESIA,4,4,,belum-diperiksa,
PT. DAMAI AGRO MANUNGGAL,4,4,,belum-diperiksa,
CV MAKMUR ABADI,4,4,,belum-diperiksa,
SARIMAKMUR SULTAN NUSANTARA,4,4,,belum-diperiksa,
PT. Sumber Agrindo Sejahtera,4,4,,belum-diperiksa,
MANUNGGAL MERDEKA MAKMUR,4,4,,belum-diperiksa,
MANDIRI PALMERA AGRINDO,4,4,,belum-diperiksa,
CV. Cahaya Agro Persada,4,4,,belum-diperiksa,
DELIMA MANDALA SURYA,4,4,,belum-diperiksa,
KERINA MARGA PLANTATION,4,4,,belum-diperiksa,
NITIS PUSAKA KUSUMA,4,4,,belum-diperiksa,
BISATANI SUKSES UTAMA,4,4,,belum-diperiksa,
CV. KUJANG MAS AGRO KENCANA,4,4,,belum-diperiksa,
AGRO INDAH PERMATA 21,4,4,,belum-diperiksa,
PT. Triasindo Subur Prima,4,4,,belum-diperiksa,
CV. SARANA TANI MAKMUR,3,3,,belum-diperiksa,
PT. SYNAGRO PERKASA,3,3,,belum-diperiksa,
PT. SURYA KARYA ANDALAN,3,3,,belum-diperiksa,
PT. GLOBAL AGRO MANDIRI,3,3,,belum-diperiksa,
PT. ZAMRUD LINTAS KATULISTIWA,3,3,,belum-diperiksa,
PT. Duta Alam Prima,3,3,,belum-diperiksa,
PT. MEDION FARMA JAYA,3,3,,belum-diperiksa,
PT. Guthrie Agri Bio,3,3,,belum-diperiksa,
CV. FLORA DAN FAUNA,3,3,,belum-diperiksa,
PT. PUTRISARI KIMIANUSA,3,3,,belum-diperiksa,
CV. CENTRAL BUKIT MORIA,3,3,,belum-diperiksa,
PT Mitra Sukses Agrindo,3,3,,belum-diperiksa,
CV. PRIMA AGRO LANCAR,3,3,,belum-diperiksa,
PT. RAGAM MANDIRI,3,3,,belum-diperiksa,
PT. PHOSPHINDO JAYA UTAMA,3,3,,belum-diperiksa,
CV. DMA,3,3,,belum-diperiksa,
PT. AGROW USAHA TANI INDONESIA,3,3,,belum-diperiksa,
PT. AGRI KIMIA NUSANTARA,3,3,,belum-diperiksa,
PT. DEWARI AGRO SAKTI,3,3,,belum-diperiksa,
PT. GOLDEN MAKMUR AGRI,3,3,,belum-diperiksa,
CV. ASRITANI UTAMA,3,3,,belum-diperiksa,
PT. TOYOTA TSUSHO INDONESIA,3,3,,belum-diperiksa,
PT. ZAINI MAKMUR SENTOSA,3,3,,belum-diperiksa,
PT. VADEL KSATRIA SAMUDRA INDONESIA,3,3,,belum-diperiksa,
PT. INTI TANI NIAGA,3,3,,belum-diperiksa,
PT. PT.BARU TOTAL SOLUSINDO,3,3,,belum-diperiksa,
CV. CULTURE AGRITECH INTERZONA,3,3,,belum-diperiksa,
PT. PESTINDO SOLUTION,3,3,,belum-diperiksa,
PT. AGRIVA CROPSCIENCE INDONESIA,3,3,,belum-diperiksa,
PT. AGROSIDA SELARAS BERSAMA,3,3,,belum-diperiksa,
PT. GOODFARM CHEMICAL INDONESIA,3,3,,belum-diperiksa,
PT. JUBARO AGRO INDONESIA,3,3,,belum-diperiksa,
PT. MODERN AGRICULTURE INDONESIA,3,3,,belum-diperiksa,
CV. CINDE LARAS,3,3,,belum-diperiksa,
PT. REJEKI AGRO INDONESIA,3,3,,belum-diperiksa,
CV. BERKAT MANNA MAJU,3,3,,belum-diperiksa,
CV. RAJA BENUA MAS,3,3,,belum-diperiksa,
DUA POHON BESAR,3,3,,belum-diperiksa,
PT. ROJO KOYO MANUNGGAL GROUP,3,3,,belum-diperiksa,
PT. GOAUTAMA SINARBATUAH,3,3,,belum-diperiksa,
PT. SANLEX MALINDO,3,2,sanlexmalindo.com,ada,render 3102x4545
NOUSINDO NUSANTARA AGRI,3,3,,belum-diperiksa,
PT. KARISMA INDOAGRO UNIVERSAL,3,3,,belum-diperiksa,
SEA SIX ENERGY INDONESIA,3,3,,belum-diperiksa,
ANUGERAH MUSTIKA OSTINDO,3,3,,belum-diperiksa,
PT. Sido Muncul Pupuk Nusantara,3,3,,belum-diperiksa,
CV. Sinar Surya,3,3,,belum-diperiksa,
INDOFAST AGRO NUSANTARA,3,3,,belum-diperiksa,
NUGEN CROP INDONESIA,3,3,,belum-diperiksa,
RISET PERKEBUNAN NUSANTARA,3,3,,belum-diperiksa,
AGINDA RIAU ABADI,3,3,,belum-diperiksa,
FERTILINDO AGROLESTARI,3,3,,belum-diperiksa,
BERKAH TANI LESTARI,3,3,,belum-diperiksa,
MANUNGGAL AGRO TANI,3,3,,belum-diperiksa,
PT JADI MAS,3,3,,belum-diperiksa,
SURYA MENTARI SAKTINDO,3,3,,belum-diperiksa,
PT INDMIRA,3,3,,belum-diperiksa,
AGRI MANDIRI SEJAHTERA,3,3,,belum-diperiksa,
PT. SERA AGRO NUTRINDO,3,3,,belum-diperiksa,
PT. IRQ MAKMUR JAYA,3,3,,belum-diperiksa,
ARSISTHA KIMIA CITRA LESTARI,3,3,,belum-diperiksa,
CV. SAHABAT TANI MANDIRI,3,3,,belum-diperiksa,
KURNIA MAS,3,3,,belum-diperiksa,
REZEKI BERSAMA INDONESIA,3,3,,belum-diperiksa,
AGRI PRIME INTERNATIONAL,3,3,,belum-diperiksa,
HIKMAH TANI,3,3,,belum-diperiksa,
JENAWI SUBURINDO REJEKI,3,3,,belum-diperiksa,
PT. Formitra Multi Prakarsa,3,3,,belum-diperiksa,
CHEMSTAR AGRO INDONESIA,3,3,,belum-diperiksa,
ENPEKA AGROKIMIA,3,3,,belum-diperiksa,
NEO CROP SOLUTIONS,3,3,,belum-diperiksa,
SENTRA TANI SEJAHTERA,3,3,,belum-diperiksa,
MULTI ALAM RAYA SEJAHTERAA,3,3,,belum-diperiksa,
AGRIBISNIS TECHNOLOGY INDONESIA,3,3,,belum-diperiksa,
PT. Hasya Jaya Shafadila,3,3,,belum-diperiksa,
SUTERA AGRINDO UTAMA,3,3,,belum-diperiksa,
CV Arisna Jaya,3,3,,belum-diperiksa,
PUTRA HAKA PERKASA,3,3,,belum-diperiksa,
ANDI JAYA INDUSTRI,3,3,,belum-diperiksa,
WIRAPUTRA AGRO MANDIRI,3,3,,belum-diperiksa,
PT. Tranquerah Nusantara Cerah,3,3,,belum-diperiksa,
MILLENIS MITRA INDONESIA,3,3,,belum-diperiksa,
PT. GRESIK NUSANTARA FERTILIZER,3,3,,belum-diperiksa,
DEWI SRI RAMA I,3,3,,belum-diperiksa,
PT. DWI AGRO HAYATI,3,3,,belum-diperiksa,
KARUNIA NIAGA SEJAHTERA,3,3,,belum-diperiksa,
BIO KONVERSI INDONESIA,3,3,,belum-diperiksa,
SUKINDO SUPRASEMESTA,3,3,,belum-diperiksa,
AGRO FARMERY INDONESIA,3,3,,belum-diperiksa,
STEFES INDONESIA,3,3,,belum-diperiksa,
PANEN AGRO NIAGA,3,3,,belum-diperiksa,
PERMANA AGRO LESTARI,3,3,,belum-diperiksa,
PT Bursatani Global Niaga,3,3,,belum-diperiksa,
MABARFEED INDONESIA,3,3,,belum-diperiksa,
CIPTA SARANA INDOTANI,3,3,,belum-diperiksa,
BUMI GEMILANG ARTHA,3,3,,belum-diperiksa,
CV. Anugerah Tani Makmur,3,3,,belum-diperiksa,
CV AGRO PETANI MAJU,3,3,,belum-diperiksa,
PT. Perdagangan Indo Mandiri Sejati,3,3,,belum-diperiksa,
CV. Agronusa Mandiri,3,3,,belum-diperiksa,
PT. AGROINDO,3,3,,belum-diperiksa,
PT Pupuk Indonesia (Persero),3,3,,belum-diperiksa,
CV Makmur Jaya Bekasi,3,3,,belum-diperiksa,
CV. SAKASAKI,2,2,,belum-diperiksa,
PD. GARUDA,2,2,,belum-diperiksa,
PT. FLORA FAUNA MANGGALA,2,2,,belum-diperiksa,
PT. CIPTA KARYA UNGGULAN,2,2,,belum-diperiksa,
PT. PANCA AGRO NIAGA LESTARI,2,2,,belum-diperiksa,
CV. AGRO MANDIRI SEJAHTERA,2,2,,belum-diperiksa,
CV. BANGKIT JAYA,2,2,,belum-diperiksa,
CV. MULTIGRO MAKMUR ABADI,2,2,,belum-diperiksa,
PT. INTISUBUR KIMINDO RAYA,2,2,,belum-diperiksa,
PT. MENARA BERLIAN,2,2,,belum-diperiksa,
PT. SANITAS,2,2,,belum-diperiksa,
PT. GEKA MITRA NIAGA,2,2,,belum-diperiksa,
PT. KENCANA AGRO GOLDENSIDA,2,2,,belum-diperiksa,
PT. PT BESTAGRO INDO SUKSES,2,2,,belum-diperiksa,
CV. MASTERGREEN AGROCHEMICAL INDONESIA,2,2,,belum-diperiksa,
PT. GRAHA AGRO MAKMUR,2,2,,belum-diperiksa,
PT. PERTIWI INTERTRADE,2,2,,belum-diperiksa,
PT LION WINGS,2,2,,belum-diperiksa,
PT. FLORA FAUNA AGRO,2,2,,belum-diperiksa,
PT. BINTANG CAHAYA AGRO PLANET,2,2,,belum-diperiksa,
PT. MASTRA INDOKORPORA,2,2,,belum-diperiksa,
CV. BINTANG TANI SEJAHTERA,2,2,,belum-diperiksa,
PT. AGRO SENTOSA INDAH KARUNIA,2,2,,belum-diperiksa,
CV. SURYA AGRO PERKASA,2,2,,belum-diperiksa,
PT. TRI AYUMON TERPADU,2,2,,belum-diperiksa,
PT. WIHADIL,2,2,,belum-diperiksa,
PT. GREEN ORGANIC DAILY,2,2,,belum-diperiksa,
PT. YASIDA MAKMUR ABADI,2,2,,belum-diperiksa,
PT. CHEMIFIN JAYA UTAMA,2,2,,belum-diperiksa,
PT. FAJAR NASIONAL CIPTA,2,2,,belum-diperiksa,
PT. BIO AGRI LINK,2,2,,belum-diperiksa,
PT. DAYA MUDA AGUNG,2,2,,belum-diperiksa,
PT. V MAX ASIA TANI,2,2,,belum-diperiksa,
CV. H.C.S. POWERINDO,2,2,,belum-diperiksa,
PT. SEMESTA HARAPAN INDONESIA,2,2,,belum-diperiksa,
PT. FABINDO SEJAHTERA,2,2,,belum-diperiksa,
PT. CATUR KARTIKA JAYA,2,2,,belum-diperiksa,
PATIH GAJAHMADA,2,2,,belum-diperiksa,
PT. AGROCHEM JAYA,2,2,,belum-diperiksa,
PT. LOTUS GLOBALINDO SENTOSA,2,2,,belum-diperiksa,
PT. ESSENCE AGRO CHEMICAL,2,2,,belum-diperiksa,
PT. SINAR MAS AGRO RESOURCES AND TECHNOLOGY,2,2,,belum-diperiksa,
PT. INTITANI AGROKIMINDO,2,2,,belum-diperiksa,
PT. TURRIMA AGRO MASS BORNEO,2,2,,belum-diperiksa,
PT. ANUGRAH SENTANA AGRO,2,2,,belum-diperiksa,
PT. MAKUTA AGRO SEJATI,2,2,,belum-diperiksa,
CV. TANI LESTARI,2,2,,belum-diperiksa,
CV. BARU INDONESIA,2,2,,belum-diperiksa,
PT. NOPOSION AGROCHEMICALS INDONESIA,2,2,,belum-diperiksa,
PT. MESTIKA KARUNIA UTAMA,2,2,,belum-diperiksa,
CV. DITAMA RAYA,2,2,,belum-diperiksa,
CV. ANGKASA DIGITAL NIAGA,2,2,,belum-diperiksa,
PT. TRIKA SAKA JAYA,2,2,,belum-diperiksa,
PT. DOVER CHEMICAL,2,2,,belum-diperiksa,
PT. SANOVA,2,2,,belum-diperiksa,
PT. PRIMASID ANDALANUTAMA,2,2,,belum-diperiksa,
PT. LABEZAR UTAMA INDONESIA,2,2,,belum-diperiksa,
PT. GIGA PUTRA TANI,2,2,,belum-diperiksa,
PT. DAYA MERRY PERSADA,2,2,,belum-diperiksa,
PT. OGINESIA MULTI TANI,2,2,,belum-diperiksa,
CV. EUREEKA INDONESIA,2,2,,belum-diperiksa,
CV. NAZA AGRO'S,2,2,,belum-diperiksa,
PUPUK LAPAN HARSA,2,2,,belum-diperiksa,
KURNIA AGRO,2,2,,belum-diperiksa,
AGRIVERE TRANSFORMA INTERNASIONAL,2,2,,belum-diperiksa,
SAWIT CENTER INDONESIA,2,2,,belum-diperiksa,
SELLA SANGIANG ASRI,2,2,,belum-diperiksa,
PT.Alas Metuah Perdana,2,2,,belum-diperiksa,
PT. Multi Mas Chemindo,2,1,multimaschemindo.com,tipis,"24 karung, hanya 600x400"
PT. Sitosu Agro Cemerlang,2,2,,belum-diperiksa,
PT Kertopaten Kencana,2,2,,belum-diperiksa,
PT. GALATTA LESTARINDO,2,2,,belum-diperiksa,
BIOTECH FERTILIZER INDONESIA,2,2,,belum-diperiksa,
TUNAS JAVA MANDIRI,2,2,,belum-diperiksa,
PANDAWA AGRI INDONESIA,2,2,,belum-diperiksa,
PT. AGRO TRADISI,2,2,,belum-diperiksa,
PT. SOLUSI LINGKUNGAN INDUSTRI NUSANTARA,2,2,,belum-diperiksa,
PT. Pakar Pupuk Nusantara,2,2,,belum-diperiksa,
BENE PYTO TANI JAYA,2,2,,belum-diperiksa,
PT. Tani Karya Makmur Sejahtera,2,2,,belum-diperiksa,
TAZAR GUNA MANDIRI,2,2,,belum-diperiksa,
RAJA ARTHA AGRO,2,2,,belum-diperiksa,
PT. Gemilang Eka Dharma,2,2,,belum-diperiksa,
CV. Intan Permata Dunia,2,2,,belum-diperiksa,
AGRO MULYA LESTARI,2,2,,belum-diperiksa,
RAYON UTAMA KHATULISTIWA,2,2,,belum-diperiksa,
GLOBALINDO INTI PERSADA,2,2,,belum-diperiksa,
CV. Mulyo Tani Makmur,2,2,,belum-diperiksa,
KIRANI AGRINUSANTARA,2,2,,belum-diperiksa,
DWI KENCANA ABADI,2,2,,belum-diperiksa,
AZZA MULIA RAHMAN,2,2,,belum-diperiksa,
AGRO MAKMUR MANDIRI,2,2,,belum-diperiksa,
CV. Subur Makmur Sejahtera,2,2,,belum-diperiksa,
SUMATERA MINERAL SEJAHTERA,2,2,,belum-diperiksa,
PT. Tri Mukti Nusantara Indonesia,2,2,,belum-diperiksa,
NICO MANDIRI SEJAHTERA,2,2,,belum-diperiksa,
PT RENER INTI INTERNASIONAL,2,2,,belum-diperiksa,
WIRA TANI MAKMUR,2,2,,belum-diperiksa,
PT. Bumi Subur Sentosa,2,2,,belum-diperiksa,
GREENTECH INTERNATIONAL,2,2,,belum-diperiksa,
ADITYA TANI PERKASA,2,2,,belum-diperiksa,
SAGARA PRIMA PERKASA,2,2,,belum-diperiksa,
PT.GUNUNG BERKAT SEJAHTERA,2,2,,belum-diperiksa,
CV. Makmur Sembada,2,2,,belum-diperiksa,
WEHA AGRO SEJAHTERA,2,2,,belum-diperiksa,
MANDIRI DUASATU,2,2,,belum-diperiksa,
PT. VERONA MULTIKIMIA ABADI,2,2,,belum-diperiksa,
AGRO PASTI INDONESIA,2,2,,belum-diperiksa,
AGUNG PRATAMA INDONESIA,2,2,,belum-diperiksa,
ATS INTI SAMPOERNA,2,2,,belum-diperiksa,
INDO BAY BIO,2,2,,belum-diperiksa,
PT. Balohan Jaya Utama,2,2,,belum-diperiksa,
WASTEK AGRO INDONESIA,2,2,,belum-diperiksa,
MUSTIKA AGRO TANI,2,2,,belum-diperiksa,
MITRA AGUNG SAWITA SEJATI,2,2,,belum-diperiksa,
SAKURA FISHERIES,2,2,,belum-diperiksa,
BAHAGIA ALAM SEJATI,2,2,,belum-diperiksa,
DIAMOND INTEREST INTERNATIONAL,2,2,,belum-diperiksa,
REKATANI INDONESIA,2,2,,belum-diperiksa,
PUNDI NUSANTARA RAYA,2,2,,belum-diperiksa,
MESUNJA PRIMA TECH,2,2,,belum-diperiksa,
CV JAYA SRI BERSAMA,2,2,,belum-diperiksa,
ANJARI ATHA TANAYA,2,2,,belum-diperiksa,
CV. SAMI JAYA AGRO,2,2,,belum-diperiksa,
ANUGRAH CEMERLANG INDONESIA,2,2,,belum-diperiksa,
SARANA GLOBAL PHOSPHORINDO,2,2,,belum-diperiksa,
PT. Andalan Chemist Indonesia,2,2,,belum-diperiksa,
GRAHA BIOFARM SOLUSI,2,2,,belum-diperiksa,
CV. Tani Subur Perkasa,2,2,,belum-diperiksa,
PT TOYA INDO MANUNGGAL,2,2,,belum-diperiksa,
PT Alam Makmur Anuri,2,2,,belum-diperiksa,
MAGNESIUM GOSARI INTERNASIONAL,2,2,,belum-diperiksa,
PT. Gemah Ripah Loh Jinawi Industri,2,2,,belum-diperiksa,
PT. BUMI TANI SUBUR,2,2,,belum-diperiksa,
NUSANTARA SEJAHTERA MEDICA,2,2,,belum-diperiksa,
BINA AGROSIWI MANDIRI,2,2,,belum-diperiksa,
MULTIFARM INTI SEJAHTERA,2,2,,belum-diperiksa,
SUAKABUMI,2,2,,belum-diperiksa,
PT Buana Hijau Pratama,2,2,,belum-diperiksa,
CV IMEXINDO NUSANTARA,2,2,,belum-diperiksa,
PT. Menara Dwikarya Prima,2,2,,belum-diperiksa,
ADAMAS MAKMUR SEJAHTERA,2,2,,belum-diperiksa,
LAMPOKO TERNAK INDONESIA,2,2,,belum-diperiksa,
WINDU KENCANA MULYA,2,2,,belum-diperiksa,
AMANAH JAYA TANI,2,2,,belum-diperiksa,
PT ARIGOLD YOOHA CORP,2,2,,belum-diperiksa,
CV. MITRA AGRO SENTOSA,2,2,,belum-diperiksa,
GADASAKTI AGRITEK PRATAMA,2,2,,belum-diperiksa,
SURYA NUSANTARA SEJATI,2,2,,belum-diperiksa,
PT. NUSANTARA AGRO TAMA,2,2,,belum-diperiksa,
AGRO JAYA OKTAVIANT,2,2,,belum-diperiksa,
CV. Randu Aji,2,2,,belum-diperiksa,
SUMBER MURNI GRUP,2,2,,belum-diperiksa,
POSPORINDO NUSANTARA,2,2,,belum-diperiksa,
CV AGRO PERSADA,2,2,,belum-diperiksa,
TRIDI AGENG GEMILANG,2,2,,belum-diperiksa,
CV. Bunga Agro Lestari,2,2,,belum-diperiksa,
CV. PESANGGEM MITRA ABADI,2,2,,belum-diperiksa,
INDONESIA GREEN INNOVATION,2,2,,belum-diperiksa,
SETIA USAHA TANI MANDIRI,2,2,,belum-diperiksa,
PT. JASINDO KREASI MANDIRI,2,2,,belum-diperiksa,
SARI BUMI SIDAYU,2,2,,belum-diperiksa,
SARASWANTI AGRO MAKMUR,2,2,,belum-diperiksa,
ARICTON EXIM INDONESIA,2,2,,belum-diperiksa,
PT. PRIMA MULIA ABADI,2,2,,belum-diperiksa,
WISH INDONESIA,2,2,,belum-diperiksa,
DIRA LIMINDO PUTRA,2,2,,belum-diperiksa,
JOS AGRO MANDIRI,2,2,,belum-diperiksa,
CV. Sumber Rejeki,2,2,,belum-diperiksa,
PT. FERTA INDONESIA PERSADA,2,2,,belum-diperiksa,
FERTINDO AGRONUSA PERSADA,2,2,,belum-diperiksa,
CV. Pilar Fasa Mandiri,2,2,,belum-diperiksa,
PT. Bhadra Cemerlang,2,2,,belum-diperiksa,
ESA DISTRIBUSI NUSANTARA,2,2,,belum-diperiksa,
PT. DELAPAN ENAM BERLIAN,2,2,,belum-diperiksa,
AGRO ZYM JAYA,2,2,,belum-diperiksa,
PT. Agro Nusantara Indonesia,2,2,,belum-diperiksa,
JAVA KARLOS INDONESIA,2,2,,belum-diperiksa,
PT. Satya Agrindo Perkasa,2,2,,belum-diperiksa,
PT.PRATAMA SUBUR AGRITAMA,2,2,,belum-diperiksa,
SIDENRENG AGRO INNO TECH,2,2,,belum-diperiksa,
YIH SHENNINDO MAKMUR JAYA,2,2,,belum-diperiksa,
PUTERA RAYA ABADI,2,2,,belum-diperiksa,
CV. Bumi Agro Indonesia,2,2,,belum-diperiksa,
PT. AGRO TANI MAJU SEJAHTERA,2,2,,belum-diperiksa,
AGRO RAYA TIMUR GROUP,2,2,,belum-diperiksa,
DHARMA GUNA,2,2,,belum-diperiksa,
CV. Sinar Sejahtera,2,2,,belum-diperiksa,
CV SURYA CITRA PERKASA,2,2,,belum-diperiksa,
BINTANG ASRI ARTHAULI,2,2,,belum-diperiksa,
MITRA TANI GROUP INDONESIA,2,2,,belum-diperiksa,
MEGARHIZO EGA PERSADA,2,2,,belum-diperiksa,
PT. Multidaya Putra Sejahtera,2,2,,belum-diperiksa,
PT. QL Agrofood,2,2,,belum-diperiksa,
BEKTI JOYO SAMPURNO,2,2,,belum-diperiksa,
GUANO BERKAH SEJAHTERA,2,2,,belum-diperiksa,
HUMAN LIFE INDONESIA,2,2,,belum-diperiksa,
PT. SHADANI INSAN MULIA ABADI,2,2,,belum-diperiksa,
CV. Deka Agro Product,2,2,,belum-diperiksa,
DWI JAYA EKAPRIMA,2,2,,belum-diperiksa,
CV MARZUQ,2,2,,belum-diperiksa,
PT.BUMI PERKASA AGRINDO,2,2,,belum-diperiksa,
UD. Makmur Jaya,2,2,,belum-diperiksa,
GREENTRACK TECHNOLOGY INDONESIA,2,2,,belum-diperiksa,
MERDEKA BAHARI INDONESIA,2,2,,belum-diperiksa,
INTER ALL,2,2,,belum-diperiksa,
PT. Makro Chemindo,2,2,,belum-diperiksa,
RILIS,2,2,,belum-diperiksa,
PT. MITRA CHEMICAL WISESA,2,2,,belum-diperiksa,
PT. SOJITZ INDONESIA,2,2,,belum-diperiksa,
KANANITORA,2,2,,belum-diperiksa,
CV. GHANDI PUTRA,2,2,,belum-diperiksa,
PT.MYCO AGRO LESTARI,2,2,,belum-diperiksa,
PT Dunia Kimia Jaya,2,2,,belum-diperiksa,
CV. AGRO MITRA BERJAYA,2,2,,belum-diperiksa,
PT. INDOGAL AGRO TRADING,2,2,,belum-diperiksa,
FEMU ENVIRO RISORINDO,2,2,,belum-diperiksa,
CV Trubus Mas Lestari,2,2,,belum-diperiksa,
EMPAT LIMA NUSWANTORO,2,2,,belum-diperiksa,
PT. Sarana Agro Panata,2,2,,belum-diperiksa,
BINTANG MARGOMULYA ORGANIK,2,2,,belum-diperiksa,
PT Gresik Cipta Sejahtera,2,2,,belum-diperiksa,
PUTRA KIMIA GRESIK,2,2,,belum-diperiksa,
CV MANUNGGAL ABADI SENTOSA,2,2,,belum-diperiksa,
PT. Bio Takemi Global,2,2,,belum-diperiksa,
KAYUAN INFARM INDONESIA,2,2,,belum-diperiksa,
PT PUPUK KELAPA SAWIT JAYA,2,2,,belum-diperiksa,
CV. Jaya Makmur Sentausa,2,2,,belum-diperiksa,
EKO SUNGKONO,2,2,,belum-diperiksa,
CV ALAM MAKMUR TANI AGRO,2,2,,belum-diperiksa,
PUTRA BARAGE RAYA,2,2,,belum-diperiksa,
PT. BINTANG CHEMICAL ABADI,2,2,,belum-diperiksa,
JAKE AGRO JAYA,2,2,,belum-diperiksa,
CV. CENTRA AGRINUSA,2,2,,belum-diperiksa,
BIO CYCLE INDO,2,2,,belum-diperiksa,
SUBUR MAKMUR ORGANIK,2,2,,belum-diperiksa,
PT Mycotech Agro Asia,2,2,,belum-diperiksa,
KKI NUSANTARA SUKSES,2,2,,belum-diperiksa,
CV. Rachma Farm Sejahtera,2,2,,belum-diperiksa,
MEREK INDAH LESTARI,2,2,,belum-diperiksa,
SEHAT CEMERLANG SEJAHTERA,2,2,,belum-diperiksa,
CV Pandu Pratama Karya,2,2,,belum-diperiksa,
PT. Bahagia Jaya Sinergy,2,2,,belum-diperiksa,
PT. ANUGRAHA ALAM SENTOSA,2,2,,belum-diperiksa,
PRIMA AGRO LESTARI,2,2,,belum-diperiksa,
SONGGOLANGIT PERSADA,2,2,,belum-diperiksa,
SARI MAHAPHALA INDONESIA,2,2,,belum-diperiksa,
INDOSOL MAKMUR,2,2,,belum-diperiksa,
PT. NUSA BERKAT ALAM,2,2,,belum-diperiksa,
KARUNIA ROTORINDO TANI,2,2,,belum-diperiksa,
GEMA MITRA ANDALAN,2,2,,belum-diperiksa,
HUSNA AGRO PERKASA,2,2,,belum-diperiksa,
CV. BUMI AGRO MANDIRI,2,2,,belum-diperiksa,
PT. Trubus Mitra Swadaya,2,2,,belum-diperiksa,
PT. YUDHA PERDANA ANGESTI,2,2,,belum-diperiksa,
AGRO BEN INDONESIA,2,2,,belum-diperiksa,
RESTU MANDIRI INDONESIA,2,2,,belum-diperiksa,
Koperasi Puspa Kencana,2,2,,belum-diperiksa,
HSP CITRA GLOBAL,2,2,,belum-diperiksa,
CV. Bintang Asri Arthauly,2,2,,belum-diperiksa,
PT. Andalan Usaha Indonesia,2,2,,belum-diperiksa,
CV PALUGADA SUKSES BERSAMA,2,2,,belum-diperiksa,
PT. RIZKY FAJAR AGRO,2,2,,belum-diperiksa,
PT. Kingenta Pupuk Indonesia,2,2,,belum-diperiksa,
CV. Rejeki Lumintu Makmur,2,2,,belum-diperiksa,
CV. TANI ABADI,1,1,,belum-diperiksa,
PT. NUTRI AGRO INDONESIA,1,1,,belum-diperiksa,
CV INDO AGRO CHEMICAL,1,1,,belum-diperiksa,
PT. BRENNTAG,1,1,,belum-diperiksa,
PT. KAO INDONESIA DISTRIBUTION,1,1,,belum-diperiksa,
CV. ALAM NABATI ANACARDIUM,1,1,,belum-diperiksa,
PT. BAHANA HANNELA MASSIMA,1,1,,belum-diperiksa,
CV. INDO TANI,1,1,,belum-diperiksa,
CV. AMARTA BUANA SEJAHTERA,1,1,,belum-diperiksa,
PT. PELITA AGUNG,1,1,,belum-diperiksa,
PT. GALENIUM PHARMASIA LABORATORIES,1,1,,belum-diperiksa,
PT. HALIM SAKTI PRATAMA,1,1,,belum-diperiksa,
PT. BINTANG ANUGERAH CAHAYA ABADI,1,1,,belum-diperiksa,
PT. SMARTZ AGRO LESTARI,1,1,,belum-diperiksa,
SARAYA.LF.MANDIRI,1,1,,belum-diperiksa,
CV. INDAH TANI SEJAHTERA,1,1,,belum-diperiksa,
PT. GOLDEN STEP INDONESIA,1,1,,belum-diperiksa,
PT. DWI PRIMA REZEKY,1,1,,belum-diperiksa,
PT. KINGLAB INDONESIA,1,1,,belum-diperiksa,
