tingkat,provinsi,kabupaten,dinas,bpp,penyuluh
"kabupaten","JAWA TIMUR","MOJOKERTO","DINAS PERTANIAN","18","177"
"kabupaten","JAWA TIMUR","JOMBANG","Dinas Pertanian","21","426"
"kabupaten","JAWA TIMUR","NGANJUK","Dinas Pertanian","20","214"
"kabupaten","JAWA TIMUR","MADIUN","DINAS PERTANIAN DAN PERIKANAN","15","298"
"kabupaten","JAWA TIMUR","MAGETAN","Dinas Tanaman Pangan, Hortikultura, Perkebunan dan Ketahanan Pangan","18","196"
"kabupaten","JAWA TIMUR","NGAWI","DINAS KETAHANAN PANGAN DAN PERTANIAN KABUPATEN NGAWI","19","251"
"kabupaten","JAWA TIMUR","BOJONEGORO","Dinas Ketahanan Pangan dan Pertanian","28","589"
"kabupaten","JAWA TIMUR","TUBAN","Dinas Ketahanan Pangan, Pertanian dan Perikanan","20","372"
"kabupaten","JAWA TIMUR","LAMONGAN","Dinas Ketahanan Pangan dan Pertanian","27","290"
"kabupaten","JAWA TIMUR","GRESIK","Dinas Pertanian","16","125"
"kabupaten","JAWA TIMUR","BANGKALAN","Dinas Pertanian Tanaman Pangan, Hortikultura dan Perkebunan","18","158"
"kabupaten","JAWA TIMUR","SAMPANG","DINAS PERTANIAN DAN KETAHANAN PANGAN KABUPATEN SAMPANG","14","130"
"kabupaten","JAWA TIMUR","PAMEKASAN","DINAS KETAHANAN PANGAN DAN PERTANIAN","13","278"
"kabupaten","JAWA TIMUR","SUMENEP","Dinas Ketahanan Pangan dan Pertanian","27","187"
"kabupaten","JAWA TIMUR","KOTA KEDIRI","Dinas Ketahanan Pangan dan Pertanian","3","40"
"kabupaten","JAWA TIMUR","KOTA BLITAR","Dinas Ketahanan Pangan dan Pertanian Kota Blitar","3","17"
"kabupaten","JAWA TIMUR","KOTA MALANG","Dinas Ketahanan Pangan dan Pertanian","5","26"
"kabupaten","JAWA TIMUR","KOTA PROBOLINGGO","Dinas Ketahanan Pangan, Pertanian dan Perikanan Kota Probolinggo","5","52"
"kabupaten","JAWA TIMUR","KOTA PASURUAN","Dinas Pertanian Dan Ketahanan Pangan","4","20"
"kabupaten","JAWA TIMUR","KOTA MOJOKERTO","Dinas Ketahanan Pangan Dan Pertanian","3","14"
"kabupaten","JAWA TIMUR","KOTA MADIUN","DINAS KETAHANAN PANGAN DAN PERTANIAN","0","1"
"kabupaten","JAWA TIMUR","KOTA SURABAYA","Dinas Ketahanan Pangan dan Pertanian","1","28"
"kabupaten","JAWA TIMUR","KOTA BATU","Dinas Pertanian dan Ketahanan Pangan","3","32"
"provinsi","BANTEN","","Dinas Pertanian Provinsi Banten","108","28"
"kabupaten","BANTEN","PANDEGLANG","Dinas Pertanian dan Ketahanan Pangan","35","239"
"kabupaten","BANTEN","LEBAK","Dinas Pertanian","28","335"
"kabupaten","BANTEN","TANGERANG","DINAS PERTANIAN DAN KETAHANAN PANGAN KAB. TANGERANG","8","237"
"kabupaten","BANTEN","SERANG","Dinas Ketahanan Pangan dan Pertanian Kab. Serang","29","385"
"kabupaten","BANTEN","KOTA TANGERANG","Dinas Ketahanan Pangan","0","9"
"kabupaten","BANTEN","KOTA CILEGON","Dinas Ketahanan Pangan dan Pertanian","1","20"
"kabupaten","BANTEN","KOTA SERANG","DINAS KETAHANAN PANGAN PERTANIAN DAN PERIKANAN KOTA SERANG","6","49"
"kabupaten","BANTEN","KOTA TANGERANG SELATAN","Dinas Ketahanan Pangan Petanian dan Perikanan","1","8"
"provinsi","BALI","","Dinas Pertanian dan Ketahanan Pangan Provinsi Bali","57","11"
"kabupaten","BALI","JEMBRANA","Dinas Pertanian dan Pangan Kabupaten Jembrana","5","98"
"kabupaten","BALI","TABANAN","Dinas Pertanian Kabupaten Tabanan","10","146"
"kabupaten","BALI","BADUNG","Dinas Pertanian Dan Pangan Kabupaten Badung","5","131"
"kabupaten","BALI","GIANYAR","Dinas Pertanian","7","51"
"kabupaten","BALI","KLUNGKUNG","Dinas Pertanian","4","95"
"kabupaten","BALI","BANGLI","Dinas Pertanian, Ketahanan Pangan dan Perikanan Kabupaten Bangli","5","213"
"kabupaten","BALI","KARANG ASEM","Dinas Pertanian, Pangan dan Perikanan","8","96"
"kabupaten","BALI","BULELENG","Dinas Pertanian","9","173"
"kabupaten","BALI","KOTA DENPASAR","Dinas Pertanian Kota Denpasar","4","77"
"provinsi","NUSA TENGGARA BARAT","","Dinas Pertanian dan Perkebunan","116","19"
"kabupaten","NUSA TENGGARA BARAT","LOMBOK BARAT","Dinas Pertanian","10","255"
"kabupaten","NUSA TENGGARA BARAT","LOMBOK TENGAH","Dinas Pertanian Pertanian Kabupaten Lombok Tengah","12","267"
"kabupaten","NUSA TENGGARA BARAT","LOMBOK TIMUR","Dinas Pertanian","21","279"
"kabupaten","NUSA TENGGARA BARAT","SUMBAWA","Dinas Pertanian Kabupaten Sumbawa","24","302"
"kabupaten","NUSA TENGGARA BARAT","DOMPU","Dinas Pertanian dan Perkebunan kabupaten Dompu","8","195"
"kabupaten","NUSA TENGGARA BARAT","BIMA","Dinas Pertanian dan Perkebunan","18","279"
"kabupaten","NUSA TENGGARA BARAT","SUMBAWA BARAT","DINAS PERTANIAN","8","139"
"kabupaten","NUSA TENGGARA BARAT","LOMBOK UTARA","Dinas Ketahanan Pangan Pertanian Dan Perikanan","5","84"
"kabupaten","NUSA TENGGARA BARAT","KOTA MATARAM","DINAS PERTANIAN","6","89"
"kabupaten","NUSA TENGGARA BARAT","KOTA BIMA","Dinas Pertanian Kota Bima","4","87"
"provinsi","NUSA TENGGARA TIMUR","","Dinas Pertanian Dan Ketahanan Pangan Provinsi Nusa Tenggara Timur","317","7"
"kabupaten","NUSA TENGGARA TIMUR","SUMBA BARAT","Dinas Pertanian dan Ketahanan Pangan","8","62"
"kabupaten","NUSA TENGGARA TIMUR","SUMBA TIMUR","Dinas Pertanian dan Pangan Kabupaten Sumba Timur","22","153"
"kabupaten","NUSA TENGGARA TIMUR","KUPANG","Dinas Pertanian dan Ketahanan Pangan Kabupaten Kupang","24","94"
"kabupaten","NUSA TENGGARA TIMUR","TIMOR TENGAH SELATAN","Dinas Tanaman Pangan Hortikultura dan Perkebunan","32","210"
"kabupaten","NUSA TENGGARA TIMUR","TIMOR TENGAH UTARA","Dinas Pertanian","24","145"
"kabupaten","NUSA TENGGARA TIMUR","BELU","DINAS PERTANIAN DAN KETAHANAN PANGAN","12","63"
"kabupaten","NUSA TENGGARA TIMUR","ALOR","Dinas Pertanian dan Perkebunan Kabupaten Alor","18","110"
"kabupaten","NUSA TENGGARA TIMUR","LEMBATA","Dinas Pertanian dan Ketahanan Pangan","9","96"
"kabupaten","NUSA TENGGARA TIMUR","FLORES TIMUR","Dinas Pertanian dan Ketahanan Pangan","19","229"
"kabupaten","NUSA TENGGARA TIMUR","SIKKA","Dinas Pertanian","21","170"
"kabupaten","NUSA TENGGARA TIMUR","ENDE","Dinas Pertanian","21","211"
"kabupaten","NUSA TENGGARA TIMUR","NGADA","DINAS PERTANIAN DAN KETAHANAN PANGAN","12","230"
"kabupaten","NUSA TENGGARA TIMUR","MANGGARAI","Dinas Pertanian Dan Ketahanan Pangan Kabupaten Manggarai","12","281"
"kabupaten","NUSA TENGGARA TIMUR","ROTE NDAO","Dinas Pertanian","11","164"
"kabupaten","NUSA TENGGARA TIMUR","MANGGARAI BARAT","Dinas Tanaman Pangan Hortikultura dan Perkebunan","12","129"
"kabupaten","NUSA TENGGARA TIMUR","SUMBA TENGAH","Dinas Pertanian dan Ketahanan Pangan","6","143"
"kabupaten","NUSA TENGGARA TIMUR","SUMBA BARAT DAYA","DINAS PERTANIAN DAN KETAHANAN PANGAN","11","272"
"kabupaten","NUSA TENGGARA TIMUR","NAGEKEO","Dinas Pertanian Kabupaten Nagekeo","7","213"
"kabupaten","NUSA TENGGARA TIMUR","MANGGARAI TIMUR","Dinas Pertanian","12","195"
"kabupaten","NUSA TENGGARA TIMUR","SABU RAIJUA","Dinas Pertanian dan Pangan","6","72"
"kabupaten","NUSA TENGGARA TIMUR","MALAKA","DINAS PERTANIAN","12","96"
"kabupaten","NUSA TENGGARA TIMUR","KOTA KUPANG","DINAS PERTANIAN KOTA KUPANG","6","30"
"provinsi","KALIMANTAN BARAT","","Dinas Tanaman Pangan dan Hortikultura","154","21"
"kabupaten","KALIMANTAN BARAT","SAMBAS","Dinas Pertanian dan Ketahanan Pangan","19","193"
"kabupaten","KALIMANTAN BARAT","BENGKAYANG","DINAS KETAHANAN PANGAN DAN PERTANIAN KABUPATEN BENGKAYANG","17","165"
"kabupaten","KALIMANTAN BARAT","LANDAK","Dinas Pertanian, Perikanan dan Ketahanan Pangan Kabupaten Landak","13","165"
"kabupaten","KALIMANTAN BARAT","MEMPAWAH","Dinas Pertanian, Ketahanan Pangan dan Perikanan Kabupaten Mempawah","9","86"
"kabupaten","KALIMANTAN BARAT","SANGGAU","Dinas Ketahanan Pangan, Tanaman Pangan, Holtikultura dan Perikanan Kabupaten Sanggau","15","229"
"kabupaten","KALIMANTAN BARAT","KETAPANG","DINAS PERTANIAN, PETERNAKAN DAN PERKEBUNAN KABUPATEN KETAPANG","18","182"
"kabupaten","KALIMANTAN BARAT","SINTANG","Dinas Pertanian dan Perkebunan","14","150"
"kabupaten","KALIMANTAN BARAT","KAPUAS HULU","DINAS PERTANIAN DAN PANGAN KABUPATEN KAPUAS HULU","14","164"
"kabupaten","KALIMANTAN BARAT","SEKADAU","Dinas Ketahanan Pangan,Pertanian dan Perikanan Kabupaten Sekadau","7","69"
"kabupaten","KALIMANTAN BARAT","MELAWI","Dinas Ketahanan Pangan Dan Pertanian","8","102"
"kabupaten","KALIMANTAN BARAT","KAYONG UTARA","Dinas Pertanian dan Pangan","6","68"
"kabupaten","KALIMANTAN BARAT","KUBU RAYA","Dinas Ketahanan Pangan dan Pertanian","9","159"
"kabupaten","KALIMANTAN BARAT","KOTA PONTIANAK","Dinas Pangan Pertanian dan Perikanan","2","23"
"kabupaten","KALIMANTAN BARAT","KOTA SINGKAWANG","Dinas Pertanian, Ketahanan Pangan dan Perikanan","3","33"
"provinsi","KALIMANTAN TENGAH","","Dinas Tanaman Pangan, Hortikuktura dan Peternakan","116","10"
"kabupaten","KALIMANTAN TENGAH","KOTAWARINGIN BARAT","Dinas Pertanian","6","106"
"kabupaten","KALIMANTAN TENGAH","KOTAWARINGIN TIMUR","Dinas Pertanian Kabupaten Kotawaringin Timur","14","129"
"kabupaten","KALIMANTAN TENGAH","KAPUAS","Dinas Pertanian","13","258"
"kabupaten","KALIMANTAN TENGAH","BARITO SELATAN","Dinas Ketahanan Pangan,Pertanian dan Perikanan","6","109"
"kabupaten","KALIMANTAN TENGAH","BARITO UTARA","Dinas Pertanian.","6","114"
"kabupaten","KALIMANTAN TENGAH","SUKAMARA","Dinas Ketahanan Pangan dan Pertanian","5","36"
"kabupaten","KALIMANTAN TENGAH","LAMANDAU","Dinas Pertanian dan Perikanan Kabupaten Lamandau","8","30"
"kabupaten","KALIMANTAN TENGAH","SERUYAN","Dinas Ketahanan Pangan dan Pertanian","10","79"
"kabupaten","KALIMANTAN TENGAH","KATINGAN","Dinas Ketahanan Pangan dan Pertanian Kabupaten Katingan","13","74"
"kabupaten","KALIMANTAN TENGAH","PULANG PISAU","Dinas Pertanian","8","113"
"kabupaten","KALIMANTAN TENGAH","GUNUNG MAS","DINAS PERTANIAN","6","50"
"kabupaten","KALIMANTAN TENGAH","BARITO TIMUR","DINAS PERTANIAN DAN KETAHANAN PANGAN","10","117"
"kabupaten","KALIMANTAN TENGAH","MURUNG RAYA","Dinas Pertanian dan Perikanan","8","45"
"kabupaten","KALIMANTAN TENGAH","KOTA PALANGKA RAYA","Dinas Pertanian dan Ketahanan Pangan Kota Palangka Raya","3","40"
"provinsi","KALIMANTAN SELATAN","","DINAS PERTANIAN DAN KETAHANAN PANGAN","133","25"
"kabupaten","KALIMANTAN SELATAN","TANAH LAUT","Dinas Tanaman Pangan Hortikultura dan Perkebunan","11","212"
"kabupaten","KALIMANTAN SELATAN","KOTA BARU","Dinas Ketahanan Pangan dan Pertanian Kabupaten Kotabaru","7","62"
"kabupaten","KALIMANTAN SELATAN","BANJAR","DINAS PERTANIAN KABUPATEN BANJAR","20","329"
"kabupaten","KALIMANTAN SELATAN","BARITO KUALA","Dinas Pertanian Tanaman Pangan dan Hortikultura Kab.Barito Kuala","17","202"
"kabupaten","KALIMANTAN SELATAN","TAPIN","DINAS PERTANIAN KABUPATEN TAPIN","12","245"
"kabupaten","KALIMANTAN SELATAN","HULU SUNGAI SELATAN","Dinas Pertanian","11","135"
"kabupaten","KALIMANTAN SELATAN","HULU SUNGAI TENGAH","Dinas Pertanian Kabupaten Hulu Sungai Tengah","11","287"
"kabupaten","KALIMANTAN SELATAN","HULU SUNGAI UTARA","Dinas Pertanian Kab. Hulu Sungai Utara","10","148"
"kabupaten","KALIMANTAN SELATAN","TABALONG","Dinas Ketahanan Pangan, Perikanan , Tanaman Pangan dan Hortikultura","8","176"
"kabupaten","KALIMANTAN SELATAN","TANAH BUMBU","Dinas Ketahanan Pangan dan Pertanian Kabupaten Tanah Bumbu","9","129"
"kabupaten","KALIMANTAN SELATAN","BALANGAN","Dinas Ketahanan Pangan, Pertanian dan Perikanan","8","204"
"kabupaten","KALIMANTAN SELATAN","KOTA BANJARMASIN","Dinas Ketahanan Pangan, Pertanian dan Perikanan Kota Banjarmasin","5","42"
"kabupaten","KALIMANTAN SELATAN","KOTA BANJAR BARU","Dinas Ketahanan Pangan, Pertanian dan Perikanan","4","81"
"provinsi","KALIMANTAN TIMUR","","Dinas Pangan, Tanaman Pangan dan Hortikultura","85","2"
"kabupaten","KALIMANTAN TIMUR","PASER","Dinas Tanaman Pangan dan Hortikultura","7","165"
"kabupaten","KALIMANTAN TIMUR","KUTAI BARAT","Dinas Pertanian","16","158"
"kabupaten","KALIMANTAN TIMUR","KUTAI KARTANEGARA","Dinas Pertanian dan Perternakan","19","276"
"kabupaten","KALIMANTAN TIMUR","KUTAI TIMUR","Dinas Pertanian","18","273"
"kabupaten","KALIMANTAN TIMUR","BERAU","Dinas Tanaman Pangan, Hortikultura dan Peternakan","10","95"
"kabupaten","KALIMANTAN TIMUR","PENAJAM PASER UTARA","Dinas Pertanian","3","120"
"kabupaten","KALIMANTAN TIMUR","MAHAKAM HULU","DINAS KETAHANAN PANGAN DAN PERTANIAN","5","45"
"kabupaten","KALIMANTAN TIMUR","KOTA BALIKPAPAN","DINAS PANGAN, PERTANIAN DAN PERIKANAN","2","19"
"kabupaten","KALIMANTAN TIMUR","KOTA SAMARINDA","DINAS KETAHANAN PANGAN DAN PERTANIAN KOTA SAMARINDA","4","47"
"kabupaten","KALIMANTAN TIMUR","KOTA BONTANG","Dinas Ketahanan Pangan, Perikanan Dan Pertanian","1","6"
"provinsi","KALIMANTAN UTARA","","Dinas Pertanian dan Ketahanan Pangan","24","7"
"kabupaten","KALIMANTAN UTARA","MALINAU","Dinas Pertanian","4","61"
"kabupaten","KALIMANTAN UTARA","BULUNGAN","Dinas Pertanian","7","71"
"kabupaten","KALIMANTAN UTARA","TANA TIDUNG","Dinas Pertanian, Pangan dan Perikanan","2","28"
"kabupaten","KALIMANTAN UTARA","NUNUKAN","DINAS KETAHANAN PANGAN DAN PERTANIAN KABUPATEN NUNUKAN","10","134"
"kabupaten","KALIMANTAN UTARA","KOTA TARAKAN","Dinas Ketahanan Pangan dan Pertanian","1","8"
"provinsi","SULAWESI UTARA","","Dinas Pertanian dan Peternakan Provinsi Sulawesi Utara","170","30"
"kabupaten","SULAWESI UTARA","BOLAANG MONGONDOW","DINAS PERTANIAN","15","187"
"kabupaten","SULAWESI UTARA","MINAHASA","Dinas Pertanian","25","272"
"kabupaten","SULAWESI UTARA","KEPULAUAN SANGIHE","DINAS PERTANIAN DAERAH","19","115"
"kabupaten","SULAWESI UTARA","KEPULAUAN TALAUD","DINAS KETAHANAN PANGAN DAN PERTANIAN","19","233"
"kabupaten","SULAWESI UTARA","MINAHASA SELATAN","DINAS PERTANIAN","17","136"
"kabupaten","SULAWESI UTARA","MINAHASA UTARA","DINAS PERTANIAN","10","61"
"kabupaten","SULAWESI UTARA","BOLAANG MONGONDOW UTARA","Dinas Pertanian","6","160"
"kabupaten","SULAWESI UTARA","SIAU TAGULANDANG BIARO","DINAS PANGAN DAN PERTANIAN","10","16"
"kabupaten","SULAWESI UTARA","MINAHASA TENGGARA","DINAS PERTANIAN","12","57"
"kabupaten","SULAWESI UTARA","BOLAANG MONGONDOW SELATAN","DINAS PERTANIAN","7","103"
"kabupaten","SULAWESI UTARA","BOLAANG MONGONDOW TIMUR","Dinas Pertanian Kab. Bolaang Mongondow Timur","7","117"
"kabupaten","SULAWESI UTARA","KOTA MANADO","Dinas Pertanian Kelautan dan Perikanan","6","40"
"kabupaten","SULAWESI UTARA","KOTA BITUNG","DINAS KETAHANAN PANGAN DAN PERTANIAN","8","79"
"kabupaten","SULAWESI UTARA","KOTA TOMOHON","Dinas Pertanian dan Perikanan Daerah Kota Tomohon","5","93"
"kabupaten","SULAWESI UTARA","KOTA KOTAMOBAGU","Dinas Pertanian dan Perikanan Kota Kotamobagu","4","52"
"provinsi","SULAWESI TENGAH","","Dinas Tanaman Pangan dan Hortikultura","169","33"
"kabupaten","SULAWESI TENGAH","BANGGAI KEPULAUAN","DINAS PERTANIAN","12","105"
"kabupaten","SULAWESI TENGAH","BANGGAI","Dinas Tanaman Pangan, Hortikultura dan Perkebunan","23","290"
"kabupaten","SULAWESI TENGAH","MOROWALI","DINAS PERTANIAN DAN KETAHANAN PANGAN DAERAH KAB. MOROWALI","9","105"
"kabupaten","SULAWESI TENGAH","POSO","DINAS PERTANIAN","19","156"
"kabupaten","SULAWESI TENGAH","DONGGALA","DINAS TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","15","281"
"kabupaten","SULAWESI TENGAH","TOLI-TOLI","DINAS TANAMAN PANGAN DAN HORTIKULTURA KABUPATEN TOLITOLI","10","111"
"kabupaten","SULAWESI TENGAH","BUOL","Dinas Pertanian dan Ketahanan Pangan","11","141"
"kabupaten","SULAWESI TENGAH","PARIGI MOUTONG","DINAS TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","23","208"
"kabupaten","SULAWESI TENGAH","TOJO UNA-UNA","DINAS PERTANIAN DAN KETAHANAN PANGAN","12","151"
"kabupaten","SULAWESI TENGAH","SIGI","Dinas Tanaman Pangan Hortikultura dan Perkebunan","13","284"
"kabupaten","SULAWESI TENGAH","KOTA PALU","Dinas Pertanian dan Ketahanan Pangan Kota Palu","5","72"
"kabupaten","SULAWESI TENGAH","BANGGAI LAUT","DINAS PERTANIAN DAN PANGAN KABUPATEN BANGGAI LAUT","7","64"
"kabupaten","SULAWESI TENGAH","MOROWALI UTARA","Dinas Pertanian dan Pangan Daerah","10",""
"provinsi","SULAWESI SELATAN","","Dinas Tanaman Pangan, Hortikultura dan Perkebunan Prov. Sulsel","292","30"
"kabupaten","SULAWESI SELATAN","KEPULAUAN SELAYAR","Dinas Pertanian dan Ketahanan Pangan","10","188"
"kabupaten","SULAWESI SELATAN","BULUKUMBA","Dinas Pertanian dan Ketahanan Pangan","10","245"
"kabupaten","SULAWESI SELATAN","BANTAENG","DINAS PERTANIAN KABUPATEN BANTAENG","8","143"
"kabupaten","SULAWESI SELATAN","JENEPONTO","DINAS PERTANIAN","11","352"
"kabupaten","SULAWESI SELATAN","TAKALAR","DINAS TANAMAN PANGAN HORTIKULTURA PERKEBUNAN DAN KETAHANAN PANGAN","10","150"
"kabupaten","SULAWESI SELATAN","GOWA","Dinas Tanaman Pangan dan Hortikultura","18","234"
"kabupaten","SULAWESI SELATAN","SINJAI","Dinas Tanaman Pangan, Hortikultura dan Perkebunan","8","185"
"kabupaten","SULAWESI SELATAN","MAROS","Dinas Pertanian dan Ketahanan Pangan","14","333"
"kabupaten","SULAWESI SELATAN","PANGKAJENE DAN KEPULAUAN","DINAS PERTANIAN","9","124"
"kabupaten","SULAWESI SELATAN","BARRU","Dinas Pertanian Kabupaten Barru","7","111"
"kabupaten","SULAWESI SELATAN","BONE","Dinas Tanaman Pangan, Hortikultura dan Perkebunan","27","336"
"kabupaten","SULAWESI SELATAN","SOPPENG","Dinas Tanaman Pangan, Hortikultura, Perkebunan dan Ketahanan Pangan","8","214"
"kabupaten","SULAWESI SELATAN","WAJO","Dinas Pertanian dan Ketahanan Pangan","14","157"
"kabupaten","SULAWESI SELATAN","SIDENRENG RAPPANG","Dinas Tanaman Pangan, Hortikultura, Perkebunan dan Ketahanan Pangan","11","291"
"kabupaten","SULAWESI SELATAN","PINRANG","DINAS TANAMAN PANGAN DAN HORTIKULTURA KABUPATEN PINRANG","12","219"
"kabupaten","SULAWESI SELATAN","ENREKANG","DINAS TANAMAN PANGAN HORTIKULTURA DAN PERKEBUNAN","12","263"
"kabupaten","SULAWESI SELATAN","LUWU","DINAS PERTANIAN","22","295"
"kabupaten","SULAWESI SELATAN","TANA TORAJA","Dinas Pertanian, Ketahanan Pangan dan Perikanan","19","138"
"kabupaten","SULAWESI SELATAN","LUWU UTARA","DINAS PERTANIAN","15","285"
"kabupaten","SULAWESI SELATAN","LUWU TIMUR","DINAS PERTANIAN DAN KETAHANAN PANGAN","11","173"
"kabupaten","SULAWESI SELATAN","TORAJA UTARA","Dinas Pertanian","21","100"
"kabupaten","SULAWESI SELATAN","KOTA MAKASSAR","Dinas Perikanan dan Pertanian","2","62"
"kabupaten","SULAWESI SELATAN","KOTA PAREPARE","Dinas Pertanian, Kelautan dan Perikanan","4","52"
"kabupaten","SULAWESI SELATAN","KOTA PALOPO","Dinas Pertanian, Peternakan dan Perkebunan","9","79"
"provinsi","SULAWESI TENGGARA","","Dinas Tanaman Pangan dan Peternakan Provinsi Sulawesi Tenggara","210","9"
"kabupaten","SULAWESI TENGGARA","BUTON","Dinas Pertanian Kabupaten Buton","7","65"
"kabupaten","SULAWESI TENGGARA","MUNA","DINAS TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","22","258"
"kabupaten","SULAWESI TENGGARA","KONAWE","Dinas Tanaman Pangan, Hortikultura dan Perkebunan","29","645"
"kabupaten","SULAWESI TENGGARA","KOLAKA","Dinas Tanaman Pangan dan Hortikultura","12","120"
"kabupaten","SULAWESI TENGGARA","KONAWE SELATAN","DINAS TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN KABUPATEN KONAWE SELATAN","25","289"
"kabupaten","SULAWESI TENGGARA","BOMBANA","DINAS PERTANIAN","21","152"
"kabupaten","SULAWESI TENGGARA","WAKATOBI","DINAS PERTANIAN","8","96"
"kabupaten","SULAWESI TENGGARA","KOLAKA UTARA","DINAS TANAMAN PANGAN DAN HORTIKULTURA","9","92"
"kabupaten","SULAWESI TENGGARA","BUTON UTARA","Dinas Pertanian","6","53"
"kabupaten","SULAWESI TENGGARA","KONAWE UTARA","DINAS TANAMAN PANGAN DAN PETERNAKAN KAB. KONAWE UTARA","12","76"
"kabupaten","SULAWESI TENGGARA","KOLAKA TIMUR","Dinas Tanaman Pangan dan Peternakan","11","135"
"kabupaten","SULAWESI TENGGARA","KOTA KENDARI","Dinas Pertanian Kota Kendari","9","90"
"kabupaten","SULAWESI TENGGARA","KOTA BAUBAU","Dinas Pertanian dan Ketahanan Pangan Kota Baubau","7","25"
"kabupaten","SULAWESI TENGGARA","KONAWE KEPULAUAN","DINAS PERTANIAN","7","34"
"kabupaten","SULAWESI TENGGARA","BUTON TENGAH","Dinas Pertanian","7","71"
"kabupaten","SULAWESI TENGGARA","BUTON SELATAN","Dinas Pertanian","7","67"
"kabupaten","SULAWESI TENGGARA","MUNA BARAT","DINAS PERTANIAN DAN PANGAN","11","110"
"provinsi","GORONTALO","","Dinas Pertanian Provinsi Gorontalo","76","9"
"kabupaten","GORONTALO","BOALEMO","DINAS PERTANIAN DAN KETAHANAN PANGAN KABUPATEN BOALEMO","7","168"
"kabupaten","GORONTALO","GORONTALO","Dinas Pertanian","19","363"
"kabupaten","GORONTALO","POHUWATO","Dinas Pertanian Kabupaten Pohuwato","13","181"
"kabupaten","GORONTALO","BONE BOLANGO","Dinas Ketahanan Pangan Dan Pertanian Kabupaten Bone Bolango","18","225"
"kabupaten","GORONTALO","GORONTALO UTARA","DINAS TANAMAN PANGAN, HORTIKULTURA DAN PERKEBUNAN","11","144"
"kabupaten","GORONTALO","KOTA GORONTALO","Dinas Kelautan Perikanan dan Pertanian","8","62"
"provinsi","SULAWESI BARAT","","Dinas Tanaman Pangan, Hortikultura dan Peternakan","61","8"
"kabupaten","SULAWESI BARAT","MAJENE","Dinas Pertanian, Peternakan dan Perkebunan","8","128"
"kabupaten","SULAWESI BARAT","POLEWALI MANDAR","Dinas Pertanian dan Pangan Kabupaten Polewali Mandar","16","134"
"kabupaten","SULAWESI BARAT","MAMASA","DINAS PERTANIAN KABUPATEN MAMASA","17","162"
"kabupaten","SULAWESI BARAT","MAMUJU","Dinas Tanaman Pangan, Hortikultura Dan Peternakan","10","119"
"kabupaten","SULAWESI BARAT","PASANGKAYU","DINAS PERTANIAN KABUPATEN PASANGKAYU","5","77"
"kabupaten","SULAWESI BARAT","MAMUJU TENGAH","Dinas Ketahanan Pangan dan Pertanian","5","71"
"provinsi","MALUKU","","DINAS PERTANIAN","107","29"
"kabupaten","MALUKU","KEPULAUAN TANIMBAR","DINAS PERTANIAN","7","34"
"kabupaten","MALUKU","MALUKU TENGGARA","DINAS PERTANIAN","11","35"
"kabupaten","MALUKU","MALUKU TENGAH","DINAS TANAMAN PANGAN DAN HORTIKULTURA & DINAS PERKEBUNAN DAN PETERNAKAN","18","221"
"kabupaten","MALUKU","BURU","Dinas Pertanian","8","125"
"kabupaten","MALUKU","KEPULAUAN ARU","Dinas Pertanian","10","170"
"kabupaten","MALUKU","SERAM BAGIAN BARAT","Dinas Pertanian","11","69"
"kabupaten","MALUKU","SERAM BAGIAN TIMUR","Dinas Pertanian","15","90"
"kabupaten","MALUKU","MALUKU BARAT DAYA","Dinas Pertanian dan Pangan","17","64"
"kabupaten","MALUKU","BURU SELATAN","Dinas Pertanian","5","35"
"kabupaten","MALUKU","KOTA AMBON","Dinas Pertanian dan Ketahanan Pangan Kota Ambon","2","37"
"kabupaten","MALUKU","KOTA TUAL","Dinas Pertanian","3","36"
"provinsi","MALUKU UTARA","","Dinas Pertanian Maluku Utara","100","16"
"kabupaten","MALUKU UTARA","HALMAHERA BARAT","Dinas Pertanian dan Ketahanan Pangan","9","144"
"kabupaten","MALUKU UTARA","HALMAHERA TENGAH","Dinas Pertanian","12","54"
"kabupaten","MALUKU UTARA","KEPULAUAN SULA","Dinas Pertanian","12","40"
"kabupaten","MALUKU UTARA","HALMAHERA SELATAN","Dinas Pertanian, Perkebunan dan Ketahanan Pangan","16","104"
"kabupaten","MALUKU UTARA","HALMAHERA UTARA","Dinas Pertanian Kabupaten Halmahera Utara","13","120"
"kabupaten","MALUKU UTARA","HALMAHERA TIMUR","Dinas Pertanian","10","58"
"kabupaten","MALUKU UTARA","PULAU MOROTAI","Dinas Pertanian Dan Ketahanan Pangan","6","29"
"kabupaten","MALUKU UTARA","PULAU TALIABU","Dinas Pertanian","6","14"
"kabupaten","MALUKU UTARA","KOTA TERNATE","Dinas Pertanian","8","65"
"kabupaten","MALUKU UTARA","KOTA TIDORE KEPULAUAN","Dinas Pertanian","8","128"
"provinsi","PAPUA BARAT","","Dinas Tanaman Pangan Hortikultura dan Perkebunan","66","5"
"kabupaten","PAPUA BARAT","FAKFAK","Dinas Pertanian dan Ketahanan Pangan","8","45"
"kabupaten","PAPUA BARAT","KAIMANA","Dinas Ketahanan Pangan dan Pertanian","6","41"
