parameter_kunci,jml_varian,varian,jml_baris,jml_produk,jml_satuan,satuan_terbanyak
klebsiella oxytoca,1,Klebsiella oxytoca (2),2,2,2,CFU/ml (1) | cfu/ml (1)
ktk,1,KTK (2),2,2,1,cmol(+)/kg (2)
ktk bahan,1,KTK Bahan (2),2,2,1,cmol^(+)/kg (2)
larut asam sitrat 2%,2,Larut asam sitrat 2% (1) | larut Asam Sitrat 2% (1),2,2,1,% (2)
larut dalam asam sitrat 2%,2,Larut dalam asam sitrat 2% (1) | larut dalam asam sitrat 2% (1),2,2,1,% (2)
lolos 25 mesh tyler,1,Lolos 25 Mesh Tyler (2),2,2,1,% (2)
lolos 80 mesh tyler,1,Lolos 80 Mesh Tyler (2),2,2,1,% (2)
lolos ayakan 25 mesh,2,Lolos ayakan 25 Mesh (1) | Lolos ayakan 25 mesh (1),2,2,1,% (2)
"lolos ayakan 5 us mesh, tidak lolos ayakan 10 us mesh",1,"Lolos ayakan 5 US Mesh, tidak lolos ayakan 10 US Mesh (2)",2,2,1,% (2)
lolos ayakan 80 mesh,2,Lolos ayakan 80 Mesh (1) | Lolos ayakan 80 mesh (1),2,2,1,% (2)
magnesium,1,Magnesium (2),2,2,1,% (2)
micrococcus sp,1,Micrococcus sp (2),2,2,1,CFU/ml (2)
moisture content,1,Moisture Content (2),2,2,1,% (2)
n+ p2o5 + k2o,1,N+ P2O5 + K2O (2),2,2,1,% (2)
na2cuedta,1,Na2CuEDTA (2),2,2,1,% (2)
nertalisasi (setara caco3),1,Nertalisasi (setara CaCO3) (2),2,2,1,% (2)
nitrogen (n),1,Nitrogen (N) (2),2,2,1,% (2)
p2o,1,P2O (2),2,2,1,% (2)
p2o5 larut asam sitrat 2 %,2,P2O5 Larut Asam Sitrat 2 % (1) | P2O5 larut asam sitrat 2 % (1),2,2,1,% (2)
penicillum sp,1,Penicillum sp (2),2,2,2,CFU/g (1) | cfu/ml (1)
pseudomonas mallei,1,Pseudomonas mallei (2),2,2,2,CFU/ml (1) | cfu/ml (1)
rhizopus sp,1,Rhizopus sp (2),2,2,1,CFU/ml (2)
sacharomyces sp,1,Sacharomyces sp (2),2,2,2,cfu/g (1) | cfu/ml (1)
serratia marescens,1,Serratia marescens (2),2,2,2,CFU/g (1) | CFU/ml (1)
streotomyces sp,1,Streotomyces sp (2),2,2,2,CFU/ml (1) | cfu/g (1)
streptomyces thermovulgaris,1,Streptomyces thermovulgaris (2),2,2,2,CFU/g (1) | cfu/g (1)
test,1,test (2),2,2,0,
testcobasistem,1,testcobasistem (2),2,1,0,
timbal (pb),1,Timbal (Pb) (2),2,2,1,ppm (2)
total propagul hidup,2,Total Propagul Hidup (1) | Total propagul hidup (1),2,2,2,Propagul/gram bobot kering contoh (1) | propagul/gram bobot kering contoh (1)
trichoderma polysporum,1,Trichoderma polysporum (2),2,2,2,CFU/g (1) | cfu/g (1)
trichoderma viride,1,Trichoderma viride (2),2,2,1,CFU/g (2)
"ukuran (1,00 - 3,35 mm)",1,"Ukuran (1,00 - 3,35 mm) (2)",2,2,1,% (2)
ukuran (1.00 - 3.35 mm),1,Ukuran (1.00 - 3.35 mm) (2),2,2,1,% (2)
ukuran butir - 10 + 48 mesh,1,Ukuran Butir - 10 + 48 Mesh (2),2,2,1,% (2)
ukuran butiran,1,Ukuran Butiran (2),2,2,1,% (2)
zinc (zn),1,Zinc (Zn) (2),2,2,1,% (2)
zn edta,1,Zn EDTA (2),2,2,1,% (2)
znso4.h2o,1,ZnSO4.H2O (2),2,2,1,% (2)
08okt123,1,08okt123 (1),1,1,0,
124 ppm,1,124 ppm (1),1,1,0,
15,1,15 (1),1,1,0,
500,1,500 (1),1,1,0,
^p2^o5^total,1,^P2^O5^total (1),1,1,1,% (1)
achromobacter sp,1,Achromobacter sp (1),1,1,1,CFU/ml (1)
acinetobacter oryzae,1,Acinetobacter oryzae (1),1,1,1,CFU/h (1)
actynomycetes,1,Actynomycetes (1),1,1,1,CFU/g (1)
aeromonas sp,1,Aeromonas sp (1),1,1,1,CFU/g (1)
al,1,Al (1),1,1,1,% (1)
al2o3 + f2o3,1,Al2O3 + F2O3 (1),1,1,1,% (1)
al2o3+ fe2o,1,Al2O3+ Fe2O (1),1,1,1,% (1)
alcaligenes sp,1,Alcaligenes sp (1),1,1,1,CFU/ml (1)
arsen,1,Arsen (1),1,1,1,ppm (1)
asam amino,1,Asam amino (1),1,1,1,% (1)
asam beas sebagai h3po4,1,Asam beas sebagai H3PO4 (1),1,1,1,% (1)
asam bebas,1,Asam bebas (1),1,1,1,% (1)
asam bebas ( sebagai hci),1,Asam Bebas ( sebagai HCI) (1),1,1,1,% (1)
asam bebas (sbg hcl),1,Asam bebas (sbg HCl) (1),1,1,1,% (1)
asam bebas (sebagai h3po4),1,Asam bebas (sebagai H3PO4) (1),1,1,1,% (1)
asam bebas sbg h2so4,1,Asam bebas sbg H2SO4 (1),1,1,1,% (1)
asam bebas sebagai h2po4,1,Asam bebas sebagai H2PO4 (1),1,1,1,% (1)
asam bebas sebagai hso24,1,Asam bebas sebagai HSO24 (1),1,1,1,% (1)
asam bebas sebagi h2so4,1,Asam bebas sebagi H2SO4 (1),1,1,1,% (1)
asam bebas sebgai h3po4,1,Asam bebas sebgai H3PO4 (1),1,1,1,% (1)
asam sebagai hcl,1,Asam sebagai HCl (1),1,1,1,% (1)
asan bebas sebagi h2so4,1,Asan bebas sebagi H2SO4 (1),1,1,1,% (1)
azesperium,1,azesperium (1),1,1,1,^6 (1)
azobacter sp,1,Azobacter sp (1),1,1,1,CFU/ml (1)
azospirilium sp,1,Azospirilium sp (1),1,1,1,CFU/ml (1)
azospirillium sp,1,Azospirillium sp (1),1,1,1,CFU/ml (1)
azotobacter chroococcum,1,Azotobacter chroococcum (1),1,1,1,CFU/g (1)
"azotobacter sp,",1,"Azotobacter sp, (1)",1,1,1,CFU/ml (1)
azotobacter vinelandii,1,Azotobacter vinelandii (1),1,1,1,CFU/ml (1)
b sebagai b2o3,1,B sebagai B2O3 (1),1,1,1,% (1)
b`,1,B` (1),1,1,1,% (1)
bacillus careus,1,Bacillus careus (1),1,1,1,CFU/g (1)
bacillus megathorium,1,Bacillus megathorium (1),1,1,1,CFU/ml (1)
bacillus pollymixa,1,Bacillus Pollymixa (1),1,1,1,cfu/ml (1)
bacillus polymyxa,1,Bacillus polymyxa (1),1,1,1,CFU/ml (1)
bacillus pumillus,1,Bacillus pumillus (1),1,1,1,CFU/ml (1)
bacillus safensis,1,Bacillus safensis (1),1,1,1,CFU/ml (1)
bacillus tequilensis,1,Bacillus tequilensis (1),1,1,1,CFU/g (1)
bacillus velezenzis,1,Bacillus velezenzis (1),1,1,1,CFU/g (1)
bacteria celulotic,1,Bacteria celulotic (1),1,1,1,CFU/g (1)
bagus,1,bagus (1),1,1,0,
bahan tidak larut air,1,Bahan Tidak larut Air (1),1,1,1,% (1)
bahan tidak larut dalam air,1,Bahan tidak larut dalam air (1),1,1,1,% (1)
bahan yang tidak larut dlm air,1,Bahan Yang TIdak Larut Dlm Air (1),1,1,1,% (1)
besi (fe),1,Besi (Fe) (1),1,1,1,% (1)
"besi, fe",1,"Besi, Fe (1)",1,1,1,% (1)
boron (b),1,Boron (B) (1),1,1,1,% (1)
boron oksida (b2o3),1,Boron Oksida (B2O3) (1),1,1,1,% (1)
bradyrhizobium japonica,1,Bradyrhizobium japonica (1),1,1,1,cfu/g (1)
"butir lolos ayakan 5 us mesh, tidak lolos ayakan 10 us mesh",1,"Butir lolos ayakan 5 US mesh, tidak lolos ayakan 10 US mesh (1)",1,1,1,% (1)
butiran lolos ayakan 5 mesh dan tidak lolos ayakan 10 mesh,1,Butiran lolos ayakan 5 mesh dan tidak lolos ayakan 10 mesh (1),1,1,1,% (1)
"butiran lolos ayakan 5 us mesh, tidaklolos ayakan 10 us mesh",1,"Butiran lolos ayakan 5 US Mesh, tidaklolos ayakan 10 US Mesh (1)",1,1,1,% (1)
buutiran lolos ayakan 5 us mesh tidak lolos ayakan 10 us mesh,1,Buutiran lolos ayakan 5 US Mesh tidak lolos ayakan 10 US Mesh (1),1,1,1,% (1)
c - organik,1,C - Organik (1),1,1,1,% (1)
c- organik,1,C- Organik (1),1,1,1,% (1)
c-organk,1,C-organk (1),1,1,1,% (1)
cadmium (cd),1,Cadmium (Cd) (1),1,1,1,ppm (1)
cadmiun (cd),1,Cadmiun (Cd) (1),1,1,1,ppm (1)
calsium,1,Calsium (1),1,1,1,% (1)
calsium (cao),1,Calsium (CaO) (1),1,1,1,% (1)
candida sp,1,Candida sp (1),1,1,1,CFU/g (1)
caso4.2h2o,1,CaSO4.2H2O (1),1,1,1,% (1)
cellumonas sp,1,Cellumonas sp (1),1,1,1,CFU/ml (1)
chytopaga sp,1,Chytopaga sp (1),1,1,1,CFU/ml (1)
coating mikroba,1,Coating mikroba (1),1,1,1,CFU/g (1)
copper (cu),1,Copper (Cu) (1),1,1,1,% (1)
cr,1,Cr (1),1,1,1,% (1)
cu (na2cuedta),1,Cu (Na2CuEDTA) (1),1,1,1,% (1)
cupper,1,Cupper (1),1,1,1,% (1)
cuso4.5h2o,1,CuSO4.5H2O (1),1,1,1,% (1)
cuso4.h2o,1,CuSO4.H2O (1),1,1,1,% (1)
cuso4h2o,1,CuSO4H2O (1),1,1,1,% (1)
cythophaga sp,1,Cythophaga sp (1),1,1,1,CFU/ml (1)
cytopaga sp,1,Cytopaga sp (1),1,1,1,CFU/ml (1)
daya net setara caco3,1,Daya Net setara CaCO3 (1),1,1,1,% (1)
daya netralisasi caco3,1,Daya Netralisasi CaCO3 (1),1,1,1,% (1)
e.coli,1,E.Coli (1),1,1,0,
edta cu,1,EDTA Cu (1),1,1,1,% (1)
edta fe,1,EDTA Fe (1),1,1,1,% (1)
edta zn,1,EDTA Zn (1),1,1,1,% (1)
enterobacter sacchari,1,Enterobacter sacchari (1),1,1,1,CFU/g (1)
fe (feso4.7h2o),1,Fe (FeSO4.7H2O) (1),1,1,1,% (1)
fe - tersedia,1,Fe - tersedia (1),1,1,1,ppm (1)
fe - total,1,Fe - total (1),1,1,1,ppm (1)
fe-tersdia,1,Fe-tersdia (1),1,1,1,ppm (1)
fe-terseida,1,Fe-terseida (1),1,1,1,ppm (1)
fe-toal,1,Fe-toal (1),1,1,1,ppm (1)
fe2o3,1,Fe2O3 (1),1,1,1,% (1)
fe2o3 + al2o3,1,Fe2O3 + Al2O3 (1),1,1,1,% (1)
flavobacterium sp,1,Flavobacterium sp (1),1,1,1,CFU/ml (1)
fosfor,1,Fosfor (1),1,1,1,% (1)
fosfor (p2o5),1,Fosfor (P2O5) (1),1,1,1,% (1)
gluconacetobacter diazotrophicus,1,Gluconacetobacter diazotrophicus (1),1,1,1,CFU/g (1)
h2po4,1,H2PO4 (1),1,1,1,% (1)
hasil,1,HASIL (1),1,1,0,
h₂so₄,1,H₂SO₄ (1),1,1,1,% (1)
infeksi pada akar tanaman jagung,1,Infeksi pada akar tanaman jagung (1),1,1,1,% (1)
infeksi pada akar tanaman jagung (%) dengan pewarna fuchsin,1,Infeksi pada akar tanaman Jagung (%) dengan pewarna Fuchsin (1),1,1,1,% (1)
jumlah propagul hidup (mikoriza sp.),1,Jumlah propagul hidup (Mikoriza sp.) (1),1,1,1,CFU/g (1)
k20 (dry basis),1,K20 (Dry basis) (1),1,1,1,% (1)
k2o total,1,K2O Total (1),1,1,1,% (1)
k2o- total,1,K2O- Total (1),1,1,1,% (1)
kadar,1,Kadar (1),1,1,1,% (1)
kadar ai,1,Kadar Ai (1),1,1,1,% (1)
kadar air (b/b),1,Kadar Air (b/b) (1),1,1,1,% (1)
kadar air terikat,1,Kadar Air terikat (1),1,1,1,% (1)
"kadar air0,55",1,"Kadar air0,55 (1)",1,1,1,% (1)
kadar airr,1,Kadar Airr (1),1,1,1,% (1)
kadar al2o3 dan fe2o3,1,Kadar Al2O3 dan Fe2O3 (1),1,1,1,% (1)
kadar asam bebas h3po4,1,Kadar Asam Bebas H3PO4 (1),1,1,1,% (1)
kadar asam bebas sebagai h2po4,1,Kadar asam bebas sebagai H2PO4 (1),1,1,1,% (1)
kadar asam bebas sebagai hcl,1,Kadar Asam Bebas sebagai HCL (1),1,1,1,% (1)
kadar caco3,1,Kadar CaCO3 (1),1,1,1,% (1)
kadar cao + mgo,1,Kadar CaO + MgO (1),1,1,1,% (1)
kadar fosfor (dihitung sebagai p2o5),1,Kadar fosfor (dihitung sebagai P2O5) (1),1,1,1,% (1)
kadar fosfor larut dalam air,1,Kadar fosfor larut dalam air (1),1,1,1,% (1)
kadar kalsium (sebagai cao),1,Kadar kalsium (sebagai CaO) (1),1,1,1,% (1)
kadar kloridam sebagai cl,1,Kadar kloridam sebagai Cl (1),1,1,1,% (1)
kadar magensium (mgo),1,Kadar Magensium (MgO) (1),1,1,1,% (1)
kadar magnesium (sebagai mgo),1,Kadar magnesium (sebagai MgO) (1),1,1,1,% (1)
kadar p2o5 larut air,1,Kadar P2O5 larut air (1),1,1,1,% (1)
kadar p2o5 larut dalam asam sitrat 2 %,1,Kadar P2O5 Larut dalam asam sitrat 2 % (1),1,1,1,% (1)
kadar silikat (sebagai sio2),1,Kadar silikat (sebagai SiO2) (1),1,1,1,% (1)
kadar sio2,1,Kadar SiO2 (1),1,1,1,% (1)
kadarasam bebas h3po4,1,KadarAsam bebas H3PO4 (1),1,1,1,% (1)
kadart air,1,Kadart Air (1),1,1,1,% (1)
kadmium (cd),1,Kadmium (Cd) (1),1,1,1,ppm (1)
kafar air,1,Kafar Air (1),1,1,1,% (1)
kahalusan -10 + 48 mesh,1,Kahalusan -10 + 48 Mesh (1),1,1,1,% (1)
kahalusan 8 meh,1,Kahalusan 8 Meh (1),1,1,1,% (1)
kahalusan lolos 80 mesh tyler,1,Kahalusan lolos 80 mesh Tyler (1),1,1,1,% (1)
kalium sebagai k2o,1,Kalium sebagai K2O (1),1,1,1,% (1)
"kalsium (cao)45,05 %",1,"Kalsium (CaO)45,05 % (1)",1,1,0,
kalsium cao),1,Kalsium CaO) (1),1,1,1,% (1)
kalsium carbonat (caco3),1,Kalsium Carbonat (CaCO3) (1),1,1,1,% (1)
kalsium karbonat,1,Kalsium karbonat (1),1,1,1,% (1)
kalsium(cao),1,Kalsium(CaO) (1),1,1,1,% (1)
kapasitas tukar kation,1,Kapasitas tukar kation (1),1,1,1,cmol.kg^-1 (1)
kcl,1,KCl (1),1,1,1,% (1)
kehaluasan lolos 25 mesh tyler,1,Kehaluasan lolos 25 mesh Tyler (1),1,1,1,% (1)
kehaluasan lolos 80 mesh tyler,1,Kehaluasan lolos 80 mesh Tyler (1),1,1,1,% (1)
kehalusah 25 mesh,1,Kehalusah 25 Mesh (1),1,1,1,% (1)
kehalusan,1,Kehalusan (1),1,1,1,% (1)
kehalusan ( 60 mesh),1,Kehalusan ( 60 Mesh) (1),1,1,1,% (1)
kehalusan (-10 + 48) mesh,1,Kehalusan (-10 + 48) Mesh (1),1,1,1,% (1)
kehalusan (25 mesh),1,Kehalusan (25 mesh) (1),1,1,1,% (1)
kehalusan (8 mesh),1,Kehalusan (8 mesh) (1),1,1,1,% (1)
kehalusan (80 mesh),1,Kehalusan (80 mesh) (1),1,1,1,% (1)
kehalusan -10 + 48,1,Kehalusan -10 + 48 (1),1,1,1,% (1)
kehalusan 25 mesh tyler,1,Kehalusan 25 mesh Tyler (1),1,1,1,% (1)
kehalusan 25mesh,1,Kehalusan 25Mesh (1),1,1,1,% (1)
kehalusan 325 mesh,1,Kehalusan 325 Mesh (1),1,1,1,% (1)
kehalusan lolos 25 % mesh,1,Kehalusan lolos 25 % mesh (1),1,1,1,% (1)
kehalusan lolos 25 mest,1,Kehalusan lolos 25 Mest (1),1,1,1,% (1)
kehalusan lolos 25mesh,1,Kehalusan lolos 25Mesh (1),1,1,1,% (1)
kehalusan lolos 25mesh tyler,1,Kehalusan lolos 25mesh Tyler (1),1,1,1,% (1)
kehalusan lolos 50 mesh,1,Kehalusan lolos 50 mesh (1),1,1,1,% (1)
kehalusan lolos 80 % mesh,1,Kehalusan lolos 80 % mesh (1),1,1,1,% (1)
kehalusan lolos 80 mest,1,Kehalusan lolos 80 Mest (1),1,1,1,% (1)
kehalusan lolos 80 nesh tyler,1,Kehalusan lolos 80 nesh Tyler (1),1,1,1,% (1)
kehalusan lolos 80mesh,1,Kehalusan lolos 80Mesh (1),1,1,1,% (1)
kehalusan lolos 94 mesh tyler,1,Kehalusan lolos 94 mesh Tyler (1),1,1,1,% (1)
kehalusan lolos mesh 25,1,Kehalusan lolos mesh 25 (1),1,1,1,% (1)
kehalusan lolos mesh 80,1,Kehalusan lolos mesh 80 (1),1,1,1,% (1)
kehalusan lolos mesh no. 25,1,Kehalusan lolos Mesh No. 25 (1),1,1,1,% (1)
kehalusan lolos mesh no. 80,1,Kehalusan lolos Mesh No. 80 (1),1,1,1,% (1)
kehalusan lolos saringan 25 mesh tyler,1,Kehalusan lolos saringan 25 mesh Tyler (1),1,1,1,% (1)
kehalusan lolos saringan 80 mesh tyler,1,Kehalusan lolos saringan 80 mesh Tyler (1),1,1,1,% (1)
kehalusan mesh 25 mesh tyler,1,Kehalusan Mesh 25 mesh Tyler (1),1,1,1,% (1)
kehausan 25 mesh,1,Kehausan 25 Mesh (1),1,1,1,% (1)
kehausan 60 mesh,1,Kehausan 60 Mesh (1),1,1,1,% (1)
kelahusan (-10 + 48 mesh),1,Kelahusan (-10 + 48 Mesh) (1),1,1,1,% (1)
kelarutan dalam aiir,1,Kelarutan dalam aiir (1),1,1,1,% (1)
kelarutan dalam ar,1,Kelarutan dalam ar (1),1,1,1,% (1)
kemampuan menghasilkan ekspolisakarida,1,Kemampuan menghasilkan ekspolisakarida (1),1,1,0,
kemampuan untuk menghasilkan eksopolisakarida,1,Kemampuan untuk menghasilkan Eksopolisakarida (1),1,1,0,
lactobacillius sp,1,Lactobacillius sp (1),1,1,1,CFU/g (1)
lactpbacillus sp,1,Lactpbacillus sp (1),1,1,1,CFU/ml (1)
larut dalam asam sitrat 2 %,1,Larut dalam asam sitrat 2 % (1),1,1,1,% (1)
logam berat (dihitung sebagai pb),1,Logam berat (dihitung sebagai Pb) (1),1,1,1,ppm (1)
"lolos 5 mesh, tidak lolos ayakan 10 mesh",1,"Lolos 5 mesh, tidak lolos ayakan 10 mesh (1)",1,1,1,% (1)
"lolos ayakan 5 mesh, tidak lolos ayakan lolos mesh",1,"Lolos ayakan 5 Mesh, tidak lolos ayakan lolos Mesh (1)",1,1,1,% (1)
lolos kehalusan 25 mesh,1,Lolos Kehalusan 25 Mesh (1),1,1,1,% (1)
lolos kehalusan 80 mesh,1,Lolos Kehalusan 80 Mesh (1),1,1,1,% (1)
lolos mesh 25,1,Lolos Mesh 25 (1),1,1,1,% (1)
lolos mesh 25 tyler,1,lolos mesh 25 tyler (1),1,1,1,% (1)
lolos mesh 80,1,Lolos Mesh 80 (1),1,1,1,% (1)
lysinibacillus sp,1,Lysinibacillus sp (1),1,1,1,CFU/g (1)
magnesiium (mgo),1,Magnesiium (MgO) (1),1,1,1,% (1)
magnesium(mgo),1,Magnesium(MgO) (1),1,1,1,% (1)
magnesiun (mgo),1,Magnesiun (MgO) (1),1,1,1,% (1)
malam,1,malam (1),1,1,0,
mampu hidup menyerap logam berat pada media yang diperkaya logam berat sesuai klaim,1,Mampu hidup menyerap logam berat pada media yang diperkaya logam berat sesuai klaim (1),1,1,0,
manganese (mn),1,Manganese (Mn) (1),1,1,1,% (1)
mercuri (hg),1,Mercuri (Hg) (1),1,1,1,ppm (1)
"mesh (1 - 3,55 mm)",1,"Mesh (1 - 3,55 mm) (1)",1,1,1,% (1)
metahhizium anisopliae,1,Metahhizium anisopliae (1),1,1,1,CFU/ml (1)
metarhizium anisopliae,1,Metarhizium anisopliae (1),1,1,1,CFU/ml (1)
metharizium sp,1,Metharizium sp (1),1,1,1,CFU/g (1)
"metharizium sp,",1,"Metharizium sp, (1)",1,1,1,CFU/g (1)
methylobacterium sp,1,Methylobacterium sp (1),1,1,1,CFU/g (1)
mgso4,1,MgSO4 (1),1,1,1,% (1)
mikroba aerob,1,Mikroba Aerob (1),1,1,1,CFU/g (1)
mikroba coating,1,Mikroba coating (1),1,1,0,
mn edta,1,Mn EDTA (1),1,1,1,% (1)
mo total,1,Mo total (1),1,1,1,ppm (1)
moisture,1,Moisture (1),1,1,1,% (1)
molybdenum (mo),1,Molybdenum (Mo) (1),1,1,1,% (1)
n + k2o + p2o5,1,N + K2O + P2O5 (1),1,1,1,% (1)
n + p2o5 + k2o4,1,N + P2O5 + K2O4 (1),1,1,1,% (1)
n + p2o^5 + k2o,1,N + P2O^5 + K2O (1),1,1,1,% (1)
n +p2o5 + k2o,1,N +P2O5 + K2O (1),1,1,1,% (1)
n organik,1,N Organik (1),1,1,1,% (1)
na2cu (edta),1,Na2Cu (EDTA) (1),1,1,1,% (1)
na2zn-edta,1,Na2Zn-EDTA (1),1,1,1,% (1)
na2znedta,1,Na2ZnEDTA (1),1,1,1,% (1)
natrium,1,Natrium (1),1,1,1,% (1)
natrium oksida (na2o),1,Natrium Oksida (Na2O) (1),1,1,1,% (1)
nertalisasi (setara dengan caco3),1,Nertalisasi (setara dengan CaCO3) (1),1,1,1,% (1)
netralisasi (seara caco3),1,Netralisasi (seara CaCO3) (1),1,1,1,% (1)
ni,1,Ni (1),1,1,1,% (1)
nirogen,1,Nirogen (1),1,1,1,% (1)
nitrobacter,1,Nitrobacter (1),1,1,1,CFU/g (1)
nitrogen (n) (dry basis),1,Nitrogen (N) (Dry basis) (1),1,1,1,% (1)
nitrogen total,1,Nitrogen Total (1),1,1,1,% (1)
ochrobactrum sp,1,Ochrobactrum sp (1),1,1,1,CFU/ml (1)
oksigen,1,OKSIGEN (1),1,1,0,
p larut dalam asam sitrat 2%,1,P larut dalam asam sitrat 2% (1),1,1,1,% (1)
p205 total,1,P205 Total (1),1,1,1,% (1)
p205larut dalam asam sitrat 2%,1,P205Larut dalam asam sitrat 2% (1),1,1,1,% (1)
p2o5 :arut dalam asam sitrat 2%,1,P2O5 :arut dalam asam sitrat 2% (1),1,1,1,% (1)
p2o5 asam sitrat 2%,1,P2O5 asam sitrat 2% (1),1,1,1,% (1)
p2o5 dalam asam sitrat 2%,1,P2O5 dalam asam sitrat 2% (1),1,1,1,% (1)
p2o5 larut dalam as sitrat 2%,1,P2O5 larut dalam As Sitrat 2% (1),1,1,1,% (1)
p2o5 larut dalam as.sitrat 2%,1,P2O5 larut dalam as.sitrat 2% (1),1,1,1,% (1)
p2o5 larut dalam asam air,1,P2O5 larut dalam asam air (1),1,1,1,% (1)
p2o5 larut dalam asam sirat 2%,1,P2O5 larut dalam asam sirat 2% (1),1,1,1,% (1)
p2o5 larut dalam asamsitrat 2%,1,P2O5 larut dalam asamsitrat 2% (1),1,1,1,% (1)
p2o5 larut dalan asam sitrat 2%,1,P2O5 larut dalan asam sitrat 2% (1),1,1,1,% (1)
p2o5 lolos 25 mesh,1,P2O5 Lolos 25 mesh (1),1,1,1,% (1)
p2o5 lolos 25 mesh tyler,1,P2O5 lolos 25 mesh Tyler (1),1,1,1,% (1)
p2o5 lolos 80 mesh tyler,1,P2O5 lolos 80 mesh Tyler (1),1,1,1,% (1)
p2o5 lolos dalam asam sitrat 2%,1,P2O5 lolos dalam asam sitrat 2% (1),1,1,1,% (1)
p2o5 total p2o5 larut dalam asam sitrat 2% kehalusan lolos 80 mesh kehalusan lolos 25 mesh kadar air,1,P2O5 total P2O5 larut dalam asam sitrat 2% Kehalusan lolos 80 Mesh Kehalusan lolos 25 Mesh Kadar Air (1),1,1,1,"% 10% 62% 92% 3,65% (1)"
p2o5^,1,P2O5^ (1),1,1,1,% (1)
p2o5asam sitrat 2%,1,P2O5Asam sitrat 2% (1),1,1,1,% (1)
p2o5larut air,1,P2O5Larut air (1),1,1,1,% (1)
p2o5larut asam sitrat,1,P2O5Larut asam sitrat (1),1,1,1,% (1)
p2o5larut dalam as sitrat 2%,1,P2O5larut dalam as sitrat 2% (1),1,1,1,% (1)
p2o5larut dalam larut asam sitrat 2%,1,P2O5Larut dalam larut asam sitrat 2% (1),1,1,1,% (1)
p2o5larut dalam sitrat 2%,1,P2O5larut dalam sitrat 2% (1),1,1,1,% (1)
p2o5larut dalm air,1,P2O5Larut dalm air (1),1,1,1,% (1)
p2o5lolos 80 mesh,1,P2O5Lolos 80 mesh (1),1,1,1,% (1)
peanibacillus sp,1,Peanibacillus sp (1),1,1,1,CFU/g (1)
phosphate,1,Phosphate (1),1,1,1,% (1)
poenibacillus polymyxa,1,Poenibacillus polymyxa (1),1,1,1,CFU/g (1)
posfat,1,Posfat (1),1,1,1,% (1)
pseudomonas aeroginosa,1,Pseudomonas aeroginosa (1),1,1,1,CFU/ml (1)
pseudomonas aeruginosa,1,Pseudomonas aeruginosa (1),1,1,1,CFU/g (1)
pseudomonas cepacia,1,Pseudomonas cepacia (1),1,1,1,CFU/g (1)
pseudomonas florescence,1,Pseudomonas florescence (1),1,1,1,CFU/g (1)
pseudomonas fluorescens sp,1,Pseudomonas fluorescens sp (1),1,1,1,cfu/ml (1)
pseudomonas putida,1,Pseudomonas putida (1),1,1,1,CFU/ml (1)
salmonella sp,1,Salmonella sp (1),1,1,0,
seng (zn),1,Seng (Zn) (1),1,1,1,% (1)
si,1,Si (1),1,1,1,% (1)
siikat (sio2),1,Siikat (SiO2) (1),1,1,1,% (1)
silica (sio2),1,Silica (SiO2) (1),1,1,1,% (1)
sio,1,SiO (1),1,1,1,% (1)
sio3,1,SiO3 (1),1,1,1,% (1)
"size 1.00 - 3,3.35 mm",1,"size 1.00 - 3,3.35 mm (1)",1,1,1,% (1)
"size 2,00 - 4,75 mm",1,"Size 2,00 - 4,75 mm (1)",1,1,1,% (1)
"size test 2,8 - 3,2 mm",1,"size test 2,8 - 3,2 mm (1)",1,1,1,% (1)
so4^-,1,SO4^- (1),1,1,0,
stenotropomonas sp,1,Stenotropomonas sp (1),1,1,1,CFU/ml (1)
streptococcus sp,1,Streptococcus sp (1),1,1,1,CFU/ml (1)
streptomuces sp,1,Streptomuces sp (1),1,1,1,CFU/ml (1)
streptomyces niger,1,Streptomyces niger (1),1,1,1,CFU/g (1)
streptomyces pseudogrisedus,1,Streptomyces pseudogrisedus (1),1,1,1,CFU/g (1)
streptomyces tumescence,1,Streptomyces tumescence (1),1,1,1,CFU/ml (1)
sulfat (so4),1,Sulfat (SO4) (1),1,1,1,% (1)
sulfur,1,Sulfur (1),1,1,1,% (1)
sulphur,1,Sulphur (1),1,1,1,% (1)
te (b2o3),1,TE (B2O3) (1),1,1,1,% (1)
"te (cu, zn, b)",1,"TE (Cu, Zn, B) (1)",1,1,1,% (1)
"te (fe, cu, zn)",1,"TE (Fe, Cu, Zn) (1)",1,1,1,% (1)
"te (zn, mn, cuo)",1,"TE (Zn, Mn, CuO) (1)",1,1,1,% (1)
test1,1,test1 (1),1,1,0,
test12334,1,test12334 (1),1,1,0,
testdenof123,1,testdenof123 (1),1,1,1,%qq (1)
testssl,1,testssl (1),1,1,0,
total ca sebagai cao,1,Total Ca Sebagai CaO (1),1,1,1,% (1)
total k2o,1,Total K2O (1),1,1,1,% (1)
total karbon,1,Total karbon (1),1,1,1,% (1)
total karbon grade b,1,Total karbon grade B (1),1,1,1,% (1)
total n,1,Total N (1),1,1,1,% (1)
total p205 (dry basis),1,Total P205 (Dry basis) (1),1,1,1,% (1)
total p2o5,1,Total P2O5 (1),1,1,1,% (1)
trichiderma sp,1,Trichiderma sp (1),1,1,1,CFU/g (1)
trichoderma,1,Trichoderma (1),1,1,1,CFU/g (1)
trichoderma hamatum,1,Trichoderma hamatum (1),1,1,1,CFU/g (1)
