principal,total_pupuk,Hara Majemuk,Organik & Humat,Hayati,Hara Tunggal/An-organik,Pembenah Tanah/Amelioran,Makro-Mikro Campuran,Tidak Tercantum
DEWI SRI RAMA I,3,0,0,0,0,3,0,0
PT. DWI AGRO HAYATI,3,0,3,0,0,0,0,0
AGRO LESTARI JAYA,3,1,1,0,0,0,0,1
SIGMA KARYA BUANA,3,3,0,0,0,0,0,0
PT AGRI MULTI LESTARI,3,0,2,1,0,0,0,0
ARTHA CHRISTA,3,1,0,0,2,0,0,0
AGROSID MANUNGGAL SENTOSA,3,0,2,1,0,0,0,0
CV. Varia Chemika,3,3,0,0,0,0,0,0
SUKINDO SUPRASEMESTA,3,3,0,0,0,0,0,0
PT. GOAUTAMA SINARBATUAH,3,0,0,0,2,0,0,1
DELTA GREEN ZONE,3,1,0,1,0,1,0,0
AGRO FARMERY INDONESIA,3,1,0,0,1,0,1,0
PRATAMA AGRO SENTOSA,3,0,0,2,0,1,0,0
JOYO MAKMUR SUKSES,3,0,0,1,0,2,0,0
DUNIA KIMIA JAYA,3,0,0,0,2,0,0,1
ARTHA BUANA,3,0,3,0,0,0,0,0
"""CAHYA SEJATI""",3,0,1,2,0,0,0,0
CIPTA AGRO NUSANTARA,3,3,0,0,0,0,0,0
GOLDEN FARM INDONESIA,3,1,1,0,0,0,0,1
PANEN AGRO NIAGA,3,1,0,1,0,0,1,0
PERMANA AGRO LESTARI,3,2,0,0,1,0,0,0
BURSATANI GLOBAL NIAGA,3,0,3,0,0,0,0,0
NELAYAN INDONESIA JAYA,3,0,1,2,0,0,0,0
MABARFEED INDONESIA,3,0,3,0,0,0,0,0
RAHMA JAYA BERSAMA,3,3,0,0,0,0,0,0
BIO SARANA INDONESIA,3,0,3,0,0,0,0,0
SAF AGRO JAYA,3,1,0,0,0,0,0,2
JENGGONG MAGTASIDA GRUP,3,2,0,0,1,0,0,0
BIMAGRO INDONESIA,3,1,1,1,0,0,0,0
BUMI SUBUR RIZQUNA,3,2,0,0,1,0,0,0
CIPTA SARANA INDOTANI,3,2,1,0,0,0,0,0
MAHITALA MIRA INDONESIA,2,0,1,1,0,0,0,0
BASF DISTRIBUTION INDONESIA,2,0,0,0,2,0,0,0
MANIS SPORTIF,2,0,2,0,0,0,0,0
KURNIA AGRO,2,2,0,0,0,0,0,0
SAWIT CENTER INDONESIA,2,0,1,1,0,0,0,0
SELLA SANGIANG ASRI,2,0,2,0,0,0,0,0
PT.Alas Metuah Perdana,2,0,1,0,0,0,0,1
BIO NUSANTARA ALAMI,2,0,1,1,0,0,0,0
ROJO KOYO MANUNGGAL GROUP,2,0,0,0,0,0,0,2
BIOTECH FERTILIZER INDONESIA,2,0,1,1,0,0,0,0
TUNAS JAVA MANDIRI,2,1,0,0,0,0,0,1
PANDAWA AGRI INDONESIA,2,0,0,0,0,1,0,1
RAJA BENUA MAS,2,2,0,0,0,0,0,0
PT. Pakar Pupuk Nusantara,2,0,0,0,0,0,0,2
BIOTIS AGRINDO,2,1,0,0,0,0,0,1
BENE PYTO TANI JAYA,2,0,0,0,1,0,0,1
PT. Tani Karya Makmur Sejahtera,2,2,0,0,0,0,0,0
BERKAT MANNA MAJU,2,0,0,0,0,0,0,2
PRIMA AGRO LANCAR,2,0,0,0,0,0,0,2
CV. SUMBER MULYO SEJAHTERA,2,0,0,0,0,1,0,1
TANI MAS SUBUR,2,0,1,0,0,1,0,0
TIGA MUARA EMAS MAKMUR,2,0,2,0,0,0,0,0
DEWARI AGRO SAKTI,2,0,0,0,1,0,1,0
CV. Intan Permata Dunia,2,0,0,0,0,2,0,0
PT.NOVACHEM ADAMANTINA,2,0,0,0,2,0,0,0
SURYA DUTA GREENINDO,2,0,2,0,0,0,0,0
RAYON UTAMA KHATULISTIWA,2,0,0,0,0,0,0,2
GLOBALINDO INTI PERSADA,2,0,1,1,0,0,0,0
KIRANI AGRINUSANTARA,2,2,0,0,0,0,0,0
WONDERINDO PHARMATAMA,2,0,0,0,0,0,0,2
DWI KENCANA ABADI,2,0,0,0,0,0,0,2
SUMATERA MINERAL SEJAHTERA,2,0,0,0,0,2,0,0
ADITYA MANDIRI UTAMA,2,0,1,0,0,1,0,0
INTER AGRO INDONESIA,2,0,2,0,0,0,0,0
PT. Tri Mukti Nusantara Indonesia,2,0,1,1,0,0,0,0
BERKAH TANI LESTARI,2,0,2,0,0,0,0,0
PT. SINAR PERSADA JAYA,2,1,0,0,1,0,0,0
WIRA TANI MAKMUR,2,0,2,0,0,0,0,0
AGRI KEMIA NATURA,2,0,1,0,0,0,0,1
GREENTECH INTERNATIONAL,2,0,0,2,0,0,0,0
TRITAMA WIRAKARSA,2,0,1,0,0,0,0,1
AGRO SANTANINDO,2,0,2,0,0,0,0,0
SAGARA PRIMA PERKASA,2,0,1,1,0,0,0,0
ELEVASI AGRI INDONESIA,2,0,2,0,0,0,0,0
PT. VERONA MULTIKIMIA ABADI,2,0,0,0,0,0,0,2
AGUNG PRATAMA INDONESIA,2,1,0,0,0,0,0,1
PT. Balohan Jaya Utama,2,0,0,0,0,0,0,2
MULTIKIMIA AGRO SEJAHTERA,2,0,2,0,0,0,0,0
MUSTIKA AGRO TANI,2,0,0,0,0,2,0,0
BAHAGIA ALAM SEJATI,2,1,0,0,1,0,0,0
DIAMOND INTEREST INTERNATIONAL,2,0,2,0,0,0,0,0
SUMBER AGUNG PUTRA JAYA,2,2,0,0,0,0,0,0
PUNDI NUSANTARA RAYA,2,0,2,0,0,0,0,0
MESUNJA PRIMA TECH,2,0,0,0,0,0,0,2
PT. REJOSO MANIS INDO,2,2,0,0,0,0,0,0
JAYA SRI BERSAMA,2,0,0,0,0,1,0,1
GEMOLONG SUCI,2,2,0,0,0,0,0,0
SAHABAT TANI MANDIRI,2,0,0,0,1,0,0,1
KHARISMA MUTIARA AGRO,2,2,0,0,0,0,0,0
SRI REJEKI FERTILIZER,2,2,0,0,0,0,0,0
PUTRA NUSA,2,2,0,0,0,0,0,0
KARFOS,2,0,0,0,2,0,0,0
CV. SAMI JAYA AGRO,2,1,0,0,0,1,0,0
ANUGRAH CEMERLANG INDONESIA,2,0,1,1,0,0,0,0
GRAHA BIOFARM SOLUSI,2,0,0,0,0,0,0,2
CV. BUMI AGRO FERTILIZER,2,0,0,0,1,1,0,0
BIO AGRO REVOLUTIONARY UTILITY,2,0,0,0,0,0,0,2
SUMANS MANDIRI SEJAHTERA,2,2,0,0,0,0,0,0
MEDIA BUANA PERSADA,2,0,2,0,0,0,0,0
CV. Tani Subur Perkasa,2,0,0,0,0,2,0,0
CV. PRIMA TANI MANDIRI,2,0,0,0,0,2,0,0
CIBADAK AGRI,2,0,0,0,1,0,0,1
PENTA AGROCHEM MULIA,2,0,1,1,0,0,0,0
DASTRA KARYA SEMESTA,2,2,0,0,0,0,0,0
BERJAYA INTI PERKASA,2,0,0,0,0,2,0,0
CV. SAHABAT TANI MANDIRI,2,0,1,0,0,0,0,1
NUSANTARA SEJAHTERA MEDICA,2,0,1,1,0,0,0,0
CV. PARI MAS,2,2,0,0,0,0,0,0
CENTA BRASINDO ABADI CHEMICAL INDUSTRY,2,0,0,2,0,0,0,0
SUAKABUMI,2,0,0,2,0,0,0,0
PT TRIASINDO ROYAL AGRO,2,0,2,0,0,0,0,0
PT. Inovasi Natural Bio Organik,2,0,2,0,0,0,0,0
REZEKI UTAMA JAYA,2,0,1,1,0,0,0,0
PT. Menara Dwikarya Prima,2,1,1,0,0,0,0,0
ADAMAS MAKMUR SEJAHTERA,2,0,0,0,0,0,0,2
WINDU KENCANA MULYA,2,0,1,1,0,0,0,0
AMANAH JAYA TANI,2,0,0,0,0,2,0,0
CV. BRISH WATE,2,0,2,0,0,0,0,0
CV. SABAR BERSAUDARA,2,0,1,0,0,1,0,0
PT ARIGOLD YOOHA CORP,2,0,0,0,0,0,0,2
GADASAKTI AGRITEK PRATAMA,2,0,1,0,0,0,1,0
PT.SUBUR ALAM SEJAHTERA,2,0,0,0,0,2,0,0
BUMI SUBUR KHATULISTIWA,2,1,0,0,1,0,0,0
BUMI PARIGI,2,0,0,0,0,1,0,1
GAUDY BARCA PUTRA,2,2,0,0,0,0,0,0
SURYA NUSANTARA SEJATI,2,0,2,0,0,0,0,0
AGRO JAYA OKTAVIANT,2,1,0,0,0,0,0,1
CV. Randu Aji,2,0,0,0,0,0,0,2
TRIDI AGENG GEMILANG,2,0,0,2,0,0,0,0
HASYA JAYA SHAFADILA,2,1,0,0,1,0,0,0
CV REZKI UTAMA MANDIRI,2,0,0,0,0,2,0,0
PESANGGEM MITRA ABADI,2,0,0,2,0,0,0,0
INDONESIA GREEN INNOVATION,2,0,0,2,0,0,0,0
SETIA USAHA TANI MANDIRI,2,0,2,0,0,0,0,0
AGRO LESTARI MAKMUR NUSANTARA,2,0,1,1,0,0,0,0
LUMBUNG AGRO MAKMUR,2,0,1,0,0,0,0,1
GOLDEN SUMMIT JAYA,2,2,0,0,0,0,0,0
MAHESA PANTURA GRESIK,2,1,0,0,0,0,0,1
PT. AGRO NIAGA GLOBALINDO,2,0,0,0,0,2,0,0
BIOMINO INDONESIA PERSADA,2,0,2,0,0,0,0,0
AWM ELITE INTERNATIONAL,2,0,2,0,0,0,0,0
PRIMA MULIA ABADI,2,1,0,0,0,0,0,1
WISH INDONESIA,2,0,0,2,0,0,0,0
DIRA LIMINDO PUTRA,2,0,1,0,0,1,0,0
BARU INDONESIA,2,0,0,0,2,0,0,0
JOS AGRO MANDIRI,2,1,0,0,0,0,1,0
SUMBER REJEKI,2,1,0,0,1,0,0,0
PT. Tranquerah Nusantara Cerah,2,2,0,0,0,0,0,0
AGRO BIO MAHLIGAI,2,0,0,2,0,0,0,0
ANUGERAH DOLOMIT INDONESIA,2,0,0,0,0,2,0,0
SAMUDERA ATLANTIK JAYA ABADI,2,0,1,1,0,0,0,0
SUKSES ABADI TANI INDONESIA,2,0,1,1,0,0,0,0
PT. FERTA INDONESIA PERSADA,2,1,0,0,1,0,0,0
CENTRA BIOTECH INDONESIA,2,0,0,2,0,0,0,0
MANUVERE EGLORY CHEMAGRI,2,2,0,0,0,0,0,0
EKARAYA,2,0,2,0,0,0,0,0
SOLUSI TANI INDONESIA,2,0,0,0,0,0,0,2
FERTINDO AGRONUSA PERSADA,2,1,0,0,1,0,0,0
CV. Pilar Fasa Mandiri,2,0,0,0,0,0,0,2
ESA DISTRIBUSI NUSANTARA,2,0,1,1,0,0,0,0
CINDE LARAS,2,0,0,0,0,0,0,2
JAVA KARLOS INDONESIA,2,1,1,0,0,0,0,0
SAFE CHEMICAL INDONESIA,2,1,1,0,0,0,0,0
PT. Satya Agrindo Perkasa,2,1,1,0,0,0,0,0
PRIMA AGRO ORGANIC,2,0,2,0,0,0,0,0
EKA TIMUR RAYA,2,0,2,0,0,0,0,0
PT.PRATAMA SUBUR AGRITAMA,2,0,2,0,0,0,0,0
GRHA FERRY INDUSTRI,2,0,0,0,0,2,0,0
SIDENRENG AGRO INNO TECH,2,0,0,2,0,0,0,0
YIH SHENNINDO MAKMUR JAYA,2,0,2,0,0,0,0,0
CV. Bumi Agro Indonesia,2,0,0,0,0,0,0,2
AGRO TANI MAJU SEJAHTERA,2,0,1,1,0,0,0,0
BORNEO INTECH,2,0,2,0,0,0,0,0
KHANSA CITRA BUANA,2,0,1,1,0,0,0,0
AGRI MAKMUR MEGA PERKASA INDO,2,2,0,0,0,0,0,0
DHARMA GUNA,2,0,2,0,0,0,0,0
GRESIK NUSANTARA FERTILIZER,2,0,0,0,0,2,0,0
PT SATYA PADMA AGRISOL,2,0,0,2,0,0,0,0
CV. Sinar Sejahtera,2,0,0,0,0,0,0,2
PT.MITRA UTAMA MAKMUR,2,0,0,0,1,0,0,1
CV SURYA CITRA PERKASA,2,0,0,0,0,2,0,0
BENIH BERKAH BERSERI,2,1,0,0,0,0,0,1
WIBAWA MUKTI,2,0,1,1,0,0,0,0
MITRA TANI GROUP INDONESIA,2,1,0,0,0,1,0,0
MEGARHIZO EGA PERSADA,2,1,1,0,0,0,0,0
MEGAH AGRI MEDIA BAROKAH,2,0,1,0,0,0,0,1
GREENTECH INTERNATIONAL,2,0,0,2,0,0,0,0
CV. Bambu Emas,2,2,0,0,0,0,0,0
CV. PUPUK AGRI MANDIRI,2,0,1,0,0,1,0,0
BEKTI JOYO SAMPURNO,2,0,2,0,0,0,0,0
AGRO GEMILANG INDONESIA,2,0,1,1,0,0,0,0
BIO KONVERSI INDONESIA,2,0,0,2,0,0,0,0
AZELIS INDONESIA DISTRIBUSI,2,0,0,1,0,0,0,1
MULTI AGRINDO NUSANTARA,2,0,2,0,0,0,0,0
GUANO BERKAH SEJAHTERA,2,0,0,1,0,1,0,0
UTAMA KARYA TANI,2,0,2,0,0,0,0,0
MENTHOBI HIJAU LESTARI,2,0,2,0,0,0,0,0
TECHNER INDO RAYA,2,0,2,0,0,0,0,0
HUMAN LIFE INDONESIA,2,1,1,0,0,0,0,0
HIMALAYA AGRO INVESTAMA,2,0,1,0,0,1,0,0
NAKULA AGRI JAYA,2,0,0,0,1,0,0,1
DEKA AGRO PRODUCT,2,0,0,0,0,1,0,1
ANUGERAH DOLOMIT LESTARI,2,0,0,0,0,2,0,0
MARZUQ,2,1,0,0,0,1,0,0
PT.BUMI PERKASA AGRINDO,2,0,2,0,0,0,0,0
GRAHA AGRITECH PRIMA,2,1,0,0,0,0,0,1
GREENTRACK TECHNOLOGY INDONESIA,2,0,0,2,0,0,0,0
MERDEKA BAHARI INDONESIA,2,0,1,1,0,0,0,0
INOVASI FERTILIZER GROWPLANT,2,2,0,0,0,0,0,0
ANSELL AGRO INDONESIA,2,0,2,0,0,0,0,0
AGAPE SINAR NUSANTARA,2,1,0,0,0,0,0,1
TIGA DARA JAYA,2,0,2,0,0,0,0,0
INTER ALL,2,1,1,0,0,0,0,0
PILAR LIMA,2,0,1,1,0,0,0,0
MAKRO CHEMINDO,2,0,0,0,0,0,0,2
RILIS,2,2,0,0,0,0,0,0
PT. MITRA CHEMICAL WISESA,2,0,0,0,2,0,0,0
MAMORA MARTUA JAYA,2,1,1,0,0,0,0,0
"Tiara Kurnia, PT",2,0,2,0,0,0,0,0
TANATANI,2,0,1,1,0,0,0,0
KANANITORA,2,1,1,0,0,0,0,0
CV. GHANDI PUTRA,2,0,2,0,0,0,0,0
PT.MYCO AGRO LESTARI,2,0,0,2,0,0,0,0
PT. SEMESTA JAYA ABADI,2,0,0,0,1,0,0,1
PT. BIOGREEN AGRO NUSA,2,0,1,1,0,0,0,0
BUMI AGRO FERTILIZER,2,2,0,0,0,0,0,0
PROSPER MEGA NUSANTARA,2,2,0,0,0,0,0,0
CV. AGRO MITRA BERJAYA,2,2,0,0,0,0,0,0
HABIBI PUTRA TANI,2,1,1,0,0,0,0,0
PT. INDOGAL AGRO TRADING,2,1,0,0,0,0,0,1
CV. BAROKAH ZA,2,0,0,0,0,2,0,0
PT. Catur HIdayah Lestari,2,0,0,0,0,2,0,0
EMPAT LIMA NUSWANTORO,2,1,0,0,0,1,0,0
DHARMA KARTAPURA,2,0,0,0,0,2,0,0
GRAHA AGRO,2,0,2,0,0,0,0,0
ALAM MANFAAT BERKAH,2,0,0,0,0,2,0,0
PT. Sarana Agro Panata,2,0,1,0,0,0,0,1
JAWA AGRINDO INTERNASIONAL,2,2,0,0,0,0,0,0
BINTANG MARGOMULYA ORGANIK,2,0,2,0,0,0,0,0
CV.BUNGA TANI,2,0,0,0,0,0,0,2
BIO KONVERSI INDONESIA,2,0,0,2,0,0,0,0
PETROKIMIA KEBOMAS GRESIK,2,2,0,0,0,0,0,0
LINTANG BORNEO MANDIRI INDONESIA,2,2,0,0,0,0,0,0
KUTAI AGROLESTARI MAKMUR,2,0,1,0,0,1,0,0
PUTRA KIMIA GRESIK,2,0,0,0,0,2,0,0
PT. Bio Takemi Global,2,0,2,0,0,0,0,0
BAYER INDONESIA,2,2,0,0,0,0,0,0
AGRO MARITIM NUSANTARA,2,0,2,0,0,0,0,0
SURYA NUSANTARA SEJATI,2,0,0,2,0,0,0,0
NUSANTARA SURYA BENIH,2,0,0,0,0,0,0,2
EKO SUNGKONO,2,0,0,0,0,1,0,1
CV ALAM MAKMUR TANI AGRO,2,1,1,0,0,0,0,0
AGRONIKO NUSANTARA,2,0,1,1,0,0,0,0
PUTRA BARAGE RAYA,2,0,0,0,0,0,0,2
PT. BINTANG CHEMICAL ABADI,2,1,1,0,0,0,0,0
JAKE AGRO JAYA,2,0,0,0,0,0,0,2
CV. CENTRA AGRINUSA,2,1,0,0,0,1,0,0
UTAMA KARYA TANI,2,0,2,0,0,0,0,0
BIO CYCLE INDO,2,0,1,1,0,0,0,0
PT Mycotech Agro Asia,2,0,0,1,0,0,0,1
KKI NUSANTARA SUKSES,2,0,1,1,0,0,0,0
AGRI JAYA MANGGALA,2,0,0,0,0,0,0,2
PT. TIMUR ALAM RAYA,2,0,1,0,0,1,0,0
CV. Rachma Farm Sejahtera,2,0,1,0,0,0,0,1
TRI MITRA AGRO UTAMA,2,0,2,0,0,0,0,0
HANEARL SCIENCE INDONESIA,2,1,0,0,0,0,0,1
MEREK INDAH LESTARI,2,0,2,0,0,0,0,0
SEHAT CEMERLANG SEJAHTERA,2,1,0,0,0,1,0,0
CV Pandu Pratama Karya,2,0,2,0,0,0,0,0
SUMBER AGRO PERKASA,2,1,0,0,0,0,0,1
ALISHAN NUSA INDAH,2,0,1,1,0,0,0,0
PRIMA AGRO LESTARI,2,0,1,0,0,0,0,1
PUPUT TANI MANDIRI,2,2,0,0,0,0,0,0
MITRA SUKSES AGRINDO,2,0,1,1,0,0,0,0
BAKAPINDO,2,0,0,0,0,2,0,0
MULYO TANI MAKMUR,2,0,0,0,0,0,0,2
PT. SURYA PRATAMA ALAM,2,0,2,0,0,0,0,0
SONGGOLANGIT PERSADA,2,0,1,1,0,0,0,0
SARI MAHAPHALA INDONESIA,2,0,2,0,0,0,0,0
UD. Mitra Merdeka Tani,2,0,0,0,0,0,0,2
INDOSOL MAKMUR,2,1,0,0,0,1,0,0
PT. Saribumi Dewatalestari,2,2,0,0,0,0,0,0
SHINAMJAYA ABADI,2,0,0,0,0,2,0,0
KRISNA CAKRA CYRILLA,2,0,0,0,2,0,0,0
AGROCHEM MEGA GLOBALINDO,2,2,0,0,0,0,0,0
BIO AGRITECH NUSANTARA,2,0,2,0,0,0,0,0
JAWA AGRINDO INTERNASIONAL,2,2,0,0,0,0,0,0
SATRIA JAYA,2,0,2,0,0,0,0,0
NUSA BERKAT ALAM,2,0,1,1,0,0,0,0
KARUNIA ROTORINDO TANI,2,0,1,1,0,0,0,0
GEMA MITRA ANDALAN,2,1,0,1,0,0,0,0
HUSNA AGRO PERKASA,2,0,0,0,0,0,0,2
ANEKA NUTRISI GLOBAL INDONESIA,2,0,1,1,0,0,0,0
LOH JINAWI AKSHAYA,2,2,0,0,0,0,0,0
PT ISARU TEKNOLOGI NUSANTARA,2,0,2,0,0,0,0,0
CV. BUMI AGRO MANDIRI,2,0,0,0,0,0,0,2
META JAYA,2,0,2,0,0,0,0,0
TRUBUS MITRA SWADAYA,2,0,1,1,0,0,0,0
SEMERU 23 GROUP,2,2,0,0,0,0,0,0
PT. Soko Tani Sejagad,2,0,1,1,0,0,0,0
PT. AGROMAX ALAMI SUKSES,2,0,0,2,0,0,0,0
SARANA UTAMA LESTARI ALAM,2,0,2,0,0,0,0,0
CV. Casa Farm Hidroponik,2,0,0,0,0,0,0,2
AGRO BEN INDONESIA,2,0,2,0,0,0,0,0
BUKIT RAYA,2,0,0,0,0,2,0,0
MERPORIZAD BERKAH ABADI,2,0,0,2,0,0,0,0
RESTU MANDIRI INDONESIA,2,0,0,0,0,1,0,1
BELIRANG KALISARI,2,0,0,0,0,0,0,2
CV AGRO PETANI MAJU,2,0,0,0,0,2,0,0
KARUNIA PERMATA UTAMA,2,1,0,0,0,0,0,1
PT Bumi Indo Raharja,2,2,0,0,0,0,0,0
Koperasi Puspa Kencana,2,0,1,0,0,0,0,1
PT. Hasya Jaya Shafadila,2,1,0,0,0,0,0,1
HSP CITRA GLOBAL,2,0,0,0,0,2,0,0
SUMBER UTAMA TANI,1,0,0,0,0,1,0,0
DAMAI SINERGI NUSANTARA,1,0,1,0,0,0,0,0
HATTARA CITRA ARGO,1,0,0,0,0,0,1,0
SAMAWA AGRO PERSADA,1,0,0,0,0,0,1,0
STELLAR AGRI INDONESIA,1,0,1,0,0,0,0,0
SAWONGGALING NUSANTARA,1,0,0,0,0,1,0,0
CV. SURYA PETANI,1,0,0,0,0,1,0,0
FAJAR RIZQY TANI,1,0,0,1,0,0,0,0
GEMILANG BERKAH USAHA,1,0,0,0,0,0,0,1
PUTRA SHB SEJAHTERA,1,0,0,0,0,1,0,0
BERKATINDO NUSANTARA BERSINAR,1,0,0,1,0,0,0,0
CV.KWADRAN JAYA MANDIRI,1,1,0,0,0,0,0,0
PT. Sitosu Agro Cemerlang,1,0,0,1,0,0,0,0
BENIH ROMAN AGRO,1,0,0,0,0,0,0,1
CV. SAKINA AGRO INDUSTRI,1,0,1,0,0,0,0,0
PT.AGRITEK SUKSES INDONESIA,1,0,0,1,0,0,0,0
BUMI MAKMUR WIDYADHANA,1,0,0,0,0,1,0,0
RATAMA ELON PERKASA,1,1,0,0,0,0,0,0
HIDUP TUMBUH BERJAYA,1,0,0,1,0,0,0,0
ULIE HOPE SO,1,0,1,0,0,0,0,0
PT.MANDIRI DASAR UTAMA,1,1,0,0,0,0,0,0
BIOTEK AGRO NUSANTARA,1,0,0,1,0,0,0,0
PATIH GAJAHMADA,1,0,0,1,0,0,0,0
ASTINA MEGAH ABADI,1,0,1,0,0,0,0,0
ANAYA GLOBAL INDONESIA,1,0,0,0,1,0,0,0
SINAR ADHIKARI ARYASATYA,1,0,1,0,0,0,0,0
SITOSU AGRO CEMERLANG,1,0,1,0,0,0,0,0
BERKAH ALAM NUSANTARA FERTILIZER,1,0,0,0,0,1,0,0
JANTHO MAJU TANI,1,1,0,0,0,0,0,0
ORGANIK KARYA INDONESIA,1,0,0,0,0,1,0,0
HARMONI INCORPORATION,1,0,1,0,0,0,0,0
POSCO INTERNATIONAL INDONESIA,1,1,0,0,0,0,0,0
TOGA CIPTA FLORA,1,0,1,0,0,0,0,0
CV. DARMAPURI AGRO SEMESTA,1,0,1,0,0,0,0,0
CV. Agroxplore Indonesia,1,0,0,0,0,0,0,1
WILDO NATURAL INDONESIA,1,0,1,0,0,0,0,0
RIZKY AGRO MAKMUR,1,1,0,0,0,0,0,0
MESS JAYA INDONESIA,1,0,0,0,1,0,0,0
BIOCARE INDONESIA LANGGENG,1,0,0,0,0,0,0,1
JENGGONG MULYA JAYA SENTOSA,1,0,0,0,0,1,0,0
PANEN INTI NUSANTARA,1,0,1,0,0,0,0,0
GUNUNG MAS MAHRAJA GURAH,1,0,0,0,0,0,0,1
SINERGI CATALIS INDONESIA,1,0,1,0,0,0,0,0
SOIL AGRO SOLUTION,1,1,0,0,0,0,0,0
PELITA SAWIT NUSANTARA,1,0,1,0,0,0,0,0
TANAHMERAH BERKAT BESTARI,1,0,0,1,0,0,0,0
JAL SANI,1,0,0,1,0,0,0,0
MANDIRI SAPROTAN JAYA,1,0,0,1,0,0,0,0
MINARET CROWN ENERGY INTERNATIONAL,1,0,0,0,0,0,0,1
BULAN BINTANG JAYA,1,1,0,0,0,0,0,0
COKRO JOYO MITRA TANI,1,0,0,0,1,0,0,0
PT. Barokah Pinilih Agrotama,1,0,0,0,0,0,0,1
FITRIINDO LITE,1,0,0,0,0,1,0,0
SUPRANUSA INDOGITA,1,0,0,0,1,0,0,0
JAVANICA AGROSCIENCE INDONESIA,1,1,0,0,0,0,0,0
KAYA ALAM INDUSTRI,1,0,1,0,0,0,0,0
PRIMA PANCA AGRO,1,0,1,0,0,0,0,0
PUPUK INDONESIA NIAGA,1,0,0,0,1,0,0,0
PUTRA KEMBAR BINJAI,1,1,0,0,0,0,0,0
DANGIANG SRI,1,0,0,0,0,1,0,0
PT HIJAU BUMI INDONESIA,1,0,1,0,0,0,0,0
PABRIK GULA RAJAWALI II,1,0,1,0,0,0,0,0
RIZQI SEMESTA,1,0,0,1,0,0,0,0
MAYANGKARA INDO TANAM,1,0,0,0,0,0,1,0
CAHAYA AGROLEV KENCANA,1,1,0,0,0,0,0,0
MUTU AGROBIOCHEM NUSANTARA,1,0,0,1,0,0,0,0
GAHENDRA ABADI JAYA,1,0,1,0,0,0,0,0
PEKEBUN SWADAYA KELAPA SAWIT LABUHANBATU,1,0,1,0,0,0,0,0
TAKA SARANA TEKNO,1,0,0,0,0,1,0,0
BIO AGRO LESTARI INDONESIA,1,0,0,1,0,0,0,0
MUTIARA BENIH NUSANTARA,1,0,1,0,0,0,0,0
PETRO BUMI HIJAU GRESIK,1,1,0,0,0,0,0,0
BARDLIN PRAWARA LOKA,1,0,1,0,0,0,0,0
TATA TANI INDONESIA,1,0,0,1,0,0,0,0
MAHAMERU ASTANA SRIYA,1,1,0,0,0,0,0,0
BERKAH AUTO SUKSES SEJAHTERA,1,0,1,0,0,0,0,0
VIETINDO AGRO LESTARI,1,0,1,0,0,0,0,0
SEHAT BUMI SEMESTA,1,0,1,0,0,0,0,0
CV. BIR ALI JAYA,1,0,0,1,0,0,0,0
SUMBER MAKMUR AGROINDO,1,0,1,0,0,0,0,0
PT. FORMULA DISTRIBUSI KIMIA,1,0,0,0,0,0,0,1
PRATAMA BUANA RAYA,1,0,0,1,0,0,0,0
IRSYAM BINA FLORA,1,0,1,0,0,0,0,0
SHANI PURA,1,0,0,0,1,0,0,0
AGRO CULTURE,1,0,0,0,0,0,0,1
MTW LAM BLANG,1,0,0,0,0,0,0,1
BUNAYYA AGRI,1,1,0,0,0,0,0,0
BINTANG WARNA,1,0,1,0,0,0,0,0
SASA INTI,1,0,1,0,0,0,0,0
CV. Bintang Berlian,1,0,0,0,0,1,0,0
ZPT NATURE INDONESIA,1,1,0,0,0,0,0,0
PUTRA KRUENG JREU,1,0,0,0,0,0,0,1
JAYA ABADI JAYA,1,0,0,0,0,1,0,0
PT. BIO MARAJA NUSANTARA,1,0,1,0,0,0,0,0
KRT GREEN INDONESIA,1,0,0,0,0,0,0,1
CV.MITRA FARM MAJU BERSAMA,1,0,1,0,0,0,0,0
ZEE LORA GLOBAL INTERNASIONAL,1,0,0,0,0,0,0,1
WASKITA INTI NUSANTARA,1,0,1,0,0,0,0,0
CV. Flow Utama Nusantara,1,0,1,0,0,0,0,0
GEMILANG AGRO AGRAMIN,1,0,1,0,0,0,0,0
SOMPOAN SULAWESI SEJAHTERA,1,0,1,0,0,0,0,0
PETRO BUMI HIJAU,1,0,0,0,0,0,0,1
LAWOY BUMI ANUGERAH,1,0,0,1,0,0,0,0
CAHAYA BUANA ASIA,1,1,0,0,0,0,0,0
ETHAN GROUP,1,0,1,0,0,0,0,0
PT. AWAL TIGA MANDIRI,1,0,1,0,0,0,0,0
BIO SAMURAI JAPKORI,1,0,0,1,0,0,0,0
SUNAN DRAJAT LAMONGAN,1,0,0,0,0,1,0,0
CEPOGO AGRO LESTARI,1,0,1,0,0,0,0,0
KARYA BIRU INOVASI,1,0,0,1,0,0,0,0
HAYATI MAKMUR INDONESIA,1,0,0,1,0,0,0,0
CV. GAZALA SEJAHTERA MADANI,1,0,0,0,0,0,0,1
CIN KOREA NUSANTARA INDONESIA,1,0,1,0,0,0,0,0
SUGI TEKNIK PANGAN,1,0,1,0,0,0,0,0
CV JAYA FARMINDO,1,0,1,0,0,0,0,0
CV. HMS GLOBAL,1,0,0,0,0,1,0,0
WIJAYA SAKTI ABADI AGRIKULTUR,1,0,0,0,0,0,0,1
BUANA HIJAU PRATAMA,1,0,0,0,1,0,0,0
