sektor,entitas,merk_dagang,jenis,detail_bentuk_atau_bahan_aktif,no_pendaftaran,tgl_terbit,tgl_berakhir,status
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,POSBAN 200 EC,Insektisida,,01010120042124,2025-02-17,2030-02-17,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,SENTRAL 11 PA,Zat Pengatur Tumbuh Tanaman,,01040120113921,2025-02-17,2030-02-17,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,POSAT 480 SL,Herbisida,,01030120031776,2025-02-17,2030-02-17,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA,NEO KRISTALON,Pupuk Hara Makro Majemuk,Tepung (Powder),01.03.2025.326,2025-03-13,2030-03-13,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,CNG PAK TANI,Pupuk Kalsium Nitrat {CaNO3)2.2H2O},Butiran (Granular),01.01.2025.481,2025-05-21,2030-05-21,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTIPHOS,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),01.01.2025.482,2025-05-21,2030-05-21,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2025.670,2025-05-21,2030-05-21,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTILA,Pupuk Hara Makro Majemuk,Bentuk Lainnya,01.08.2025.451,2025-05-21,2030-05-21,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,ZSP-36,Zeolit,Tepung (Powder),04.03.2025.260,2025-05-22,2030-05-22,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,ULTRADAP,(tdk tercantum),Bentuk Lainnya,01.08.2025.526,2025-06-13,2030-06-13,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,NEO KRISTALON,Pupuk Hara Makro Majemuk,Tepung (Powder),01.03.2025.627,2025-06-13,2030-06-13,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,TUMAGON PLUS 240 EC,Insektisida,,01010120155278,2025-07-11,2030-07-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,TOPSAT 240 SL,Herbisida,,01030120072818,2025-07-11,2030-07-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,QUATXONE 150 SL,Herbisida,,01030120093590,2025-07-11,2030-07-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,DETANNEB 80 WP,Fungisida,,01020120042069,2025-07-11,2030-07-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,ORIZ 50 WG,Insektisida,,01010120258845,2025-07-11,2030-07-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,RAMOXONE 276 SL,Herbisida,,01030120093591,2025-07-11,2030-07-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,TUPORMIN 865 SL,Herbisida,,01030120011646,2025-07-11,2030-07-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,QUATXONE 135 SL,Herbisida,,01030120258855,2025-07-11,2030-07-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,ERAKUS 80 P,Rodentisida,,01120120114128,2025-07-11,2030-07-11,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PAK TANI,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Bentuk Lainnya,01.08.2025.666,2025-07-24,2030-07-24,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PAK TANI,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Butiran (Granular),01.01.2025.667,2025-07-24,2030-07-24,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,KALIBRON,(tdk tercantum),Bentuk Lainnya,01.08.2025.661,2025-07-31,2030-07-31,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PAK TANI,Pupuk Amonium Klorida (NH4Cl),Tepung (Powder),01.03.2025.685,2025-08-08,2030-08-08,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,CPN PAK TANI,Pupuk Hara Makro Majemuk,Prill,01.05.2025.738,2025-08-11,2030-08-11,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTIBIO,Senyawa Humat,Cair (Liquid),04.02.2025.438,2025-09-18,2030-09-18,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTILA,Pupuk Hara Makro Majemuk,Bentuk Lainnya,01.08.2025.826,2025-09-23,2030-09-23,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,PREDOTONG 276 SL,Herbisida,,01030120103850,2025-09-26,2030-09-26,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,KAMAS,Pupuk Hara Makro Majemuk,Bentuk Lainnya,01.08.2025.854,2025-10-16,2030-10-16,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTIPHOS,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2025.947,2025-11-11,2030-11-11,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,TAFT 75 WP,Fungisida,,01020120114176,2025-11-13,2030-11-13,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2025.926,2025-11-14,2030-11-14,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,MKP PAK TANI ,(tdk tercantum),Bentuk Lainnya,01.08.2026.15,2025-12-08,2030-12-08,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTIBIO,Senyawa Humat,Butiran (Granular),04.01.2026.5,2025-12-29,2030-12-29,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,BOM-UP 520 SL,Herbisida,,01030120072722,2026-01-20,2031-01-20,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,BOM-UP 520 SL,Herbisida,,01030120072722,2026-01-20,2031-01-20,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,AVIDOR 25 WP,Insektisida,,01010120072712,2026-01-20,2031-01-20,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PHOSGRO,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),01.01.2026.186,2026-02-06,2031-02-06,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,MAGK32,Pupuk Hara Makro-Mikro Campuran,Bentuk Lainnya,01.08.2026.160,2026-02-27,2031-02-27,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTILA,Pupuk Hara Makro Majemuk,Tepung (Powder),01.03.2026.278,2026-03-02,2031-03-02,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PHOSGRO,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),01.01.2026.245,2026-03-16,2031-03-16,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,GLYPHOSATE 95 TC,Herbisida,,0420163,2026-04-20,2031-04-20,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,QUARTA 137 SL,Herbisida,,01030120269453,2026-04-20,2031-04-20,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,OMERTA 135 SL,Herbisida,,01030120269428,2026-04-20,2031-04-20,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,HORUS 127 SL,Herbisida,,01030120269385,2026-04-20,2031-04-20,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,ZATARA 125 SL,Herbisida,,01030120269505,2026-04-20,2031-04-20,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PAK TANI,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2026.475,2026-06-02,2031-06-02,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,PN PAK TANI,Pupuk Kalium Nitrat (KNO3),Bentuk Lainnya,01.08.2026.467,2026-06-09,2031-06-09,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,LUXON 139 SL,Herbisida,,01030120269594,2026-07-16,2031-07-16,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,DISCO 75 WP,Fungisida,,01020120269552,2026-07-16,2031-07-16,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,KOZIMA 50 SC,Insektisida,,01010120217147,2026-07-16,2031-07-16,Aktif
Pestisida,PT. SAPROTAN UTAMA NUSANTARA,PENTACUR 722 SL,Fungisida,,01020120021700,2026-07-16,2031-07-16,Aktif
Pupuk-SIMPEL,SAPROTAN UTAMA NUSANTARA,FERTILA,Pupuk Hara Makro Majemuk,Butiran (Granular),01.01.2026.608,2026-08-08,2031-08-08,Aktif
