nama_asli,nama_kanonik,pendaftaran,sumber
PT. NUGROHO PRATAMA CHEMICA ASIA,PT. NUGROHO PRATAMA CHEMICA ASIA,9,pestisida
PT. MIO LIFE SCIENCES INDONESIA,PT. MIO LIFE SCIENCES INDONESIA,9,pestisida
PT. AGRO INSANI SEMESTA,PT. AGRO INSANI SEMESTA,9,pestisida
PT. BYTER AGRICULTURE INDONESIA,PT. BYTER AGRICULTURE INDONESIA,9,pestisida
JATI EMAS UNGGUL,CV. JATI EMAS UNGGUL,9,pupuk
PT. NOVINDO AGRITECH HUTAMA,PT. NOVINDO AGRITECH HUTAMA,9,pestisida
PT. EUREEKAGREAT NUSANTARA,PT. EUREEKAGREAT NUSANTARA,9,pestisida
PT. GLOBAL AGROTAMA INDONESIA,PT. GLOBAL AGROTAMA INDONESIA,9,pestisida
PT. BENTZ JAZ INDONESIA,PT. BENTZ JAZ INDONESIA,9,pestisida
CV. TANI MEDIA,CV. TANI MEDIA,9,pestisida
NATURAL NUSANTARA,NATURAL NUSANTARA,9,pupuk
BIO ENERGI RIMBA,BIO ENERGI RIMBA,9,pupuk
PT Carlindo Serasi Abadi,PT Carlindo Serasi Abadi,9,pupuk-legacy
PT. Sido Muncul Pupuk Nusantara,PT. Sido Muncul Pupuk Nusantara,9,pupuk+pupuk-legacy
SMARTSOFT DIGITAL TEKNOLOGI,SMARTSOFT DIGITAL TEKNOLOGI,9,pupuk
WELLS PRIMA GLOBAL,WELLS PRIMA GLOBAL,9,pupuk
EVERCHEM RESOURCES INDONESIA,EVERCHEM RESOURCES INDONESIA,9,pupuk
AGRO PASTI INDONESIA,AGRO PASTI INDONESIA,9,pupuk
WASTEK AGRO INDONESIA,WASTEK AGRO INDONESIA,9,pupuk
GEMAH RIPAH LOH JINAWI INDUSTRI,PT. Gemah Ripah Loh Jinawi Industri,9,pupuk
BINA AGROSIWI MANDIRI,BINA AGROSIWI MANDIRI,9,pupuk
FORMULA TOP INDONESIA,FORMULA TOP INDONESIA,9,pupuk
BIOSINDO MITRA JAYA,PT. Biosindo Mitra Jaya,9,pupuk
PT. FERTA INDONESIA PERSADA,PT. FERTA INDONESIA PERSADA,9,pupuk+pupuk-legacy
PT. Winon International,PT. Winon International,9,pupuk+pupuk-legacy
PT. SEMESTA JAYA ABADI,PT. SEMESTA JAYA ABADI,9,pupuk+pupuk-legacy
PT Gresik Cipta Sejahtera,PT Gresik Cipta Sejahtera,9,pupuk-legacy
PT. INDO ACIDATAMA Tbk,PT. INDO ACIDATAMA Tbk,9,pupuk-legacy
Agro Bumi Timur,PT. Agro Bumi Timur,8,pupuk
CV. GOLDEN FARM INDONESIA,CV. GOLDEN FARM INDONESIA,8,pestisida
AGRO GUNA MAKMUR,PT. AGRO GUNA MAKMUR,8,pupuk
PT. BENIH BERKAH BERSERI,PT. BENIH BERKAH BERSERI,8,pestisida
SAFEEKO BIO INDONESIA,PT. SAFEEKO BIO INDONESIA,8,pupuk
PT. RAJA GROUP INDONESIA,PT. RAJA GROUP INDONESIA,8,pestisida
PT. HARINA CHEMICALS INDUSTRI,PT. HARINA CHEMICALS INDUSTRI,8,pestisida
PT. DWIAGRI MAKMUR INTERTRADE,PT. DWIAGRI MAKMUR INTERTRADE,8,pestisida+pupuk-legacy
PT. MONAGRO KIMIA,PT. MONAGRO KIMIA,8,pestisida
PT. ANDAFA AGRO INDO,PT. ANDAFA AGRO INDO,8,pestisida
ANDAFA AGRO INDO,PT. ANDAFA AGRO INDO,8,pupuk
CV. DUTA TANI,CV. DUTA TANI,8,pestisida
PT. CROPLINK AGRIKULTUR TEKNOLOGI,PT. CROPLINK AGRIKULTUR TEKNOLOGI,8,pestisida
PT. BIO SARANA INDONESIA,PT Bio Sarana Indonesia,8,pestisida
AGRINDO PERSADATAMA,CV. AGRINDO PERSADATAMA,8,pupuk
AGRI HIKAY INDONESIA,PT AGRI HIKAY INDONESIA,8,pupuk
SERUNIANDAL CITRA MANDIRI,SERUNIANDAL CITRA MANDIRI,8,pupuk
CIPTA GUNA MUKTI,CIPTA GUNA MUKTI,8,pupuk
SURYA CIPTA PERKASA YOGYAKARTA,PT. SURYA CIPTA PERKASA YOGYAKARTA,8,pupuk
PT.Antariksa Nusantara Indonesia Group,PT.Antariksa Nusantara Indonesia Group,8,pupuk+pupuk-legacy
MEGA ORGANOFERTILISER,MEGA ORGANOFERTILISER,8,pupuk
MULIA SUKSES BAHAGIA,MULIA SUKSES BAHAGIA,8,pupuk
MITRA FINEX ANTARNUSA,PT. MITRA FINEX ANTARNUSA,8,pupuk
PT. MITRA FINEX ANTARNUSA,PT. MITRA FINEX ANTARNUSA,8,pupuk-legacy
BIO INDUSTRI NUSANTARA,BIO INDUSTRI NUSANTARA,8,pupuk
PT SRI REJEKI FERTILIZER,PT SRI REJEKI FERTILIZER,8,pupuk-legacy
SARASWANTI ANUGERAH INDONESIA,SARASWANTI ANUGERAH INDONESIA,8,pupuk
TUNAS AGRO PERSADA,PT Tunas Agro Persada,8,pupuk
MEGA PRIMATANI LESTARI,MEGA PRIMATANI LESTARI,8,pupuk
CV.TABITA JAYA,CV.TABITA JAYA,8,pupuk+pupuk-legacy
IMEXINDO NUSANTARA,CV IMEXINDO NUSANTARA,8,pupuk
MULTI HARA AGRO,MULTI HARA AGRO,8,pupuk
CV.BUNGA TANI,CV.BUNGA TANI,8,pupuk+pupuk-legacy
MITRA TANI INDONESIA,MITRA TANI INDONESIA,8,pupuk
PERMATA NEGERI INDONESIA,PT. PERMATA NEGERI INDONESIA,8,pupuk
PT.GEMILANG ANDALAN PRATAMA,PT.GEMILANG ANDALAN PRATAMA,8,pupuk+pupuk-legacy
PT. DAMAI AGRO MANUNGGAL,PT. DAMAI AGRO MANUNGGAL,8,pupuk
FERTA INDONESIA PERSADA,PT. FERTA INDONESIA PERSADA,8,pupuk
ULTI GROW NUSANTARA,ULTI GROW NUSANTARA,8,pupuk
POMAL BEKA MANDIRI,PT. POMAL BEKA MANDIRI,8,pupuk
UD. Makmur Jaya,UD. Makmur Jaya,8,pupuk+pupuk-legacy
Alwi Konsultan - TEST,Alwi Konsultan - TEST,8,pupuk-legacy
PT. Kingenta Pupuk Indonesia,PT. Kingenta Pupuk Indonesia,8,pupuk-legacy
EXINDO RAHARJA PRATAMA,PT Exindo Raharja Pratama,7,pupuk
AGRICULTURE CONSTRUCTION,PT. AGRICULTURE CONSTRUCTION,7,pupuk
PT.ASIANA CHEMICALINDO LESTARI,PT.ASIANA CHEMICALINDO LESTARI,7,pestisida
INDOIN BUSINESS GROUP,PT. INDOIN BUSINESS GROUP,7,pupuk
PT. SANBRAND AGRO SEJAHTERA,PT. SANBRAND AGRO SEJAHTERA,7,pestisida
PT. BERSAMA SATU TEGUH,PT. BERSAMA SATU TEGUH,7,pestisida
TAPAL KOEDA INDONESIA,PT. TAPAL KOEDA INDONESIA,7,pupuk
PT. FORTUNA MULIA SEJATI,PT. FORTUNA MULIA SEJATI,7,pestisida
PT. MAHKOTA AGRO INDUSTRI,PT. MAHKOTA AGRO INDUSTRI,7,pestisida
PT. SAFEEKO BIO INDONESIA,PT. SAFEEKO BIO INDONESIA,7,pestisida
PT. MARGA DWI KENCANA,PT. MARGA DWI KENCANA,7,pestisida
PT. GELPI KURNIALESTARI,PT. GELPI KURNIALESTARI,7,pestisida
PT. VISION CROP PROTECTION,PT. VISION CROP PROTECTION,7,pestisida
PT. BUMI MAKMUR LESTARI UTAMA,PT. BUMI MAKMUR LESTARI UTAMA,7,pestisida
PT. MC TRADING INDONESIA,PT. MC TRADING INDONESIA,7,pestisida
PT. PUSRI AGRO LESTARI,PT. PUSRI AGRO LESTARI,7,pestisida
MESTIKA NUSANTARA AGROKIMIA,PT. MESTIKA NUSANTARA AGROKIMIA,7,pupuk
PT. ALISHAN NUSA INDAH,PT. ALISHAN NUSA INDAH,7,pestisida
CV. Nusa Nur Agro,CV. Nusa Nur Agro,7,pupuk-legacy
PT Pupuk Kujang,PT Pupuk Kujang,7,pupuk-legacy
POLARCHEM,PT POLARCHEM,7,pupuk
CAHAYA ABADI,CV. Cahaya Abadi,7,pupuk
TANIKAYA MULTI AGRO,TANIKAYA MULTI AGRO,7,pupuk
DANA INDO AGRI,CV. DANA INDO AGRI,7,pupuk
RUINS SARANA TANI,RUINS SARANA TANI,7,pupuk
GRAHA SIRTU,GRAHA SIRTU,7,pupuk
LAUTAN LUAS,LAUTAN LUAS,7,pupuk
SAYAP EMAS CITRA PERSADA,SAYAP EMAS CITRA PERSADA,7,pupuk
AZZA MULIA RAHMAN,AZZA MULIA RAHMAN,7,pupuk
BULINDO AGRO TEKNOLOGI,BULINDO AGRO TEKNOLOGI,7,pupuk
AGRO TANI MARISI,PT. Agro Tani Marisi,7,pupuk
PT. Bumi Subur Sentosa,PT. Bumi Subur Sentosa,7,pupuk+pupuk-legacy
PT. Agro Indah Permata,PT. Agro Indah Permata,7,pupuk+pupuk-legacy
WEHA AGRO SEJAHTERA,WEHA AGRO SEJAHTERA,7,pupuk
SARI BUMI KEDU,SARI BUMI KEDU,7,pupuk
PT Alam Makmur Anuri,PT Alam Makmur Anuri,7,pupuk
FORMITRA MULTI PRAKARSA,PT. Formitra Multi Prakarsa,7,pupuk
PT PUPUK SRIWIDJAJA PALEMBANG,PT PUPUK SRIWIDJAJA PALEMBANG,7,pupuk-legacy
ENPEKA AGROKIMIA,ENPEKA AGROKIMIA,7,pupuk
PT. Pemohon (DUMMY),PT. Pemohon (DUMMY),7,pupuk
PANCAPUTRA AGRO NIAGA,PANCAPUTRA AGRO NIAGA,7,pupuk
SURYA ARTHA SENTOSA,SURYA ARTHA SENTOSA,7,pupuk
SARASWANTI AGRO MAKMUR,SARASWANTI AGRO MAKMUR,7,pupuk
PT. Sumber Agrindo Sejahtera,PT. Sumber Agrindo Sejahtera,7,pupuk+pupuk-legacy
cv.nusatani,cv.nusatani,7,pupuk-legacy
PT. SOLUSI TANI INDONESIA,PT. SOLUSI TANI INDONESIA,6,pestisida
CV. Multi Agro Jaya Utama,CV. Multi Agro Jaya Utama,6,pupuk-legacy
PT. BELIRANG KALISARI,PT. BELIRANG KALISARI,6,pestisida
AGROTECH PESTICIDE INDUSTRY,PT. AGROTECH PESTICIDE INDUSTRY,6,pupuk
BOMA SAKTI TANI,CV. BOMA SAKTI TANI,6,pupuk
PT. FADJARPURNAMA PRATAMA INTI,PT. FADJARPURNAMA PRATAMA INTI,6,pestisida
PT. ANDALL HASA PRIMA,PT. ANDALL HASA PRIMA,6,pestisida
CV. PRIMA AGRO PERKASA,CV. PRIMA AGRO PERKASA,6,pestisida
PT. MULTIKIMIA AGRO SEJAHTERA,PT. MULTIKIMIA AGRO SEJAHTERA,6,pestisida+pupuk-legacy
PT. SUMBER AGRO PERKASA,PT. SUMBER AGRO PERKASA,6,pestisida
PT. TRI AGRO CHEMICALS,PT. TRI AGRO CHEMICALS,6,pestisida
PT. SUPRA TUSAMAN ABADI,PT. SUPRA TUSAMAN ABADI,6,pestisida
PT. AGROLAND INDO SYNERGY,PT. AGROLAND INDO SYNERGY,6,pestisida
PT. ALFA BETA AGROCHEMICAL,PT. ALFA BETA AGROCHEMICAL,6,pestisida
PT. ARENA HORMON INDONUSA,PT. ARENA HORMON INDONUSA,6,pestisida
PT. MEKAR WARNA SARI,PT. MEKAR WARNA SARI,6,pestisida
CV. JATI EMAS UNGGUL,CV. JATI EMAS UNGGUL,6,pestisida
PT. INDONESIA BENXING INDUSTRIAL,PT. INDONESIA BENXING INDUSTRIAL,6,pestisida
PT. Agspec Indonesia,PT. Agspec Indonesia,6,pupuk-legacy
BESTANI AGRO SEJAHTERA,PT. BESTANI AGRO SEJAHTERA,6,pupuk
PT. AMPUH PERKASA JAYA,PT. AMPUH PERKASA JAYA,6,pestisida
EUREEKAGREAT NUSANTARA,PT. EUREEKAGREAT NUSANTARA,6,pupuk
PT. SENTRAL TANI NUSANTARA,PT. SENTRAL TANI NUSANTARA,6,pestisida
CV. BINANGUN AGRO LESTARI,CV. BINANGUN AGRO LESTARI,6,pestisida
PT. BINTANG RAPESTRA ABADI,PT. BINTANG RAPESTRA ABADI,6,pestisida
PT. SURAT TANI,PT. SURAT TANI,6,pestisida
PT. AGRINDO SANDARAN MAS,PT. AGRINDO SANDARAN MAS,6,pestisida
PT. UTOMO UTOMO,PT. UTOMO UTOMO,6,pestisida+pupuk-legacy
BROMO INDAH LESTARI,BROMO INDAH LESTARI,6,pupuk
SINERGI INTI PANEN,SINERGI INTI PANEN,6,pupuk
KARYA TANI INDONESIA,CV. Karya Tani Indonesia,6,pupuk
PT Kertopaten Kencana,PT Kertopaten Kencana,6,pupuk-legacy
NOUSINDO NUSANTARA AGRI,NOUSINDO NUSANTARA AGRI,6,pupuk
PT. MULTI NIAGA NUSANTARA INDONESIA,PT. MULTI NIAGA NUSANTARA INDONESIA,6,pupuk-legacy
PT Agrimas Utama Indonesia,PT Agrimas Utama Indonesia,6,pupuk+pupuk-legacy
CV. Bima Agung Sejahtera,CV. Bima Agung Sejahtera,6,pupuk+pupuk-legacy
FARMINDO ANN CHEMICAL,FARMINDO ANN CHEMICAL,6,pupuk
BANDUNG INOVASI ORGANIK,PT. Bandung Inovasi Organik,6,pupuk
BANGKIT TANI NUSANTARA,BANGKIT TANI NUSANTARA,6,pupuk
CV. Sumber Buana Perkasa,CV. Sumber Buana Perkasa,6,pupuk+pupuk-legacy
CEMPAKA BUMI NUSANTARA,CEMPAKA BUMI NUSANTARA,6,pupuk
MANUNGGAL AGRO TANI,MANUNGGAL AGRO TANI,6,pupuk
STANLEY AGRO NUSANTARA,STANLEY AGRO NUSANTARA,6,pupuk
ADITYA TANI PERKASA,ADITYA TANI PERKASA,6,pupuk
SUMBER SUBUR SEJATI,SUMBER SUBUR SEJATI,6,pupuk
ARSISTHA KIMIA CITRA LESTARI,ARSISTHA KIMIA CITRA LESTARI,6,pupuk
PT. ASIA KIMINDO PRIMA,PT. ASIA KIMINDO PRIMA,6,pupuk-legacy
TOYA INDO MANUNGGAL,PT TOYA INDO MANUNGGAL,6,pupuk
REDSTONE INDONESIA MAKMUR,REDSTONE INDONESIA MAKMUR,6,pupuk
RAJAWALI BUANA KREASI,RAJAWALI BUANA KREASI,6,pupuk
CENTRA AGRO PRATAMA,PT. Centra Agro Pratama,6,pupuk
NOVIE AGRO INDUSTRI,CV. NOVIE AGRO INDUSTRI,6,pupuk
BUMI TANI SUBUR,PT. BUMI TANI SUBUR,6,pupuk
MULTIFARM INTI SEJAHTERA,MULTIFARM INTI SEJAHTERA,6,pupuk
PT. CIPTA AGRIFARMERINDO,CV. Cipta Agrifarmerindo,6,pupuk
INDUSTRI KEBUN NUSANTARA,INDUSTRI KEBUN NUSANTARA,6,pupuk
SENTRA TANI SEJAHTERA,SENTRA TANI SEJAHTERA,6,pupuk
GREAT GIANT PINEAPPLE,GREAT GIANT PINEAPPLE,6,pupuk
SUMBER MURNI GRUP,SUMBER MURNI GRUP,6,pupuk
ALIF RAYA,ALIF RAYA,6,pupuk
SINKA SINYE AGROTAMA,SINKA SINYE AGROTAMA,6,pupuk
SUMBER ALAM BAROKAH,SUMBER ALAM BAROKAH,6,pupuk
PT. KUSUMA DIPA NUGRAHA,PT. KUSUMA DIPA NUGRAHA,6,pupuk+pupuk-legacy
AJINOMOTO INDONESIA,PT AJINOMOTO INDONESIA,6,pupuk
PT. Agro Nusantara Indonesia,PT. Agro Nusantara Indonesia,6,pupuk-legacy
WINNERS AVENUE SURABAYA,WINNERS AVENUE SURABAYA,6,pupuk
PT. SHADANI INSAN MULIA ABADI,PT. SHADANI INSAN MULIA ABADI,6,pupuk
MZ MEDICAL,MZ MEDICAL,6,pupuk
STEFES INDONESIA,STEFES INDONESIA,6,pupuk
ALL COSMOS INDONESIA,PT.ALL COSMOS INDONESIA,6,pupuk
CV. Bintang Asri Arthauly,CV. Bintang Asri Arthauly,6,pupuk-legacy
PT. AGROINDO,PT. AGROINDO,6,pupuk-legacy
PT. Graha Inti Jaya,PT. Graha Inti Jaya,6,pupuk-legacy
CV Makmur Jaya Bekasi,CV Makmur Jaya Bekasi,6,pupuk-legacy
PT. AGRITANI MAKMUR MANDIRI,PT. AGRITANI MAKMUR MANDIRI,6,pupuk-legacy
PT. ARENA AGRO UTAMA,PT. ARENA AGRO UTAMA,5,pestisida+pupuk
PT Petrokimia Kayaku,PT Petrokimia Kayaku,5,pupuk-legacy
DHARMA GUNA WIBAWA,PT. DHARMA GUNA WIBAWA,5,pupuk
PT. PANEN AGRO PERKASA INDONESIA,PT. PANEN AGRO PERKASA INDONESIA,5,pestisida
PT. BERKAH SUMBER SUKSES,PT. BERKAH SUMBER SUKSES,5,pestisida
AGRO INSANI SEMESTA,PT. AGRO INSANI SEMESTA,5,pupuk
PT. OSIMO INDONESIA,PT. OSIMO INDONESIA,5,pestisida
PT. ANKEWA CHEMICAL INDONESIA,PT. ANKEWA CHEMICAL INDONESIA,5,pestisida
PT. PUTRA TIMUR AGRO NUSANTARA,PT. PUTRA TIMUR AGRO NUSANTARA,5,pestisida
DWIAGRI MAKMUR INTERTRADE,PT. DWIAGRI MAKMUR INTERTRADE,5,pupuk
RABANA AGRO RESOURCES,PT. RABANA AGRO RESOURCES,5,pupuk
CV. Javamas Agrophos,CV. Javamas Agrophos,5,pupuk-legacy
PT. BINGEI AGUNG,PT. BINGEI AGUNG,5,pestisida
AGSPEC INDONESIA,PT. Agspec Indonesia,5,pupuk
PT. ENSYSTEX INTERNATIONAL INDONESIA,PT. ENSYSTEX INTERNATIONAL INDONESIA,5,pestisida
PT. PRIMA LESTARI AGROSCIENCES INDONESIA,PT. PRIMA LESTARI AGROSCIENCES INDONESIA,5,pestisida
PT Indo Pest Biochem,PT Indo Pest Biochem,5,pestisida
PT. SEGORO INTERNASIONAL,PT. SEGORO INTERNASIONAL,5,pestisida
CV. NUSA NUR AGRO,CV. Nusa Nur Agro,5,pestisida
CV. TUNAS SUBUR,CV. TUNAS SUBUR,5,pestisida
PT. INDO GLOBAL TRADE,PT. INDO GLOBAL TRADE,5,pestisida
PT. TEXCHEM INDONESIA,PT. TEXCHEM INDONESIA,5,pestisida
PT. KIMIKA USAHA PRIMA,PT. KIMIKA USAHA PRIMA,5,pestisida
PT. TAKBIR SUKMA TRADA INDONESIA,PT. TAKBIR SUKMA TRADA INDONESIA,5,pestisida
PT. INTER AGRO TECHNOLOGY INDONESIA,PT. INTER AGRO TECHNOLOGY INDONESIA,5,pestisida
PT. PERDANA AGRO MANDIRI,PT. PERDANA AGRO MANDIRI,5,pestisida
PT. BRILLIANCE AGROSCIENCES INDONESIA,PT. BRILLIANCE AGROSCIENCES INDONESIA,5,pestisida
PT. NUSAMAS KIMIA PERSADA,PT Nusamas Kimia Persada,5,pestisida
PT. CATUR MANUNGGAL JAYA ABADI,PT. CATUR MANUNGGAL JAYA ABADI,5,pestisida
PT. ACE BIOCHEM INDONESIA,PT. ACE BIOCHEM INDONESIA,5,pestisida
PROPADU KONAIR TARAHUBUN,PT. PROPADU KONAIR TARAHUBUN,5,pupuk
PRADIPTA PARAMITA,CV. PRADIPTA PARAMITA,5,pupuk
PT. NIROGA SUMBER SEJAHTERA,PT. NIROGA SUMBER SEJAHTERA,5,pestisida
PT Belirang Perkasa Agro,PT Belirang Perkasa Agro,5,pestisida
PT. Dupan Anugerah Lestari,PT. Dupan Anugerah Lestari,5,pupuk-legacy
PT. GOAUTAMA SINARBATUAH,PT. GOAUTAMA SINARBATUAH,5,pupuk+pupuk-legacy
GATEWAY INTERNUSA,GATEWAY INTERNUSA,5,pupuk
GREEN AGRI INDONESIA,GREEN AGRI INDONESIA,5,pupuk
AGRITAMA TUMBUH PERKASA,AGRITAMA TUMBUH PERKASA,5,pupuk
RAJA ARTHA AGRO,RAJA ARTHA AGRO,5,pupuk
MON LEON INDONESIA,MON LEON INDONESIA,5,pupuk
WONDERINDO PHARMATAMA,PT.WONDERINDO PHARMATAMA,5,pupuk
AGRO MAKMUR MANDIRI,AGRO MAKMUR MANDIRI,5,pupuk
PUPUK SWADAYA PURIMAS,PUPUK SWADAYA PURIMAS,5,pupuk
PT. Agro Berjaya Nusantara,PT. Agro Berjaya Nusantara,5,pupuk-legacy
BINTANG TIMUR PASIFIK,BINTANG TIMUR PASIFIK,5,pupuk
ALL COSMOS BIOTEK,ALL COSMOS BIOTEK,5,pupuk
ATS INTI SAMPOERNA,ATS INTI SAMPOERNA,5,pupuk
ELIT SOLUSI NIAGA,ELIT SOLUSI NIAGA,5,pupuk
MITRA AGUNG SAWITA SEJATI,MITRA AGUNG SAWITA SEJATI,5,pupuk
PT. IRQ MAKMUR JAYA,PT. IRQ MAKMUR JAYA,5,pupuk
BUMI NUSANTARA,CV. BUMI NUSANTARA,5,pupuk
AGRO NUSANTARA INTERNASIONAL,AGRO NUSANTARA INTERNASIONAL,5,pupuk
PT. Andalan Chemist Indonesia,PT. Andalan Chemist Indonesia,5,pupuk
BAKTI ALAM NUSANTARA,CV. Bakti Alam Nusantara,5,pupuk
CV. Tiga Tunas Bangsa,CV. Tiga Tunas Bangsa,5,pupuk
PUPUK ISKANDAR MUDA,PT Pupuk Iskandar Muda,5,pupuk
CV IMEXINDO NUSANTARA,CV IMEXINDO NUSANTARA,5,pupuk-legacy
PT ARIGOLD YOOHA CORP,PT ARIGOLD YOOHA CORP,5,pupuk+pupuk-legacy
MOLINDO RAYA INDUSTRIAL,PT. Molindo Raya Industrial,5,pupuk
ANDI JAYA INDUSTRI,ANDI JAYA INDUSTRI,5,pupuk
PT. Tranquerah Nusantara Cerah,PT. Tranquerah Nusantara Cerah,5,pupuk+pupuk-legacy
MILLENIS MITRA INDONESIA,MILLENIS MITRA INDONESIA,5,pupuk
PUTERA RAYA ABADI,PUTERA RAYA ABADI,5,pupuk
BINTANG ASRI ARTHAULI,BINTANG ASRI ARTHAULI,5,pupuk
DWI JAYA EKAPRIMA,DWI JAYA EKAPRIMA,5,pupuk
BUMIKITA MAKMUR,CV. BUMIKITA MAKMUR,5,pupuk
DMG PHARMA LABORATORIES,DMG PHARMA LABORATORIES,5,pupuk
WIKA JAYA MANDIRI,WIKA JAYA MANDIRI,5,pupuk
CV. KUJANG MAS AGRO KENCANA,CV. KUJANG MAS AGRO KENCANA,5,pupuk+pupuk-legacy
FEMU ENVIRO RISORINDO,FEMU ENVIRO RISORINDO,5,pupuk
GRESIK CIPTA SEJAHTERA,PT Gresik Cipta Sejahtera,5,pupuk
BERKAT MITRA MAKMUR,BERKAT MITRA MAKMUR,5,pupuk
PT. Triasindo Subur Prima,PT. Triasindo Subur Prima,5,pupuk
AGROLAND MANDIRI UTAMA,AGROLAND MANDIRI UTAMA,5,pupuk
AGRO NATURAL TECHNOLOGY,PT. AGRO NATURAL TECHNOLOGY,4,pupuk
PT. KATAYA ABADI,PT. KATAYA ABADI,4,pestisida
PT. WAHANA PUNDIKARSA ABADI,PT. WAHANA PUNDIKARSA ABADI,4,pestisida+pupuk-legacy
UPL INDONESIA,PT. UPL INDONESIA,4,pupuk
DELTA GIRI WACANA,PT. DELTA GIRI WACANA,4,pupuk
ZENITH CROPSCIENCES INDONESIA,PT. ZENITH CROPSCIENCES INDONESIA,4,pupuk
PT. WIRAJAYA MITRA SUKSESTAMA,PT. WIRAJAYA MITRA SUKSESTAMA,4,pestisida
PT. DITYA CHEMINDO,PT. DITYA CHEMINDO,4,pestisida
PT. SOLUSI MAJU AGRO TANI,PT. SOLUSI MAJU AGRO TANI,4,pestisida
PT. FAJAR BUANA CHEMICAL,PT. FAJAR BUANA CHEMICAL,4,pestisida
JAWA AGRINDO INTERNASIONAL,PT. JAWA AGRINDO INTERNASIONAL,4,pupuk
PT. MULTI GLOBAL CENTRO,PT. MULTI GLOBAL CENTRO,4,pestisida
PT. LUMBUNG AGRO MAKMUR,PT. LUMBUNG AGRO MAKMUR,4,pestisida
ALFA BETA AGROCHEMICAL,PT. ALFA BETA AGROCHEMICAL,4,pupuk
PT. Spektra Global Intiagro,PT. Spektra Global Intiagro,4,pestisida
PT. MEDION FARMA JAYA,PT. MEDION FARMA JAYA,4,pestisida
CV. TRUBUS PRIMA,CV. TRUBUS PRIMA,4,pestisida+pupuk-legacy
PT. BESTANI AGRO SEJAHTERA,PT. BESTANI AGRO SEJAHTERA,4,pestisida
CV. CENTRAL BUKIT MORIA,CV. CENTRAL BUKIT MORIA,4,pestisida
CV. MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,CV. MUTIARA KERATON JIMMY&CO TRANS BISNIS INDONESIA,4,pestisida
PT. SINGA KIMIA INDONESIA,PT. SINGA KIMIA INDONESIA,4,pestisida
PT. LANGGENG MUSTIKA CHEMINDO,PT. LANGGENG MUSTIKA CHEMINDO,4,pestisida
SEJUK ALAM LESTARI,PT. SEJUK ALAM LESTARI,4,pupuk
PT. PARAMA AGROINDUSTRI DANAPATI,PT. Parama Agroindustri Danapati,4,pestisida
CV. SINAR AGRO KIMIA INDONESIA,CV. SINAR AGRO KIMIA INDONESIA,4,pestisida
PT. EKA SALA ALFAINDO,PT. EKA SALA ALFAINDO,4,pestisida
PT. TIENYEN INTERNATIONAL,PT. TIENYEN INTERNATIONAL,4,pestisida
TUNAS HARMONI ABADI,PT. TUNAS HARMONI ABADI,4,pupuk
PT. KUDA RAYA KARYANUSA,PT. KUDA RAYA KARYANUSA,4,pestisida
PT. SEJAHTERA AGRONUSA LESTARI,PT. SEJAHTERA AGRONUSA LESTARI,4,pestisida
PT. MULTIGUNA GEMILANG,PT. MULTIGUNA GEMILANG,4,pestisida
PT. BRAVO DINAMIKA,PT. BRAVO DINAMIKA,4,pestisida
PT. SPEKTRUM GEO INAGRO,PT. SPEKTRUM GEO INAGRO,4,pestisida
PT. SUMITOMO INDONESIA,PT. SUMITOMO INDONESIA,4,pestisida
PT. PT. Perusahaan Perdagangan Indonesia (Persero),PT. PT. Perusahaan Perdagangan Indonesia (Persero),4,pestisida
PT. PT.BARU TOTAL SOLUSINDO,PT. PT.BARU TOTAL SOLUSINDO,4,pestisida
OAT MITOKU AGRIO,PT.OAT MITOKU AGRIO,4,pupuk
PT. AVEL PESTINDO,PT. AVEL PESTINDO,4,pestisida
CV. SUBUR TANI AGRO RAYA SEJAHTERA,CV. SUBUR TANI AGRO RAYA SEJAHTERA,4,pestisida
PT. INDO ASIA TIRTA MANUNGGAL,PT. INDO ASIA TIRTA MANUNGGAL,4,pestisida
PT. SANJAYA SEJAHTERA LESTARI,PT. SANJAYA SEJAHTERA LESTARI,4,pestisida
PT. CAKRA AGRO INDONESIA,PT. CAKRA AGRO INDONESIA,4,pestisida
CV. JOYO MAKMUR SUKSES,CV. JOYO MAKMUR SUKSES,4,pestisida
CV. BUMINDO ABADI MAKMUR,CV. BUMINDO ABADI MAKMUR,4,pestisida
PRIMA AGRO NETWORK,PT. PRIMA AGRO NETWORK,4,pupuk
SEMESTA AGRO MAKMUR,CV. SEMESTA AGRO MAKMUR,4,pupuk
UNITED ALACRITY INDONESIA,PT. UNITED ALACRITY INDONESIA,4,pupuk
PT. Laku Agung Bahagia Indonesia,PT. Laku Agung Bahagia Indonesia,4,pupuk-legacy
SINAR EMPAT PILAR UTAMA,SINAR EMPAT PILAR UTAMA,4,pupuk
LINTANG MAS AGRO,LINTANG MAS AGRO,4,pupuk
PT SAFA AGROTEK INDONESIA,PT SAFA AGROTEK INDONESIA,4,pupuk-legacy
CV. Sumber Agung Jaya,CV. Sumber Agung Jaya,4,pupuk
PT. Tani Karya Makmur Sejahtera,PT. Tani Karya Makmur Sejahtera,4,pupuk+pupuk-legacy
GEMA TANI ETAM,GEMA TANI ETAM,4,pupuk
