nomor_pendaftaran,nama_produk,jenis_anomali,teks,keterangan
0420241300,CARBARYL 99 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042020849,ACTICIDE MBS,dosis-bentrok,"kolom=""1-3 %"" kurung=""2""","Komoditas ""ACTICIDE MBS"", OPT ""2- methylisothiazol - 3 ( 2 ) - one"". Kolom yang dipakai."
032013331,VAPE 0.32 AE,kurung-bukan-dosis,Product export,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
0420231234,PARAKUAT DIKLORIDA 42 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
04.2022.127,GLYPHOSATE 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
01030120248523,ONSET 354/208/42 SE,dosis-bentrok,"kolom=""2,5-3 l/ha"" kurung=""1 - 3 l/ha""","Komoditas ""Budidaya jagung"", OPT ""Ageratum conyzoides"". Kolom yang dipakai."
032022535,BROADNET 160/12 EC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251400,SynaDime 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
06080120165657,VAPE 0.03 MC,kadar-kolom-bukan-angka,Siap pakai,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06080120165657,VAPE 0.03 MC,kadar-kolom-bukan-angka,Siap Pakai,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032025624,ALVERDE 240 SC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241281,KLORFENAPIR 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01030120237731,BAKARON 532/45/118 SC,baris-bukan-nama-ilmiah,Kalimat Peringatan:,Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
01030120237731,BAKARON 532/45/118 SC,baris-bukan-nama-ilmiah,sisa gulma dan jerami,Baris ke-3 pada latinHamaKomoditas; tidak dijadikan OPT.
01030120237731,BAKARON 532/45/118 SC,baris-bukan-nama-ilmiah,tidak boleh dibakar,Baris ke-4 pada latinHamaKomoditas; tidak dijadikan OPT.
0420231265,PREVENTOL A 14-D,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042006186,Permethrin 92 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032022521,OPUS 125 SC,kadar-kolom-bukan-angka,tidak tersedia untuk ekspor,"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032014355,BIFLEX 20 SC,kadar-kolom-bukan-angka,-,"satuanPestisida=""g/l""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
042020861,SIPERMETRIN 94 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
042018544,PRALLE 50 TK,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231242,Proxel MB Preservative,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241354,"2,4-D 98 TC",entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221015,CHLOROTHALONIL 98.5 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231132,Glyphosate IPA 62 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032026638,"2,4-D ETHYLHEXYL 680 EC",entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032024549,STELLAR PLUS 50/160 SL,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,Penyemprotan residual : 1 ml/m2 s.d. 4 minggu,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,ULV,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,ULV,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,thermal fogging,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,thermal fogging,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,Penyemprotan residual : 1 ml/m2 s.d. 4 minggu,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,thermal fogging,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,thermal fogging,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,ULV,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06090120093424,DELFOX 25 EC,kurung-bukan-dosis,ULV,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
042016385,PROPOXUR 97 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042019694,GLYPHOSATE ACID 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032017421,GALLANT 108 EC,kadar-kolom-bukan-angka,Kebutuhan Export,"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420231139,PIROKSASULFON 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01040120248379,FORAPHON 12.5 PA,baris-bukan-nama-ilmiah,jumlah malai/tanaman,Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
0420221021,GLIFOSAT 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
03199877,CLINCHER 200 EC,kadar-kolom-bukan-angka,Kebutuhan Export,"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
042006195,MONOSULTAP 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
042019685,CYPERMETHRIN 94 TK,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032012308,MIPC 75 WP,kadar-kolom-bukan-angka,ekspor,"satuanPestisida=""g/l""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032012282,Mortein 0.2 MC,kadar-kolom-bukan-angka,Tidak Ada Penggunaan Terdaftar (Pestisida Ekspor),"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032012282,Mortein 0.2 MC,kurung-bukan-dosis,Pestisida Ekspor,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
032026639,KIFIX 17.5/52.5 WG,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420261498,BIOX M188,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221095,FLUROKSIPIR MEPTIL 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
06080120238015,HIT Expert 0.251 AE,kadar-kolom-bukan-angka,Penyemprotan terbatas dan siap pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420251401,Densil S89,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420261515,MICROCARE PHC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032020478,KEXOLIT 22 WG,kadar-kolom-bukan-angka,Untuk keperluan ekspor,"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
042019701,MANKOZEB 85 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032025610,ARIKADAN FUNZAI,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231129,EMAMECTIN BENZOATE 96 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042009238,PERMETHRIN 92 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221017,DELTAMETHRIN 98.5 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042019772,Parakuat Diklorida 42 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420221077,CleanBioTM-Zinc <MIT Free>,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042019782,BISPYRIBAC SODIUM 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032025590,KEN-TEC 276 SL*,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032016384,NOVLECT 120 EC,kadar-kolom-bukan-angka,Untuk keperluan ekspor,"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032026647,AMISTAR 250 SC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231222,CHLOROTHALONIL 96 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231236,TRANSFLUTHRIN 94 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042019798,PYRAZOSULFURON ETHYL 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042018671,Proxel BZ Plus,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420241349,PREVENTOL BM 10,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
04110120144890,AVENGER 50 SC,baris-bukan-nama-ilmiah,15 ml/l,Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
04110120144890,AVENGER 50 SC,baris-bukan-nama-ilmiah,"Retensi: 4,84 kg/m3",Baris ke-3 pada latinHamaKomoditas; tidak dijadikan OPT.
04110120144890,AVENGER 50 SC,baris-bukan-nama-ilmiah,),Baris ke-4 pada latinHamaKomoditas; tidak dijadikan OPT.
0420241335,FLURALANER 99 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042021980,GLIFOSAT 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420241336,GLYPHOSATE 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042020876,"2,4-D 98 TC",entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032018425,FACET 250 SC,kadar-kolom-bukan-angka,tidak tersedia untuk ekspor,"satuanPestisida=""ml/ha""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420221069,P-GLUFOSINAT 90 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221053,KLORFENAPIR 96 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
06080120124263,VAPE PLUS 0.6 AE,kadar-kolom-bukan-angka,Siap Pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06080120124263,VAPE PLUS 0.6 AE,kadar-kolom-bukan-angka,Siap Pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06080120124263,VAPE PLUS 0.6 AE,kadar-kolom-bukan-angka,Siap Pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06080120124263,VAPE PLUS 0.6 AE,kadar-kolom-bukan-angka,Siap Pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06080120124263,VAPE PLUS 0.6 AE,kadar-kolom-bukan-angka,Siap Paki,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
042020836,ATRAZINE 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
06080120258890,VAPE SPIRAL 0.075 MC,kadar-kolom-bukan-angka,siap pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
042019800,SIPERMETRIN 92 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420251434,BIOX M149,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251451,CHLORANTRANILIPROLE 96 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042019736,Emamectin Benzoate 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
01030120083023,BATARA 135 SL,dosis-bentrok,"kolom=""2,5 - 3 l/ha"" kurung=""2 - 3 l/ha""","Komoditas ""Kakao (TBM)"", OPT ""Paspalum conjugatum"". Kolom yang dipakai."
042018643,CHLORFENAPYR 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
04199889,KRESPHO 54 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
032024575,KEENALI 400 SC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01030120042062,DACOMIN 865 SL,baris-bukan-nama-ilmiah,Kalimat peringatan : Sisa gulma dan jerami tidak boleh dibakar,Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
0420231240,PREVENTOL U-TEC G,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241326,Proxel DMB,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420261494,Acticide MV,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231161,INNOMAN ® CMF,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251450,BROMADIOLON 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032025585,CARBOFURAN 3 GR,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251467,Sporgard WB,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032025599,CARBOMAX 3 GR,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221051,HEXACONAZOLE 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01020119971301,CURZATE 8/64 WP,baris-bukan-nama-ilmiah,(4 g/l),Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
01020119971301,CURZATE 8/64 WP,dosis-bentrok,"kolom=""1 g/l"" kurung=""2 g/l""","Komoditas ""Semangka"", OPT ""Pseudoperonospora cubensis"". Kolom yang dipakai."
0420221032,TRICLOPYR-BUTOTYL ESTER 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241282,METOMIL 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251404,Polyphase S99 Plus,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251452,Chlorantraniliprole 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01010120042060,CYPERMAX 100 EC,kurung-bukan-dosis,2 ml,Ditolak: satuan-tanpa-garis-miring.
01010120042060,CYPERMAX 100 EC,kurung-bukan-dosis,2 ml,Ditolak: satuan-tanpa-garis-miring.
01010120042060,CYPERMAX 100 EC,kurung-bukan-dosis,1 ml,Ditolak: satuan-tanpa-garis-miring.
01010120042060,CYPERMAX 100 EC,kurung-bukan-dosis,2 ml,Ditolak: satuan-tanpa-garis-miring.
01010120042060,CYPERMAX 100 EC,kurung-bukan-dosis,2 ml,Ditolak: satuan-tanpa-garis-miring.
01010120042060,CYPERMAX 100 EC,kurung-bukan-dosis,2 ml,Ditolak: satuan-tanpa-garis-miring.
032024548,SHALOM 250 SC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042020879,"2,4-D 2-ETHYLHEXYL ESTER 97 TC",entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231126,Cypermethrin 94% TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042021955,Glyphosate 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
01030120269648,SABIT 500 SC,dosis-bentrok,"kolom=""1.5-2 l/ha"" kurung=""1,5 - 3 l/ha""","Komoditas ""Budidaya kelapa sawit (TBM)"", OPT ""Cyperus rotundus"". Kolom yang dipakai."
0420241307,Ethion 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241288,PRETILACHLOR 96 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221056,P-GLUFOSINAT 90 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042022002687,DELTAMETHRIN 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420261511,KLORANTRANILIPROL 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
01040120269686,UNICLOStAR 250 SC,kurung-bukan-dosis,flush,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
06080120248568,ALL BUGS MUST DIE 27 AL,kadar-kolom-bukan-angka,larutan siap pakai,"satuanPestisida=""-""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420241303,"DELTAMETHRIN 98,5 TC",entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420261510,IMIDACLOPRID 98 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042007202,MANCOZEB 80 TK,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0101011983640,Dharmafur 3 GR,dosis-bentrok,"kolom=""4.25 kg/ha"" kurung=""8,5 kg/ha""","Komoditas ""Kedelai"", OPT ""Agromyza sp"". Kolom yang dipakai."
0420221080,OZZIECIDE 363W,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042019793,LAMDA SIHALOTRIN 95 TC,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420221031,TRIKLOPIR BUTOTIL 99 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221038,PREVENTOL MP 260,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241274,DIAZINON 96 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032022519,Indar 240 SC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
06080120165523,NOMOS 0.041MC,kadar-kolom-bukan-angka,dosis siap pakai,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
06080120165523,NOMOS 0.041MC,kadar-kolom-bukan-angka,dosis siap pakai,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
042017418,AMONIUM GLUFOSINAT 50 TK,kadar-kolom-bukan-angka,tidak tersedia untuk bahan teknis,"satuanPestisida=""""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420231221,BARUCHEM 42% TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032025604,METHOMYL 90 SP,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420221084,Proxel BZ,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251432,ACTICIDE MBS 5050,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231257,PARAQUAT DICHLORIDE 42 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042021957,GLYPHOSATE 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420231194,PARAQUAT DICHLORIDE 42 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042020834,Zinc Omadine ZOE T,kadar-kolom-bukan-angka,-,"satuanPestisida=""%""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
01030120238127,FLUROXYLIER 288 EC,kadar-kolom-bukan-angka,C,"satuanPestisida=""l/ha""; ditolak: tidak-cocok-pola. Teksnya dipertahankan pada dosis_teks."
0420221109,Innosei ® CPC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420241355,"2,4 D 98 TC",entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042018659,PARAQUAT DICHLORIDE 42 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
0420251442,PREVENTOL D 15,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
042017504,TRICLOPYR 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
05100120227339,OORJA 500 HN,kurung-bukan-dosis,menghambat pertunasan,Tidak berbentuk angka + satuan; dibiarkan sebagai keterangan.
01030119941170,ELANG 480 SL,baris-bukan-nama-ilmiah,),Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
0420241301,Chlorimuron ethyl 95 TC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
032022538,FENDONA 250 SC,entri-tanpa-sasaran,,Seluruh medan sasaran kosong — lazim pada bahan teknis (TC) yang didaftarkan tanpa penggunaan berlabel.
010301201242681,TUFOMIN 865 SL,baris-bukan-nama-ilmiah,Peringatan:,Baris ke-2 pada latinHamaKomoditas; tidak dijadikan OPT.
