nama_produk,nomor_pendaftaran,jenis_pestisida,bentuk_formulasi,bahan_aktif,pemegang_pendaftaran,jenis_perseroan,perihal,bidang_penggunaan,komoditas_sasaran,tanggal_terbit,tanggal_berakhir,jml_perubahan_nama,jml_perubahan_pemegang,jml_perluasan,id,bahan_aktif_json,komoditas_json
ACTICIDE RS CONC,042020850,Fungisida,Larutan,"5-Chloro - 2 Methyl- 4 - isothiazolin- 3 one  and 2 methyl - 2H - isothiozol - 3 one 2,96 %",JAYA WARINDO ABADI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Bahan Teknis,,Acticide RS CONC,2025-11-13,2030-11-13,0,0,0,80809617-c3fd-4299-b245-10f172fbac12,"[{""namaBahan"": ""5-Chloro - 2 Methyl- 4 - isothiazolin- 3 one  and 2 methyl - 2H - isothiozol - 3 one "", ""kadarBahan"": ""2,96"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": """", ""namaKomoditas"": ""Acticide RS CONC"", ""kadarPestisida"": """", ""satuanPestisida"": null, ""latinHamaKomoditas"": """"}]"
INTAQUAT 276 SL*,01030120248638,Herbisida,kontak purna tumbuh berbentuk larutan dalam air,Parakuat diklorida (setara dengan ion parakuat : 200 g/l) 276 g/l,INTITANI AGROKIMINDO,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Terbatas,Pengelola Tanaman,Budidaya kelapa sawit (TM):,2025-02-17,2030-02-17,0,0,0,808105b2-b502-45f7-8c41-832ea6add24a,"[{""namaBahan"": ""Parakuat diklorida (setara dengan ion parakuat : 200 g/l)"", ""kadarBahan"": ""276"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""gulma berdaun lebar:"", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Mikania micrantha (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar:"", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Synedrella nodiflora (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar:"", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Asystasia intrusa (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar:"", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma berdaun lebar:"", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Borerria alata (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput    "", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ottochloa nodosa (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput    "", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Digitaria ciliaris (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput    "", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Paspalum conjugatum (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput    "", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Eleusine indica (1,5 - 2,5 l/ha)""}, {""hamaKomoditas"": ""gulma golongan rumput    "", ""namaKomoditas"": ""Budidaya kelapa sawit (TM):"", ""kadarPestisida"": ""1,5 - 2,5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ischaemum timorense (1,5 - 2,5 l/ha)""}]"
BRAVOXONE 276 SL,01030120042174,Herbisida,kontak purna tumbuh berbentuk larutan dalam air,Parakuat diklorida (paraquat dichloride): 276 g/l setara dengan ion parakuat (paraquat ion active equivalent: 200 g/l) 276 g/l,SARI KRESNA KIMIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Tanaman hutan tanaman industri; Lada; Kopi (TBM); Kakao (TBM); Jagung; Kelapa sawit (TBM); Padi sawah pasang surut (TOT); Padi Sawah (TOT); Tebu; Karet (TBM),2024-08-09,2029-08-09,0,0,0,809e27ad-f812-4d50-b02f-fe2765969803,"[{""namaBahan"": ""Parakuat diklorida (paraquat dichloride): 276 g/l setara dengan ion parakuat (paraquat ion active equivalent: 200 g/l)"", ""kadarBahan"": ""276"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Tanaman hutan tanaman industri"", ""kadarPestisida"": ""2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Paspalum conjugatum    (2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Tanaman hutan tanaman industri"", ""kadarPestisida"": ""2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Axonopus compressus   (2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Tanaman hutan tanaman industri"", ""kadarPestisida"": ""2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ottochloa nodosa  (2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Tanaman hutan tanaman industri"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Mikania micrantha  (1 -3 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Tanaman hutan tanaman industri"", ""kadarPestisida"": ""1 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Clidemia hirta  (1 -3 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Tanaman hutan tanaman industri"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Chromolaena odorata  (1 -2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Lada"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Setaria plicata  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Lada"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Digitaria ciliaris (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Lada"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Borreria alata  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Lada"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Synedrella nodiflora  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Lada"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kopi (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kopi (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Richardia brasiliensis  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Kopi (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Paspalum conjugatum  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Kakao (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Digitaria adscendens   (1-2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Kakao (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Paspalum conjugatum   (1-2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kakao (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Bidens pilosa   (1-2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kakao (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Borreria spp. (1-2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Digitaria adscendens  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Synedrella nodiflora  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Borreria sp.  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Commelina sp.  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Kelapa sawit (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ischaemum timorense  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Kelapa sawit (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Axonopus compressus  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Kelapa sawit (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ottochloa nodosa  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kelapa sawit (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kelapa sawit (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Synedrella nodiflora  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kelapa sawit (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Borreria alata  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Teki"", ""namaKomoditas"": ""Padi sawah pasang surut (TOT)"", ""kadarPestisida"": ""1,5 - 2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Cyperus difformis  (1,5 - 2 l/ha)""}, {""hamaKomoditas"": ""Teki"", ""namaKomoditas"": ""Padi sawah pasang surut (TOT)"", ""kadarPestisida"": ""1,5 - 2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Eleucharis dulcis  (1,5 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Padi sawah pasang surut (TOT)"", ""kadarPestisida"": ""1,5 - 3 "", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ludwigia octovalvis  (1,5 - 3 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Padi sawah pasang surut (TOT)"", ""kadarPestisida"": ""1,5 - 3 "", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Leptochloa chinensis   (1,5 - 3 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Padi Sawah (TOT)"", ""kadarPestisida"": ""1,5-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Echinochloa crusgalli  (1,5 - 2 l/ha)""}, {""hamaKomoditas"": ""Teki"", ""namaKomoditas"": ""Padi Sawah (TOT)"", ""kadarPestisida"": ""1,5-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Cyperus iria  (1,5 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Padi Sawah (TOT)"", ""kadarPestisida"": ""1,5-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ludwigia octovalvis  (1,5 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Padi Sawah (TOT)"", ""kadarPestisida"": ""1,5-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Monochoria vaginalis  (1,5 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Paspalum conjugatum  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Tebu"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Mimosa invisa  (1 - 2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Karet (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Borreria alata   (1 -2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Karet (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Synedrella nodiflora   (1 -2 l/ha)""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Karet (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ageratum conyzoides   (1 -2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Karet (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ottochloa nodosa   (1 -2 l/ha)""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Karet (TBM)"", ""kadarPestisida"": ""1-2"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Paspalum conjugatum   (1 -2 l/ha)""}]"
SAPU BERSIH 530 SL,01030120114167,Herbisida,Herbisida sistemik purna tumbuh berbentuk larutan dalam air,isopropil amina glifosat 530 g/l,SINAR GENERAL INDUSTRIES,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Kelapa Sawit (TBM),2022-01-14,2027-01-14,0,0,0,80ab89b2-10af-4f41-b7da-b6405cba5ef8,"[{""namaBahan"": ""isopropil amina glifosat"", ""kadarBahan"": ""530"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kelapa Sawit (TBM)"", ""kadarPestisida"": ""1.5 - 2.5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Borreria alata""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Kelapa Sawit (TBM)"", ""kadarPestisida"": ""1.5 - 2.5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Mikania micrantha""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Kelapa Sawit (TBM)"", ""kadarPestisida"": ""1.5 - 2.5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Setaria plicata""}, {""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Kelapa Sawit (TBM)"", ""kadarPestisida"": ""1.5 - 2.5"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ottochloa nodosa""}]"
INCIPIO 200 SC,032020486,Insektisida,berbentuk pekatan suspensi,Isocycloseram 200 g/l,SYNGENTA INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ekspor,,-,2025-11-13,2030-11-13,0,0,0,80c439d2-bc2e-4c4a-8ff8-487880c25899,"[{""namaBahan"": ""Isocycloseram"", ""kadarBahan"": ""200"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Tidak dilakukan percobaan efikasi. Hanya didaftarkan untuk keperluan ekspor"", ""namaKomoditas"": ""- "", ""kadarPestisida"": ""-"", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Tidak dilakukan percobaan efikasi. Hanya didaftarkan untuk keperluan ekspor""}]"
PILARCOVER 286/32 CS,01030120227344,Herbisida,Herbisida sistemik selektif pra tumbuh dan purna tumbuh berbentuk kapsul yang dapat disuspensikan,butaklor 286 g/l; oksadiargil 32 g/l,PILARQUIM AGROSCIENCE INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Padi Sawah,2022-06-27,2027-06-27,0,0,0,80cd91ec-2fbc-4e9e-8528-f1765bd8b1af,"[{""namaBahan"": ""butaklor"", ""kadarBahan"": ""286"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""oksadiargil"", ""kadarBahan"": ""32"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""butaklor"", ""kadarBahan"": ""286"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""oksadiargil"", ""kadarBahan"": ""32"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""butaklor"", ""kadarBahan"": ""286"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""oksadiargil"", ""kadarBahan"": ""32"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""oksadiargil"", ""kadarBahan"": ""32"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""butaklor"", ""kadarBahan"": ""286"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Gulma golongan rumput"", ""namaKomoditas"": ""Padi Sawah"", ""kadarPestisida"": ""1.5 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Echinochloa Cruss-Galli""}, {""hamaKomoditas"": ""Teki"", ""namaKomoditas"": ""Padi Sawah"", ""kadarPestisida"": ""1.5 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Cyperus iria""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Padi Sawah"", ""kadarPestisida"": ""1.5 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Monochoria vaginalis""}, {""hamaKomoditas"": ""Gulma berdaun lebar"", ""namaKomoditas"": ""Padi Sawah"", ""kadarPestisida"": ""1.5 - 3"", ""satuanPestisida"": ""l/ha"", ""latinHamaKomoditas"": ""Ludwigia octovalvis""}]"
CALLICRON 500 EC,01010119971352,Insektisida,"racun kontak dan 
lambung berbentuk pekatan 
yang dapat diemulsikan",profenofos 500 g/l; Profenofos 500 g/l,ARYSTA LIFESCIENCE TIRTA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Ganjil,,Kentang; Cabai; Bawang merah,2023-04-26,2028-04-26,0,0,0,80e58576-2489-4746-a166-cac3718ba960,"[{""namaBahan"": ""profenofos"", ""kadarBahan"": ""500"", ""satuanBahan"": ""g/l""}, {""namaBahan"": ""Profenofos"", ""kadarBahan"": ""500"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""kutu daun (1,5 ml/l)"", ""namaKomoditas"": ""Kentang"", ""kadarPestisida"": """", ""satuanPestisida"": null, ""latinHamaKomoditas"": ""Myzus persicae\n""}, {""hamaKomoditas"": ""ulat grayak (1,5 ml/l)"", ""namaKomoditas"": ""Cabai "", ""kadarPestisida"": """", ""satuanPestisida"": null, ""latinHamaKomoditas"": ""Spodoptera litura \n""}, {""hamaKomoditas"": ""hama trips (1 ml/l)"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": """", ""satuanPestisida"": ""-"", ""latinHamaKomoditas"": ""Thrips tabaci""}]"
TAMACRON 500 EC,01010120062340,Insektisida,"racun kontak
dan lambung berbentuk
pekatan yang dapat
diemulsikan",Profenofos 500 g/l,SARI KRESNA KIMIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Cabai,2025-11-13,2030-11-13,0,0,0,80e98fa5-93b5-4609-a35c-4bde1c8b8143,"[{""namaBahan"": ""Profenofos"", ""kadarBahan"": ""500"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Kutu daun"", ""namaKomoditas"": ""Cabai"", ""kadarPestisida"": ""1.5"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Myzus persicae""}]"
DOBRAK 50/20 WP,01020120248472,Fungisida,yang bersifat protektif dan kuratif berbentuk tepung yang dapat disuspensikan,Simoksanil 20 %; Dimetomorf 50 %,AGRO JAYA INDUSTRI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Jagung,2024-11-18,2029-11-18,0,0,0,80ed8428-3770-4bbd-9714-31f56d538ad7,"[{""namaBahan"": ""Simoksanil"", ""kadarBahan"": ""20"", ""satuanBahan"": ""%""}, {""namaBahan"": ""Dimetomorf"", ""kadarBahan"": ""50"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""Penyakit bulai"", ""namaKomoditas"": ""Jagung"", ""kadarPestisida"": ""8"", ""satuanPestisida"": ""g/kg"", ""latinHamaKomoditas"": ""Peronosclerospora maydis (8 g/kg benih)""}]"
NILL 70 WP,01050120227560,Moluskisida,racun lambung dan pernafasan berbentuk tepung yang dapat disuspensikan,Niklosamida 70 %,SINAMYANG INDONESIA,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Padi,2022-12-05,2027-12-05,0,0,0,80ef7bd9-ccab-4bca-83a5-5223e602b29e,"[{""namaBahan"": ""Niklosamida "", ""kadarBahan"": ""70"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""siput murbei "", ""namaKomoditas"": ""Padi"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Pomacea canaliculata ""}]"
AMCOZEB 80 WP,01020120041948,Fungisida,yang bersifat protektif berbentuk tepung yang disuspensikan,Mankozeb 80 %,ADIL MAKMUR FAJAR,PT.,Pestisida Sintetik - Permohonan Izin Tetap Ulang Genap,,Kakao; Bawang merah; Kentang,2024-03-05,2029-03-05,0,0,0,80feca2a-ed19-40b8-969f-2fe0dc560741,"[{""namaBahan"": ""Mankozeb"", ""kadarBahan"": ""80"", ""satuanBahan"": ""%""}]","[{""hamaKomoditas"": ""Penyakit busuk buah"", ""namaKomoditas"": ""Kakao"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Phytophthora palmivora""}, {""hamaKomoditas"": ""Penyakit bercak daun"", ""namaKomoditas"": ""Bawang merah"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Alternaria porri""}, {""hamaKomoditas"": ""Penyakit busuk buah"", ""namaKomoditas"": ""Kentang"", ""kadarPestisida"": ""2,25"", ""satuanPestisida"": ""g/l"", ""latinHamaKomoditas"": ""Phytophthora infestans""}]"
ADAGUS 500 SC,01010120248228,Insektisida,racun kontak dan lambung berbentuk pekatan suspensi,Diafentiuron 500 g/l,ADVANSIA INDOTANI,PT.,Pestisida Sintetik - Permohonan Izin Tetap Baru Kimia Umum,Pengelola Tanaman,Cabai,2024-08-09,2029-08-09,0,0,0,81024fd7-9897-4f34-b494-779b780bbc6d,"[{""namaBahan"": ""Diafentiuron "", ""kadarBahan"": ""500"", ""satuanBahan"": ""g/l""}]","[{""hamaKomoditas"": ""Kutu kebul"", ""namaKomoditas"": ""Cabai"", ""kadarPestisida"": ""1"", ""satuanPestisida"": ""ml/l"", ""latinHamaKomoditas"": ""Bemisia tabaci""}]"
