principal,sektor,jml_produk_pupuk,jml_produk_pestisida,jml_produk_total,rincian_jenis_pestisida,nama_varian_lain
PT. ZENITH CROPSCIENCES INDONESIA,Pupuk+Pestisida,4,17,21,Fungisida:8; Insektisida:3; Bahan pengawet kayu:2; Rodentisida:1; Herbisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Zat Pengatur Tumbuh Tanaman:1,ZENITH CROPSCIENCES INDONESIA
PT. AGRO NATURAL TECHNOLOGY,Pupuk+Pestisida,4,16,20,Insektisida:7; Herbisida:5; Fungisida:2; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1,AGRO NATURAL TECHNOLOGY
PT. Agritek Tani Indonesia,Pupuk+Pestisida,10,10,20,Atraktan / Feromon:6; Insektisida:3; Fungisida:1,
PT. Agro Nusantara Indonesia,Pupuk,20,0,20,,AGRO NUSANTARA INDONESIA
PT. Anugerah Pupuk Lestari,Pupuk,20,0,20,,ANUGERAH PUPUK LESTARI
PT. Bumi Subur Sentosa,Pupuk,20,0,20,,BUMI SUBUR SENTOSA
PT. SUNJOY AGRO INDONESIA,Pupuk+Pestisida,1,19,20,Insektisida:9; Fungisida:6; Herbisida:2; Bakterisida:2,SUNJOY AGRO INDONESIA
PT. ZHENGBANG CROP PROTECTION INDONESIA,Pestisida,0,20,20,Insektisida:11; Fungisida:5; Herbisida:4,
Perusahaan Perseroan (Persero) PT. Pupuk Indonesia,Pupuk,20,0,20,,
YARA INDONESIA,Pupuk,20,0,20,,
CV. BOMA SAKTI TANI,Pupuk+Pestisida,7,12,19,Insektisida:11; Zat Pengatur Tumbuh Tanaman:1,BOMA SAKTI TANI
PT. Artha Prima Humatindo,Pupuk,19,0,19,,ARTHA PRIMA HUMATINDO
PT. DOUTA UTAMAN INDONESIA,Pestisida,0,19,19,Herbisida:14; Insektisida:3; Fungisida:2,
PT. Gemilang Eka Dharma,Pupuk,19,0,19,,
PT. Parama Agroindustri Danapati,Pupuk+Pestisida,15,4,19,Herbisida:3; Insektisida:1,PARAMA AGROINDUSTRI DANAPATI; PT. PARAMA AGROINDUSTRI DANAPATI
PT. SATYA ALAM SEMESTA,Pestisida,0,19,19,Insektisida:12; Fungisida:4; Herbisida:3,
PT. TAPAL KOEDA INDONESIA,Pupuk+Pestisida,7,12,19,Insektisida:5; Fungisida:5; Herbisida:2,TAPAL KOEDA INDONESIA
CV. DELTA CHEMICA,Pupuk+Pestisida,3,15,18,Insektisida:7; Fungisida:4; Zat Pengatur Tumbuh Tanaman:4,DELTA CHEMICA
PRIMAGRO PRIMA INDONESIA,Pupuk,18,0,18,,
PT. ASIA KIMINDO PRIMA,Pupuk,18,0,18,,ASIA KIMINDO PRIMA
PT. BIOTEK SARANATAMA,Pestisida,0,18,18,Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Insektisida:4; Fumigan:3; Fungisida:2; Herbisida:2; Moluskisida:2; Rodentisida:1,
PT. CHINA JIANGSU INTERNATIONAL INDONESIA,Pestisida,0,18,18,Herbisida:11; Insektisida:6; Fungisida:1,
PT. INDO HOECHST,Pestisida,0,18,18,Herbisida:12; Insektisida:5; Fungisida:1,
PT. MSR HIJAU LESTARI,Pestisida,0,18,18,Insektisida:17; Fumigan:1,
UD. MITRA MERDEKA TANI,Pupuk,18,0,18,,MITRA MERDEKA TANI; UD. Mitra Merdeka Tani
AGINDA RIAU ABADI,Pupuk,17,0,17,,
CV. Agro Nusa Indah,Pupuk,17,0,17,,AGRO NUSA INDAH
PT PUPUK SRIWIDJAJA PALEMBANG,Pupuk,17,0,17,,PUPUK SRIWIDJAJA PALEMBANG
PT SAFA AGROTEK INDONESIA,Pupuk,17,0,17,,SAFA AGROTEK INDONESIA
PT. AGX ASIA INDONESIA,Pestisida,0,17,17,Herbisida:9; Fungisida:6; Insektisida:2,
PT. ARYSTA LIFESCIENCE TIRTA,Pupuk+Pestisida,1,16,17,Fungisida:10; Insektisida:4; Herbisida:2,ARYSTA LIFESCIENCE TIRTA
PT. BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,Pestisida,0,17,17,Fungisida:6; Herbisida:5; Insektisida:3; Zat Pengatur Tumbuh Tanaman:2; Moluskisida:1,
PT. FERTA INDONESIA PERSADA,Pupuk,17,0,17,,FERTA INDONESIA PERSADA
PT. FOCUSINDO ASIA PACIFIC,Pestisida,0,17,17,Insektisida:10; Herbisida:5; Fungisida:2,
PT. MESTIKA KARUNIA UTAMA,Pupuk+Pestisida,16,1,17,Herbisida:1,MESTIKA KARUNIA UTAMA
PT. MITRA INDOTANI ABADI,Pestisida,0,17,17,Insektisida:8; Herbisida:4; Fungisida:3; Zat Pengatur Tumbuh Tanaman:1; Moluskisida:1,
CV. INDO TANI UTAMA,Pestisida,0,16,16,Insektisida:10; Fungisida:5; Moluskisida:1,
CV. Sinar Surya,Pupuk,16,0,16,,SINAR SURYA
PT. AGRO DYNAMICS INDO,Pestisida,0,16,16,Zat Pengatur Tumbuh Tanaman:9; Herbisida:5; Fungisida:1; Insektisida:1,
PT. ANDAFA AGRO INDO,Pupuk+Pestisida,8,8,16,Insektisida:4; Herbisida:2; Zat Pengatur Tumbuh Tanaman:1; Fungisida:1,ANDAFA AGRO INDO
PT. CENTRA BIOTECH INDONESIA,Pupuk+Pestisida,14,2,16,Fungisida:1; Insektisida:1,CENTRA BIOTECH INDONESIA
PT. DISCOVERY ENVIRONMENTAL SCIENCE INDONESIA,Pestisida,0,16,16,Pestisida Pengendalian Vektor Penyakit Pada Manusia:9; Bahan pengawet kayu:3; Rodentisida:2; Herbisida:1; Insektisida:1,
PT. INTER AGRO INDONESIA,Pupuk+Pestisida,2,14,16,Insektisida:5; Fungisida:5; Herbisida:4,INTER AGRO INDONESIA
PT. JIVA AGRICULTURE INDONESIA,Pupuk+Pestisida,1,15,16,Insektisida:8; Herbisida:5; Fungisida:2,JIVA AGRICULTURE INDONESIA
PT. JOHNSON HOME HYGIENE PRODUCTS,Pestisida,0,16,16,Pestisida Rumah Tangga:12; Repelen:4,
PT. MITRA FINEX ANTARNUSA,Pupuk,16,0,16,,MITRA FINEX ANTARNUSA
PT. NATHANI CHEMICALS,Pestisida,0,16,16,Herbisida:9; Insektisida:4; Zat Pengatur Tumbuh Tanaman:1; Fungisida:1; Moluskisida:1,
PT. Polowijo Gosari,Pupuk,16,0,16,,POLOWIJO GOSARI
PT. SAFE CHEMICAL INDONESIA,Pupuk+Pestisida,3,13,16,Insektisida:6; Fungisida:2; Moluskisida:1; Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1; Bakterisida:1,SAFE CHEMICAL INDONESIA
PT. UTOMO UTOMO,Pupuk+Pestisida,14,2,16,Insektisida:1; Pestisida Rumah Tangga:1,UTOMO UTOMO
TAZAR GUNA MANDIRI,Pupuk,16,0,16,,
CV. JATI EMAS UNGGUL,Pupuk+Pestisida,9,6,15,Insektisida:3; Fungisida:2; Zat Pengatur Tumbuh Tanaman:1,JATI EMAS UNGGUL
PT Pupuk Iskandar Muda,Pupuk,15,0,15,,PUPUK ISKANDAR MUDA
PT. EUREEKAGREAT NUSANTARA,Pupuk+Pestisida,6,9,15,Insektisida:4; Zat Pengatur Tumbuh Tanaman:3; Fungisida:1; Herbisida:1,EUREEKAGREAT NUSANTARA
PT. FMC AGRICULTURAL MANUFACTURING,Pestisida,0,15,15,Insektisida:14; Herbisida:1,
PT. IMCD INDONESIA,Pestisida,0,15,15,Bakterisida:10; Fungisida:4; Pestisida lain-lain:1,
PT. MAKMUR JAYA AGRO,Pupuk+Pestisida,1,14,15,Insektisida:6; Zat Pengatur Tumbuh Tanaman:3; Herbisida:3; Fungisida:1; Moluskisida:1,MAKMUR JAYA AGRO
PT. SAFEEKO BIO INDONESIA,Pupuk+Pestisida,8,7,15,Insektisida:5; Fungisida:2,SAFEEKO BIO INDONESIA
PT. TRUSTCHEM AGRO INDONESIA,Pestisida,0,15,15,Herbisida:6; Fungisida:3; Insektisida:3; Zat Pengatur Tumbuh Tanaman:2; Akarisida:1,
PT. WAHANA PUNDIKARSA ABADI,Pupuk+Pestisida,14,1,15,Zat Pengatur Tumbuh Tanaman:1,WAHANA PUNDIKARSA ABADI
PT. WINHONOR CONSULTING INDONESIA,Pestisida,0,15,15,Herbisida:8; Insektisida:5; Zat Pengatur Tumbuh Tanaman:1; Fungisida:1,
ADIDAYA NIRBATAS,Pupuk,14,0,14,,
CV. Sumber Agung Jaya,Pupuk,14,0,14,,SUMBER AGUNG JAYA
CV. Varia Chemika,Pupuk,14,0,14,,
CV.MITRA TANI ABADI JAYA,Pupuk,14,0,14,,MITRA TANI ABADI JAYA
PT Gresik Cipta Sejahtera,Pupuk,14,0,14,,GRESIK CIPTA SEJAHTERA
PT. AGRO INSANI SEMESTA,Pupuk+Pestisida,5,9,14,Fungisida:5; Insektisida:4,AGRO INSANI SEMESTA
PT. BIO SARANA INDONESIA,Pupuk+Pestisida,6,8,14,Fungisida:2; Rodentisida:2; Insektisida:2; Atraktan / Feromon:1; Herbisida:1,BIO SARANA INDONESIA; PT Bio Sarana Indonesia
PT. BIOTEK SARANA INDUSTRI,Pestisida,0,14,14,Insektisida:8; Fungisida:2; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Herbisida:1; Zat Pengatur Tumbuh Tanaman:1; Bahan pengawet kayu:1,
PT. KEMINDO ARTHA JAYA,Pestisida,0,14,14,Fungisida:6; Bakterisida:6; Insektisida:2,
PT. SANTANI AGRO LESTARI,Pupuk+Pestisida,13,1,14,Herbisida:1,SANTANI AGRO LESTARI
PT. TRITAMA WIRAKARSA,Pupuk+Pestisida,2,12,14,Insektisida:5; Fungisida:3; Herbisida:2; Pestisida Pengendalian Vektor Penyakit Pada Manusia:2,TRITAMA WIRAKARSA
AGRI MANDIRI SEJAHTERA,Pupuk,13,0,13,,
CIPTO LANGGENG JOYO,Pupuk,13,0,13,,
CV IMEXINDO NUSANTARA,Pupuk,13,0,13,,IMEXINDO NUSANTARA
CV. AGRO MULIA,Pestisida,0,13,13,Insektisida:8; Fungisida:3; Moluskisida:1; Herbisida:1,
PT. Agspec Indonesia,Pupuk+Pestisida,11,2,13,Insektisida:2,AGSPEC INDONESIA; PT. AGSPEC INDONESIA
PT. DWIAGRI MAKMUR INTERTRADE,Pupuk+Pestisida,8,5,13,Herbisida:4; Zat Pengatur Tumbuh Tanaman:1,DWIAGRI MAKMUR INTERTRADE
PT. NUSANTARA AGRO SUKSES,Pestisida,0,13,13,Herbisida:6; Insektisida:3; Zat Pengatur Tumbuh Tanaman:2; Fungisida:2,
ANJARI ATHA TANAYA,Pupuk,12,0,12,,
CV PLANET AGRONUSA,Pupuk+Pestisida,9,3,12,Zat Pengatur Tumbuh Tanaman:3,
CV. CV. SAKASAKI INDONESIA,Pestisida,0,12,12,Insektisida:11; Fungisida:1,
CV.Mitra Tani Abadi,Pupuk,12,0,12,,MITRA TANI ABADI
HAMAS PANDJI INDONESIA,Pupuk,12,0,12,,
MAKMUR JAYA ABADI,Pupuk,12,0,12,,
MANO AGRI NUSANTARA,Pupuk,12,0,12,,
PT CHEIL JEDANG INDONESIA,Pupuk,12,0,12,,CHEIL JEDANG INDONESIA
PT Prosper Biotech Indonesia,Pupuk,12,0,12,,PROSPER BIOTECH INDONESIA
PT Tunas Agro Persada,Pupuk,12,0,12,,TUNAS AGRO PERSADA
PT. AGRO AFIAT NUSANTARA,Pupuk,12,0,12,,
PT. AGRO BERJAYA CITRA TANI,Pestisida,0,12,12,Insektisida:8; Herbisida:2; Fungisida:1; Moluskisida:1,
PT. AZELIS INDONESIA DISTRIBUSI,Pupuk+Pestisida,2,10,12,Pestisida lain-lain:9; Insektisida:1,AZELIS INDONESIA DISTRIBUSI
PT. ENFARM CROP SCIENCE,Pestisida,0,12,12,Herbisida:6; Insektisida:3; Fungisida:2; Akarisida:1,
PT. GONGCHENG BIOTECH INDONESIA,Pestisida,0,12,12,Pestisida Rumah Tangga:7; Bahan pengawet kayu:2; Rodentisida:2; Repelen:1,
PT. Gemah Ripah Loh Jinawi Industri,Pupuk,12,0,12,,GEMAH RIPAH LOH JINAWI INDUSTRI
PT. Multidaya Putra Sejahtera,Pupuk,12,0,12,,MULTIDAYA PUTRA SEJAHTERA
SABANG MAKMUR SENTOSA,Pupuk,12,0,12,,
ARINDAMA NAWASENA AMERTA,Pupuk,11,0,11,,
CV. GOLDEN FARM INDONESIA,Pupuk+Pestisida,3,8,11,Insektisida:7; Zat Pengatur Tumbuh Tanaman:1,GOLDEN FARM INDONESIA
CV. KUNIMA JAYA SELARAS,Pestisida,0,11,11,Fungisida:7; Insektisida:4,
CV.BUNGA TANI,Pupuk,11,0,11,,BUNGA TANI
PT GREEN PLANET INDONESIA,Pupuk,11,0,11,,GREEN PLANET INDONESIA
PT. FARMCO KIMIA,Pestisida,0,11,11,Herbisida:5; Insektisida:5; Fungisida:1,
PT. Formitra Multi Prakarsa,Pupuk,11,0,11,,FORMITRA MULTI PRAKARSA
PT. GALATTA LESTARINDO,Pupuk,11,0,11,,GALATTA LESTARINDO
PT. INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,Pupuk,11,0,11,,INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN
PT. KARISMA INDOAGRO UNIVERSAL,Pupuk,11,0,11,,
PT. ORCHID GLOBAL MAKMUR,Pupuk+Pestisida,2,9,11,Insektisida:4; Fungisida:2; Herbisida:1; Moluskisida:1; Akarisida:1,ORCHID GLOBAL MAKMUR
PT. PERMATA NEGERI INDONESIA,Pupuk,11,0,11,,PERMATA NEGERI INDONESIA
PT. POLARCHEM,Pupuk+Pestisida,9,2,11,Herbisida:1; Insektisida:1,POLARCHEM; PT POLARCHEM
PT. POMAL BEKA MANDIRI,Pupuk,11,0,11,,POMAL BEKA MANDIRI
PT. SOJITZ INDONESIA,Pupuk,11,0,11,,
WINNER AGROCHEM INTERNUSA,Pestisida,0,11,11,Herbisida:7; Insektisida:2; Zat Pengatur Tumbuh Tanaman:1; Fungisida:1,
AGRIVERE TRANSFORMA INTERNASIONAL,Pupuk,10,0,10,,
AGRO MULYA LESTARI,Pupuk,10,0,10,,
ANUGERAH MUSTIKA OSTINDO,Pupuk,10,0,10,,
CV. ABADI JAYA,Pestisida,0,10,10,Insektisida:8; Fungisida:1; Rodentisida:1,
DRAGON DISTRIBUSI INDONESIA,Pupuk,10,0,10,,
ECA TANI BAROKAH,Pupuk,10,0,10,,
KAYUAN INFARM INDONESIA,Pupuk,10,0,10,,
LABA INDOAGRO NUSANTARA,Pupuk,10,0,10,,
LOTUS AGROKIMIA INDONESIA,Pupuk,10,0,10,,
PT AJINOMOTO INDONESIA,Pupuk,10,0,10,,AJINOMOTO INDONESIA
PT SRI REJEKI FERTILIZER,Pupuk,10,0,10,,SRI REJEKI FERTILIZER
PT. ALFA BETA AGROCHEMICAL,Pupuk+Pestisida,4,6,10,Insektisida:5; Fungisida:1,ALFA BETA AGROCHEMICAL
PT. BENIH BERKAH BERSERI,Pupuk+Pestisida,2,8,10,Insektisida:6; Herbisida:2,BENIH BERKAH BERSERI
PT. BESTANI AGRO SEJAHTERA,Pupuk+Pestisida,6,4,10,Herbisida:4,BESTANI AGRO SEJAHTERA
PT. BYTER AGRICULTURE INDONESIA,Pupuk+Pestisida,1,9,10,Herbisida:5; Fungisida:2; Insektisida:2,BYTER AGRICULTURE INDONESIA
PT. Biosindo Mitra Jaya,Pupuk,10,0,10,,BIOSINDO MITRA JAYA
PT. CORTEVA AGRISCIENCE INDONESIA,Pestisida,0,10,10,Fungisida:5; Herbisida:3; Insektisida:2,
PT. JJM INDONESIA,Pestisida,0,10,10,Fungisida:4; Herbisida:3; Insektisida:2; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1,
PT. MENARA LAUT BERSATU,Pestisida,0,10,10,Pestisida Rumah Tangga:10,
PT. RECKITT BENCKISER INDONESIA,Pestisida,0,10,10,Pestisida Rumah Tangga:10,
PT. SARANA TANI INDONESIA MAKMUR,Pestisida,0,10,10,Insektisida:5; Herbisida:3; Fungisida:2,
PT. SURYA CIPTA PERKASA YOGYAKARTA,Pupuk,10,0,10,,SURYA CIPTA PERKASA YOGYAKARTA
PT. Winon International,Pupuk,10,0,10,,WINON INTERNATIONAL
PT.ALL COSMOS INDONESIA,Pupuk,10,0,10,,ALL COSMOS INDONESIA
SCORLETS,Pupuk,10,0,10,,
TRIAGRO HIJRAH JAYA,Pupuk,10,0,10,,
YAN UTAMA CORPORATION,Pupuk,10,0,10,,
AGRO PASTI INDONESIA,Pupuk,9,0,9,,
BINA AGROSIWI MANDIRI,Pupuk,9,0,9,,
BIO ENERGI RIMBA,Pupuk,9,0,9,,
CV. AGRINDO PERSADATAMA,Pupuk+Pestisida,8,1,9,Fungisida:1,AGRINDO PERSADATAMA
CV. Cahaya Abadi,Pupuk,9,0,9,,CAHAYA ABADI
CV. Karya Tani Indonesia,Pupuk,9,0,9,,KARYA TANI INDONESIA
CV. TANI MEDIA,Pestisida,0,9,9,Herbisida:5; Insektisida:3; Moluskisida:1,
EVERCHEM RESOURCES INDONESIA,Pupuk,9,0,9,,
FORMULA TOP INDONESIA,Pupuk,9,0,9,,
NATURAL NUSANTARA,Pupuk,9,0,9,,
PT TOYA INDO MANUNGGAL,Pupuk,9,0,9,,TOYA INDO MANUNGGAL
PT. ALISHAN NUSA INDAH,Pupuk+Pestisida,2,7,9,Insektisida:4; Herbisida:2; Fungisida:1,ALISHAN NUSA INDAH
PT. ARENA HORMON INDONUSA,Pupuk+Pestisida,3,6,9,Zat Pengatur Tumbuh Tanaman:6,ARENA HORMON INDONUSA
PT. BENTZ JAZ INDONESIA,Pestisida,0,9,9,Pestisida Pengendalian Vektor Penyakit Pada Manusia:5; Bahan pengawet kayu:2; Rodentisida:1; Pestisida Rumah Tangga:1,
PT. Centra Agro Pratama,Pupuk,9,0,9,,CENTRA AGRO PRATAMA
PT. FORAGRO MAJU SEJAHTERA,Pestisida,0,9,9,Herbisida:9,
PT. GLOBAL AGROTAMA INDONESIA,Pestisida,0,9,9,Insektisida:4; Herbisida:3; Zat Pengatur Tumbuh Tanaman:1; Fungisida:1,
PT. INDO ACIDATAMA Tbk,Pupuk,9,0,9,,
PT. KUSUMA DIPA NUGRAHA,Pupuk,9,0,9,,KUSUMA DIPA NUGRAHA
PT. MIO LIFE SCIENCES INDONESIA,Pestisida,0,9,9,Fungisida:4; Insektisida:3; Herbisida:2,
PT. Molindo Raya Industrial,Pupuk,9,0,9,,MOLINDO RAYA INDUSTRIAL
PT. NOVINDO AGRITECH HUTAMA,Pestisida,0,9,9,Pestisida Pengendalian Vektor Penyakit Pada Manusia:4; Insektisida:3; Pestisida lain-lain:1; Rodentisida:1,
PT. NUGROHO PRATAMA CHEMICA ASIA,Pestisida,0,9,9,Fumigan:3; Pestisida Pengendalian Vektor Penyakit Pada Manusia:3; Bahan pengawet kayu:2; Rodentisida:1,
PT. SEMESTA JAYA ABADI,Pupuk,9,0,9,,
PT. SINERGI CHEM INDONESIA,Pestisida,0,9,9,Insektisida:4; Herbisida:3; Fungisida:2,
PT. Sido Muncul Pupuk Nusantara,Pupuk,9,0,9,,
SMARTSOFT DIGITAL TEKNOLOGI,Pupuk,9,0,9,,
WASTEK AGRO INDONESIA,Pupuk,9,0,9,,
WELLS PRIMA GLOBAL,Pupuk,9,0,9,,
Alwi Konsultan - TEST,Pupuk,8,0,8,,
BIO INDUSTRI NUSANTARA,Pupuk,8,0,8,,
CIPTA GUNA MUKTI,Pupuk,8,0,8,,
CV. DANA INDO AGRI,Pupuk,8,0,8,,DANA INDO AGRI
CV. DUTA TANI,Pestisida,0,8,8,Fungisida:4; Insektisida:3; Herbisida:1,
CV. Jaya Tani,Pupuk,8,0,8,,JAYA TANI
CV.TABITA JAYA,Pupuk,8,0,8,,
MEGA ORGANOFERTILISER,Pupuk,8,0,8,,
MEGA PRIMATANI LESTARI,Pupuk,8,0,8,,
MITRA TANI INDONESIA,Pupuk,8,0,8,,
MULIA SUKSES BAHAGIA,Pupuk,8,0,8,,
MULTI HARA AGRO,Pupuk,8,0,8,,
PT. ANKEWA CHEMICAL INDONESIA,Pupuk+Pestisida,3,5,8,Herbisida:3; Insektisida:2,ANKEWA CHEMICAL INDONESIA
PT. Agro Tani Marisi,Pupuk,8,0,8,,AGRO TANI MARISI
PT. BELIRANG KALISARI,Pupuk+Pestisida,2,6,8,Insektisida:4; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1,BELIRANG KALISARI
PT. BERSAMA SATU TEGUH,Pupuk+Pestisida,1,7,8,Herbisida:5; Fungisida:1; Insektisida:1,BERSAMA SATU TEGUH
PT. BINGEI AGUNG,Pupuk+Pestisida,3,5,8,Herbisida:2; Fungisida:1; Insektisida:1; Zat Pengatur Tumbuh Tanaman:1,BINGEI AGUNG
PT. BUMI TANI SUBUR,Pupuk,8,0,8,,BUMI TANI SUBUR
PT. Bandung Inovasi Organik,Pupuk,8,0,8,,BANDUNG INOVASI ORGANIK
PT. CEVE SINAR ARAS,Pupuk,8,0,8,,CEVE SINAR ARAS
PT. CROPLINK AGRIKULTUR TEKNOLOGI,Pestisida,0,8,8,Herbisida:4; Zat Pengatur Tumbuh Tanaman:3; Insektisida:1,
PT. DAMAI AGRO MANUNGGAL,Pupuk,8,0,8,,
PT. HARINA CHEMICALS INDUSTRI,Pestisida,0,8,8,Zat Pengatur Tumbuh Tanaman:4; Insektisida:2; Fungisida:2,
PT. Kingenta Pupuk Indonesia,Pupuk,8,0,8,,
PT. MONAGRO KIMIA,Pestisida,0,8,8,Herbisida:8,
PT. MULTIKIMIA AGRO SEJAHTERA,Pupuk+Pestisida,5,3,8,Herbisida:2; Zat Pengatur Tumbuh Tanaman:1,MULTIKIMIA AGRO SEJAHTERA
PT. NUSAMAS KIMIA PERSADA,Pupuk+Pestisida,3,5,8,Herbisida:4; Insektisida:1,PT Nusamas Kimia Persada
PT. PROPADU KONAIR TARAHUBUN,Pupuk+Pestisida,6,2,8,Fungisida:2,PROPADU KONAIR TARAHUBUN; PT.PROPADU KONAIR TARAHUBUN
PT. SOLUSI TANI INDONESIA,Pupuk+Pestisida,2,6,8,Fungisida:3; Insektisida:2; Herbisida:1,SOLUSI TANI INDONESIA
PT. SUMBER AGRO PERKASA,Pupuk+Pestisida,2,6,8,Herbisida:6,SUMBER AGRO PERKASA
PT.GEMILANG ANDALAN PRATAMA,Pupuk,8,0,8,,
SARASWANTI ANUGERAH INDONESIA,Pupuk,8,0,8,,
SERUNIANDAL CITRA MANDIRI,Pupuk,8,0,8,,
UD. Makmur Jaya,Pupuk,8,0,8,,
ULTI GROW NUSANTARA,Pupuk,8,0,8,,
AZZA MULIA RAHMAN,Pupuk,7,0,7,,
BULINDO AGRO TEKNOLOGI,Pupuk,7,0,7,,
CV Alam Hijau,Pupuk,7,0,7,,ALAM HIJAU
CV. BUMIKITA MAKMUR,Pupuk,7,0,7,,BUMIKITA MAKMUR
CV. JOYO MAKMUR SUKSES,Pupuk+Pestisida,3,4,7,Insektisida:2; Fungisida:1; Zat Pengatur Tumbuh Tanaman:1,JOYO MAKMUR SUKSES
CV. MITRA AGRO SENTOSA,Pupuk,7,0,7,,MITRA AGRO SENTOSA
CV. NOVIE AGRO INDUSTRI,Pupuk,7,0,7,,NOVIE AGRO INDUSTRI
CV. PRADIPTA PARAMITA,Pupuk+Pestisida,5,2,7,Pestisida Rumah Tangga:1; Fungisida:1,PRADIPTA PARAMITA
CV. SEMESTA AGRO MAKMUR,Pupuk+Pestisida,4,3,7,Rodentisida:1; Zat Pengatur Tumbuh Tanaman:1; Insektisida:1,SEMESTA AGRO MAKMUR
CV.UTAMA KARYA TANI,Pupuk,7,0,7,,UTAMA KARYA TANI
ENPEKA AGROKIMIA,Pupuk,7,0,7,,
GRAHA SIRTU,Pupuk,7,0,7,,
LAUTAN LUAS,Pupuk,7,0,7,,
PANCAPUTRA AGRO NIAGA,Pupuk,7,0,7,,
PT Alam Makmur Anuri,Pupuk,7,0,7,,
PT. AGROLAND INDO SYNERGY,Pupuk+Pestisida,1,6,7,Herbisida:3; Insektisida:2; Moluskisida:1,AGROLAND INDO SYNERGY
PT. AGROSID MANUNGGAL SENTOSA,Pupuk+Pestisida,4,3,7,Atraktan / Feromon:1; Fungisida:1; Bakterisida:1,AGROSID MANUNGGAL SENTOSA; PT. Agrosid Manunggal Sentosa
PT. Agro Indah Permata,Pupuk,7,0,7,,
PT. BIO AGRITECH NUSANTARA,Pupuk+Pestisida,2,5,7,Bahan pengawet kayu:2; Insektisida:2; Moluskisida:1,BIO AGRITECH NUSANTARA; PT BIO AGRITECH NUSANTARA
PT. BUMI MAKMUR LESTARI UTAMA,Pestisida,0,7,7,Insektisida:4; Moluskisida:1; Rodentisida:1; Bahan pengawet kayu:1,
PT. CIPTA AGRIFARMERINDO,Pupuk,7,0,7,,CV. Cipta Agrifarmerindo
PT. FORTUNA MULIA SEJATI,Pestisida,0,7,7,Insektisida:3; Herbisida:3; Fungisida:1,
PT. GELPI KURNIALESTARI,Pestisida,0,7,7,Insektisida:7,
PT. MAHKOTA AGRO INDUSTRI,Pestisida,0,7,7,Herbisida:5; Insektisida:2,
PT. MARGA DWI KENCANA,Pestisida,0,7,7,Pestisida lain-lain:7,
PT. MC TRADING INDONESIA,Pestisida,0,7,7,Insektisida:4; Fungisida:2; Herbisida:1,
PT. OAT MITOKU AGRIO,Pupuk+Pestisida,6,1,7,Zat Pengatur Tumbuh Tanaman:1,OAT MITOKU AGRIO; PT.OAT MITOKU AGRIO
PT. PUSRI AGRO LESTARI,Pestisida,0,7,7,Insektisida:4; Herbisida:2; Fungisida:1,
PT. Pemohon (DUMMY),Pupuk,7,0,7,,
PT. SANBRAND AGRO SEJAHTERA,Pestisida,0,7,7,Insektisida:4; Herbisida:3,
PT. Sumber Agrindo Sejahtera,Pupuk,7,0,7,,
PT. VISION CROP PROTECTION,Pestisida,0,7,7,Pestisida Rumah Tangga:3; Insektisida:1; Pestisida Pengendalian Vektor Penyakit Pada Manusia:1; Zat Pengatur Tumbuh Tanaman:1; Herbisida:1,
PT.ASIANA CHEMICALINDO LESTARI,Pestisida,0,7,7,Herbisida:6; Insektisida:1,
RUINS SARANA TANI,Pupuk,7,0,7,,
SARASWANTI AGRO MAKMUR,Pupuk,7,0,7,,
SARI BUMI KEDU,Pupuk,7,0,7,,
SAYAP EMAS CITRA PERSADA,Pupuk,7,0,7,,
SURYA ARTHA SENTOSA,Pupuk,7,0,7,,
TANIKAYA MULTI AGRO,Pupuk,7,0,7,,
WEHA AGRO SEJAHTERA,Pupuk,7,0,7,,
cv.nusatani,Pupuk,7,0,7,,
ADITYA TANI PERKASA,Pupuk,6,0,6,,
ALIF RAYA,Pupuk,6,0,6,,
ARSISTHA KIMIA CITRA LESTARI,Pupuk,6,0,6,,
BANGKIT TANI NUSANTARA,Pupuk,6,0,6,,
BROMO INDAH LESTARI,Pupuk,6,0,6,,
CEMPAKA BUMI NUSANTARA,Pupuk,6,0,6,,
CV DUTA LIMAS,Pupuk,6,0,6,,DUTA LIMAS
CV Makmur Jaya Bekasi,Pupuk,6,0,6,,
CV. BIMAGRO INDONESIA,Pupuk+Pestisida,3,3,6,Herbisida:3,BIMAGRO INDONESIA
CV. BINANGUN AGRO LESTARI,Pestisida,0,6,6,Insektisida:2; Herbisida:2; Moluskisida:1; Zat Pengatur Tumbuh Tanaman:1,
CV. BUMI NUSANTARA,Pupuk,6,0,6,,BUMI NUSANTARA
CV. Bakti Alam Nusantara,Pupuk,6,0,6,,BAKTI ALAM NUSANTARA
CV. Bima Agung Sejahtera,Pupuk,6,0,6,,
