merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_pupuk,bentuk_formula,tipe_permohonan,tgl_terbit,tgl_berakhir,jumlah_perubahan,product_id,perusahaan_id
APH BIO BIAGMA,04.03.2023.1002,BINA AGROSIWI MANDIRI,Senyawa Humat,Tepung (Powder),Pendaftaran Baru,2023-06-23,2028-06-23,0,3304ac88-cfbc-4253-9a30-0ee17e1625cd,c649c2b2-b1ca-40f3-baf3-053a5cb4d61d
FAST TOP,01.02.2023.1312,ALAM SEMESTA INDONESIA,,Cair (Liquid),Pendaftaran Baru,2023-03-29,2028-03-29,0,3308fac8-df06-42f4-aff3-f69a75936256,b7d5b892-1541-4b95-aecc-507f99bd7084
URIUM,01.02.2024.295,BUNGA TANI,,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-03-15,2029-03-15,0,330a5092-d41b-4fa2-9d78-8f353328c23e,e231a034-6d2c-4a9f-b5b4-c1d300359f81
PUSRI,01.01.2025.458,PUPUK SRIWIDJAJA PALEMBANG,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-03-18,2030-03-18,0,330a6ab3-7a91-469a-adfb-708a1a66ff1d,63194c4a-6957-41a9-8665-339daecfcbe5
BELLRUSS,04.01.2025.321,MULTI NIAGA NUSANTARA INDONESIA,Dolomit,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-07-31,2030-07-31,0,330ff2c3-3436-43f8-84ce-14076dd19c63,9ce30327-5c3d-47c8-ae9d-6e46907f55fc
G,01.08.2026.87,GOAUTAMA SINARBATUAH,Pupuk Hara Mikro Tunggal,Bentuk Lainnya,Pendaftaran Baru,2026-01-02,2031-01-02,0,331d4ad6-5a73-4830-a610-dfcaf73ea5bf,19d60b65-5cfb-4811-a248-bb5e956044b0
BIOZYMETF,01.02.2024.214,UPL INDONESIA,,Cair (Liquid),Pendaftaran Baru,2024-02-05,2029-02-05,0,33272a4e-20b0-4d77-a8d3-ff497731873b,ed53df0e-1e45-4a83-8306-84915a34ec20
METAHARA,01.03.2024.915,MITRA TANI INDONESIA,"Pupuk Hara Makro Majemuk
",Tepung (Powder),Pendaftaran Baru,2024-08-14,2029-08-14,0,33345371-46af-42c9-b307-fa1edfd0611f,8e1bd7fb-7921-44a8-8cac-3ad36e17e42c
CAP BOLA DUNIA,04.01.2024.182,AGRO MAKMUR MANDIRI,Dolomit,Butiran (Granular),Pendaftaran Baru,2024-05-10,2029-05-10,0,334737c2-d2fe-4de9-a7a9-dc7f1176a93e,71303078-5840-4bff-a4bc-2070603fcb2e
FOLIFLO BUAH,01.02.2024.145,DGW PUPUK INDONESIA,,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-01-03,2029-01-03,0,334761d3-e342-49e4-a00d-84c423a3878d,c8a04f82-4325-438e-b9a9-fbd339f00068
DAUN BUAH,01.05.2025.391,PUPUK KALIMANTAN TIMUR,Pupuk Urea {CO(NH2)2},Prill,Pendaftaran Ulang Genap,2025-03-27,2030-03-27,0,334b2d76-a2a1-424c-88d9-f7414f8aec11,54463581-e74e-4653-9fbb-895ff5dd989b
A-CaBo,01.02.2026.486,ADVANSIA INDOTANI,Pupuk Hara Makro-Mikro Campuran,Cair (Liquid),Pendaftaran Baru,2026-06-12,2031-06-12,0,334f6968-73b9-4384-a395-dd8026426257,93a6e539-e66a-4cc2-8335-43c3a42cfeb6
LIBREL,01.03.2025.873,BASF DISTRIBUTION INDONESIA,Pupuk Hara Mikro Tunggal,Tepung (Powder),Pendaftaran Baru,2025-11-06,2030-11-06,0,335d9acb-2292-4eca-b189-d6d0291b1e63,74238777-6ccc-44ef-ad86-e6205b17a6d1
GFERT GEMILANG,04.03.2023.1065,PT. Gemilang Eka Dharma,Dolomit,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-07-19,2028-07-19,0,335f108e-c6c5-4566-899a-6353dc37a632,1fd3f6c3-e418-4bc1-8aa4-71d77c90198c
Mahkota Fertilizer,01.01.2022.1335,WILMAR CHEMICAL INDONESIA,Pupuk Kalium Klorida (KCl),Butiran (Granular),Pendaftaran Ulang Ganjil,2022-09-06,2027-09-06,0,3364ba4e-6c26-415c-bde0-21eedf086f22,1511917e-254d-426d-a2db-e9a2e78efbb2
YaraSuna,02.08.2025.225,YARA INDONESIA,Pupuk Organik,Bentuk Lainnya,Pendaftaran Baru,2025-03-19,2030-03-19,0,336776d2-b612-4af3-b274-268088352047,72858262-579f-4e19-adb4-b0c0da229c71
SUPEKCL,01.02.2022.1607,CV PLANET AGRONUSA,,Cair (Liquid),Pendaftaran Baru,2022-11-03,2027-11-03,0,336b79c4-6971-4905-9a29-7527fe21d0db,4dc34f63-4134-44c3-a609-632efbe96d46
PanganKu,03.02.2021.436,GREENLIFE BIOSCIENCE,Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Ganjil,2021-06-17,2026-06-17,0,336e2bca-6e67-4615-b549-0db6f65af729,2de0c443-bec5-4535-b71e-c2d933b778a7
Amiboost,01.02.2023.804,CHEIL JEDANG INDONESIA,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2023-03-02,2028-03-02,0,336e358a-37ed-4bc5-b769-db5c0e7dcebf,96fe6da8-bb91-47c7-be25-e72c762789ef
GROPRINT,01.02.2021.736,UD Primagro,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Ulang Ganjil,2021-06-03,2026-06-03,0,337173b9-ab0c-4298-9378-9339f918320d,baac0661-9be3-424a-bc02-ddb660bcb827
FloraOne,03.02.2026.232,CENTRA BIOTECH INDONESIA,Pupuk Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Ganjil,2026-05-09,2031-05-09,0,337df2ec-49ce-4bf6-beb3-8d68ca39ff9b,09254dce-0b6b-4d2d-bf6e-39a3cde25c25
CANTIK,01.01.2022.519,SANTANI SEJAHTERA,Pupuk Amonium Nitrat (NH4NO3),Butiran (Granular),Pendaftaran Ulang Ganjil,2022-01-14,2027-01-14,0,3382a89b-2651-448f-88c2-af29d775db64,32a43c35-1ca5-4049-9b9a-d322ab71b496
MAMPAN,01.01.2024.1272,ALIF RAYA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-12-02,2029-12-02,0,3389824c-e954-4fb1-8857-a7e79460f3aa,9d6581a4-22a4-4ece-b9ef-4c616a3d2e04
KENCONO IJO,01.02.2024.845,LENTERA KENCANA ABADI,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2024-06-20,2029-06-20,0,339457cc-8417-4e18-a549-b2856ab30d91,05eb9e0e-162d-4b30-a601-837cff56f760
MERAH PUTIH,01.01.2024.889,SINAR GENERAL INDUSTRIES,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2024-01-23,2029-01-23,0,33a6a7fd-b4b0-4af7-b1b2-3357bf448a22,becab482-ea9d-4106-9b22-7f4eb146c57c
MERAH PUTIH,01.01.2025.29,CIPTA MAKMUR PERTIWI,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2024-12-31,2029-12-31,1,33a80cec-aa82-4589-b448-893bb1459fa6,3f95834b-f146-496b-b46a-f6bf85ce6e69
Nama/Merek Dagang *,04.05.2021.439,SMARTSOFT DIGITAL TEKNOLOGI,Senyawa Humat,Prill,Pendaftaran Baru,2021-06-23,2026-06-23,0,33b3d942-c5f8-48a0-b5e1-8b0f14b46203,5f5a7363-a8d7-47a8-bf95-63f50f7e89c5
MAGIC CALSIUM,01.03.2021.764,CV. Bunga Agro Lestari,,Tepung (Powder),Pendaftaran Baru,2021-07-06,2026-07-06,0,33b50b50-656e-40c9-b5be-0d25b44c1820,de8264f6-7204-4a75-b49c-d7382dca4638
RabanaSol,01.03.2023.645,RABANA AGRO RESOURCES,,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-01-30,2028-01-30,0,33b960b0-34f3-4f72-a5a5-d7ccbdfada8d,f14c4712-f57f-43a1-9535-7e145fab5234
SanBlend,01.01.2022.1557,AGRI TANIMAS SELARAS,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2022-10-20,2027-10-20,0,33d945f6-8bdf-456b-8a9e-f754bea8d0cb,e031df17-742c-4663-be7f-8fb34a6b30ea
CROPFAST,01.08.2024.797,FERTILIZER INTI TECHNOLOGY,Pupuk Hara Makro Majemuk,Bentuk Lainnya,Pendaftaran Baru,2024-07-11,2029-07-11,0,33e20db2-7bc7-4aad-92f1-19d8df78cb2d,9fe2f917-990c-4ad0-8a64-5e8dec6358ef
PETROKIMIA GRESIK,01.08.2023.2311,PETROKIMIA GRESIK,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Bentuk Lainnya,Pendaftaran Baru,2023-10-25,2028-10-25,0,33f5a734-f2b2-4c05-abfe-e0aebd8110cb,3c5752ce-3f32-4537-8e7a-beb109499f5a
DUNIA FLORA,01.01.2026.585,HASYA JAYA SHAFADILA,Pupuk Hara Makro Sekunder,Butiran (Granular),Pendaftaran Ulang Ganjil,2026-08-07,2031-08-07,0,3407c879-957d-4033-8119-e937d4242a07,58d70865-08fa-4272-a9e2-9148f7513a5a
Biojagat,03.02.2025.26,CENTRA BIOTECH INDONESIA,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2024-12-06,2029-12-06,0,340d877d-1619-4e38-b970-ee5bce6ff871,09254dce-0b6b-4d2d-bf6e-39a3cde25c25
RHIZOTRENT,03.03.2023.669,BIOSINDO MITRA JAYA,Hayati Tunggal,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-04-10,2028-04-10,0,3414b031-927e-459e-ae64-eb221f4ca2a7,22467575-da67-4185-ac25-95522add6acd
POLYCAMI,01.02.2026.185,ARINDAMA NAWASENA AMERTA,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Baru,2026-02-27,2031-02-27,0,3419e3f9-f9f7-4c36-82eb-f2b71c3affae,32edfd6c-636c-43ef-83e2-d43cc0b2c66d
HUMMER,04.03.2025.29,MITRA TANI ABADI,Senyawa Humat,Tepung (Powder),Pendaftaran Baru,2024-12-31,2029-12-31,0,341a2cc9-348f-44ef-95c5-5ca925e2be07,55d3b120-e759-496c-ac25-e190445775a9
BAHARI,04.01.2026.206,JAYA TANI,Pembenah Tanah Dolomit,Butiran (Granular),Pendaftaran Ulang Ganjil,2026-05-05,2031-05-05,0,342321ab-d815-4485-ae58-0cfddcf57850,8a7b1ebb-1458-41cf-be0d-f59563dac840
MENTARI,01.01.2023.794,PERMATA AGRO PERSADA,Pupuk Amonium Sulfat (ZA) {NH4)2SO4},Butiran (Granular),Pendaftaran Ulang Ganjil,2023-03-02,2028-03-02,0,342b1e46-5381-43cd-a400-9defe782d0de,d6995698-8fd6-4d4e-81b6-f09a2d303f26
SAMZEO,04.01.2022.863,SAMUDRA PUTRA SEJAHTERA,Zeolit,Butiran (Granular),Pendaftaran Baru,2022-08-25,2027-08-25,0,342b99f3-4b73-463d-af65-174471fd4a5f,f4addc0b-697f-4aaa-b1b1-e867723dc77b
Petro Kimiganik,02.01.2020.341,SINKA SINYE AGROTAMA,Pupuk Organik,Butiran (Granular),Pendaftaran Ulang Ganjil,2020-06-30,2025-06-30,0,343f7db7-b7dc-49a5-a652-80367c60015d,10e649b6-8e32-4f51-a3ff-4ac29c9843fd
CIPMAPE CIPMANTAP,01.01.2025.18,CIPTA MAKMUR PERTIWI,"Pupuk Hara Makro Majemuk
",Butiran (Granular),Pendaftaran Baru,2024-12-05,2029-12-05,0,3448b1fb-9bba-4294-a9d1-96f284722940,3f95834b-f146-496b-b46a-f6bf85ce6e69
MAGIC COR,01.03.2026.78,BUNGA AGRO LESTARI,"Pupuk Hara Makro Majemuk
",Tepung (Powder),Pendaftaran Baru,2026-01-02,2031-01-02,0,344cb871-a886-4efb-bf65-412a0193b26e,1f56ffe5-9b64-48e5-bfca-f1af6b185d78
CAP MATAHARI TERBIT,04.03.2023.1029,SARI TANI,Dolomit,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-09-11,2028-09-11,0,346b7001-6418-4ccd-ac7c-b3feaf818ecb,bcda0117-5832-4b83-9487-d5910db7dd9d
GLB,04.03.2022.1025,GREENLIFE BIOSCIENCE,Senyawa Humat,Tepung (Powder),Pendaftaran Baru,2022-10-07,2027-10-07,1,3472d3a4-f225-4551-beb7-078cd0956112,2de0c443-bec5-4535-b71e-c2d933b778a7
PADI KENCANA,04.01.2024.132,SURYA ARTHA SENTOSA,Dolomit,Butiran (Granular),Pendaftaran Ulang Ganjil,2023-08-07,2028-08-07,0,347c23a2-641f-4cfd-ba40-f81f4951e78b,e8472138-89a5-429b-a452-f8ecca1a75ae
CENDRAWASIH,04.03.2023.1083,CIPTA MAKMUR PERTIWI,Dolomit,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-10-27,2028-10-27,0,348a699b-780f-469d-8149-f452f3772118,3f95834b-f146-496b-b46a-f6bf85ce6e69
TM3,04.03.2025.545,CV REZKI UTAMA MANDIRI,Dolomit,Tepung (Powder),Pendaftaran Ulang Ganjil,2025-12-09,2030-12-09,0,3490a765-67dc-43eb-8a27-0ea534c85669,31ae846a-3205-4930-aa22-46063efe6e9a
SOILUPMAX,02.02.2024.275,BUMI MAKMUR SEJAHTERA LAMONGAN,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-06-10,2029-06-10,0,34a9b7eb-a5ec-40cd-bc10-3259a524d552,29859bca-a1ef-46d1-bae0-1a991ed594b1
IMMUNATE,01.02.2026.466,PRIMA AGRO NETWORK,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Ulang Ganjil,2026-06-09,2031-06-09,0,34beb3ee-e7c1-4394-ae5a-a6a1b6c345d7,512a2320-88ce-4f04-bcfc-e785acdfacfa
AOA,03.02.2022.1178,PESANGGEM MITRA ABADI,Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Genap,2022-11-15,2027-11-15,0,34c86015-b638-48c9-922f-a3093477ffc7,2b511a77-2341-47e0-973e-9dd5da235e64
LAO YING,01.01.2024.1171,MEST INDONESIY,,Butiran (Granular),Pendaftaran Baru,2024-02-02,2029-02-02,0,34cec9ab-06fd-4f3e-b23d-aa243ca5799b,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
BIO BEST,03.01.2025.283,CHRISTDO TITIAN JAYA,Hayati Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-07-07,2030-07-07,0,34eb5468-1612-4143-aacd-069097ac3e37,4fe86ee3-3ff5-4833-a85d-6580305e0232
GRO,01.03.2017.296,MAJU MAKMUR UTOMO,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2022-11-29,2027-11-29,0,34f8a118-1ad6-42b3-aabc-dc10bb247b1b,8ecd40c8-d272-453f-9337-1958de3d86f7
MGO -36 PLUS,01.01.2023.2031,BLANG RAYA INDO,,Butiran (Granular),Pendaftaran Baru,2023-08-18,2028-08-18,0,3506ef2f-c3d5-41d0-8ed7-3c0791063f84,8e9f17f5-d999-47d2-9f3c-b072db00260e
PALMO,01.08.2025.143,SARASWANTI ANUGERAH MAKMUR,"Pupuk Hara Makro Majemuk
",Bentuk Lainnya,Pendaftaran Baru,2025-02-11,2030-02-11,0,350c3d99-8e96-4142-b7db-56cba72d4dd8,967cd363-b7d3-4db1-8f41-9cf78bbf91b2
BioGEN,03.02.2024.43,INDORAYA MITRA PERSADA SERATUS ENAM PULUH DELAPAN,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2024-01-19,2029-01-19,1,350cdde4-77e1-4feb-a0e7-50ad77051e36,59ab7e41-7ae3-4df8-a7f0-4cb8ae8401b8
Sugih Tani,02.02.2026.213,PT. ECO AGRO MANDIRI,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2026-04-28,2031-04-28,0,350ff8c9-29cf-491a-a92e-afbeda647b53,50f674f7-648f-4654-afbc-f6572bed957b
VERTINE,01.02.2026.95,MITRA TANI INDONESIA,"Pupuk Hara Makro Majemuk
",Cair (Liquid),Pendaftaran Ulang Ganjil,2026-01-06,2031-01-06,0,3518e3fd-f799-49d8-aa77-82307ca2dfb8,8e1bd7fb-7921-44a8-8cac-3ad36e17e42c
MAMIGRO,01.03.2021.551,MULTI SARANA INDOTANI,Pupuk Hara Makro Majemuk,Tepung (Powder),Pendaftaran Ulang Ganjil,2021-02-09,2026-02-09,0,3524d25c-d9d7-47d6-be13-3401ad6978bc,17c107d0-3d9b-4d1e-8ab0-cef63ae94f9f
SATO-KALI SPECIAL OP+B,01.01.2025.603,BEHN MEYER AGRICARE,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-07-10,2030-07-10,0,352ce910-a9b7-4ffb-9687-ffa003bb2134,3d48529b-97aa-48d6-b6ad-cbfa089183bc
CMP-36,01.01.2026.393,CIPTA MAKMUR PERTIWI,Pupuk Fosfat Alam Untuk Pertanian,Butiran (Granular),Pendaftaran Baru,2026-05-10,2031-05-10,0,3532dd90-f341-47bb-8770-b94d0051c9e6,3f95834b-f146-496b-b46a-f6bf85ce6e69
SBS Grow Great With Our Products,04.03.2026.49,SINAR BUKIT SIAUR,Pembenah Tanah Dolomit,Tepung (Powder),Pendaftaran Baru,2026-01-10,2031-01-10,0,3535986d-397c-4a98-9935-be4e7d1c4cd2,cd7d6b48-b551-4b8a-9586-e19cfe77a860
BASFOLIAR COMBI STIPP,01.02.2023.647,BEHN MEYER AGRICARE,,Cair (Liquid),Pendaftaran Baru,2023-01-30,2028-01-30,0,35410232-f7da-4fc4-bd88-a12c9af6f7ed,3d48529b-97aa-48d6-b6ad-cbfa089183bc
CAP DAUN,01.03.2025.611,AGRO TRADISI,Pupuk Amonium Klorida (NH4Cl),Tepung (Powder),Pendaftaran Baru,2025-07-07,2030-07-07,0,354ae789-4f06-4055-8070-5316198814c8,0c0eb372-bad4-47dc-b7e1-4fb2e186274c
Cap TUNAS HIJAU,01.01.2025.809,BUMI PERSADA SIDAYU,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-10-03,2030-10-03,0,3555409e-7f55-410c-bf2c-576f7f81b786,d0d74ead-f5e9-4d05-96d2-972517aec86c
Benmax,02.02.2024.231,INDO ACIDATAMA,Pupuk Organik,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-05-20,2029-05-20,0,3574129c-3b15-4882-880c-d147e095b59a,cb888ba5-4be8-4687-bb57-dc016697f2bd
AMONG TANI,01.01.2024.562,SARI KRESNA KIMIA,,Butiran (Granular),Pendaftaran Ulang Ganjil,2024-06-06,2029-06-06,0,359ece9d-d049-4176-94c3-2ccb7a994edc,8ba060a7-9fce-4493-a5c1-6f4bec0de492
SAPI LIAR,01.01.2024.268,CENTRA AGRO PRATAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2024-03-05,2029-03-05,0,35afcf97-46fc-4725-94b6-9618fe6e5c83,7aa0c579-0ff1-4f22-b0ea-323c0b45fef7
YARAMILA PALMAE,01.01.2022.1810,YARA INDONESIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2022-11-30,2027-11-30,0,35bd6ee0-5ce2-4bfb-bf20-f459ba79d4d2,72858262-579f-4e19-adb4-b0c0da229c71
PUKOR TESTING 22 NOV,02.07.2022.363,SMARTSOFT DIGITAL TEKNOLOGI,Pupuk Organik,Pelet,Pendaftaran Baru,2022-02-14,2027-02-14,0,35cd7913-80ad-4888-8b83-cdf3bb47fd9f,5f5a7363-a8d7-47a8-bf95-63f50f7e89c5
BestAi73,02.02.2026.22,TIGA MUARA EMAS MAKMUR,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-12-22,2030-12-22,0,35d957d8-8186-4929-a9ba-9f5ac56824b1,bf26d82e-65e0-4cae-834e-18f79b664637
IMPETUS,01.01.2022.603,BEHN MEYER AGRICARE,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2022-03-09,2027-03-09,1,35e9b696-6174-4da6-b999-8b5a4b2107b0,3d48529b-97aa-48d6-b6ad-cbfa089183bc
BIOCOMP,03.02.2024.62,BIO INDUSTRI NUSANTARA,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2024-01-23,2029-01-23,0,35eb5680-eb8a-491b-bc02-0d62b1a3943b,d2fefa2c-e1c0-4fe1-90e0-287981079578
SPRY-UP,02.02.2026.33,WAHANA PUNDIKARSA ABADI,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2026-01-08,2031-01-08,0,35f49746-fe14-4087-9b5a-327c97dcc3fc,8aab4baa-1455-479e-b5c5-3662740a1860
GMP Pupuk Keajaiban Daur Ulang Teknologi Bakteri,03.03.2025.99,INDONESIA GREEN INNOVATION,Hayati Majemuk,Tepung (Powder),Pendaftaran Baru,2025-02-21,2030-02-21,0,35f989a0-c111-483a-9288-f64fc3678f3f,6b4e66d1-3179-4e5b-ac0e-4830366e1e21
PAK TANI,01.01.2024.95,SAPROTAN UTAMA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-01-04,2029-01-04,1,361327c7-8d4f-42a8-8d90-b56109bfcd7f,32a5fc08-615e-4849-9010-dfc08eaec4e8
DEOTHREATLAND23+SAB,03.02.2024.60,SUMBER ALAM BAROKAH,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2024-01-22,2029-01-22,0,36177a2a-fcf4-4abd-b46c-db88063babc7,ddae9cb3-3c24-40b4-b8c8-fbec9964dd9f
ANN BIO PLUSH,03.02.2022.335,NUSA NUR AGRO,Hayati Majemuk,Cair (Liquid),Pendaftaran Ulang Ganjil,2022-01-19,2027-01-19,0,36188687-986b-4dc8-bc56-b88bb94e1edc,f9ff5631-2826-4644-ad7d-b3115d5d54f9
AGRI NUSA,03.02.2024.124,AGRI NUSA TANI,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2024-03-19,2029-03-19,0,361a82c9-e45a-43ce-8897-02075fce1e1e,544a066e-d2b2-4710-9518-6c5464aad38f
testanorganikSK,01.07.2022.1639,PT. Pemohon (DUMMY),Pupuk Hara Mikro Tunggal,Pelet,Pendaftaran Baru,2022-11-11,2027-11-11,0,361ea496-4dcc-4b7a-b045-44db118aa71d,a453da12-6663-4bf1-ba94-64e03831e8c5
ASIA MIKRO EDTA,01.03.2023.2167,ASIA MIKRO PUPUK,Pupuk Hara Mikro Tunggal,Tepung (Powder),Pendaftaran Baru,2023-09-15,2028-09-15,0,361fe839-8f79-4f81-99f5-66a3f73d007f,53541c72-e69b-4b5b-8489-2610a130dd17
Prima+,04.01.2022.1062,SETIA USAHA TANI MANDIRI,Organik,Butiran (Granular),Pendaftaran Baru,2022-10-14,2027-10-14,2,36264fe9-9e26-48de-9848-3e327e4cfe0a,ba13f2d9-de14-4800-abf3-8aa608f3a958
Cap Batang Sawit,04.03.2023.788,PUTRA MAKMUR BERJAYA,Dolomit,Tepung (Powder),Pendaftaran Baru,2023-03-20,2028-03-20,0,362b3013-b372-4039-ad90-fe9abf2be8b9,370bfe42-c234-42fc-85ee-17414dd986c2
TaBurMas,03.02.2023.474,AGRO LESTARI MAKMUR NUSANTARA,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2023-02-14,2028-02-14,0,362b70dc-5406-42dd-8c3b-d132893eea2f,9c763544-2110-4967-a818-b4fb0e09afa4
PRIMATRUBUSEVIT,01.02.2021.767,RAJA GROUP INDONESIA,,Cair (Liquid),Pendaftaran Baru,2021-07-07,2026-07-07,1,362e1922-f990-483a-afa6-806f5d707c5e,5712eb69-03e4-4e93-9a88-bae5658d92ee
NEO PROMESS,01.02.2024.632,UD Primagro,,Cair (Liquid),Pendaftaran Ulang Ganjil,2024-06-11,2029-06-11,0,363ba13f-d4fc-4430-83f7-4a4f2dc6f927,baac0661-9be3-424a-bc02-ddb660bcb827
BIGCALSIUM,04.03.2025.304,AGRO JAYA INDONESIA,Kaptan,Tepung (Powder),Pendaftaran Baru,2025-07-10,2030-07-10,0,364b48a8-34b4-42b9-862a-8abd4580155f,6bc2a54e-041c-492c-b30b-2b3833352908
YIELDMORE,02.02.2025.296,TRASH FORMER INDONESIA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-06-23,2030-06-23,0,366447f6-0baf-4cc1-95c5-9372315c0dc3,76dc2d1a-7445-48be-8faa-7cc1b3c2dc13
BAPAK IBU TANI,01.01.2025.505,MULYO TANI MAKMUR,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2025-06-20,2030-06-20,0,36672bda-1557-4b85-ae99-2c752c898c13,35ee5e80-82a7-43cf-a7e2-0e688dfcfb58
JASMINE GROW,02.07.2026.284,LUMBUNG AGRO MAKMUR,Pupuk Organik,Pelet,Pendaftaran Baru,2026-06-02,2031-06-02,0,366ea6b5-173f-4066-b6c5-4df4f7db2719,a0b43c77-8c10-47a5-8e59-0d6598a0e6c7
Ferticomp,01.01.2025.528,NUSA PALAPA GEMILANG,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2025-07-01,2030-07-01,0,3674e910-d0f9-4165-a727-51dd726e45f8,410b43f6-6853-4a96-aae8-150df846a16e
FORMITRA,01.01.2024.950,FORMITRA MULTI PRAKARSA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Baru,2024-08-08,2029-08-08,0,367f03c9-f8e5-4635-a3d8-c08345623dc3,42288d58-ac7c-4cce-8a76-86664ebdf90c
KANDANG DAMAR,03.02.2022.1148,PETERNAKAN MAJU BERSAMA,Hayati Majemuk,Cair (Liquid),Pendaftaran Baru,2022-10-25,2027-10-25,0,3684422b-9303-4c7f-9bab-54b8b8f2f822,33a699df-6ca1-49ec-a4fe-951fc99a8206
SAMHUMAT,04.03.2023.428,ARTHA PRIMA HUMATINDO,Organik,Tepung (Powder),Pendaftaran Ulang Ganjil,2023-02-02,2028-02-02,0,368c5de4-9c75-4370-a179-dc02f455219a,b59cc7bf-c872-4654-99a8-a56418f09065
Golden Summit,01.03.2025.327,GOLDEN SUMMIT JAYA,"Pupuk Hara Makro Majemuk
",Tepung (Powder),Pendaftaran Baru,2025-03-28,2030-03-28,0,368f3086-803e-4e31-af5b-026b6915f8cd,ca936000-add1-4c44-8702-30f1e9d3558a
KINGSOLUTION,02.02.2025.289,AGRO JAYA INDONESIA,Pupuk Organik,Cair (Liquid),Pendaftaran Baru,2025-07-09,2030-07-09,1,36936a5e-1b40-4c88-8a27-5daf4705daaa,6bc2a54e-041c-492c-b30b-2b3833352908
MANISKALI,01.08.2026.183,CARLINDO SERASI ABADI,"Pupuk Hara Makro Majemuk
",Bentuk Lainnya,Pendaftaran Baru,2026-03-02,2031-03-02,0,36c68137-2b77-40a8-9358-b0b438fb0cdb,1211d7a9-a798-422a-ab3d-f3cd12c6d19c
PEAT-Kay Plus,01.01.2021.561,PT AGRI HIKAY INDONESIA,Pupuk Hara Makro Majemuk,Butiran (Granular),Pendaftaran Ulang Ganjil,2021-02-22,2026-02-22,2,36c84d4a-112e-420d-b130-298a6033ee56,c9eeec76-340a-4731-b32a-f02d19a99052
DAUN SAWIT,01.03.2025.162,PT. Multi Mas Chemindo,,Tepung (Powder),Pendaftaran Baru,2025-01-17,2030-01-17,0,36d93945-99fd-4b86-b3f4-f4ad52b0927c,fbdb0e81-027b-4762-b83e-25caf0314a73
