merk_dagang,nomor_pendaftaran,pemegang_pendaftaran,jenis_formula,bentuk_formula,warna_pupuk,jenis_permohonan,tanggal_terbit,tanggal_berakhir,id_perusahaan
BAPAK IBU TANI,02.03.2019.123,CV. Mulyo Tani Makmur,organik,Tepung,Hitam dan Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8be21e9c-b423-4467-bc20-d8b594535708
FRENSOIL ,04.01.2019.163,PT Tunas Makmur Jaya Abadi,pembenah tanah,Butiran,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,ae93e0ab-4065-4dff-9aed-af8fa0aa8099
JADI MAS,01.01.2018.038,PT JADI MAS,an-organik,Butiran,Natural,An-organik - Pendaftaran Baru,2018,2023,2004b629430939f680b316dd09563d4d3955
JADI MAS,01.01.2019.081,PT JADI MAS,an-organik,Butiran,Natural,An-organik - Pendaftaran Baru,2018,2023,2004b629430939f680b316dd09563d4d3955
MULTI JAGUNG,,PT.TANINDO INTERTRACO,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,71f6ceda-37e5-4309-b02e-cf7eb6e4675c
JADI MAS,01.01.2019.026,PT JADI MAS,an-organik,Butiran,Natural,An-organik - Pendaftaran Baru,2018,2023,2004b629430939f680b316dd09563d4d3955
JADI MAS,01.01.2019.061,PT JADI MAS,an-organik,Butiran,Natural,An-organik - Pendaftaran Baru,2018,2023,2004b629430939f680b316dd09563d4d3955
TYGRO UP,,CV MANUNGGAL ABADI SENTOSA,organik,Cair,Biru tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,db7b9e01b49dd526035182654b89be334775
GLB,03.02.2018.175,PT Greenlife Bioscience,dekomposer,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,2de0c443-bec5-4535-b71e-c2d933b778a7
POWER-K,01.02.2019.137,PT. SURYA CIPTA PERKASA YOGYAKARTA,an-organik,Cair,Merah Muda,An-organik - Pendaftaran Baru,2018,2023,ecce99c4-56dc-4395-a88a-418c6e77d1a0
RexGrow,01.01.2019.102,PT. Nusa Mandiri Utama,an-organik,Butiran,Biru,An-organik - Pendaftaran Baru,2018,2023,6b1a7999-7515-4097-89f6-27a8069e8d46
HDR,,UD. Primaagro,organik,,,Organik/Hayati/Pembenah Tanah - Pengalihan Nomor Pendaftaran,2018,2023,31d36cb3-7bfa-443b-9fce-0c5113a77e73
ZIRAEA,02.01.2018.178,CV Alam Hijau,organik,Butiran,Hitam Keputihan/Abu-abu,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8c3a5caf-e323-4035-97c5-7ce3d4154c08
GRO-MATE Ls,,PT Tunas Agro Persada,organik,Cair,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,b2980a9b-fa49-4984-be77-0b6990cd50c8
FOSCANIKA,04.01.2019.084,PT. Cipta Makmur Pertiwi,Pembenah Tanah Dolomit,Butiran,Merah dan Biru,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,3f95834b-f146-496b-b46a-f6bf85ce6e69
YEASE+ ,,PT Tunas Agro Persada,organik,Cair,Coklat Tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,b2980a9b-fa49-4984-be77-0b6990cd50c8
BIOTOGROWTOP,03.02.2019.012,CV. Bakti Alam Nusantara,hayati,Cair,Coklat Tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8bf8a523-4a6c-4d36-9401-f064e2a96f25
MOAF,02.03.2018.157,PT.PROPADU KONAIR TARAHUBUN,organik,Tepung,Coklat Abu Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,996a1523-6b3f-430b-96c6-1042c96d7dac
MASTOFOL TRISTAR,01.02.2019.055,PT Kalatham,an-organik,Cair,Coklat Tua,An-organik - Pendaftaran Baru,2018,2023,332c30f1-9d1a-455e-b156-b5a84b8816fc
Microgen Gold,,PT. AGROINDO,an-organik,Butiran,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,025d90e3-62eb-4752-9e6c-40d080d9099c
AMINOAGE,,PT Tunas Agro Persada,organik,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,b2980a9b-fa49-4984-be77-0b6990cd50c8
MZ2000,03.01.2019.111,PT. Intidaya Agrolestari,hayati,Butiran,Hijau,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,5cb84f6a-70f3-40b5-94d9-5f8b3a644b27
testing 02,,Alwi Konsultan - TEST,NPK + TE,Butiran,Merah,An-organik - Pengantar Uji Untuk Pendaftaran Ulang Ganjil/Perubahan Warna (2,2018,2023,ff31b9bddd061e00851c3eeb82fccb867045
testing 003,,Alwi Konsultan - TEST,NPK + TE,Butiran,Merah,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,ff31b9bddd061e00851c3eeb82fccb867045
ROJO NUSANTORO,01.05.2019.028,CV. Agro Santanindo,an-organik,Prill,Merah Kecoklatan,An-organik - Pendaftaran Baru,2018,2023,5d951631-50a1-4912-832f-404ea7aa2bf2
Mahkota,,PT. SENTANA ADIDAYA PRATAMA,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
Mahkota,,PT. SENTANA ADIDAYA PRATAMA,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
PLUS,02.01.2019.168,Ud.sarana tani utama,organik,Butiran,Abu-Abu,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,e119c023-3f58-42ce-9d93-d5d91cfd435a
BEENSAE,03.03.2019.017,PT. Dharma Ayu Tani,hayati,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,aa2bb24e-cbe8-47b9-a001-0ca9341ab847
SUMICOAT,,PT. Tranquerah Nusantara Cerah,an-organik,Butiran,Campuran Coklat dan Putih,An-organik - Pendaftaran Ulang Ganjil,2018,2023,a44110d1-20aa-43bd-ab61-0b72ec7f4b2e
Sumicoat Peat II,,PT. Tranquerah Nusantara Cerah,an-organik,Butiran,Campuran Coklat dan Putih,An-organik - Pendaftaran Ulang Ganjil,2018,2023,a44110d1-20aa-43bd-ab61-0b72ec7f4b2e
TIGERCOTE,,PT. Tranquerah Nusantara Cerah,an-organik,Butiran,"Campuran Hitam, Kuning Coklat dan Merah Jambu",An-organik - Pendaftaran Ulang Ganjil,2018,2023,a44110d1-20aa-43bd-ab61-0b72ec7f4b2e
BIO COMPOS,02.01.2019.059 ,PT. Angputra Global Organik,organik,Butiran,Coklat Keabu-abuan / Natural,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,422d53df-5d3b-40e2-b047-8234de979e26
HDR,02.02.2019.038,PT. Dharma Ayu Tani,organik,Cair,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2018,2023,aa2bb24e-cbe8-47b9-a001-0ca9341ab847
BUAMAX,,PT. HANAMPI SEJAHTERA KAHURIPAN,NPK Padat (SNI),Butiran,"Coklat, Ungu, Biru, Merah, Abu-Abu",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,ab602e40-08fa-483a-a5f6-66810d0530e3
PELANGI,01.01.2019.196,PT Pupuk Kalimantan Timur,an-organik,Butiran,"Putih, Hitam, Merah, Abu-abu, Coklat, Hijau",An-organik - Pendaftaran Ulang Genap,2018,2023,3af996a5b19bf8ac5db58137d8d1afed4892
TRIPLE SEVEN ,,PT Arindo Utama Perkasa,dekomposer,Cair,Coklat Muda,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,416d0681-6484-411d-9388-f3027ed8ee02
KING LATEKS,02.03.2019.170,CV. Tresno Bumi Lestari,organik,Tepung,Hitam Kecoklatan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,eae04bf8-8b6e-4dd2-8fb0-f014a7ab273b
Sunripe,,Alwi Konsultan - TEST,Urea (SNI),Butiran,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,ff31b9bddd061e00851c3eeb82fccb867045
BAPAK IBU TANI,,CV. Mulyo Tani Makmur,Super Fosfat (SP-36) (SNI),Butiran,Abu-Abu,An-organik - Pengantar Uji Untuk Pendaftaran Ulang Ganjil/Perubahan Warna (2,2018,2023,8be21e9c-b423-4467-bc20-d8b594535708
Benmax,03.02.2018.162,PT. INDO ACIDATAMA Tbk,dekomposer,Cair,Coklat tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,cb888ba5-4be8-4687-bb57-dc016697f2bd
basser,03.02.2019.062,PT Bio Sarana Indonesia,hayati,Cair,Coklat tua ,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,78d3425127b884db94af363e9881326a3854
suburmandiri,,PT. Bhadra Cemerlang,NPK Padat (SNI),Butiran,"Coklat, Merah",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,9661cc7e-1465-405d-80f7-6d5a52a26d3a
MAHKOTA,,PT. SENTANA ADIDAYA PRATAMA,Diammonium Phosphate,Butiran,Kuning Kecoklatan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,36c5c4f2-e215-4d04-9948-8926fb16c0a5
MAHKOTA,,PT. WILMAR CHEMICAL INDONESIA,Diammonium Phosphate,Butiran,Kuning Kecoklatan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,f46679f0-5a47-4d85-97e4-cd22abc7bb79
JAPPER,,CV.Sekar Sari,NPK Cair,Cair,Hijau,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,80dfb013-3002-4b2f-a595-16b0efbb9269
RE-VIT GROW,,C.V. Berkat Eya Pratama,An-Organik Cair (Majemuk Makro),Cair,Hijau,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,c07c9718-c214-4b66-afbf-7c2c8ca20266
Microgen,,PT. AGROINDO,Mikro Majemuk/ Padat Butiran,Butiran,Coklat,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,025d90e3-62eb-4752-9e6c-40d080d9099c
ABABIL,04.03.2019.155,PT. Agro Nusantara Indonesia,Pembenah Tanah Kapur Pertanian,Tepung,Putih Kekuningan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,bb37937f-0268-4c86-bfae-a7e67378958a
Sea Winner Alga 21 ST,02.03.2020.051,PT Exindo Raharja Pratama,organik,Tepung,Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Genap,2019,2024,2004b629430939f680b316dd09563d4d1027
POLIVIT-PIM,01.03.2020.042,PT Pupuk Iskandar Muda,Potassium Magnesium Sulfate,Tepung,Abu-Abu,An-organik - Pendaftaran Baru (2018),2019,2024,44888217f0464d617d930bb0abffc3b12168
POLIVIT-PIM,,PT Pupuk Iskandar Muda,Potassium Magnesium Sulfate,Tepung,Abu-Abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,44888217f0464d617d930bb0abffc3b12168
Elemento,,PT. AGROINDO,Mikro Majemuk/ Padat Butiran,Butiran,Coklat,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,025d90e3-62eb-4752-9e6c-40d080d9099c
SINAR MATAHARI,,PT. Molindo Raya Industrial,,Butiran,Abu-abu kehitaman,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,ab67c7fe-548a-4c2d-bd84-adbddc0745c5
BIO INTAN TANI,02.03.2019.144,CV. Varia Chemika,organik,Tepung,Coklat dan Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,da47b98e-6770-49fb-b35d-bacab553369c
PAMORGANIK MAS ,02.03.2019.077,CV.UTAMA KARYA TANI,organik,Tepung,Hitam keabu-abuan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,50b852eb-8b33-4976-94f7-89275c5375a2
SEJAHTERA ABADI (SJA),02.03.2019.075,CV. Sejahtera Abadi,organik,Tepung,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,3f7ffbc9-3e6c-47d3-b3fe-7ebe1fcd8614
BESGREEN,,PT. TIARA BUANA MANDIRI,Potassium Nitrat,Kristal,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,36144a66-b620-4878-9b70-b492165f2ddf
BENASIL,,UD. PRIMAGRO,Nitrogen Phosphate,Butiran,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,baac0661-9be3-424a-bc02-ddb660bcb827
LAO YING,,PT. MEST INDONESIY,ZnSO4,Padat Butiran,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,bb03ab12-99e8-46cb-91a4-f237f3ce0ffd
PINKSKA,04.01.2020.058,PT. Cipta Makmur Pertiwi,Pembenah Tanah Dolomit,Butiran,Merah dan Biru,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,3f95834b-f146-496b-b46a-f6bf85ce6e69
MEGA _BIO K,02.01.2020.008,CV. Mega Organofertlizer,organik,Butiran,Coklat Tua /Hitam,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,0c496ac58b4898b510132b58728761671117
BUMI ANDALAN,,PT.GEMILANG ANDALAN PRATAMA,Fosfat Alam untuk Pertanian (SNI),Tepung,COKLAT KEKUNINGAN,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,609ab9e45e4119ac0dff043fc6e5da379978
MIKROMATE Mag ,,PT. HANAMPI SEJAHTERA KAHURIPAN,an-organik,Butiran,Putih,An-organik - Pendaftaran Ulang Ganjil,2018,2023,ab602e40-08fa-483a-a5f6-66810d0530e3
MENTARI,,PT. Permata Agro Persada,Diammonium Phosphate,Butiran,Kuning Kecoklatan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,d6995698-8fd6-4d4e-81b6-f09a2d303f26
POLYSULPHATE,,PT. Agrotama Tunas Sarana,An-organik,Butiran,Putih Keabu abuan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,83c743cb-4ec1-4b82-ae85-3a1f26750e30
POLYSULPHATE,01.01.2019.180,PT. Agrotama Tunas Sarana,Makro Majemuk,Butiran,Putih Keabu-abuan,An-organik - Pendaftaran Baru (2018),2018,2023,83c743cb-4ec1-4b82-ae85-3a1f26750e30
Nitralite,,PT Pupuk Indonesia (Persero),Nitrogen sulfat,Butiran,"cokelat muda, ungu, keabuan",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,4a4f695d-430d-417f-83d1-4895100ae731
MIKROKING,,PT Carlindo Serasi Abadi,Hara Mikro Padat,Butiran,Coklat muda,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,1211d7a9-a798-422a-ab3d-f3cd12c6d19c
basser,03.02.2019.070,PT Bio Sarana Indonesia,dekomposer,Cair,Coklat tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,78d3425127b884db94af363e9881326a3854
Panen Gemilang,,PT GREEN PLANET INDONESIA,organik,Cair,Coklat Tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,6e954f56-4ff7-4a1e-ad11-9e3b303a59e1
NAFU,02.02.2019.082,PT Bio Sarana Indonesia,organik,Cair,Coklat tua,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,78d3425127b884db94af363e9881326a3854
Saritana,02.02.2020.069,PT SASA INTI,organik,Cair,Coklat kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,9e6b53aa-6646-4603-a540-511ff386e894
Wonderfat,02.02.2019.044,PT Tunas Agro Persada,organik,Cair,Coklat Muda,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,b2980a9b-fa49-4984-be77-0b6990cd50c8
BASACOTE,,PT. BEHN MEYER AGRICARE,NPK Padat (SNI),Butiran,Hijau,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,3d48529b-97aa-48d6-b6ad-cbfa089183bc
Long Fert,,PT. Graha Inti Jaya,Makro Tunggal MgO,Butiran,Coklat,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,c50efd56-c373-4d84-9ade-e8af91cdd07a
BUAMAX,01.01.2018.349,PT. HANAMPI SEJAHTERA KAHURIPAN,NPK Padat (SNI),Butiran,"Coklat, Ungu, Biru, Merah, Abu-Abu",An-organik - Pendaftaran Baru (2018),2018,2023,ab602e40-08fa-483a-a5f6-66810d0530e3
Long Fert,,PT. Graha Inti Jaya,Makro Majemuk NP Granul,Butiran,Putih Abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,c50efd56-c373-4d84-9ade-e8af91cdd07a
MENTARI,,PT. Permata Agro Persada,NPK Padat (SNI),Butiran,Kuning Kecoklatan,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,d6995698-8fd6-4d4e-81b6-f09a2d303f26
MANISKALI,,PT Carlindo Serasi Abadi,Makro Majemuk,Butiran,Coklat Muda,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,1211d7a9-a798-422a-ab3d-f3cd12c6d19c
GOLDEN GRO,02.02.2019.033,PT. Maju Makmur Utomo,organik,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
LUKISAN BURUNG,,PT.MEROKE TETAP JAYA,Urea (SNI),Butiran,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
Mutiara PADI,,PT.MEROKE TETAP JAYA,NPK Padat (SNI),Prill,Beige,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
HH,02.02.2019.032,PT. Maju Makmur Utomo,organik,Cair,Bening,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
Black horse,,PT TOYA INDO MANUNGGAL,an-organik,kristal,Biru,An-organik - Pendaftaran Ulang Ganjil,2018,2023,5358b90b-153f-485d-8c08-10071338d0fe
MACARENA,,PT. CATUR AGRODAYA MANDIRI,Makro Mikro Campuran,Cair,Coklat,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,7e6a63e1-f1cd-49ae-baec-30120b2877f1
WEATHER KING,02.02.2019.047,PT. Maju Makmur Utomo,organik,Cair,Bening,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
Bio Organic Synergist (BOS) ,03.03.2019.131,PT. JNS Sejahtera Bersama,hayati,Tepung,Putih sampai kekuningan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8bd30080-4ff6-4a74-89c6-a3eef5230d63
SEJAHTERA,,PT Gresik Cipta Sejahtera,Kieserite (Magnesium Sulphate Powder),Tepung,PUTIH,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,2d76f9c0-5abc-4dec-8238-cdc7598356d1
NITRO LEVELING,02.02.2019.110,PT. Maju Makmur Utomo,organik,Cair,Bening,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
SPEEDGRO,02.02.2019.119,PT. Maju Makmur Utomo,organik,Cair,coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
FELO,02.02.2019.088,PT. Maju Makmur Utomo,organik,Cair,Coklat,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,8ecd40c8-d272-453f-9337-1958de3d86f7
AGROBLEN ,,PT. Agrotama Tunas Sarana,NPK Padat (SNI),Butiran,Coklat,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,83c743cb-4ec1-4b82-ae85-3a1f26750e30
ORISOSA ,02.08.2020.076,CV MULTIAGRO SARANA CEMERLANG,organik,Padat Serbuk,Coklat muda,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,01599250-07ef-48cf-90ee-1d3f6de0d0ee
SPEEDEXTRA,,CV Makmur Jaya Bekasi,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,d9455270-b268-414e-9b6c-c3545125eeb9
nutrizim,,CV. Bima Agung Sejahtera,organik,Remah (Diperkaya Mikroba),Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,d9f6effe-20d5-45d1-8081-40e2064c3d05
nutrizim,,CV. Bima Agung Sejahtera,organik,Butiran,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,d9f6effe-20d5-45d1-8081-40e2064c3d05
STOUT,,PT. RIZKY FAJAR AGRO,NPK cair ( PPC),Cair,merah,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,e48de99d-005d-43b8-89e6-2d174382adf4
RADAR,02.03.2019.079,CV. SASANDO,organik,Tepung,Kuning kecoklatan,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,6c0ff3e4-7c0f-4316-a59b-0b25080405a2
SoluMAG,,PT.MEROKE TETAP JAYA,Makro Sekunder Majemuk,Tepung,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
OSMOCOTE ,,PT. Agrotama Tunas Sarana,NPK Padat (SNI),Butiran,Coklat,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,83c743cb-4ec1-4b82-ae85-3a1f26750e30
SoluMAG-G,,PT.MEROKE TETAP JAYA,Makro Sekunder Majemuk,Butiran,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
MerokeMAG-S,,PT.MEROKE TETAP JAYA,Makro Majemuk,Tepung,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,a5a2f54e-db06-45ca-acd3-bf7db4701956
POHON SERAI,,UD. Makmur Jaya,Pembenah Tanah Dolomit,Tepung,Putih,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,65ac4d7ac5228ad185570fe2d39424639408
SOBU,,CV Makmur Jaya Bekasi,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,d9455270-b268-414e-9b6c-c3545125eeb9
TEMBUS,,PT. RIZKY FAJAR AGRO,NPK cair ( PPC),Cair,Hijau,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,e48de99d-005d-43b8-89e6-2d174382adf4
VAKSINPLANT,,CV Makmur Jaya Bekasi,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,d9455270-b268-414e-9b6c-c3545125eeb9
VAKSINPLANT,,CV Makmur Jaya Bekasi,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,d9455270-b268-414e-9b6c-c3545125eeb9
SPEEDEXTRA,,CV Makmur Jaya Bekasi,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,d9455270-b268-414e-9b6c-c3545125eeb9
SOBU,,CV Makmur Jaya Bekasi,an-organik,,,An-organik - Pengalihan Nomor Pendaftaran,2018,2023,d9455270-b268-414e-9b6c-c3545125eeb9
Ajifol,,PT AJINOMOTO INDONESIA,an-organik,Cair,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,e8f40095-3ba8-457e-8f5c-81d2ce9bb4e7
Lumbrico,,PT Mitra Sukses Agrindo,organik,Tepung,Abu - abu,Organik/Hayati/Pembenah Tanah - Pendaftaran Ulang Ganjil,2018,2023,c08cf796-e57f-4ce1-9292-5019bc1b3bc3
KANCIL EMAS,,PT. SANLEX MALINDO,Triple Super Fosfat (TSP) (SNI),Butiran,"Putih, Abu-Abu",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2019,2024,46eccec8-2718-4ecf-82b0-d69f6c5a43e9
HARACOAT,,PT. HANAMPI SEJAHTERA KAHURIPAN,NPK Padat (SNI),Butiran,"Ungu, Hijau, Biru, Coklat, Putih, Merah, Hitam",An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,ab602e40-08fa-483a-a5f6-66810d0530e3
FullGRO,02.07.2019.014,PT.Vietindo Agro Lestari,organik,Pelet,coklat kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,eaa3249f-fab3-4e3e-bb35-baa31fdf9c4f
GFERT,,PT. Gemilang Eka Dharma,an-organik,Tepung,PUTIH KEABU-ABUAN,An-organik - Pendaftaran Ulang Ganjil,2018,2023,1fd3f6c3-e418-4bc1-8aa4-71d77c90198c
Ajifol,,PT AJINOMOTO INDONESIA,an-organik,Cair,Coklat,An-organik - Pendaftaran Ulang Ganjil,2018,2023,e8f40095-3ba8-457e-8f5c-81d2ce9bb4e7
HARACOAT,01.01.2019.135,PT. HANAMPI SEJAHTERA KAHURIPAN,NPK Padat (SNI),Butiran,"Ungu, Hijau, Biru, Coklat, Merah, Putih, Hitam.",An-organik - Pendaftaran Baru (2018),2018,2023,ab602e40-08fa-483a-a5f6-66810d0530e3
MAGRIMAX,,PT. Agrotama Tunas Sarana,an-organik,Butiran,Abu- Abu,An-organik - Pendaftaran Ulang Ganjil,2018,2023,83c743cb-4ec1-4b82-ae85-3a1f26750e30
MARVEL,,CV. GRAHA AGRITECH PRIMA,Potassium Nitrat,Prill,Putih,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,797d955e-00f7-4e17-b1d9-e90627f8195d
NATURES,02.08.2019.043,PT. DAMAI AGRO MANDIRI,organik,Remah,Coklat Kehitaman,Organik/Hayati/Pembenah Tanah - Pendaftaran Baru,2018,2023,69310bcc-194b-4196-9eae-3e5d4bc569eb
DWIBOR,,PT. DWIAGRI MAKMUR INTERTRADE,mikro majemuk padat butiran,Butiran,Abu-abu,An-organik - Pengantar Uji Untuk Pendaftaran Baru/Ulang Genap/Penambahan Pro,2018,2023,43c8b8e0-a204-40f3-85c0-63a29552d28a
