pemegang_pendaftaran,jumlah_produk,sumber
SAF AGRO JAYA,3,SIMPEL
JENGGONG MAGTASIDA GRUP,3,SIMPEL
BIMAGRO INDONESIA,3,SIMPEL
BUMI SUBUR RIZQUNA,3,SIMPEL
CIPTA SARANA INDOTANI,3,SIMPEL
CV AGRO PETANI MAJU,3,LEGACY+SIMPEL
PT. Perdagangan Indo Mandiri Sejati,3,LEGACY+SIMPEL
PT. WAHANA PUNDIKARSA ABADI,3,LEGACY
CV Alam Hijau,3,LEGACY
PT PRIMA AGRO TECH,3,LEGACY
CV. Agronusa Mandiri,3,LEGACY
PT. DWIAGRI MAKMUR INTERTRADE,3,LEGACY
CV.MITRA TANI ABADI JAYA,3,LEGACY
PT. POMAL BEKA MANDIRI,3,LEGACY
PT Nusamas Kimia Persada,3,LEGACY
PT BIOTIS AGRINDO,3,LEGACY
PT. MULTIKIMIA AGRO SEJAHTERA,3,LEGACY
PT Exindo Raharja Pratama,3,LEGACY
PT Greenlife Bioscience,3,LEGACY
PT Kalatham,3,LEGACY
PT. Angputra Global Organik,3,LEGACY
PT Bio Sarana Indonesia,3,LEGACY
CV.UTAMA KARYA TANI,3,LEGACY
PT TOYA INDO MANUNGGAL,3,LEGACY
CV. Duta Surya Alam,3,LEGACY
PT. PUPUT TANI MANDIRI,3,LEGACY
CV. Sumber Rejeki,3,LEGACY
PT. PRIMA MULIA ABADI,3,LEGACY
PT. Polowijo Gosari,3,LEGACY
PT. Centra Agro Pratama,3,LEGACY
MAHITALA MIRA INDONESIA,2,SIMPEL
BASF DISTRIBUTION INDONESIA,2,SIMPEL
MANIS SPORTIF,2,SIMPEL
KURNIA AGRO,2,SIMPEL
SAWIT CENTER INDONESIA,2,SIMPEL
SELLA SANGIANG ASRI,2,SIMPEL
PT.Alas Metuah Perdana,2,SIMPEL
BIO NUSANTARA ALAMI,2,SIMPEL
ROJO KOYO MANUNGGAL GROUP,2,SIMPEL
BIOTECH FERTILIZER INDONESIA,2,SIMPEL
TUNAS JAVA MANDIRI,2,SIMPEL
PANDAWA AGRI INDONESIA,2,SIMPEL
RAJA BENUA MAS,2,SIMPEL
PT. Pakar Pupuk Nusantara,2,SIMPEL
BIOTIS AGRINDO,2,SIMPEL
BENE PYTO TANI JAYA,2,SIMPEL
BERKAT MANNA MAJU,2,SIMPEL
PRIMA AGRO LANCAR,2,SIMPEL
CV. SUMBER MULYO SEJAHTERA,2,SIMPEL
TANI MAS SUBUR,2,SIMPEL
TIGA MUARA EMAS MAKMUR,2,SIMPEL
DEWARI AGRO SAKTI,2,SIMPEL
CV. Intan Permata Dunia,2,SIMPEL
PT.NOVACHEM ADAMANTINA,2,SIMPEL
SURYA DUTA GREENINDO,2,SIMPEL
RAYON UTAMA KHATULISTIWA,2,SIMPEL
GLOBALINDO INTI PERSADA,2,SIMPEL
KIRANI AGRINUSANTARA,2,SIMPEL
DWI KENCANA ABADI,2,SIMPEL
SUMATERA MINERAL SEJAHTERA,2,SIMPEL
ADITYA MANDIRI UTAMA,2,SIMPEL
INTER AGRO INDONESIA,2,SIMPEL
PT. Tri Mukti Nusantara Indonesia,2,SIMPEL
PT. SINAR PERSADA JAYA,2,SIMPEL
WIRA TANI MAKMUR,2,SIMPEL
AGRI KEMIA NATURA,2,SIMPEL
TRITAMA WIRAKARSA,2,SIMPEL
AGRO SANTANINDO,2,SIMPEL
SAGARA PRIMA PERKASA,2,SIMPEL
ELEVASI AGRI INDONESIA,2,SIMPEL
PT. VERONA MULTIKIMIA ABADI,2,SIMPEL
AGUNG PRATAMA INDONESIA,2,SIMPEL
PT. Balohan Jaya Utama,2,SIMPEL
MULTIKIMIA AGRO SEJAHTERA,2,SIMPEL
MUSTIKA AGRO TANI,2,SIMPEL
BAHAGIA ALAM SEJATI,2,SIMPEL
DIAMOND INTEREST INTERNATIONAL,2,SIMPEL
SUMBER AGUNG PUTRA JAYA,2,SIMPEL
PUNDI NUSANTARA RAYA,2,SIMPEL
MESUNJA PRIMA TECH,2,SIMPEL
PT. REJOSO MANIS INDO,2,SIMPEL
JAYA SRI BERSAMA,2,SIMPEL
GEMOLONG SUCI,2,SIMPEL
SAHABAT TANI MANDIRI,2,SIMPEL
KHARISMA MUTIARA AGRO,2,SIMPEL
SRI REJEKI FERTILIZER,2,SIMPEL
PUTRA NUSA,2,SIMPEL
KARFOS,2,SIMPEL
CV. SAMI JAYA AGRO,2,SIMPEL
ANUGRAH CEMERLANG INDONESIA,2,SIMPEL
GRAHA BIOFARM SOLUSI,2,SIMPEL
CV. BUMI AGRO FERTILIZER,2,SIMPEL
BIO AGRO REVOLUTIONARY UTILITY,2,SIMPEL
SUMANS MANDIRI SEJAHTERA,2,SIMPEL
MEDIA BUANA PERSADA,2,SIMPEL
CV. PRIMA TANI MANDIRI,2,SIMPEL
CIBADAK AGRI,2,SIMPEL
PENTA AGROCHEM MULIA,2,SIMPEL
DASTRA KARYA SEMESTA,2,SIMPEL
BERJAYA INTI PERKASA,2,SIMPEL
CV. SAHABAT TANI MANDIRI,2,SIMPEL
NUSANTARA SEJAHTERA MEDICA,2,SIMPEL
CV. PARI MAS,2,SIMPEL
CENTA BRASINDO ABADI CHEMICAL INDUSTRY,2,SIMPEL
SUAKABUMI,2,SIMPEL
PT. Inovasi Natural Bio Organik,2,SIMPEL
REZEKI UTAMA JAYA,2,SIMPEL
PT. Menara Dwikarya Prima,2,SIMPEL
ADAMAS MAKMUR SEJAHTERA,2,SIMPEL
WINDU KENCANA MULYA,2,SIMPEL
AMANAH JAYA TANI,2,SIMPEL
CV. BRISH WATE,2,SIMPEL
CV. SABAR BERSAUDARA,2,SIMPEL
CV.PETRO INTI PERKASA,2,LEGACY+SIMPEL
GADASAKTI AGRITEK PRATAMA,2,SIMPEL
PT.SUBUR ALAM SEJAHTERA,2,SIMPEL
BUMI SUBUR KHATULISTIWA,2,SIMPEL
BUMI PARIGI,2,SIMPEL
PROFARM FERTILINDO,2,SIMPEL
GAUDY BARCA PUTRA,2,SIMPEL
AGRO JAYA OKTAVIANT,2,SIMPEL
CV. Randu Aji,2,SIMPEL
TRIDI AGENG GEMILANG,2,SIMPEL
HASYA JAYA SHAFADILA,2,SIMPEL
CV REZKI UTAMA MANDIRI,2,SIMPEL
PESANGGEM MITRA ABADI,2,SIMPEL
INDONESIA GREEN INNOVATION,2,SIMPEL
SETIA USAHA TANI MANDIRI,2,SIMPEL
AGRO LESTARI MAKMUR NUSANTARA,2,SIMPEL
LUMBUNG AGRO MAKMUR,2,SIMPEL
GOLDEN SUMMIT JAYA,2,SIMPEL
MAHESA PANTURA GRESIK,2,SIMPEL
PT. AGRO NIAGA GLOBALINDO,2,SIMPEL
BIOMINO INDONESIA PERSADA,2,SIMPEL
AWM ELITE INTERNATIONAL,2,SIMPEL
PRIMA MULIA ABADI,2,SIMPEL
WISH INDONESIA,2,SIMPEL
DIRA LIMINDO PUTRA,2,SIMPEL
BARU INDONESIA,2,SIMPEL
JOS AGRO MANDIRI,2,SIMPEL
SUMBER REJEKI,2,SIMPEL
AGRO BIO MAHLIGAI,2,SIMPEL
ANUGERAH DOLOMIT INDONESIA,2,SIMPEL
SAMUDERA ATLANTIK JAYA ABADI,2,SIMPEL
SUKSES ABADI TANI INDONESIA,2,SIMPEL
MANUVERE EGLORY CHEMAGRI,2,SIMPEL
EKARAYA,2,SIMPEL
CV. Sinar Surya,2,SIMPEL
SOLUSI TANI INDONESIA,2,SIMPEL
FERTINDO AGRONUSA PERSADA,2,SIMPEL
CV. Pilar Fasa Mandiri,2,SIMPEL
ESA DISTRIBUSI NUSANTARA,2,SIMPEL
CINDE LARAS,2,SIMPEL
JAVA KARLOS INDONESIA,2,SIMPEL
SAFE CHEMICAL INDONESIA,2,SIMPEL
PT. Satya Agrindo Perkasa,2,SIMPEL
PRIMA AGRO ORGANIC,2,SIMPEL
EKA TIMUR RAYA,2,SIMPEL
PT.PRATAMA SUBUR AGRITAMA,2,SIMPEL
GRHA FERRY INDUSTRI,2,SIMPEL
SIDENRENG AGRO INNO TECH,2,SIMPEL
YIH SHENNINDO MAKMUR JAYA,2,SIMPEL
CV. Bumi Agro Indonesia,2,SIMPEL
AGRO TANI MAJU SEJAHTERA,2,SIMPEL
CV. PUSAKA ALAM,2,LEGACY+SIMPEL
BORNEO INTECH,2,SIMPEL
KHANSA CITRA BUANA,2,SIMPEL
AGRI MAKMUR MEGA PERKASA INDO,2,SIMPEL
DHARMA GUNA,2,SIMPEL
GRESIK NUSANTARA FERTILIZER,2,SIMPEL
PT SATYA PADMA AGRISOL,2,SIMPEL
CV. Sinar Sejahtera,2,SIMPEL
PT.MITRA UTAMA MAKMUR,2,SIMPEL
CV SURYA CITRA PERKASA,2,SIMPEL
BENIH BERKAH BERSERI,2,SIMPEL
WIBAWA MUKTI,2,SIMPEL
MITRA TANI GROUP INDONESIA,2,SIMPEL
MEGARHIZO EGA PERSADA,2,SIMPEL
MEGAH AGRI MEDIA BAROKAH,2,SIMPEL
CV. Bambu Emas,2,SIMPEL
CV. PUPUK AGRI MANDIRI,2,SIMPEL
BEKTI JOYO SAMPURNO,2,SIMPEL
AGRO GEMILANG INDONESIA,2,SIMPEL
AZELIS INDONESIA DISTRIBUSI,2,SIMPEL
MULTI AGRINDO NUSANTARA,2,SIMPEL
GUANO BERKAH SEJAHTERA,2,SIMPEL
MENTHOBI HIJAU LESTARI,2,SIMPEL
TECHNER INDO RAYA,2,SIMPEL
HUMAN LIFE INDONESIA,2,SIMPEL
HIMALAYA AGRO INVESTAMA,2,SIMPEL
NAKULA AGRI JAYA,2,SIMPEL
DEKA AGRO PRODUCT,2,SIMPEL
ANUGERAH DOLOMIT LESTARI,2,SIMPEL
MARZUQ,2,SIMPEL
PT.BUMI PERKASA AGRINDO,2,SIMPEL
GRAHA AGRITECH PRIMA,2,SIMPEL
GREENTRACK TECHNOLOGY INDONESIA,2,SIMPEL
MERDEKA BAHARI INDONESIA,2,SIMPEL
INOVASI FERTILIZER GROWPLANT,2,SIMPEL
ANSELL AGRO INDONESIA,2,SIMPEL
AGAPE SINAR NUSANTARA,2,SIMPEL
TIGA DARA JAYA,2,SIMPEL
INTER ALL,2,SIMPEL
PILAR LIMA,2,SIMPEL
MAKRO CHEMINDO,2,SIMPEL
RILIS,2,SIMPEL
PT. MITRA CHEMICAL WISESA,2,SIMPEL
MAMORA MARTUA JAYA,2,SIMPEL
"Tiara Kurnia, PT",2,SIMPEL
TANATANI,2,SIMPEL
KANANITORA,2,SIMPEL
PT.MYCO AGRO LESTARI,2,SIMPEL
PT. BIOGREEN AGRO NUSA,2,SIMPEL
BUMI AGRO FERTILIZER,2,SIMPEL
PROSPER MEGA NUSANTARA,2,SIMPEL
CV. AGRO MITRA BERJAYA,2,SIMPEL
HABIBI PUTRA TANI,2,SIMPEL
PT. INDOGAL AGRO TRADING,2,SIMPEL
CV. BAROKAH ZA,2,SIMPEL
PT. Catur HIdayah Lestari,2,SIMPEL
EMPAT LIMA NUSWANTORO,2,SIMPEL
DHARMA KARTAPURA,2,SIMPEL
GRAHA AGRO,2,SIMPEL
ALAM MANFAAT BERKAH,2,SIMPEL
PT. Sarana Agro Panata,2,SIMPEL
BINTANG MARGOMULYA ORGANIK,2,SIMPEL
PETROKIMIA KEBOMAS GRESIK,2,SIMPEL
LINTANG BORNEO MANDIRI INDONESIA,2,SIMPEL
KUTAI AGROLESTARI MAKMUR,2,SIMPEL
PUTRA KIMIA GRESIK,2,SIMPEL
PT. Bio Takemi Global,2,SIMPEL
BAYER INDONESIA,2,SIMPEL
AGRO MARITIM NUSANTARA,2,SIMPEL
NUSANTARA SURYA BENIH,2,SIMPEL
EKO SUNGKONO,2,SIMPEL
CV ALAM MAKMUR TANI AGRO,2,SIMPEL
AGRONIKO NUSANTARA,2,SIMPEL
PUTRA BARAGE RAYA,2,SIMPEL
PT. BINTANG CHEMICAL ABADI,2,SIMPEL
JAKE AGRO JAYA,2,SIMPEL
CV. CENTRA AGRINUSA,2,SIMPEL
BIO CYCLE INDO,2,SIMPEL
SUBUR MAKMUR ORGANIK,2,SIMPEL
PT Mycotech Agro Asia,2,SIMPEL
KKI NUSANTARA SUKSES,2,SIMPEL
AGRI JAYA MANGGALA,2,SIMPEL
PT. TIMUR ALAM RAYA,2,SIMPEL
CV. Rachma Farm Sejahtera,2,SIMPEL
TRI MITRA AGRO UTAMA,2,SIMPEL
HANEARL SCIENCE INDONESIA,2,SIMPEL
MEREK INDAH LESTARI,2,SIMPEL
SEHAT CEMERLANG SEJAHTERA,2,SIMPEL
CV Pandu Pratama Karya,2,SIMPEL
SUMBER AGRO PERKASA,2,SIMPEL
ALISHAN NUSA INDAH,2,SIMPEL
PRIMA AGRO LESTARI,2,SIMPEL
MITRA SUKSES AGRINDO,2,SIMPEL
BAKAPINDO,2,SIMPEL
PT. SURYA PRATAMA ALAM,2,SIMPEL
SONGGOLANGIT PERSADA,2,SIMPEL
SARI MAHAPHALA INDONESIA,2,SIMPEL
UD. Mitra Merdeka Tani,2,SIMPEL
INDOSOL MAKMUR,2,SIMPEL
PT. Saribumi Dewatalestari,2,SIMPEL
SHINAMJAYA ABADI,2,SIMPEL
KRISNA CAKRA CYRILLA,2,SIMPEL
AGROCHEM MEGA GLOBALINDO,2,SIMPEL
BIO AGRITECH NUSANTARA,2,SIMPEL
SATRIA JAYA,2,SIMPEL
NUSA BERKAT ALAM,2,SIMPEL
KARUNIA ROTORINDO TANI,2,SIMPEL
CV. Bulaksari Farm,2,LEGACY+SIMPEL
GEMA MITRA ANDALAN,2,SIMPEL
HUSNA AGRO PERKASA,2,SIMPEL
ANEKA NUTRISI GLOBAL INDONESIA,2,SIMPEL
LOH JINAWI AKSHAYA,2,SIMPEL
PT ISARU TEKNOLOGI NUSANTARA,2,SIMPEL
CV. BUMI AGRO MANDIRI,2,SIMPEL
META JAYA,2,SIMPEL
TRUBUS MITRA SWADAYA,2,SIMPEL
SEMERU 23 GROUP,2,SIMPEL
PT. Soko Tani Sejagad,2,SIMPEL
PT. AGROMAX ALAMI SUKSES,2,SIMPEL
SARANA UTAMA LESTARI ALAM,2,SIMPEL
CV. Casa Farm Hidroponik,2,SIMPEL
AGRO BEN INDONESIA,2,SIMPEL
BUKIT RAYA,2,SIMPEL
MERPORIZAD BERKAH ABADI,2,SIMPEL
RESTU MANDIRI INDONESIA,2,SIMPEL
BELIRANG KALISARI,2,SIMPEL
KARUNIA PERMATA UTAMA,2,SIMPEL
PT DIC Graphics,2,LEGACY+SIMPEL
Koperasi Puspa Kencana,2,SIMPEL
PT. Hasya Jaya Shafadila,2,SIMPEL
HSP CITRA GLOBAL,2,SIMPEL
PT. YUDHA PERDANA ANGESTI,2,LEGACY
CV. PERSADA MAKMUR TANI SENTOSA,2,LEGACY
CV. BUMIKITA MAKMUR,2,LEGACY
PT. BUKIT PRIMA NIAGA,2,LEGACY
CV. PRIMA AGRO LANCAR,2,LEGACY
PT. Andalan Usaha Indonesia,2,LEGACY
PT. Dwi Mitra,2,LEGACY
CV. Cahaya Abadi,2,LEGACY
PT. Cahaya Inti Tunggal,2,LEGACY
CV. BUMI INDO RAHARJA,2,LEGACY
PT. Makro Chemindo,2,LEGACY
CV. Satria Jaya,2,LEGACY
CV PALUGADA SUKSES BERSAMA,2,LEGACY
PT. SURYA CIPTA PERKASA YOGYAKARTA,2,LEGACY
PT. Bhadra Cemerlang,2,LEGACY
CV.Sekar Sari,2,LEGACY
C.V. Berkat Eya Pratama,2,LEGACY
CV. GRAHA AGRITECH PRIMA,2,LEGACY
PT. Sarana Utama Lestari Alam,2,LEGACY
CV. Yoland Tani Indonesia,2,LEGACY
PT. BUMI TANI SUBUR,2,LEGACY
CV Agro Niaga Sejati,2,LEGACY
PT POLARCHEM,2,LEGACY
CV AGRO JAYA OCTAVIANT,2,LEGACY
Koperasi Karyawan Puspa Kencana,2,LEGACY
PT FAJAR BUANA CHEMICAL,2,LEGACY
PT. SUBUR INDAH SUKSES GEMILANG,2,LEGACY
CV. Empat Serangkai,2,LEGACY
PT. Bayer Indonesia,2,LEGACY
CV.Mitra Tani Abadi,2,LEGACY
PT Agri Maju Perkasa,2,LEGACY
CV DUTA LIMAS,2,LEGACY
CV. AGRO BIO MAHLIGAI,2,LEGACY
PT. Petrosida Gresik,2,LEGACY
PT.OAT MITOKU AGRIO,2,LEGACY
PT. AGROABADI MAKMUR PERSADA,2,LEGACY
PT. Anugerah Pupuk Lestari,2,LEGACY
CV. Rejeki Lumintu Makmur,2,LEGACY
PT. Bandung Inovasi Organik,2,LEGACY
PT. Tiara Kurnia,2,LEGACY
CV. Jaya Makmur Sentausa,2,LEGACY
CV. Rahma Jaya,2,LEGACY
PT. Ria Indo Agri,2,LEGACY
CV. Blessindo Maju Bersama,2,LEGACY
PT.MULTI SARANA INDOTANI,2,LEGACY
PT ANUGERAH PUPUK MAKMUR,2,LEGACY
PT.GUNUNG BERKAT SEJAHTERA,2,LEGACY
PT. Alam Lestari Maju Indonesia,2,LEGACY
PT .PLANETBIRU INDONESIA,2,LEGACY
PT PRIMASID ANDALAN UTAMA,2,LEGACY
SUMBER UTAMA TANI,1,SIMPEL
DAMAI SINERGI NUSANTARA,1,SIMPEL
HATTARA CITRA ARGO,1,SIMPEL
SAMAWA AGRO PERSADA,1,SIMPEL
STELLAR AGRI INDONESIA,1,SIMPEL
SAWONGGALING NUSANTARA,1,SIMPEL
CV. SURYA PETANI,1,SIMPEL
FAJAR RIZQY TANI,1,SIMPEL
GEMILANG BERKAH USAHA,1,SIMPEL
PUTRA SHB SEJAHTERA,1,SIMPEL
BERKATINDO NUSANTARA BERSINAR,1,SIMPEL
CV.KWADRAN JAYA MANDIRI,1,SIMPEL
PT. Sitosu Agro Cemerlang,1,SIMPEL
BENIH ROMAN AGRO,1,SIMPEL
CV. SAKINA AGRO INDUSTRI,1,SIMPEL
PT.AGRITEK SUKSES INDONESIA,1,SIMPEL
BUMI MAKMUR WIDYADHANA,1,SIMPEL
RATAMA ELON PERKASA,1,SIMPEL
HIDUP TUMBUH BERJAYA,1,SIMPEL
ULIE HOPE SO,1,SIMPEL
PT.MANDIRI DASAR UTAMA,1,SIMPEL
BIOTEK AGRO NUSANTARA,1,SIMPEL
PATIH GAJAHMADA,1,SIMPEL
ASTINA MEGAH ABADI,1,SIMPEL
ANAYA GLOBAL INDONESIA,1,SIMPEL
SINAR ADHIKARI ARYASATYA,1,SIMPEL
SITOSU AGRO CEMERLANG,1,SIMPEL
BERKAH ALAM NUSANTARA FERTILIZER,1,SIMPEL
JANTHO MAJU TANI,1,SIMPEL
ORGANIK KARYA INDONESIA,1,SIMPEL
HARMONI INCORPORATION,1,SIMPEL
POSCO INTERNATIONAL INDONESIA,1,SIMPEL
TOGA CIPTA FLORA,1,SIMPEL
CV. DARMAPURI AGRO SEMESTA,1,SIMPEL
CV. Agroxplore Indonesia,1,SIMPEL
WILDO NATURAL INDONESIA,1,SIMPEL
RIZKY AGRO MAKMUR,1,SIMPEL
MESS JAYA INDONESIA,1,SIMPEL
BIOCARE INDONESIA LANGGENG,1,SIMPEL
JENGGONG MULYA JAYA SENTOSA,1,SIMPEL
PANEN INTI NUSANTARA,1,SIMPEL
GUNUNG MAS MAHRAJA GURAH,1,SIMPEL
SINERGI CATALIS INDONESIA,1,SIMPEL
SOIL AGRO SOLUTION,1,SIMPEL
PELITA SAWIT NUSANTARA,1,SIMPEL
TANAHMERAH BERKAT BESTARI,1,SIMPEL
JAL SANI,1,SIMPEL
MANDIRI SAPROTAN JAYA,1,SIMPEL
MINARET CROWN ENERGY INTERNATIONAL,1,SIMPEL
BULAN BINTANG JAYA,1,SIMPEL
COKRO JOYO MITRA TANI,1,SIMPEL
PT. Barokah Pinilih Agrotama,1,SIMPEL
FITRIINDO LITE,1,SIMPEL
SUPRANUSA INDOGITA,1,SIMPEL
JAVANICA AGROSCIENCE INDONESIA,1,SIMPEL
KAYA ALAM INDUSTRI,1,SIMPEL
PRIMA PANCA AGRO,1,SIMPEL
PUPUK INDONESIA NIAGA,1,SIMPEL
PUTRA KEMBAR BINJAI,1,SIMPEL
DANGIANG SRI,1,SIMPEL
PT HIJAU BUMI INDONESIA,1,SIMPEL
PABRIK GULA RAJAWALI II,1,SIMPEL
RIZQI SEMESTA,1,SIMPEL
MAYANGKARA INDO TANAM,1,SIMPEL
CAHAYA AGROLEV KENCANA,1,SIMPEL
MUTU AGROBIOCHEM NUSANTARA,1,SIMPEL
GAHENDRA ABADI JAYA,1,SIMPEL
PEKEBUN SWADAYA KELAPA SAWIT LABUHANBATU,1,SIMPEL
TAKA SARANA TEKNO,1,SIMPEL
BIO AGRO LESTARI INDONESIA,1,SIMPEL
MUTIARA BENIH NUSANTARA,1,SIMPEL
PETRO BUMI HIJAU GRESIK,1,SIMPEL
BARDLIN PRAWARA LOKA,1,SIMPEL
TATA TANI INDONESIA,1,SIMPEL
MAHAMERU ASTANA SRIYA,1,SIMPEL
BERKAH AUTO SUKSES SEJAHTERA,1,SIMPEL
VIETINDO AGRO LESTARI,1,SIMPEL
SEHAT BUMI SEMESTA,1,SIMPEL
CV. BIR ALI JAYA,1,SIMPEL
SUMBER MAKMUR AGROINDO,1,SIMPEL
PT. FORMULA DISTRIBUSI KIMIA,1,SIMPEL
PRATAMA BUANA RAYA,1,SIMPEL
IRSYAM BINA FLORA,1,SIMPEL
SHANI PURA,1,SIMPEL
AGRO CULTURE,1,SIMPEL
MTW LAM BLANG,1,SIMPEL
BUNAYYA AGRI,1,SIMPEL
BINTANG WARNA,1,SIMPEL
SASA INTI,1,SIMPEL
CV. Bintang Berlian,1,SIMPEL
ZPT NATURE INDONESIA,1,SIMPEL
PUTRA KRUENG JREU,1,SIMPEL
JAYA ABADI JAYA,1,SIMPEL
PT. BIO MARAJA NUSANTARA,1,SIMPEL
KRT GREEN INDONESIA,1,SIMPEL
CV.MITRA FARM MAJU BERSAMA,1,SIMPEL
ZEE LORA GLOBAL INTERNASIONAL,1,SIMPEL
WASKITA INTI NUSANTARA,1,SIMPEL
CV. Flow Utama Nusantara,1,SIMPEL
GEMILANG AGRO AGRAMIN,1,SIMPEL
SOMPOAN SULAWESI SEJAHTERA,1,SIMPEL
PETRO BUMI HIJAU,1,SIMPEL
LAWOY BUMI ANUGERAH,1,SIMPEL
CAHAYA BUANA ASIA,1,SIMPEL
ETHAN GROUP,1,SIMPEL
PT. AWAL TIGA MANDIRI,1,SIMPEL
BIO SAMURAI JAPKORI,1,SIMPEL
SUNAN DRAJAT LAMONGAN,1,SIMPEL
CEPOGO AGRO LESTARI,1,SIMPEL
KARYA BIRU INOVASI,1,SIMPEL
HAYATI MAKMUR INDONESIA,1,SIMPEL
CV. GAZALA SEJAHTERA MADANI,1,SIMPEL
CIN KOREA NUSANTARA INDONESIA,1,SIMPEL
SUGI TEKNIK PANGAN,1,SIMPEL
CV JAYA FARMINDO,1,SIMPEL
CV. HMS GLOBAL,1,SIMPEL
WIJAYA SAKTI ABADI AGRIKULTUR,1,SIMPEL
BUANA HIJAU PRATAMA,1,SIMPEL
BAROKAH TANI JAYA BERSAMA,1,SIMPEL
DAKSA YEKTI PRATAMA,1,SIMPEL
DAVIANDRA NIAGA NUSANTARA,1,SIMPEL
AGRIMAS CITRA MANDIRI,1,SIMPEL
KARUNIA AGRI UTAMA,1,SIMPEL
MATAHARI AGRI BERSAMA,1,SIMPEL
PT Agri Timur Mas,1,SIMPEL
AL HADID DUA PULUH,1,SIMPEL
MAULANA WIJAYA MANDIRI,1,SIMPEL
PRODUKSI TERNAK MAJU SEJAHTERA,1,SIMPEL
AGRO TANI PERTIWI,1,SIMPEL
POLARIS ORBIT INDONESIA,1,SIMPEL
MEKAR TANI SUKSES,1,SIMPEL
HIDAYAH AGRO MULYA,1,SIMPEL
PT. KK Indonesia,1,SIMPEL
PT KREASI SADAWIRA UTAMA,1,SIMPEL
GEMA FAJAR NUSANTARA,1,SIMPEL
CV. SUMBER USAHA ABADI,1,SIMPEL
BIOCHEM INTI GLOBAL,1,SIMPEL
ZAHRA INDO GREEN FARMERS,1,SIMPEL
WASTEX TECHNOLOGY INDONESIA,1,SIMPEL
TANI AGRI SUKSES,1,SIMPEL
ANUGRAH LESTARI INDONESIA,1,SIMPEL
PT. Zamrud Bumi Indonesia,1,SIMPEL
UD. KASIHAN JAYA,1,SIMPEL
BINA ZHINOFA INDUSTRI,1,SIMPEL
AUMA MAJU JAYA,1,SIMPEL
ANEKA FLORA INDONESIA,1,SIMPEL
AGRO BERKAH MANDIRI JAYA,1,SIMPEL
CV ANANTA WINANGUN,1,SIMPEL
CV TOYOPAMA,1,SIMPEL
SATRIA GUNUNG SAKTI,1,SIMPEL
ZEO BENT AGRO,1,SIMPEL
YORIYUSAKIFA YUKI KOMPOS,1,SIMPEL
LEMBAH NUSA ALAM,1,SIMPEL
SURYA BAHARI PERSADA,1,SIMPEL
MAKASSAR AGRO MANDIRI,1,SIMPEL
TELSAP UTAMA,1,SIMPEL
TERRA BARU INDONESIA,1,SIMPEL
CIPTA ALAM MUKTI,1,SIMPEL
JEMBATAN MERAH INDAH,1,SIMPEL
ASRI JAYA RAYA,1,SIMPEL
PT. ARTHASIDDHI SUKSES ANUGERAH,1,SIMPEL
ARYSTA LIFESCIENCE TIRTA,1,SIMPEL
SEKAR SARI JAYA,1,SIMPEL
SRI DIPO NUSWANTORO,1,SIMPEL
MENARA AGRO PRIMA,1,SIMPEL
AGRO MUJIZAT INTEGRASI NUSANTARA,1,SIMPEL
LENTERA KENCANA ABADI,1,SIMPEL
CV. Bunga Agro Lestari,1,SIMPEL
SAMUDRA PUTRA SEJAHTERA,1,SIMPEL
BUNGA AGRO LESTARI,1,SIMPEL
SARI TANI,1,SIMPEL
BUMI MAKMUR SEJAHTERA LAMONGAN,1,SIMPEL
CHRISTDO TITIAN JAYA,1,SIMPEL
BLANG RAYA INDO,1,SIMPEL
SINAR BUKIT SIAUR,1,SIMPEL
AGRI NUSA TANI,1,SIMPEL
PUTRA MAKMUR BERJAYA,1,SIMPEL
TRASH FORMER INDONESIA,1,SIMPEL
PETERNAKAN MAJU BERSAMA,1,SIMPEL
SUSIANTO TANUDJAJA,1,SIMPEL
ARPINDO PERKASA,1,SIMPEL
AGROJAYA LESTARI,1,SIMPEL
SUWARNI GLOBAL PERSADA,1,SIMPEL
JAVA INDAH,1,SIMPEL
GHM FARM TECH,1,SIMPEL
NAGAMAS ARIF SEJATI,1,SIMPEL
FERTILE ECOGREEN INDONESIA,1,SIMPEL
SARI SUBUR LANGGENG JAYA,1,SIMPEL
J.J TIGA PUTRI AGRICA,1,SIMPEL
MEGA KARYA GRESIK,1,SIMPEL
KOPERASI PRODUSEN KARYA NUGRAHA JAYA KUNINGAN,1,SIMPEL
RIAU TANI BERSATU,1,SIMPEL
KEMINDO INTERNATIONAL,1,SIMPEL
PETROKIMIA GRESIK INDONESIA,1,SIMPEL
REJEKI AGRO INDONESIA,1,SIMPEL
PT FIRDAUS BERJAYA INDAH,1,SIMPEL
FIDEC CIRCLE INDONESIA,1,SIMPEL
DUA RODA AGRO TERPADU,1,SIMPEL
DJUARA TANI NUSANTARA,1,SIMPEL
PARAMA AGROINDUSTRI DANAPATI,1,SIMPEL
PUTRA SIHOBON JAYA,1,SIMPEL
CV. KIAT AGRO MANDIRI,1,SIMPEL
HARVANITA AGRO NUSA,1,SIMPEL
ANTASENA TAMBANG MAKMUR,1,SIMPEL
DUA POETRA JAYA AGROLINK,1,SIMPEL
BERKAH SUKSES TEKNOLOGI,1,SIMPEL
WILMA RAGAM INFOPEN,1,SIMPEL
RIAU PRIMA ENERGI,1,SIMPEL
DUPA WANGI FERTILINDO,1,SIMPEL
