pemohon,jenis_badan,jumlah_varietas,jumlah_ejaan_digabung,komoditas_utama,komoditas_semua,tahun_pertama,tahun_terakhir,jenis_perizinan_terbanyak
Pemerintah Kabupaten Aceh Besar,Pemerintah,14,2,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran,2007,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Katingan,Pemerintah,14,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2013,2023,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Sumatera Selatan,Pemerintah,14,1,Tanaman Perkebunan,Tanaman Perkebunan,2019,2022,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Merangin,Pemerintah,14,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran,2008,2021,Pendaftaran Varietas Tanaman
PT Inko Seed Makmur,PT,14,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2005,2017,Pelepasan Varietas Tanaman
PT Branita Sandhini,PT,14,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2007,2016,Pelepasan Varietas Tanaman
CV Riawan Tani,CV,14,2,Tanaman Sayuran,Tanaman Sayuran,2003,2013,Pelepasan Varietas Tanaman
CV Duta Agro Utama  Nusantara,CV,14,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2007,2009,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Hulu Sungai Tengah,Pemerintah,13,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2007,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Serang,Pemerintah,13,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan,2009,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bandung,Pemerintah,13,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Pangan;Tanaman Sayuran;Tanaman Buah,2016,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Ngawi,Pemerintah,13,2,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah,2023,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tanggamus,Pemerintah,13,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Sayuran;Tanaman Pangan;Tanaman Flori,2010,2024,Pendaftaran Varietas Tanaman
PT Hibrida Jaya Unggul,PT,13,1,Tanaman Sayuran,Tanaman Sayuran,2022,2024,Pelepasan Varietas Tanaman
Pemerintah Provinsi Sumatera Utara,Pemerintah,13,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Sayuran;Tanaman Pangan,2014,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sigi,Pemerintah,13,1,Tanaman Pangan,Tanaman Pangan;Tanaman Flori;Tanaman Buah;Tanaman Perkebunan,2017,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Barito Timur,Pemerintah,13,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2018,2022,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Nusa Tenggara Barat,Pemerintah,13,1,Tanaman Pakan Ternak,Tanaman Pakan Ternak;Tanaman Buah;Tanaman Sayuran,2008,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sumbawa,Pemerintah,13,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan,2007,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sarolangun,Pemerintah,13,1,Tanaman Pangan,Tanaman Pangan;Tanaman Biofarmaka;Tanaman Buah,2008,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Banjarnegara,Pemerintah,13,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Tanaman Flori;Tanaman Biofarmaka,2010,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Halmahera Utara,Pemerintah,13,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2017,2018,Pendaftaran Varietas Tanaman
PTBISI International Tbk,perorangan/lainnya,13,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan,2014,2015,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Pati,Pemerintah,12,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan,2007,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Ponorogo,Pemerintah,12,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan,2008,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Purworejo,Pemerintah,12,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah,2018,2025,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Maluku,Pemerintah,12,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2011,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Padang Pariaman,Pemerintah,12,2,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Sayuran;Tanaman Pangan,2013,2024,Pendaftaran Varietas Tanaman
PT Raja Pilar Agrotama,PT,12,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2013,2023,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Subang,Pemerintah,12,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2008,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bone Bolango,Pemerintah,12,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan;Tanaman Sayuran,2018,2021,Pendaftaran Varietas Tanaman
"Departemen Agronomi dan Hortikultura, IPB",Perguruan tinggi,12,1,Tanaman Sayuran,Tanaman Sayuran,2007,2020,Pendaftaran Varietas Tanaman
PT Gunung Madu Plantations,PT,12,1,Tanaman Perkebunan,Tanaman Perkebunan,2008,2026,Pelepasan Varietas Tanaman
"Prof. Dr. Ir. Kuswanto, MS",perorangan/lainnya,12,1,Tanaman Sayuran,Tanaman Sayuran,2010,2014,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sorong Selatan,Pemerintah,12,1,Tanaman Perkebunan,Tanaman Perkebunan,2014,2014,Pendaftaran Varietas Tanaman
PT Global Agrotech,PT,12,1,Tanaman Sayuran,Tanaman Sayuran,2007,2009,Pelepasan Varietas Tanaman
PT Benih Inti Subur Intani,PT,12,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2003,2007,Pelepasan Varietas Tanaman
CV Triasputra Agro Maju Sejahtera,CV,11,2,Tanaman Sayuran,Tanaman Sayuran;Hortikultura,2021,2026,Pelepasan Varietas Tanaman
Pemerintah Daerah Kabupaten Dairi,Pemerintah,11,1,Hortikultura,Hortikultura;Tanaman Pangan;Perkebunan,2026,2026,Pendaftaran Varietas Lokal
PEMERINTAH DAERAH KABUPATEN WONOGIRI,Pemerintah,11,1,Perkebunan,Perkebunan;Tanaman Pangan,2026,2026,Pendaftaran Varietas Lokal
Universitas Bina Nusantara,Perguruan tinggi,11,1,Tanaman Flori,Tanaman Flori;Tanaman Biofarmaka;Tanaman Buah,2018,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bandung Barat,Pemerintah,11,1,Tanaman Flori,Tanaman Flori;Tanaman Buah;Tanaman Pangan,2021,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tanah Laut,Pemerintah,11,2,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Flori;Tanaman Biofarmaka,2007,2025,Pendaftaran Varietas Tanaman
CV Berkah Dulur Tani,CV,11,1,Tanaman Buah,Tanaman Buah,2017,2024,Pelepasan Varietas Tanaman
PT Tiara Buana Mandiri,PT,11,1,Tanaman Sayuran,Tanaman Sayuran,2019,2024,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Lombok Timur,Pemerintah,11,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Sayuran;Tanaman Perkebunan,2008,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Gorontalo Utara,Pemerintah,11,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran;Tanaman Flori,2018,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kampar,Pemerintah,11,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2007,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Agam,Pemerintah,11,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran,2009,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bangka Barat,Pemerintah,11,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan,2018,2023,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Bengkulu,Pemerintah,11,2,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2006,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Jepara,Pemerintah,11,1,Tanaman Buah,Tanaman Buah;Tanaman Biofarmaka,2008,2022,Pendaftaran Varietas Tanaman
Balai Besar Penelitian dan Pengembangan Bioteknologi dan sumber Daya Genetik Pertanian,Pemerintah,11,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2013,2022,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Majene,Pemerintah,11,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Sayuran;Tanaman Perkebunan,2018,2021,Pendaftaran Varietas Tanaman
PKBT IPB,Perguruan tinggi,11,1,Tanaman Buah,Tanaman Buah,2007,2009,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Kalimantan Tengah,Pemerintah,11,1,Tanaman Buah,Tanaman Buah;Tanaman Flori,2007,2007,Pendaftaran Varietas Tanaman
BPTK Gambung,perorangan/lainnya,11,1,Tanaman Perkebunan,Tanaman Perkebunan,1988,1998,Pelepasan Varietas Tanaman
PEMERINTAH DAERAH KABUPATEN SLEMAN,Pemerintah,10,1,Hortikultura,Hortikultura;Sumber Daya Genetik,2026,2026,Pendaftaran Varietas Lokal
PT Srijaya Internasional,PT,10,1,Tanaman Pangan,Tanaman Pangan,2022,2025,Perlindungan Varietas Tanaman
PT ASD-Bakrie Oil Palm Seed Indonesia,PT,10,3,Tanaman Perkebunan,Tanaman Perkebunan,2015,2025,Pelepasan Varietas Tanaman
Pemerintah Provinsi Maluku Utara,Pemerintah,10,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Sayuran;Tanaman Pangan;Tanaman Buah,2009,2025,Pendaftaran Varietas Tanaman
"PT Toba Pulp Lestari, Tbk",PT,10,3,Tanaman Kehutanan,Tanaman Kehutanan,2009,2024,Perlindungan Varietas Tanaman
Pemerintah Kota Binjai,Pemerintah,10,1,Tanaman Buah,Tanaman Buah,2012,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Barito Kuala,Pemerintah,10,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2007,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Semarang,Pemerintah,10,1,Tanaman Buah,Tanaman Buah;Tanaman Flori,2013,2024,Pendaftaran Varietas Tanaman
CV Everfresh,CV,10,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2015,2024,Pelepasan Varietas Tanaman
Pemerintah Provinsi Papua Barat,Pemerintah,10,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Sayuran;Tanaman Buah;Tanaman Pakan Ternak,2014,2023,Pendaftaran Varietas Tanaman
BB Biogen,Pemerintah,10,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Buah,2020,2023,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Seram Bagian Barat,Pemerintah,10,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah,2011,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten kepulauan Seribu,Pemerintah,10,2,Tanaman Buah,Tanaman Buah;Tanaman Biofarmaka;Tanaman Pangan,2017,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lamandau,Pemerintah,10,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Biofarmaka;Tanaman Flori,2017,2018,Pendaftaran Varietas Tanaman
PT Mitratani Dua Tujuh,PT,10,2,Tanaman Pangan,Tanaman Pangan,2005,2013,Pendaftaran Varietas Tanaman
Pusat Penelitian Pengembangan Tanaman Pangan,Lembaga riset,10,1,Tanaman Pangan,Tanaman Pangan,2011,2011,Pendaftaran Varietas Tanaman
"Asian Hybrid Seed Tehnologies, Inc",perorangan/lainnya,10,1,Tanaman Pangan,Tanaman Pangan,2002,2008,Pelepasan Varietas Tanaman
PT Monagro K.,PT,10,2,Tanaman Pangan,Tanaman Pangan,1985,2001,Pelepasan Varietas Tanaman
CV Merdeka Seed Terus Berkarya,CV,9,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Hortikultura,2020,2026,Pelepasan Varietas Tanaman
CV Danau Tondano Seed Expert,CV,9,2,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2023,2026,Pendaftaran Varietas Hasil Pemuliaan
CV Herkreasi,CV,9,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2023,2025,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Dairi,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Flori;Tanaman Perkebunan,2023,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Klaten,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan,2019,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lombok Utara,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2017,2025,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Sulawesi Selatan,Pemerintah,9,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan;Tanaman Sayuran,2008,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kuningan,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2008,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bengkulu Selatan,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan,2018,2024,Pendaftaran Varietas Tanaman
PTTUNAS WIDJI INTI NAYOTTAMA,perorangan/lainnya,9,1,Tanaman Pangan,Tanaman Pangan,2023,2023,Perlindungan Varietas Tanaman
"OR Hayati dan Lingkungan, BRIN",Lembaga riset,9,1,Tanaman Flori,Tanaman Flori;Tanaman Pangan,2022,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bondowoso,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2019,2022,Pendaftaran Varietas Tanaman
PT Biogene Plantation,PT,9,3,Tanaman Pangan,Tanaman Pangan,2008,2021,Pelepasan Varietas Tanaman
Pemerintah Kota Banjarbaru,Pemerintah,9,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2014,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tana Toraja,Pemerintah,9,1,Tanaman Perkebunan,Tanaman Perkebunan,2019,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Flores Timur,Pemerintah,9,2,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan,2008,2019,Pendaftaran Varietas Tanaman
Pemerintah Provinsi Nusa Tenggara Timur,Pemerintah,9,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Pangan;Tanaman Flori,2006,2019,Pendaftaran Varietas Tanaman
CV Sumber Horti Nasional,CV,9,1,Tanaman Sayuran,Tanaman Sayuran,2015,2019,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Buton Utara,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Maluku Tengah,Pemerintah,9,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman buah;Tanaman Sayuran,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kapuas Hulu,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2015,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tapanuli Selatan,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2011,2018,Pendaftaran Varietas Tanaman
CV One Tani,CV,9,1,Tanaman Sayuran,Tanaman Sayuran,2013,2018,Pelepasan Varietas Tanaman
PT Mutu Prima Sejati,PT,9,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2017,2017,Pelepasan Varietas Tanaman
Prof. Tatik Wardiyati,perorangan/lainnya,9,1,Tanaman Buah,Tanaman Buah,2014,2014,Pendaftaran Varietas Tanaman
CV Buana Agro Lumlum,CV,9,1,Tanaman Sayuran,Tanaman Sayuran,2012,2013,Pelepasan Varietas Tanaman
Balai Penelitian Pertanian Lahan Rawa,Pemerintah,9,1,Tanaman Pangan,Tanaman Pangan,2010,2011,Pendaftaran Varietas Tanaman
GEMA INOVASI AGRI,perorangan/lainnya,8,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
Badan Perakitan dan Modernisasi Pertanian,Lembaga riset,8,1,Tanaman Pangan,Tanaman Pangan;Hortikultura,2025,2026,Pendaftaran Varietas Tanaman
PT Benih Kelud Nusantara,PT,8,2,Hortikultura,Hortikultura;Tanaman Sayuran,2022,2026,Perlindungan Varietas Tanaman
KARYA UNGGULAN ANAKBANGSA,perorangan/lainnya,8,1,Tanaman Pangan,Tanaman Pangan,2026,2026,Pendaftaran Varietas Hasil Pemuliaan
PT Binasawit Makmur,PT,8,2,Tanaman Perkebunan,Tanaman Perkebunan;Perkebunan,2008,2026,Perlindungan Varietas Tanaman
PT Known You Seed Indonesia,PT,8,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Hortikultura,2025,2026,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sumenep,Pemerintah,8,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Pangan;Tanaman Buah,2007,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Barito Utara,Pemerintah,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2019,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lima Puluh Kota,Pemerintah,8,2,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Sayuran;Tanaman Perkebunan,2015,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Aceh Timur,Pemerintah,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Buah,2017,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kayong Utara,Pemerintah,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah;Tanaman Perkebunan,2020,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Wonosobo,Pemerintah,8,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah;Tanaman Perkebunan,2014,2025,Pendaftaran Varietas Tanaman
Pemerintah Kota Payakumbuh,Pemerintah,8,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Pangan;Tanaman Biofarmaka,2009,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Lumajang,Pemerintah,8,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2006,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Simeulue,Pemerintah,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2017,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Muaro Jambi,Pemerintah,8,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Perkebunan,2007,2023,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Indragiri Hilir,Pemerintah,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan;Tanaman Buah,2016,2023,Pendaftaran Varietas Tanaman
PT Arara Abadi,PT,8,1,Tanaman Kehutanan,Tanaman Kehutanan,2007,2022,Pendaftaran Varietas Tanaman
"Ir. Arifin Noor Sugiharto, M.Sc, Ph.D",perorangan/lainnya,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2014,2022,Perlindungan Varietas Tanaman
Pemerintah Kabupaten Timor Tengah Selatan,Pemerintah,8,2,Tanaman Buah,Tanaman Buah;Tanaman Pangan,2017,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Gowa,Pemerintah,8,1,Tanaman Pakan Ternak,Tanaman Pakan Ternak;Tanaman Buah,2021,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kendal,Pemerintah,8,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2010,2022,Pendaftaran Varietas Tanaman
CV Agro Citra Mandiri,CV,8,2,Tanaman Sayuran,Tanaman Sayuran,2013,2022,Pelepasan Varietas Tanaman
PT Sari Benih Unggul,PT,8,2,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2016,2022,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Halmahera Selatan,Pemerintah,8,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan,2017,2021,Pendaftaran Varietas Tanaman
"Fakultas Pertanian, Universitas Bengkulu",Perguruan tinggi,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2013,2020,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Bangka Selatan,Pemerintah,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2020,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Pasaman Barat,Pemerintah,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2008,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kotawaringin Timur,Pemerintah,8,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Flori,2011,2020,Pendaftaran Varietas Tanaman
PAIR - BATAN,Lembaga riset,8,1,Tanaman Pangan,Tanaman Pangan,1991,2020,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Tanjung Jabung Barat,Pemerintah,8,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2011,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Alor,Pemerintah,8,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Pangan;Tanaman Buah,2008,2019,Pendaftaran Varietas Tanaman
Taman Buah Mekarsari,perorangan/lainnya,8,1,Tanaman Buah,Tanaman Buah,2018,2018,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kepulauan Meranti,Pemerintah,8,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2013,2018,Pendaftaran Varietas Tanaman
Universitas Jenderal Soedirman,Perguruan tinggi,8,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran,2010,2017,Pendaftaran Varietas Tanaman
PT Parisonna Alam Sejahtera,PT,8,1,Tanaman Sayuran,Tanaman Sayuran,2012,2012,Pelepasan Varietas Tanaman
PT Seminis Vegetable Seed,PT,8,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2007,2008,Pelepasan Varietas Tanaman
UD Tani Murni,UD,8,1,Tanaman Sayuran,Tanaman Sayuran,2005,2007,Pelepasan Varietas Tanaman
PT Tanindo Subur Prima,PT,8,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2006,2006,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Gunung Mas,Pemerintah,7,1,Tanaman Pangan,Tanaman Pangan;Tanaman Perkebunan,2025,2026,Pendaftaran Varietas Lokal
PT Korintiga Hutani,PT,7,2,Tanaman Kehutanan,Tanaman Kehutanan,2023,2025,Perlindungan Varietas Tanaman
Pemerintah Provinsi Bali,Pemerintah,7,2,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Buah;Tanaman Pangan,2008,2025,Pendaftaran Varietas Tanaman
"PT Gunung Sejahtera Ibu Pertiwi, Astra Agro Lestari Tbk",PT,7,1,Tanaman Perkebunan,Tanaman Perkebunan,2021,2025,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Kutai Barat,Pemerintah,7,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2014,2025,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Rembang,Pemerintah,7,1,Tanaman Pangan,Tanaman Pangan;Tanaman Buah,2017,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Trenggalek,Pemerintah,7,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Biofarmaka,2010,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Gresik,Pemerintah,7,1,Tanaman Pangan,Tanaman Pangan;Tanaman Biofarmaka;Tanaman Buah;Tanaman Perkebunan,2014,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Majalengka,Pemerintah,7,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2007,2024,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Nias,Pemerintah,7,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan,2020,2023,Pendaftaran Varietas Tanaman
PT Benih Primadona Kencana,PT,7,1,Tanaman Buah,Tanaman Buah;Tanaman Sayuran,2023,2023,Pelepasan Varietas Tanaman
Fak Pertanian IPB dan Dinas Pertanian dan Ketahanan Pangan Provinsi Bali,Perguruan tinggi,7,1,Tanaman Flori,Tanaman Flori,2022,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Banyuasin,Pemerintah,7,1,Tanaman Pangan,Tanaman Pangan;Tanaman Sayuran;Tanaman Buah;Tanaman Pakan Ternak,2018,2022,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Kepahiang,Pemerintah,7,1,Tanaman Perkebunan,Tanaman Perkebunan;Tanaman Pangan;Tanaman Buah,2017,2021,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Bengkulu Utara,Pemerintah,7,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan;Tanaman Sayuran,2017,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Sinjai,Pemerintah,7,1,Tanaman Buah,Tanaman Buah;Tanaman Perkebunan;Tanaman Pangan,2016,2020,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tojo Una-Una,Pemerintah,7,1,Tanaman Pangan,Tanaman Pangan,2018,2020,Pendaftaran Varietas Tanaman
PT Advanta Seed Indonesia,PT,7,1,Tanaman Pangan,Tanaman Pangan,2012,2020,Pelepasan Varietas Tanaman
Dinas Pertanian dan Perikanan Kota Binjai,Pemerintah,7,2,Tanaman Buah,Tanaman Buah,2013,2020,Pelepasan Varietas Tanaman
Pemerintah Kabupaten Sidenreng Rappang,Pemerintah,7,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Poso,Pemerintah,7,1,Tanaman Pangan,Tanaman Pangan,2019,2019,Pendaftaran Varietas Tanaman
Pemerintah Kabupaten Tegal,Pemerintah,7,1,Tanaman Buah,Tanaman Buah;Tanaman Pangan;Tanaman Flori,2017,2019,Pendaftaran Varietas Tanaman
CV Tiga Putra Tani,CV,7,1,Tanaman Sayuran,Tanaman Sayuran;Tanaman Buah,2013,2019,Pelepasan Varietas Tanaman
Dinas Perkebunan Kabupaten Garut,Pemerintah,7,1,Tanaman Perkebunan,Tanaman Perkebunan,2018,2018,Pendaftaran Varietas Tanaman
