nama_varietas,komoditas,jenis_tanaman,pemohon,pemohon_kanonik,asal,tahun,jenis_perizinan,no_sk,tgl_sk
BISI HP 43,Tanaman Sayuran,Cabai Besar,"PT BISI International, Tbk","PT BISI International, Tbk",Dalam Negeri,2024,Pelepasan Varietas Tanaman,291/Kpts/PV.240/D/IV/2024,
BISI HP 39,Tanaman Sayuran,Cabai Keriting,"PT BISI International, Tbk","PT BISI International, Tbk",Dalam Negeri,2024,Pelepasan Varietas Tanaman,292/Kpts/PV. 240/D/IV/2024,
BISI HP 42,Tanaman Sayuran,Cabai Besar,"PT BISI International, Tbk","PT BISI International, Tbk",Dalam Negeri,2024,Pelepasan Varietas Tanaman,293/Kpts/PV.240/D/IV/2024,
CR 1860,Tanaman Sayuran,Cabai Rawit,CV Jogja Horti Lestari,CV Jogja Horti Lestari,Dalam Negeri,2024,Pelepasan Varietas Tanaman,294/Kpts/PV.240/D/IV/2024,
CR 2093,Tanaman Sayuran,Cabai Rawit,CV Jogja Horti Lestari,CV Jogja Horti Lestari,Dalam Negeri,2024,Pelepasan Varietas Tanaman,295/Kpts/PV.240/D/IV/2024,
REY 04,Tanaman Sayuran,Cabai Rawit,CV Jogja Horti Lestari,CV Jogja Horti Lestari,Dalam Negeri,2024,Pelepasan Varietas Tanaman,296/Kpts/PV.240/D/IV/2024,
TO 2257,Tanaman Sayuran,Tomat,CV Jogja Horti Lestari,CV Jogja Horti Lestari,Dalam Negeri,2024,Pelepasan Varietas Tanaman,297/Kpts/PV.240/D/IV/2024,
SL 021,Tanaman Sayuran,Slada,PT JJM Indonesia,PT JJM Indonesia,Introduksi,2024,Pelepasan Varietas Tanaman,298/Kpts/PV.240/D/IV/2024,
AGB CR 1104,Tanaman Sayuran,Cabai Rawit,CV Agro Bumi Asri Sejahtera,CV Agro Bumi Asri Sejahtera,Dalam Negeri,2024,Pelepasan Varietas Tanaman,299/Kpts/PV.240/D/IV/2024,
G 062,Tanaman Sayuran,Cabai Keriting,PT BENIH MERDEKA TANI ,PT BENIH MERDEKA TANI ,Dalam Negeri,2024,Pelepasan Varietas Tanaman,300/Kpts/PV.240/D/IV/2024,
TO ASA 2583,Tanaman Sayuran,Tomat,PT Aditya Sentana Agro,PT Aditya Sentana Agro,Dalam Negeri,2024,Pelepasan Varietas Tanaman,301/Kpts/PV.240/D/IV/2024,
JS CR 01,Tanaman Sayuran,Cabai Rawit,PT Hibrida Jaya Unggul,PT Hibrida Jaya Unggul,Dalam Negeri,2024,Pelepasan Varietas Tanaman,302/Kpts/PV.240/D/IV/2024,
SE 23503,Tanaman Buah,Semangka,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,303/Kpts/PV.240/D/IV/2024,
SE 23503,Tanaman Buah,Semangka,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2024,Perlindungan Varietas Tanaman,00730/PPVT/S/2024,
Andini,Tanaman Sayuran,Sawi,PT Tunas Agro Persada,PT Tunas Agro Persada,Dalam Negeri,2024,Pelepasan Varietas Tanaman,304/Kpts/PV.240/D/IV/2024,
Ajeng,Tanaman Sayuran,Sawi,PT Tunas Agro Persada,PT Tunas Agro Persada,Dalam Negeri,2024,Pelepasan Varietas Tanaman,305/Kpts/PV.240/D/IV/2024,
Mutiara F-4736,Tanaman Sayuran,Tomat,PT Known You Seed,PT Known You Seed,Introduksi,2024,Pelepasan Varietas Tanaman,352/Kpts/PV.240/D/IV/2024,
Oche Banyumas,Tanaman Buah,Durian,Dinas Pertanian Kabupaten Banyumas,Dinas Pertanian Kabupaten Banyumas,Introduksi,2024,Pelepasan Varietas Tanaman,353/Kpts/PV.240/D/IV/2024,
SE 297,Tanaman Buah,Semangka,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,354/Kpts/PV.240/D/IV/2024,
SE 938,Tanaman Buah,Semangka,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,355/Kpts/PV.240/D/IV/2024,
Hatungun,Tanaman Obat,Jahe,Dinas Pertanian TPH Kabupaten Tapin,Dinas Pertanian TPH Kabupaten Tapin,Dalam Negeri,2024,Pelepasan Varietas Tanaman,394/Kpts/PV.240/D/IV/2024,
PK 021,Tanaman Sayuran,Sawi Sendok/Pak Choi,PT JJM Indonesia,PT JJM Indonesia,Introduksi,2024,Pelepasan Varietas Tanaman,395/Kpts/PV.240/D/IV/2024,
Hokkyna 1001,Tanaman Buah,Semangka,PT JJM Indonesia,PT JJM Indonesia,Introduksi,2024,Pelepasan Varietas Tanaman,396/Kpts/PV.240/D/IV/2024,
UI023,Tanaman Sayuran,Jagung Manis,CV Jagad Lintang Samudra,CV Jagad Lintang Samudra,Dalam Negeri,2024,Pelepasan Varietas Tanaman,398/Kpts/PV.240/D/IV/2024,
TRH8I002,Tanaman Sayuran,Terong,PT Dinasty Inti Agrosarana,PT Dinasty Inti Agrosarana,Dalam Negeri,2024,Pelepasan Varietas Tanaman,399/Kpts/PV.240/D/IV/2024,
ENNO009,Tanaman Sayuran,Cabai Rawit,CV Enno Corporation,CV Enno Corporation,Dalam Negeri,2024,Pelepasan Varietas Tanaman,415/Kpts/PV.240/D/V/2024,
JHG 01,Tanaman Pangan,Jagung,BSIP,BSIP,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00671/PPVT/S/2023,
Ridley 4408,Tanaman Buah,Bluberi,Mountain Blue Orchards Pty Ltd,Mountain Blue Orchards Pty Ltd,Luar Negeri,2023,Perlindungan Varietas Tanaman,00673/PPVT/T/2023,
Ridley 1602,Tanaman Buah,Bluberi,Mountain Blue Orchards Pty Ltd,Mountain Blue Orchards Pty Ltd,Luar Negeri,2023,Perlindungan Varietas Tanaman,00674/PPVT/T/2023,
CMP 01,Tanaman Pangan,Jagung,PT Cipta Makmur Pertiwi,PT Cipta Makmur Pertiwi,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00675/PPVT/S/2023,
ZES008,Tanaman Buah,Kiwi,ZESPRI GROUP LIMITED,ZESPRI GROUP LIMITED,Luar Negeri,2023,Perlindungan Varietas Tanaman,00676/PPVT/T/2023,
Intansemar 52,Tanaman Pangan,Padi Hitam,LPPM Universitas Sebelas Maret,LPPM Universitas Sebelas Maret,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00677/PPVT/S/2023,
NP5356,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00678/PPVT/S/2023,
ASAHSI 05,Tanaman Sayuran,Jagung Manis,PT Alam Semesta Agro,PT Alam Semesta Agro,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00679/PPVT/S/2023,
ASAHSI 09,Tanaman Sayuran,Jagung Manis,PT Alam Semesta Agro,PT Alam Semesta Agro,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00680/PPVT/S/2023,
CMB75,Tanaman Perkebunan,Karet,1. Compaigne Generale Des Establissements Michelin 2.Centre De Cooperation Internasionale En Recherche Agronomique Pour Le Development 3.Plantacaoes Michelin DA Bahia L TDA,1. Compaigne Generale Des Establissements Michelin 2.Centre De Cooperation Internasionale En Recherche Agronomique Pour Le Development 3.Plantacaoes Michelin DA Bahia L TDA,Luar Negeri,2023,Perlindungan Varietas Tanaman,00670/PPVT/T/2023,
ASAHSI 10,Tanaman Sayuran,Jagung Manis,PT Alam Semesta Agro,PT Alam Semesta Agro,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00681/PPVT/S/2023,
IPB CP3,Tanaman Sayuran,Kentang,"Pusat Bioteknologi, LPPM, IPB","Pusat Bioteknologi, LPPM, IPB",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00683/PPVT/S/2023,
IPB PAU1,Tanaman Sayuran,Kentang,"Pusat Bioteknologi, LPPM, IPB","Pusat Bioteknologi, LPPM, IPB",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00684/PPVT/S/2023,
Sovania Agribun,Tanaman Perkebunan,Vanili,BSIP,BSIP,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00685/PPVT/T/2023,
Hivania Agribun,Tanaman Perkebunan,Vanili,BSIP,BSIP,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00686/PPVT/T/2023,
SCY43,Tanaman Sayuran,Cabai Rawit,PT Benih Kelud Nusantara,PT Benih Kelud Nusantara,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00692/PPVT/S/2023,
SE 6458,Tanaman Buah,Semangka,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00693/PPVT/S/2023,
SE 4843,Tanaman Buah,Semangka,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00694/PPVT/S/2023,
SE 5747,Tanaman Buah,Semangka,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00695/PPVT/S/2023,
Spartan,Tanaman Sayuran,Terong,PT Tani Murni Indonesia,PT Tani Murni Indonesia,Introduksi,2024,Pelepasan Varietas Tanaman,19/Kpts/PV.240/D/I/2024,
SE 5773,Tanaman Buah,Semangka,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00696/PPVT/S/2023,
SE 2166,Tanaman Buah,Semangka,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00697/PPVT/S/2023,
KE 16491,Tanaman Sayuran,Mentimun,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00698/PPVT/S/2023,
KE 13542,Tanaman Sayuran,Mentimun,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00699/PPVT/S/2023,
PA 6537,Tanaman Sayuran,Paria,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00700/PPVT/S/2023,
PA 6507,Tanaman Sayuran,Paria,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00701/PPVT/S/2023,
SB03 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi, MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00702/PPVT/S/2023,
SB04 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi, MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00703/PPVT/S/2023,
SB11 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi, MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00704/PPVT/S/2023,
SB12 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi, MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00705/PPVT/S/2023,
SB19 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi, MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00706/PPVT/S/2023,
SB20 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi, MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00707/PPVT/S/2023,
JW01 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi, MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00708/PPVT/S/2023,
ARRATHIRTYTWO,Tanaman Buah,Anggur,Agricultural Research and Development limited Liability Company,Agricultural Research and Development limited Liability Company,Luar Negeri,2023,Perlindungan Varietas Tanaman,00709/PPVT/T/2023,
KE 285,Tanaman Sayuran,Mentimun,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,10/Kpts/PV.240/D/I/2024,
PA 942,Tanaman Sayuran,Paria,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,11/Kpts/PV.240/D/I/2024,
SE 653,Tanaman Buah,Semangka,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,12/Kpts/PV.240/D/I/2024,
SA 965,Tanaman Sayuran,Sawi,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,13/Kpts/PV.240/D/I/2024,
SA 995,Tanaman Sayuran,Sawi,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,14/Kpts/PV.240/D/I/2024,
ME 018,Tanaman Buah,Melon,PT Benih Citra Asia,PT Benih Citra Asia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,15/Kpts/PV.240/D/I/2024,
Krisa,Tanaman Sayuran,Sawi,PT Kenso Indonesia,PT Kenso Indonesia,Introduksi,2024,Pelepasan Varietas Tanaman,16/Kpts/PV.240/D/I/2024,
TP 27216,Tanaman Sayuran,Terong,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2024,Pelepasan Varietas Tanaman,17/Kpts/PV.240/D/I/2024,
YSJM117,Tanaman Sayuran,Jagung Manis,PT Benih Unggul Sejati,PT Benih Unggul Sejati,Dalam Negeri,2024,Pelepasan Varietas Tanaman,18/Kpts/PV.240/D/I/2024,
NP5377,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00657/PPVT/S/2023,
Febi 521,Tanaman Pangan,Talas,Universitas Nusa Bangsa,Universitas Nusa Bangsa,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00658/PPVT/S/2023,
NP5434,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00656/PPVT/S/2023,
Jhana 234,Tanaman Pangan,Jagung,BSIP,BSIP,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00662/PPVT/S/2023,
Jhana 333,Tanaman Pangan,Jagung,BSIP,BSIP,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00663/PPVT/S/2023,
ASA 02,Tanaman Pangan,Jagung,PT Alam Semesta Agro,PT Alam Semesta Agro,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00665/PPVT/S/2023,
ASA 03,Tanaman Pangan,Jagung,PT Alam Semesta Agro,PT Alam Semesta Agro,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00666/PPVT/S/2023,
ASA 04,Tanaman Pangan,Jagung,PT Alam Semesta Agro,PT Alam Semesta Agro,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00667/PPVT/S/2023,
ASA 06,Tanaman Pangan,Jagung,PT Alam Semesta Agro,PT Alam Semesta Agro,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00668/PPVT/S/2023,
ASA 07,Tanaman Pangan,Jagung,PT Alam Semesta Agro,PT Alam Semesta Agro,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00669/PPVT/S/2023,
NP5203,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00651/PPVT/S/2023,
SB11 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi., MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1088/PVHP/2023,
SB20 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi., MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1089/PVHP/2023,
SB19 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi., MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1090/PVHP/2023,
Monika 2,Tanaman Perkebunan,Kakao,Pusat Penelitian Kopi dan Kakao Indonesia,Pusat Penelitian Kopi dan Kakao Indonesia,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1091/PVHP/2023,
Karebung Inoma 1,Tanaman Pangan,Ubi Kayu,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1092/PVHP/2023,
SB04 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi., MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1087/PVHP/2023,
ARISA IPB,Tanaman Sayuran,Cabai,"Pusat Kajian Hortikultura Tropika, IPB","Pusat Kajian Hortikultura Tropika, IPB",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00617/PPVT/S/2023,
SHIARA IPB,Tanaman Sayuran,Cabai,"Pusat Kajian Hortikultura Tropika, IPB","Pusat Kajian Hortikultura Tropika, IPB",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00618/PPVT/S/2023,
TWINN 1,Tanaman Pangan,Jagung,PTTUNAS WIDJI INTI NAYOTTAMA,PTTUNAS WIDJI INTI NAYOTTAMA,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00619/PPVT/S/2023,
TWINN 2,Tanaman Pangan,Jagung,PTTUNAS WIDJI INTI NAYOTTAMA,PTTUNAS WIDJI INTI NAYOTTAMA,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00620/PPVT/S/2023,
TWINN 3,Tanaman Pangan,Jagung,PTTUNAS WIDJI INTI NAYOTTAMA,PTTUNAS WIDJI INTI NAYOTTAMA,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00621/PPVT/S/2023,
Novia,Tanaman Sayuran,Bayam,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00622/PPVT/S/2023,
WS 506,Tanaman Pangan,Jagung,PTTUNAS WIDJI INTI NAYOTTAMA,PTTUNAS WIDJI INTI NAYOTTAMA,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00626/PPVT/S/2023,
WS 512,Tanaman Pangan,Jagung,PTTUNAS WIDJI INTI NAYOTTAMA,PTTUNAS WIDJI INTI NAYOTTAMA,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00627/PPVT/S/2023,
WS 862,Tanaman Pangan,Jagung,PTTUNAS WIDJI INTI NAYOTTAMA,PTTUNAS WIDJI INTI NAYOTTAMA,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00628/PPVT/S/2023,
Lampai Arum,Tanaman Pangan,Padi,Pemerintah Kabupaten Sijunjung/BATAN,Pemerintah Kabupaten Sijunjung/BATAN,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00629/PPVT/S/2023,
Lampai Sirandah,Tanaman Pangan,Padi,Pemerintah Kabupaten Sijunjung/BATAN,Pemerintah Kabupaten Sijunjung/BATAN,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00630/PPVT/S/2023,
WS 502,Tanaman Pangan,Jagung,PTTUNAS WIDJI INTI NAYOTTAMA,PTTUNAS WIDJI INTI NAYOTTAMA,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00631/PPVT/S/2023,
WS 516,Tanaman Pangan,Jagung,PTTUNAS WIDJI INTI NAYOTTAMA,PTTUNAS WIDJI INTI NAYOTTAMA,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00632/PPVT/S/2023,
WS 848,Tanaman Pangan,Jagung,PTTUNAS WIDJI INTI NAYOTTAMA,PTTUNAS WIDJI INTI NAYOTTAMA,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00633/PPVT/S/2023,
CK48783,Tanaman Sayuran,Cabai,PT East West Seed Indonesia,PT East West Seed Indonesia,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00634/PPVT/S/2023,
BISI SL 03,Tanaman Sayuran,Selada,PT BISI International Tbk.,"PT BISI International, Tbk",Dalam Negeri,2023,Perlindungan Varietas Tanaman,00635/PPVT/S/2023,
PERTIWI,Tanaman Sayuran,Bayam,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00636/PPVT/S/2023,
TIWI,Tanaman Sayuran,Bayam,PT Agri Makmur Pertiwi,PT Agri Makmur Pertiwi,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00637/PPVT/S/2023,
HOKSY 10gokin,Tanaman Sayuran,Jamur Shiitake,Hokuto Corporation,Hokuto Corporation,Luar Negeri,2023,Perlindungan Varietas Tanaman,00638/PPVT/S/2023,
Bravera,Tanaman Flori,Bunga Lipstik,BRIN,BRIN,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00639/PPVT/T/2023,
MAL 03,Tanaman Pangan,Jagung,BSIP,BSIP,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00640/PPVT/S/2023,
SB03 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi., MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1086/PVHP/2023,
Biomax 1,Tanaman Sayuran,Kedelai Sayur / Edamame,BSIP,BSIP,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00641/PPVT/S/2023,
Biomax 2,Tanaman Sayuran,Kedelai Sayur / Edamame,BSIP,BSIP,Dalam Negeri,2023,Perlindungan Varietas Tanaman,00642/PPVT/S/2023,
NP5024,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00643/PPVT/S/2023,
NP5038,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00644/PPVT/S/2023,
NP5063,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00645/PPVT/S/2023,
NP5088,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00646/PPVT/S/2023,
NP5120,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00647/PPVT/S/2023,
NP5139,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00648/PPVT/S/2023,
NP5296,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00649/PPVT/S/2023,
NK8103,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00650/PPVT/S/2023,
NP5319,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00652/PPVT/S/2023,
NP5349,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00653/PPVT/S/2023,
NP5504,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00654/PPVT/S/2023,
NP5503,Tanaman Pangan,Jagung,Syngenta Crop Protection AG,Syngenta Crop Protection AG,Luar Negeri,2023,Perlindungan Varietas Tanaman,00655/PPVT/S/2023,
Bioryza AGRITAN,Tanaman Pangan,Padi,BSIP,BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1069/PVHP/2023,
Sofie UNIB,Tanaman Sayuran,Cabai,LPPM Universitas Bengkulu,LPPM Universitas Bengkulu,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1070/PVHP/2023,
Moza,Tanaman Flori,Begonia,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1071/PVHP/2023,
Granitas,Tanaman Sayuran,Kentang,BSIP,BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1072/PVHP/2023,
Agropita,Tanaman Sayuran,Kentang,BSIP,BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1073/PVHP/2023,
Grantika,Tanaman Sayuran,Kentang,BSIP,BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1074/PVHP/2023,
Chipita,Tanaman Sayuran,Kentang,BSIP,BSIP,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1075/PVHP/2023,
SB12 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi., MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1076/PVHP/2023,
Graftika,Tanaman Pangan,Ubi Kayu,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1077/PVHP/2023,
Brima 2,Tanaman Pangan,Ubi Kayu,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1078/PVHP/2023,
Brima 1,Tanaman Pangan,Ubi Kayu,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1079/PVHP/2023,
Brima 3,Tanaman Pangan,Ubi Kayu,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1080/PVHP/2023,
Karebung Inoma 2,Tanaman Pangan,Ubi Kayu,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1081/PVHP/2023,
Bio Viola,Tanaman Sayuran,Kentang,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1083/PVHP/2023,
Bio Agriva,Tanaman Sayuran,Kentang,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1084/PVHP/2023,
JW01 UMG NX,Tanaman Perkebunan,Tebu,"Prof. Dr. Ir. Setyo Budi., MS","Prof. Dr. Ir. Setyo Budi, MS",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1085/PVHP/2023,
BIOTAMA BM 2,Tanaman Pangan,Padi,BRIN,BRIN,Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1082/PVHP/2023,
Phalaenopsis Humaira IPB,Tanaman Flori,Phalaenopsis,"Fakultas Pertanian, IPB","Fakultas Pertanian, IPB",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1040/PVHP/2023,
Gamagora 1,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1041/PVHP/2023,
Gamagora 2,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1042/PVHP/2023,
Gamagora 3,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1043/PVHP/2023,
Gamagora 5,Tanaman Pangan,Padi,"Fakultas Pertanian, UGM","Fakultas Pertanian, UGM",Dalam Negeri,2023,Pendaftaran Varietas Tanaman,1044/PVHP/2023,
