nama_di_registri,id,nama,asal,grup_induk,status_aktivitas,merek_utama,situs,sumber,sumber_jenis,keyakinan,diperbarui
PT. PRIMA AGRO TECH,prima-agro-tech,Prima Agro Tech,Indonesia,Swasta nasional,bukan-principal,"BTPLUS (Bt), METARIZEP WP (M. anisopliae + B. bassiana), ENTOMOBAC WP (M. anisopliae)",https://www.primaagrotech.com,abi-bioagroinput.or.id/anggota.aspx ; primaagrotech.com,laporan-agen-riset,tinggi/tinggi (perusahaan) / rendah (mer,2026-08-19
PT. PRIMASID ANDALANUTAMA,primasid-andalan-utama,Primasid,Indonesia (PMDN),Independen,aktif,"MAPAN (Mapan P-02, Mapan P-05; dilepas 2006)",primasid.com,asbenindo.org/anggota ; primasid.com ; tabloidsinartani.com,laporan-agen-riset,tinggi,2026-08-19
PT. AGRO DYNAMICS INDO,agro-dynamics-indo,PT Agro Dynamics Indo,Indonesia,blm terverifikasi,aktif,"Flotex 2,5 / 5 / 10 PA, Superel 10 PA",,,laporan-agen-riset,tinggi,2026-08-19
PT. AGRO NATURAL TECHNOLOGY,agro-natural-technology,PT Agro Natural Technology,,,belum-diverifikasi,,,,laporan-agen-riset,,2026-08-19
PT. AGROSID MANUNGGAL SENTOSA,agrosid-manunggal-sentosa-padi-hibrida-suppadi,"PT Agrosid Manunggal Sentosa (padi hibrida ""Suppadi"")",,,belum-diverifikasi,,,,laporan-agen-riset,,2026-08-19
PT. AGROTECH PESTICIDE INDUSTRY,agrotech-pesticide-industry,PT Agrotech Pesticide Industry,Indonesia,belum terverifikasi,aktif,"Kill-Up 480/1 SL, Alphatech 240/4,25 SL, King AP 220/5,1 SL, Mateno Up 160/5,1 SL, Mupxone 276 SL, Rilly 20 WG",belum terverifikasi,[Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk,laporan-agen-riset,sedang,2026-08-19
PT. ARENA AGRO UTAMA,arena-agro-utama,PT Arena Agro Utama,Indonesia,blm terverifikasi,aktif,"Madgib 20 TB (giberelin), Gatiga 3,1 WP, Orbyte 480 SL (etefon), Portar 250 SC (paklobutrazol), MC Errol 15 WP",,,laporan-agen-riset,tinggi,2026-08-19
PT. BINA GUNA KIMIA,bina-guna-kimia,PT Bina Guna Kimia,AS (afiliasi FMC belum terverifikasi),kemungkinan FMC Corporation — belum terverifikasi,belum-diverifikasi,"Command 480 EC (klomazon), Stiko 480 SL, Addit 40 WG, Ti-Gold XL 10 WP",belum terverifikasi,[Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk,laporan-agen-riset,rendah,2026-08-19
PT. BIO AGRITECH NUSANTARA,bio-agritech-nusantara,PT Bio Agritech Nusantara,,,belum-diverifikasi,,,,laporan-agen-riset,,2026-08-19
PT. CENTRA BIOTECH INDONESIA,centra-biotech-indonesia,PT Centra Biotech Indonesia,,,belum-diverifikasi,,,,laporan-agen-riset,,2026-08-19
PT. CROP CARE INDONESIA,crop-care-indonesia,PT Crop Care Indonesia,belum terverifikasi,kemungkinan terkait Nufarm — belum terverifikasi,aktif,"Nufosat 480 SL, Nuquat 276 SL, Nutarlon 670 EC, Knockout 240 SL, Invander 310/49 EC, Polado 240/105 SL, Spark 160 SL, Tillmaster 240/120 SL",belum terverifikasi,[Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk,laporan-agen-riset,sedang,2026-08-19
PT. DALZON CHEMICALS INDONESIA,dalzon-chemicals-indonesia,PT Dalzon Chemicals Indonesia,Indonesia,tidak ada induk yang disebutkan,aktif,"Almarin 500 SC, Bang 240 SL, Basmitop 480 SL, Bestup 480 SL, Dalopir 480 EC, Dironex 80 WP, Vortex 540 SL, Briggs 25 PA (ZPT); terkini terverifikasi: Rondolon 320/32 SL, Valatra 320/32 SL",dalzon.co.id — ✅ terverifikasi,[Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; [dalzon.co.id](https://dalzon.co.id/),laporan-agen-riset,tinggi,2026-08-19
PT. DERAS KARET PRIMA,deras-karet-prima,PT Deras Karet Prima,Indonesia,blm terverifikasi,aktif,"Derastex 1000 10 PA, Derastex 250 2,5 PA",,,laporan-agen-riset,tinggi,2026-08-19
PT. GLOBAL AGRO MANDIRI,global-agro-mandiri-indonesia,PT Global Agro Mandiri Indonesia,Indonesia,,aktif,,,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,sedang,2026-08-19
PT. KALATHAM,kalatham,PT Kalatham,Indonesia,blm terverifikasi,aktif,"Dekamon 22,43 L, Dekamon 1,2 GR",,,laporan-agen-riset,tinggi,2026-08-19
PT. MASCO AGRI GENETICS,masco-agri-genetics,PT Masco Agri Genetics,India (New Delhi),Masco Agri Genetics Private Limited,aktif,Dragon · Dragon 66 · Dragon 77 · Bond · Suwarna,https://mascoagri.com,sub-agen pendalaman benih 19 Agu 2026,laporan-agen-riset,tinggi,2026-08-19
RISET PERKEBUNAN NUSANTARA,riset-perkebunan-nusantara,PT Riset Perkebunan Nusantara (RPN),Indonesia (Bogor),"PTPN III (Persero) 90%, PTPN V 10% — BUMN",aktif,"Induk 5 puslit: PPKS, PPK, PPKKI (Puslitkoka), P3GI, PPTK",rpn.co.id; plantage.id,plantage.id ; rpn.co.id,laporan-agen-riset,tinggi,2026-08-19
PT Pupuk Indonesia (Persero),pupuk-indonesia,Pupuk Indonesia,Indonesia,BUMN — Kementerian BUMN (Danantara muncul dalam ekosistem korporasi tetapi tidak dinyatakan sebagai pemilik di situs resmi),aktif,"Nitrea (urea), Phonska Plus (NPK), Phonska (NPK subsidi), Petroganik, NPK Pelangi",https://www.pupuk-indonesia.com,"id.wikipedia.org/wiki/Pupuk_Indonesia_Holding_Company ; pupuk-indonesia.com (kapasitas 13,9 jt ton & alokasi subsidi) ; pupuk-indonesia.com/profile/production-capacity",laporan-agen-riset,tinggi,2026-08-19
PUPUK INDONESIA NIAGA,pupuk-indonesia-niaga,Pupuk Indonesia Niaga,Indonesia,"Pupuk Indonesia (96,7%)",bukan-principal,— (bukan pemilik merek),,id.wikipedia.org/wiki/Pupuk_Indonesia_Holding_Company,laporan-agen-riset,sedang,2026-08-19
PT Pupuk Iskandar Muda,pupuk-iskandar-muda,Pupuk Iskandar Muda (PIM),Indonesia,"Pupuk Indonesia (99,9%)",dikeluarkan,"Nitrea (urea), NPK (pabrik NPK diresmikan 10 Feb 2023)",https://www.pim.co.id,pim.co.id/perusahaan,laporan-agen-riset,tinggi,2026-08-19
PUPUK KALIMANTAN TIMUR,pupuk-kalimantan-timur,Pupuk Kalimantan Timur,Indonesia,"Pupuk Indonesia (99,9%)",aktif,"Nitrea / Urea Daun Buah (prill & granul), NPK Pelangi, NPK Pelangi JOS; hayati: Ecofert, Biotara, Biodex (biodekomposer), Fumyza (seed treatment), Humactive",https://pupukkaltim.com,grc.pupukkaltim.com ; pupukkaltim.com/id/npk ; pupukkaltim.com/id/p/produk,laporan-agen-riset,tinggi/tinggi (perusahaan) / sedang (bat,2026-08-19
PT. PUPUK KUJANG,pupuk-kujang,Pupuk Kujang,Indonesia,"Pupuk Indonesia (99,9%)",aktif,"Nitrea (urea non-subsidi), NPK Jeranti, Nitroku 16-16-16, Phonska Plus, Excow (bio-organik)",https://pupuk-kujang.co.id,pupuk-indonesia / Wikipedia struktur grup ; tribunnews.com (peluncuran Nitroku 16-16-16),laporan-agen-riset,sedang,2026-08-19
SENTANA ADIDAYA PRATAMA,sentana-adidaya-pratama-sadp,Pupuk Mahkota / Sentana Adidaya Pratama,Indonesia,"Wilmar Group (multinasional agribisnis, Singapura/Indonesia)",aktif,"Pupuk Mahkota (merek utama, tunggal & majemuk), Hikay-Plus, Bunga Merah",https://pupukmahkota.co.id,cropcare.or.id/daftar-anggota (PT Wilmar Chemical Indonesia) ; pupukmahkota.co.id/tentang-kami,laporan-agen-riset,tinggi,2026-08-19
PUPUK SRIWIDJAJA PALEMBANG,pupuk-sriwidjaja-palembang,Pupuk Sriwidjaja Palembang (Pusri),Indonesia,"Pupuk Indonesia (99,9%)",aktif,"Nitrea (eks ""Urea Pusri""), Phonska Plus, NPK 15-15-15, NPK sawit 12-12-17-2 & 13-6-27-4, NPK Cassava, NPK Kopi",https://www.pusri.co.id,pusri.co.id (peluncuran kemasan retail & produk inovasi) ; pusri.co.id/en/news/detail/jadi-holding-bumn-pupuk-pusri-ganti-nama,laporan-agen-riset,tinggi,2026-08-19
PT. RAINBOW AGROSCIENCES,rainbow-agrosciences-indonesia,Rainbow Agrosciences,Tiongkok (asal belum terkonfirmasi dari sumber primer),Rainbow Agro (induk belum terverifikasi),aktif,"Aminax 865 SL, Bastnate 200 SL, Caliber 240 EC, Fastcane 80 WG, Gardener 68 WG, Lava 276 SL, Lektor 480 SC, Cleanspray 96 SG","rainbowagro.com (domain aktif, isi tidak terbaca saat riset)",Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; cropcare.or.id/daftar-anggota,laporan-agen-riset,sedang/tinggi,2026-08-19
PT. ROLIMEX KIMIA NUSAMAS,rolimex-kimia-nusamas,Rolimex Kimia Nusamas,Indonesia (berdiri 1947),tidak ada induk yang disebutkan,aktif,"DELFIN WG (Bt), THURICIDE HP (Bt), Rolicron 500 EC, Rolidor 25 EC, Enkazeb 80 WP, Nemasol 370 SL, Roltap 450 SL",rolimex.co.id — ✅ terverifikasi,Buku Pestisida Terdaftar 2014 ; Daftar Pestisida Biologi 2019 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; [rolimex.co.id](https://rolimex.co.id/) ; rolimex.co.id,laporan-agen-riset,tinggi,2026-08-19
PT. ROYAL AGRO INDONESIA,royal-agro-indonesia,Royal Agro Indonesia,Indonesia (afiliasi asing belum terverifikasi),⚠️ belum terverifikasi,belum-diverifikasi,"Buku 2014: Akocytrin 50 EC, Acqura 500 EC, Akonafos 480 EC, Apollo 500 SC, Carbodan 3 GR, Acemain 75 SP, Bellmac 240 EC",royalagroindonesia.com (403),Buku Pestisida Terdaftar 2014 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk,laporan-agen-riset,sedang/sedang (data 2014) / rendah (stat,2026-08-19
SANG HYANG SERI,sang-hyang-seri,Sang Hyang Seri,Indonesia,BUMN — holding pangan ID FOOD (PT RNI),aktif,Sang Hyang Seri / SHS,ptsanghyangseri.co.id,ptsanghyangseri.co.id (artikel merger) ; ptsanghyangseri.co.id/sejarah-perusahaan,laporan-agen-riset,tinggi,2026-08-19
PT. SANOVA,sanova,Sanova,,,aktif,,,,laporan-agen-riset,tinggi,2026-08-19
PT. SANTANI AGRO MANDIRI,santani-agro-mandiri-santani-agro-perkasa-historis-santani-s,Santani (Agro Mandiri / Agro Perkasa),Indonesia,Santani Group,aktif,"Sanfidor 200 SL, Santador 25 EC, Santacron 520 EC, Sanfat 75 SP, Basten 45 WP, Keongtox 250 EC (moluskisida), Mancobat 82 WP",⚠️ belum terverifikasi,Buku Pestisida Terdaftar 2014 ; cropcare.or.id/daftar-anggota,laporan-agen-riset,sedang,2026-08-19
CV. SAPROTAN UTAMA,saprotan-utama-saprotan-utama-jv-pukati-pelangi-agromakmur,Saprotan Utama,Indonesia (Semarang),Grup Saprotan (terkait PT Saprotan Benih Utama),aktif,"Pak Tani (merek payung pupuk/pestisida/benih), NPK Pelangi (via JV Pukati), Urecote (coated), MW-2 (jagung hibrida), Samiaji 14 & 15 (padi hibrida)",https://saprotan-utama.com,Buku Pestisida Terdaftar 2014 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; saprotan-utama.com ; saprotan-utama.com/tentang-kami ; seputarsemarang.com,laporan-agen-riset,sedang/tinggi,2026-08-19
SARASWANTI ANUGERAH MAKMUR,saraswanti-anugerah-makmur-idx-samf,Saraswanti Anugerah Makmur,Indonesia,Saraswanti Group (swasta nasional),bukan-principal,"Granul: Pupindo, Fertindo, Phonika, Planta Plus, Dupan. Briket spesifik komoditas: Palmo (sawit), Halei (tebu), Pukalet (karet), Koka (kopi), Cornalet (jagung)",https://saraswantifertilizer.com,haisawit.co.id ; idnfinancials.com/samf ; saraswantifertilizer.com/jenis-jenis-pupuk-npk-saraswanti,laporan-agen-riset,tinggi,2026-08-19
PT. SARI KIMIA UNGGUL,sari-kimia-unggul,Sari Kimia Unggul,,,aktif,"Anta 50 EC, Cielo 50 EC, Clinten 250 EC, Colanta 70 WP, Isigo 18 EC, Metin 40 SP, Pirfos 500 EC",,,laporan-agen-riset,sedang,2026-08-19
PT. SARI KRESNA KIMIA,sari-kresna-kimia-kresna-bumitama-sejati,Sari Kresna Kimia,Indonesia,Kresna Group (kresna-holding),bukan-principal,"Kresna-Up 520 SL, Kresnaxone 297 SL, Ground Up Plus 365 SL, Jump Up 555 SL, CMA 6 865 SL, Basmigul 490 SL, Kresnatop 80 WP, Tamapon 480 SL (ZPT etefon)",kresna.co.id/sarikresnakimia,Buku Pestisida Terdaftar 2014 ; Daftar Pestisida Biologi 2019 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; [kresna.co.id](https://kresna.co.id/sarikresnakimia/),laporan-agen-riset,sedang/tinggi,2026-08-19
CV. SINAR AGRO KIMIA INDONESIA,sinar-agro-kimia,Sinar Agro Kimia,,,aktif,FUTRICHO P (T. harzianum 1×10⁶ + T. koningii 2×10⁵/g; bibit kelapa sawit),,,laporan-agen-riset,tinggi,2026-08-19
PT. SINAR GENERAL INDUSTRIES,sinar-general-industries,Sinar General Industries (SGI),"Indonesia (Cikande, Serang, Banten)",⚠️ belum terverifikasi,aktif,"Brantaxone 276 SL, Kontaxone 310 SL, Extra-One 680 SC, Format 360/120 SL, Kround-Max 240 SL, Money 865 SL, One-Up 480 SL, Cer-One 10 PA (ZPT)",belum terverifikasi,Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; cropcare.or.id/daftar-anggota ; pt-sgi.com,laporan-agen-riset,sedang/tinggi (2014) / rendah (merek kin,2026-08-19
PT. SOLUSI TANI INDONESIA,solusi-tani-indonesia,Solusi Tani Indonesia,Indonesia (asumsi),,aktif,,solusitani.co.id,,laporan-agen-riset,rendah/tinggi,2026-08-19
PT SRI REJEKI FERTILIZER,sri-rejeki-fertilizer,Sri Rejeki Fertilizer (Pamafert),Indonesia,Swasta nasional,aktif,"POP, Mikrosil (pembenah tanah/soil stabilizer); lini tablet & granul NPK/NK/PK + hara mikro",https://pamafert.com,pamafert.com/demo/company-profile,laporan-agen-riset,sedang,2026-08-19
PT. TANI MAS SUBUR,tani-mas-subur,Tani Mas Subur,,,aktif,"SACO-P (T. koningii 5×10⁶ spora/g); Tanicol 80 WP, Taniban 200 EC",,,laporan-agen-riset,tinggi,2026-08-19
PT.TANINDO INTERTRACO,tanindo-intertraco,Tanindo Intertraco,Indonesia,Grup Tanindo / afiliasi East West Seed (belum terverifikasi),aktif,"Rambo 480 SL, Rambo Peak 550 SL, Ranger 240 SL, Amandy 865 SL, Rover 20/60 WG, Billy 20 WP, Queen 25 WP",belum terverifikasi,[Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk,laporan-agen-riset,sedang,2026-08-19
PT. TRIDA KIMIA SAKTI,trida-kimia-sakti,Trida Kimia Sakti,Indonesia (Jakarta Selatan),⚠️ belum terverifikasi,aktif,"Tridacol 70 WP, Tridamex 36 EC, Tridanil 50 WP, Tridatrin 250 EC, Tridazeb 80 WP, Tridasan 600 EC, Bendas 50 WP",tridakimiasakti.com (403),Buku Pestisida Terdaftar 2014 ; cropcare.or.id/daftar-anggota,laporan-agen-riset,tinggi (2014) / rendah (merek kini),2026-08-19
TUNAS AGRO PERSADA,tunas-agro-persada,Tunas Agro,Indonesia (PMDN),Independen,aktif,Tunas Agro (merek perusahaan; merek dagang terpisah tidak terverifikasi),tunasagro.co.id,benih.pertanian.go.id/detail-produsen/447 ; tunasagro.co.id/web/about,laporan-agen-riset,sedang–tinggi,2026-08-19
PT. UPL INDONESIA,upl-indonesia-nama-terkini-belum-terverifikasi-eks-united-ph,UPL,India (Mumbai),UPL Limited,aktif,"Uniquat 276 SL, Weedtox 480 EC, Blazer 13/30 SC, Dost 330 EC, Spada 60 DF, Unicor M 70 WG, Glystar 480 SL, Agni 865 SL, Select 240 EC",belum terverifikasi (kemungkinan upl-ltd.com),Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; uplcorp.com/id,laporan-agen-riset,sedang/tinggi,2026-08-19
WILMAR CHEMICAL INDONESIA,wilmar-chemical-indonesia,Wilmar,Singapura/Indonesia,Wilmar International Ltd,aktif,Glibas 480 SL (hanya 1 terverifikasi di registri 2014),wilmar-international.com,Buku Pestisida Terdaftar 2014 ; [ACCI](https://cropcare.or.id/daftar-anggota/) ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; cropcare.or.id/daftar-anggota,laporan-agen-riset,sedang,2026-08-19
YARA INDONESIA,yara-indonesia,Yara International ASA,Norwegia (Oslo),Yara International ASA,aktif,"YaraMila UNIK 16-16-16, YaraMila COMPLEX, YaraMila WINNER, YaraMila FASTER, YaraMila Palmae, YaraLiva Tropicote, YaraLiva Nitrabor, YaraTera Calcinit, YaraVita Tri-Pholate",https://www.yara.id,lamansitu.kemendag.go.id/domestic-company/detail/yara-indonesia ; sawitindonesia.com ; yara.id ; yara.id/crop-nutrition/fertilizers/,laporan-agen-riset,tinggi,2026-08-19
