id,nama,badan_hukum_id,asal,grup_induk,status_aktivitas,varietas_terdaftar,merek_utama,situs,sumber,sumber_jenis,keyakinan,diperbarui,nama_di_registri_varietas,jumlah_varietas_registri
pusat-penelitian-karet-unit-rpn,Pusat Penelitian Karet (PPK),Pusat Penelitian Karet (unit PT RPN),"Indonesia (Sembawa, Sumsel)",PT RPN → PTPN III (Persero) — BUMN,aktif,,"Seri IRR — IRR 100, IRR 200 (220, 230), IRR 300 (309, 310), IRR 400 (uji adaptasi). Klon pembanding: PB 260, BPM 24",puslitkaret.co.id,ejournal.puslitkaret.co.id ; iccri.co.id,laporan-agen-riset,tinggi,2026-08-19,,0
pg-rajawali-ii,Puslitagro — PG Rajawali II,PT PG Rajawali II,Indonesia (Cirebon/Jatitujuh),"PT RNI → ID FOOD (holding pangan BUMN, 7 Jan 2022)",aktif,160,Kidang Kencana (KK / PA 198),idfood.co.id,ditjenbun.pertanian.go.id ; idfood.co.id,laporan-agen-riset,sedang,2026-08-19,PT PG Rajawali II,2
pusat-penelitian-kopi-dan-kakao-indonesia-unit-rpn,Puslitkoka / ICCRI,Pusat Penelitian Kopi dan Kakao Indonesia (unit PT RPN),Indonesia (Jember),"PT RPN → PTPN III (Persero) 90%, PTPN V 10% — BUMN",aktif,,"Kakao: seri Sulawesi (01/02/03), ICCRI (07, 09), hibrida ICCRI 06H/08H, MCC (01, 02), Kakao OSC, PCC. Kopi: seri BP (409, 936, 939), AS (AS 1, AS2K), Komasti, hibrida biklonal robusta Hibiro 1–5",iccri.co.id,iccri.co.id/profil ; rpn.co.id,laporan-agen-riset,tinggi,2026-08-19,,0
tidak-ada-entitas-lokal-diwakili-excelindo-jakarta-tercantum,Rijk Zwaan,"— (tidak ada entitas lokal). Diwakili PT Excelindo, Jakarta — tercantum sebagai ""Distributor"" di halaman resmi Rijk Zwaan",Belanda (De Lier),Rijk Zwaan Zaadteelt en Zaadhandel BV,tanpa-entitas-id,,Rijk Zwaan / sufiks RZ pada nama varietas,rijkzwaan.com,rijkzwaan.com/en/international,laporan-agen-riset,tinggi (status distributor); sedang (ska,2026-08-19,,0
tidak-ada-anak-usaha-indonesia-diwakili-tani-murni-indonesia,Sakata Seed,— (tidak ada anak usaha Indonesia). Diwakili PT Tani Murni Indonesia,Jepang (Yokohama),Sakata Seed Corporation,aktif,,Tidak ada merek Indonesia terverifikasi,sakata.com,sakata.com ; tmindonesia.co.id,laporan-agen-riset,tinggi,2026-08-19,,0
sang-hyang-seri,Sang Hyang Seri,PT Sang Hyang Seri (Persero),Indonesia,BUMN — holding pangan ID FOOD (PT RNI),aktif,,Sang Hyang Seri / SHS,ptsanghyangseri.co.id,ptsanghyangseri.co.id (artikel merger) ; ptsanghyangseri.co.id/sejarah-perusahaan,laporan-agen-riset,tinggi,2026-08-19,PT Sang Hyang seri,7
saprotan-benih-utama-bagian-grup-saprotan-utama-induk-histor,Saprotan (unit benih),"PT Saprotan Benih Utama — bagian grup Saprotan Utama (induk historis CV Saprotan Utama, 12 Apr 1980)",Indonesia (PMDN),Grup Saprotan Utama (pendiri Ir. Markus Wibowo); entitas terkait: PT Pukati Pelangi Agromakmur (JV dengan PT Pupuk Kaltim),aktif,,"MW-2 (jagung hibrida), Samiaji 14/15 (padi hibrida), lini Benih Prima & Benih Unggul, payung ""Pak Tani"". ⚠️ Situs grup juga mencantumkan ADV Joss / ADV Montok — itu merek Advanta, jadi Saprotan tampaknya juga mendistribusikan produk pihak lain. Atribusi merek ke badan hukum benih belum tuntas",saprotan-utama.com,asbenindo.org/anggota ; saprotan-utama.com/tentang-kami,laporan-agen-riset,tinggi (grup); sedang (entitas benih & m,2026-08-19,,0
sarana-inti-pratama,Sarana Inti Pratama (SAIN),PT Sarana Inti Pratama,Indonesia (Riau),Disebut Salim Group oleh Disbun Kaltim — belum terverifikasi primer,aktif,,DxP Sain-1/2/3/4,,babebun.ditjenbun ; disbun.kaltimprov.go.id,laporan-agen-riset,sedang,2026-08-19,PT Sarana Inti Pratama ,4
sasaran-ehsan-mekarsari,Sasaran Ehsan Mekarsari,PT Sasaran Ehsan Mekarsari,Malaysia – Indonesia,"Tidak terverifikasi; bermitra genetik dengan ""Ehsan"" Malaysia",aktif,,DxP SEU's Supreme,,babebun.ditjenbun ; sawitindonesia.com,laporan-agen-riset,sedang,2026-08-19,,0
biogene-plantation,Sembada (Biogene),PT Biogene Plantation,Indonesia (PMDN),"Independen, berdiri 2006",aktif,,"Sembada (B3, B5, B8, B9, 101, 168, 188, 626, 989)",(situs resmi tidak ditemukan; profil via Indonetwork),asbenindo.org/anggota ; kontan.co.id ; petrokimia-gresik.com ; tabloidsinartani.com,laporan-agen-riset,tinggi,2026-08-19,PT Biogene Plantation,9
sime-darby-plantation,Sime Darby Plantation,,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
sinergi-gula-nusantara,Sinergi Gula Nusantara (SugarCo),PT Sinergi Gula Nusantara,Indonesia,"PTPN III (Persero) — subholding gula, BUMN",aktif,,"SGN (SGN-01), JSR, NXI (NXI 4T), NX",sinergigula.com,ditjenbun.pertanian.go.id ; ptpn.id,laporan-agen-riset,tinggi,2026-08-19,,0
socfin-indonesia,Socfindo,PT Socfin Indonesia,Belgia/Luksemburg – Indonesia,Socfin Group (via Plantations Nord Sumatra) + Pemerintah RI 10%,aktif,,"DxP Socfindo MT Gano, DxP Socfindo SM (Supermale), DxP LaMe, DxP Yangambi",socfindo.co.id,socfin.com ; socfindo.co.id/products,laporan-agen-riset,tinggi,2026-08-19,PT Socfin Indonesia,2
swisscontact-scpp-program-bibit-kakao,Swisscontact SCPP (program bibit kakao),,,,belum-diverifikasi,,,,,laporan-agen-riset,,2026-08-19,,0
syngenta-seed-indonesia-benih-syngenta-indonesia-crop-protec,Syngenta,PT Syngenta Seed Indonesia (benih),Swiss (HQ Basel),Syngenta Group — Sinochem/ChemChina (Tiongkok),aktif,,"Amistar Top 325 SC, Actara 25 WG, Ampligo 150 ZC, Alika 247 ZC, Agrimec 18 EC, Score 250 EC, Ridomil Gold MZ, Pegasus 500 SC, Curacron 500 EC, Proclaim 5 SG, Cruiser 350 FS",belum terverifikasi (kemungkinan syngenta.co.id),Buku Pestisida Terdaftar 2014 ; Laporan Tahunan CropLife Indonesia 2019 ; [Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk ; asbenindo.org/anggota ; syngenta.co.id/products/search/seed,laporan-agen-riset,tinggi/tinggi (merek) / sedang (badan hu,2026-08-19,PT Syngenta,4
takii-indonesia,Takii & Co.,PT Takii Indonesia,Jepang (Kyoto),Takii Group,aktif,,"Takii Seed (varietas: Green Nova, Red Kriss)",takii.com,hortindo.org/category-1/benih.aspx ; tmindonesia.co.id,laporan-agen-riset,tinggi,2026-08-19,PT Takii Indonesia,6
tani-murni-indonesia,Tani Murni,PT Tani Murni Indonesia,Indonesia (PMDN),Berakar dari usaha tani keluarga di Pangalengan (sejak 1962),aktif,,"Tani Murni / TM (TM Kaiser, TM Spartan, TM Elisha, TM Gaiya, Billy 31, Green Nova)",tanimurniseed.com / tmindonesia.co.id,ipbh.org/anggota ; tanimurniseed.com ; tmindonesia.co.id,laporan-agen-riset,tinggi,2026-08-19,UD Tani Murni,8
tania-selatan,Tania Selatan,PT Tania Selatan,Indonesia (Sumsel),Wilmar International,aktif,,DxP TS-1/TS-2/TS-3,wilmar-international.com,balaimedan.ditjenbun,laporan-agen-riset,tinggi,2026-08-19,,0
tanindo-intertraco,Tanindo Intertraco,PT Tanindo Intertraco,Indonesia,Grup Tanindo / afiliasi East West Seed (belum terverifikasi),aktif,,"Rambo 480 SL, Rambo Peak 550 SL, Ranger 240 SL, Amandy 865 SL, Rover 20/60 WG, Billy 20 WP, Queen 25 WP",belum terverifikasi,[Registri Kementan 2014](https://toolsfortransformation.net/wp-content/uploads/2017/05/Buk,laporan-agen-riset,sedang,2026-08-19,,0
tunggal-yunus-estate,Topaz (Asian Agri),PT Tunggal Yunus Estate,Indonesia (Riau),Asian Agri → RGE / Royal Golden Eagle (Sukanto Tanoto),aktif,,AA-DxP Topaz 1/2/3/4; DxP AA Topaz GT,asianagri.com,asianagri.com/id/media/publikasi/topaz-benih-unggul,laporan-agen-riset,tinggi,2026-08-19,PT Tunggal Yunus Estate,1
tunas-agro-persada,Tunas Agro,PT Tunas Agro Persada,Indonesia (PMDN),Independen,aktif,,Tunas Agro (merek perusahaan; merek dagang terpisah tidak terverifikasi),tunasagro.co.id,benih.pertanian.go.id/detail-produsen/447 ; tunasagro.co.id/web/about,laporan-agen-riset,sedang–tinggi,2026-08-19,PT Tunas Agro Persada,67
tunas-widji-inti-nayottama,TWINN,PT Tunas Widji Inti Nayottama,Indonesia (PMDN),Independen,aktif,,"TWINN (TWINN 1/2/3/16/20), RK 58, RK 457, padi hibrida TRIHANDAYANI 19/21, padi inbrida TANGGOLA 7, juga memproduksi INPARI 32",twinnayottama.co.id,bpatp.litbang.pertanian.go.id ; twinnayottama.co.id,laporan-agen-riset,tinggi,2026-08-19,PT Tunas Widji Inti Nayottama,3
timbang-deli-indonesia,Verdant Bioscience,PT Timbang Deli Indonesia,Singapura – Belgia,"Verdant Bioscience Pte Ltd: Ackermans & van Haaren 42%, SIPEF 38%, Dharma Satya Nusantara Tbk 10%, BioSing 10%",aktif,,"Verdant Select (semi-klonal), Verdant V-80 (F1 Hybrid), DxP Dami G-2",verdantbioscience.com,verdantbioscience.com/id,laporan-agen-riset,tinggi,2026-08-19,,0
tidak-ditemukan-entitas-indonesia-diwakili-tani-murni-indone,Vilmorin-Mikado,— (tidak ditemukan entitas Indonesia). Diwakili PT Tani Murni Indonesia,Prancis / Jepang,Limagrain / Vilmorin & Cie,aktif,,Tidak terverifikasi,vilmorinmikado.com,tmindonesia.co.id,laporan-agen-riset,sedang,2026-08-19,,0
