TOM-01-plantvillage,PlantVillage Dataset,tomat; kentang; cabai besar (paprika); + 11 tanaman lain (14 total),"Tomat 10 kelas: Bacterial spot, Early blight, Late blight, Leaf Mold, Septoria leaf spot, Spider mites, Target Spot, Yellow Leaf Curl Virus, Mosaic virus, healthy. Kentang 3 kelas: Early blight, Late blight, healthy. Paprika 2 kelas. Total 38 kelas",gambar,JPG dalam ZIP (arsip repo GitHub); varian color/grayscale/segmented,"54303 gambar per varian (color & grayscale), 54306 segmented; 38 kelas; tomat 18159, kentang 2152",GitHub - spMohanty/PlantVillage-Dataset (EPFL/Penn State),https://github.com/spMohanty/PlantVillage-Dataset,CC BY-SA 3.0,2016,2026-08-25,datasets/additional/TOM-01-plantvillage,2504302720,858df90a05ab147fa2b0a32c47053128c4ca772326c43e962856e69290012374,diunduh,terverifikasi,"Daun tunggal dipetik, latar seragam, studio - model yang dilatih di sini jatuh pada foto lapangan. Lisensi CC BY-SA 3.0 hanya dinyatakan di cermin Hugging Face resmi; repo GitHub tanpa LICENSE. Kebocoran identitas daun: pakai leaf_grouping/. 19298 gambar turunan di data_distribution_for_SVM harus dikecualikan. Tidak ada layu bakteri/fusarium (penyakit pembuluh, tak terlihat di daun petik). Varian augmented 87.000 gambar di Mendeley sengaja tidak diambil."
TOM-24-sfldd-solanaceae,Solanaceae Family Leaf Disease Image Dataset (SFLD Dataset),tomat; kentang; terung (3 tanaman),"Tomat 7 kelas: Healthy, Bacterial Canker, Cercospora Leaf Spot, Late Blight, Tomato Leaf Curl Virus, Tomato Mosaic Virus, Tomato Spotted Wilt Virus. Kentang 6 kelas termasuk Bacterial Soft Rot & Potato Leaf Roll Virus. Terung 4 kelas",gambar,(tidak tersedia di repositori),diklaim 2593 gambar asli + 17000 augmentasi,Mendeley Data,https://data.mendeley.com/datasets/sd5m3mgvvx/1,CC BY 4.0,2026,2026-08-25,,938925,,ditemukan,belum,"DOI 10.17632/sd5m3mgvvx.1 (juga terdaftar di OSF 10.17605/osf.io/nwvb3). TIDAK ADA DATANYA DI REPOSITORI: rekaman Mendeley hanya berisi image.png (0,94 MB, pratayang) dan SFLD_Dataset.txt yang isinya sebaris tautan Google Drive. Data sebenarnya dihosting di Google Drive pihak ketiga, di luar repositori berlisensi, tanpa checksum, dan bisa hilang sewaktu-waktu. TOMAT DI SINI MENARIK: Bacterial Canker dan Cercospora Leaf Spot tidak ada di dataset lain mana pun dalam panen ini."
TOM-25-kaggle-tomatoleaf-zenodo,tomato-leaf-diseases-detection (unggah ulang dataset Kaggle),tomat,"10 kelas: Mosaic Virus, Target Spot, Bacterial spot, Yellow Leaf Curl Virus, Late blight, Leaf Mold, Early blight, Spider mites, Septoria leaf spot, healthy",gambar,ZIP,192 MB,Zenodo,https://zenodo.org/records/8311631,CC BY 4.0 (dinyatakan penyetor),2023,2026-08-25,,192140000,,ditemukan,belum,"DOI 10.5281/zenodo.8311631. TIDAK DIUNDUH karena REDUNDAN dan HAK CIPTANYA KERUH. Deskripsi rekamannya sendiri berkata: ""This dataset is collected from https://www.kaggle.com/datasets/kaustubhb999/tomatoleaf ... All copyright goes to this kaggel website link."" Penyetor mengklaim CC BY 4.0 atas karya orang lain. Isinya turunan PlantVillage (10 kelas tomat yang sama) sehingga sudah tercakup TOM-01."
TOM-26-koinfeksi-sintetis,Synthetic Co-Infection Plant Leaf Dataset for Multi-Disease Classification,tomat; kentang; apel; jagung; anggur (5 tanaman),Skenario ko-infeksi sintetis; gambar dasar diambil dari PlantVillage,gambar,"ZIP per tanaman (Tomato1 301,97 MB + Tomato2 248,73 MB + 4 tanaman lain)",~1.467 MB total; bagian tomat 551 MB,Zenodo,https://zenodo.org/records/18097801,CC BY 4.0,2025,2026-08-25,,550700000,,ditemukan,belum,"DOI 10.5281/zenodo.18097800. TIDAK DIUNDUH: gambarnya SINTETIS - dibuat dengan menggabungkan gambar PlantVillage yang sudah dipanen di TOM-01, jadi mewarisi seluruh cacat studio PlantVillage sekaligus menambah artefak penggabungan. Untuk kebutuhan ko-infeksi, TOM-02 Variant-b jauh lebih baik karena gejala majemuknya NYATA dan terfoto di lapangan."
TOM-27-laser-speckle-hawar,Derived data and reproducibility package for remote early detection of tomato late blight by laser speckle sensing,tomat,"Late blight (Phytophthora infestans) - 20 tanaman diinokulasi vs 20 mock, dicitrakan 6/18/24 jam pasca perlakuan",tabular (fitur sensor),tabel fitur + definisi fold + hiperparameter + prediksi,"720 rekaman video speckle dari 40 tanaman, 105 fitur rekayasa per video",Zenodo,https://zenodo.org/records/19857899,CC BY 4.0,2026,2026-08-25,,,,terhalang-akun,belum,"DOI 10.5281/zenodo.19857898. API Zenodo melaporkan access: RESTRICTED - berkasnya tidak terdaftar dan butuh permintaan akses ke pemilik rekaman. Tidak ditembus sesuai aturan. Menarik karena ini DETEKSI PRA-GEJALA (6 jam pasca inokulasi) memakai sensor laser speckle, bukan citra RGB - jalur yang sama sekali berbeda dari seluruh dataset lain di panen ini."
TOM-28-gts-taiwan-pdf,Taiwan Tomato Leaves Dataset (halaman GTS.AI),tomat,Mengklaim 622 gambar dalam 6 kategori,(bukan dataset),"PDF pemasaran 0,72 MB",1 berkas PDF,Zenodo (diunggah Globose Technology Solutions),https://zenodo.org/records/15095409,CC BY 4.0,2025,2026-08-25,,720000,,ditolak,tidak-berlaku,"DOI 10.5281/zenodo.15095408. DITOLAK: rekaman ini BUKAN dataset. Satu-satunya berkasnya adalah gts_ai_dataset_download_taiwan_tomato_leaves_dataset.pdf, yaitu halaman pemasaran vendor yang mengarahkan ke gts.ai. Datanya yang asli adalah TOM-03 (Mendeley 10.17632/ngdgg79rzb.1) yang sudah diunduh dan terverifikasi 622 gambar."
TOM-29-nepal-hawar-lampiran,"Field evaluation of tomato (Solanum lycopersicum) varieties for resistance to early and late blight diseases in Baitadi, Nepal",tomat,Ketahanan varietas terhadap early blight dan late blight,(bukan dataset),"1 JPG (1,6 MB) + 1 DOCX (0,017 MB)",2 berkas lampiran,figshare (Taylor & Francis),https://doi.org/10.6084/m9.figshare.32909461,CC BY 4.0,2026,2026-08-25,,1616000,,ditolak,tidak-berlaku,DOI 10.6084/m9.figshare.32909461. DITOLAK: hanya berkas pendukung artikel jurnal - satu gambar JPG dan satu dokumen Word. Tidak ada tabel data ketahanan varietas yang bisa dipakai kembali. Topiknya relevan (uji lapang ketahanan hawar di Nepal) tetapi datanya tidak terbuka.
TOM-30-ieee-real-field,Real Field Crop Image Dataset,"tomat (dan tanaman lain, belum diverifikasi)",Belum diverifikasi,gambar,Belum diverifikasi,Belum diverifikasi,IEEE DataPort,https://ieee-dataport.org/documents/real-field-crop-image-dataset,CC BY 4.0,2026,2026-08-25,,,,terhalang-akun,belum,"DOI 10.21227/5ytp-dr85. IEEE DataPort menuntut akun/langganan IEEE untuk mengunduh. Tidak ditembus sesuai aturan. Menjanjikan karena mengklaim data dikumpulkan di kondisi lahan nyata, tapi metadata teknisnya (jumlah gambar, kelas) tidak terekspos tanpa login."
TOM-31-kaggle-dsv,Tomato leaf disease Dataset (Kaggle),tomat,Belum diverifikasi,gambar,Belum diverifikasi,Belum diverifikasi,Kaggle,https://www.kaggle.com/dsv/16210872,tidak dinyatakan (DataCite tidak mencatat rightsList),2026,2026-08-25,,,,terhalang-akun,belum,"DOI 10.34740/kaggle/dsv/16210872. Unduhan Kaggle butuh akun dan token API. Tidak ditembus sesuai aturan. Dicatat sebagai wakil dari seluruh kelas sumber Kaggle: banyak ""dataset penyakit tomat"" populer hanya ada di Kaggle/Roboflow di balik login, dan sebagian besar ternyata turunan PlantVillage yang di-repackage tanpa lisensi jelas (bandingkan TOM-25)."
TOM-32-plantvillage-diproses,Processed Tomato Leaf Disease Image Dataset with Train-Validation-Test Split for Deep Learning Applications,tomat,Turunan PlantVillage; kelasnya subset kelas tomat PlantVillage,gambar,ZIP,"109,39 MB",Mendeley Data,https://data.mendeley.com/datasets/3zwdw6y4pn/1,CC BY 4.0,2026,2026-08-25,,109390000,,ditemukan,belum,"DOI 10.17632/3zwdw6y4pn.1. TIDAK DIUNDUH karena REDUNDAN: deskripsinya menyatakan sendiri bahwa ini ""a processed and structured version of a tomato leaf disease image dataset derived from the PlantVillage dataset"" (buang gambar buram, buang duplikat, pilih kelas tertentu). Sumber aslinya sudah dipanen utuh di TOM-01."
TOM-33-daffodil-bangladesh,"Tomato leaf diseases (Khagan/Charabag, Bangladesh)",tomat,"Infeksi viral, bakteri, dan jamur; dilabeli oleh tenaga profesional",gambar,berkas JPG lepas (tanpa arsip),"2627 berkas, 450,75 MB",Mendeley Data,https://data.mendeley.com/datasets/93h9p62kg4/1,CC BY 4.0,2025,2026-08-25,,450750000,,ditemukan,belum,"DOI 10.17632/93h9p62kg4.1. TIDAK DIUNDUH: jatah 8 GB agen habis dan cakupan Bangladesh lapangan sudah diwakili TOM-11 (Dinajpur/Thakurgaon/Kushtia) dan TOM-06. Berkasnya lepas semua (2627 permintaan terpisah, tanpa arsip). Nilai tambahnya: label dikerjakan tenaga profesional dan lokasinya spesifik (dekat Daffodil International University)."
TOM-34-bangladesh-7-kategori,"Tomato Leaf Disease Classification Dataset (Bangladesh, Maret 2025)",tomat,"7 kategori: penyakit, daun sehat, dan defisiensi hara",gambar,berkas lepas,"2995 gambar resolusi tinggi, 286,19 MB",Mendeley Data,https://data.mendeley.com/datasets/jttrv2w27r/2,CC BY 4.0,2025,2026-08-25,,286190000,,ditemukan,belum,DOI 10.17632/jttrv2w27r.2. TIDAK DIUNDUH: jatah agen habis. Menarik karena memasukkan DEFISIENSI HARA bersama penyakit (seperti TOM-02) dan diambil di berbagai wilayah pertanian Bangladesh pada 10-20 Maret 2025 dengan kondisi lingkungan beragam.
TOM-35-solapure-cc-by-sa,Tomato Leaf Disease Dataset (SmartAgroTech),tomat,"Beberapa penyakit daun tomat, satu folder per penyakit",gambar,TomatoDataset.zip,"668,09 MB",Mendeley Data,https://data.mendeley.com/datasets/zfv4jj7855/1,CC BY-SA 4.0,2024,2026-08-25,,668090000,,ditemukan,belum,DOI 10.17632/zfv4jj7855.1. TIDAK DIUNDUH: jatah agen habis dan deskripsinya terlalu kabur untuk menilai nilai tambahnya. CATATAN LISENSI: CC BY-SA 4.0 (berbagi-serupa) - satu dari hanya dua rekaman ShareAlike di panen ini bersama PlantVillage; jangan dicampur ke koleksi CC BY.
TOM-36-multi-crop-xai,Multi-Crop Leaf Disease Dataset for Deep Learning-Based Classification and Explainable AI,tomat + tanaman lain,Belum diverifikasi,gambar,multiple leaf dataset.zip,"523,29 MB",Mendeley Data,https://data.mendeley.com/datasets/3xd9n7jpc8/1,CC BY 4.0,2026,2026-08-25,,523290000,,ditemukan,belum,"DOI 10.17632/3xd9n7jpc8.1. TIDAK DIUNDUH: jatah agen habis, dan cakupan multi-tanaman sudah diwakili TOM-01 (PlantVillage, 14 tanaman) dan TOM-12 (PhytoScope, 25 tanaman lapangan dengan kotak pembatas)."
TOM-37-tcp-tomat-cabai-pepaya,TCP (Tomato-Chilli-Papaya Fruit & Leaf) Disease Dataset,tomat; cabai; pepaya (3 tanaman),Penyakit buah dan daun pada tiga tanaman,gambar,"TCP Dataset.zip 199,4 MB + Three Fruit and leaf crops disease dataset.zip 1816,52 MB",2.016 MB total,Mendeley Data,https://data.mendeley.com/datasets/m4m6j2tjfj/4,CC BY 4.0,2026,2026-08-25,,2015910000,,ditemukan,belum,"DOI 10.17632/m4m6j2tjfj.4. TIDAK DIUNDUH: jatah agen habis. Muat di batas 3 GB dan RELEVAN LINTAS AGEN karena mencakup tomat DAN cabai sekaligus, termasuk penyakit BUAH. Kandidat kuat untuk sesi lanjutan; koordinasikan dengan agen cabai supaya tidak diunduh dua kali."
TOM-38-ithaya-rani-figshare,Tomato leaf diseases (Ithaya Rani),tomat,"Daun sehat + beberapa kelas penyakit, sudah dibagi train/validation/test",gambar,Tomato leaf diseases.zip,"382,88 MB",figshare,https://doi.org/10.6084/m9.figshare.33197457,CC BY 4.0,2026,2026-08-25,,382880000,,ditemukan,belum,"DOI 10.6084/m9.figshare.33197457.v1. TIDAK DIUNDUH: jatah agen habis dan deskripsinya generik (""annotated tomato leaf images covering healthy leaves and multiple disease classes"") tanpa menyebut jumlah, kelas, lokasi, atau alat - indikasi kuat turunan PlantVillage lagi. Perlu dibuka dulu sebelum dipercaya."
TOM-39-tomat-yunani-tabular,"Characterisation of tomato (Solanum lycopersicum) landraces and varieties under organic farming in Greece (2019, 2022-2024)",tomat,"Karakterisasi landrace/varietas di pertanian organik, sifat kesehatan tanaman termasuk",tabular,1 berkas XLSX,"0,179 MB",Zenodo (Horizon Europe LiveSeeding),https://zenodo.org/records/21825728,CC BY-NC-SA 4.0,2026,2026-08-25,,179000,,ditemukan,belum,DOI 10.5281/zenodo.21825727. TIDAK DIUNDUH: skemanya sama persis dengan TOM-14 (proyek LiveSeeding yang sama) sehingga tidak menambah struktur baru; hanya menambah lokasi (Yunani) dan tahun. Lisensi CC BY-NC-SA 4.0 - non-komersial. Diambil kalau ingin memperbanyak titik pengamatan lapangan Mediterania.
TOM-40-metabolomik-ralstonia,Comparative metabolomic profiling of resistant and susceptible tomato cultivars against Ralstonia solanacearum,tomat,Layu bakteri (Ralstonia solanacearum) - respons metabolik kultivar tahan vs rentan,tabular,1 berkas,"0,03 MB",Mendeley Data,https://data.mendeley.com/datasets/y2wcnrf745/1,CC BY 4.0,2026,2026-08-25,,30000,,ditemukan,belum,"DOI 10.17632/y2wcnrf745.1. TIDAK DIUNDUH: datanya metabolomik (jalur & metabolit pertahanan), bukan gejala yang bisa diamati petani, sehingga tidak menyumbang ke identifikasi penyakit, computer vision, maupun epidemiologi. Dicatat karena LAYU BAKTERI adalah lubang terbesar koleksi tomat ini dan rekaman ini salah satu dari sedikit sumber terbuka bertopik Ralstonia pada tomat."
