no_akreditasi,nama,skema_kode,skema,alamat,provinsi,telepon,sumber
"LP-043-IDN","Laboratorium Cabang Semarang, PT Sucofindo","LP","Laboratorium Penguji","Jl. Sutan Syahrir (Raya Kaligawe Km. 8) Semarang 50118","Jawa Tengah","(024) 6590547","https://layanan.kan.or.id/direktori-lpk/23/1"
"LP-060-IDN","Balai Standardisasi dan Pelayanan Jasa Industri Samarinda","LP","Laboratorium Penguji","Jl. M.T. Haryono/Banggeris No. 1 Samarinda, Kalimantan Timur 75124","Kalimantan Timur","(0541) 7771364","https://layanan.kan.or.id/direktori-lpk/31/1"
"LP-082-IDN","Pusat Sarana Pengendalian Lingkungan Hidup","LP","Laboratorium Penguji","Kawasan Sains dan Teknologi BJ Habibie BRIN Gedung 210, Jl. Raya PUSPIPTEK, Serpong, Tangerang Selatan, Banten 15314","Banten","021-75872028","https://layanan.kan.or.id/direktori-lpk/2167/1"
"LP-097-IDN","Unit Pelaksana Teknis Daerah Pengujian dan Penerapan Mutu Hasil Perikanan Provinsi Bali","LP","Laboratorium Penguji","Jl. Kapten Tantular No. 10 Denpasar 80235","Bali","0361262836","https://layanan.kan.or.id/direktori-lpk/2573/1"
"LP-1008-IDN","PT SUCOFINDO (PERSERO) LABORATORIUM SBU MINERAL","LP","Laboratorium Penguji","Jl. Raya Tol Arteri Cibitung 1, Cikarang Barat, Kabupaten Bekasi, Indonesi","Jawa Barat","(021) 88321176 ext 5409","https://layanan.kan.or.id/direktori-lpk/1149/1"
"LP-1018-IDN","Balai Besar Karantina Hewan Ikan dan Tumbuhan Papua","LP","Laboratorium Penguji","Jl. Kedamaian Kotaraja Grand - Abepura","","0967-585789","https://layanan.kan.or.id/direktori-lpk/1232/1"
"LP-103-IDN","Balai Pengujian Mutu Hasil Perikanan Semarang","LP","Laboratorium Penguji","Jl. Siliwangi 636 Semarang","Jawa Tengah","0247605311-7623231","https://layanan.kan.or.id/direktori-lpk/62/1"
"LP-1063-IDN","Laboratorium Kesehatan Kota Semarang","LP","Laboratorium Penguji","Jl. WR SUPRATMAN RT. 01/RW. 06, KELURAHAN GISIKDRONO, SEMARANG BARAT Telp. (024) 76436457","Jawa Tengah","(024) 76436457","https://layanan.kan.or.id/direktori-lpk/1345/1"
"LP-1086-IDN","UPTD LABORATORIUM LINGKUNGAN DINAS LINGKUNGAN HIDUP KABUPATEN PURWAKARTA","LP","Laboratorium Penguji","JL. PURNAWARMAN TIMUR NO 11 A PURWAKARTA","Jawa Barat","0264212738","https://layanan.kan.or.id/direktori-lpk/1229/1"
"LP-1114-IDN","UPTD Laboratorium Lingkungan Dinas Lingkungan Hidup Kota Pangkalpinang","LP","Laboratorium Penguji","JL DELIMA SIAM VI KELURAHAN SRIWIJAYA KECAMATAN GIRIMAYA","","0717-9102539","https://layanan.kan.or.id/direktori-lpk/1385/1"
"LP-1181-IDN","PT Global Environment Laboratory","LP","Laboratorium Penguji","Jl. Poros Samarinda-Bontang No.77 RT.006, Kel. Lempake, Kec. Samarinda Utara","Kalimantan Timur","081346557183","https://layanan.kan.or.id/direktori-lpk/1696/1"
"LP-122-IDN","Pusat Pelayanan Kesehatan Hewan dan Peternakan","LP","Laboratorium Penguji","Jl Mpok Nori, Bambu Apus - Cipayung, Jakarta Timur","DKI Jakarta","021 8455748","https://layanan.kan.or.id/direktori-lpk/78/1"
"LP-1230-IDN","Laboratorium PT. SMART Tbk - Unit Marunda","LP","Laboratorium Penguji","Kawasan Industri dan Pergudangan blok D No.1 Marunda Center, Tarumajaya","","021-88991121","https://layanan.kan.or.id/direktori-lpk/1897/1"
"LP-124-IDN","UPTD Penerapan Mutu Hasil Perikanan, Dinas Kelautan dan Perikanan Provinsi Sumatera Utara","LP","Laboratorium Penguji","Jl. Pulau Biak No. 1, Kawasan Industri Medan (KIM) I Mabar, Medan 20242","Sumatera Utara","082267697855","https://layanan.kan.or.id/direktori-lpk/80/1"
"LP-127-IDN","Laboratorium PT Pusri Palembang","LP","Laboratorium Penguji","Jl. Mayor Zen, Palembang 30118","Sumatera Selatan","0711 712111 ex 7633","https://layanan.kan.or.id/direktori-lpk/83/1"
"LP-1314-IDN","PT Chandra Asri Pacific Tbk","LP","Laboratorium Penguji","Jl. Raya Anyer km. 123, Ciwandan, Cilegon, Banten","Banten","(62-254) 575 0080","https://layanan.kan.or.id/direktori-lpk/2140/1"
"LP-1318-IDN","Laboratorium Lingkungan Dinas Lingkungan Hidup Kabupaten Pemalang","LP","Laboratorium Penguji","Jalan K.H. Ahmad Dahlan Pemalang, Jawa Tengah","Jawa Tengah","(0284) 322121","https://layanan.kan.or.id/direktori-lpk/2348/1"
"LP-1321-IDN","Laboratorium Quality PT Cheil Jedang Indonesia Pasuruan","LP","Laboratorium Penguji","Desa Arjosari RT 04 - RW 02 Kecamatan Rejoso","","(0343) 482333","https://layanan.kan.or.id/direktori-lpk/2431/1"
"LP-1328-IDN","PT. Anindya Wiraputra Konsult Palembang","LP","Laboratorium Penguji","Komp. Pergudangan Sukarami Blok D-09 Jl. Tembus Terminal, Kel. Talang Kelapa, Kec. Alang-alang Lebar","","+62 711 384109","https://layanan.kan.or.id/direktori-lpk/2282/1"
"LP-1329-IDN","PT ESSA Industries Indonesia Tbk.","LP","Laboratorium Penguji","Jalan Raya Palembang - Indralaya Km.17 Simpang Y Palembang Sumatera Selatan, Indonesia","Sumatera Selatan","+62 711 5649700","https://layanan.kan.or.id/direktori-lpk/2300/1"
"LP-1332-IDN","PT. Jasa Mutu Mineral Indonesia Cabang Banjarbaru","LP","Laboratorium Penguji","Jalan Trikora HM.3379 RT.024 RW.005 Kelurahan Kemuning Kecamatan Banjarbaru Selatan, Banjarbaru, Kalimantan Selatan","Kalimantan Selatan","0511-5910685","https://layanan.kan.or.id/direktori-lpk/2448/1"
"LP-1334-IDN","Laboratorium PT Bayer Indonesia - Surabaya Plant","LP","Laboratorium Penguji","Jalan Rungkut Industri I no 12","","031-992042222","https://layanan.kan.or.id/direktori-lpk/2403/1"
"LP-1342-IDN","PT GREENLAB INDO GLOBAL","LP","Laboratorium Penguji","GRHA ENVIRONESIA 1st FLOOR, JALAN JATI MATARAM NO 284B,SINDUADI, MLATI, SLEMAN DIY","Nusa Tenggara Barat","0274-454000 EXT. 2","https://layanan.kan.or.id/direktori-lpk/2428/1"
"LP-1346-IDN","Stasiun Pengendalian dan Pengawasan Mutu Hasil Kelautan dan Perikanan Bandung","LP","Laboratorium Penguji","Jl. Ciawitali Citeureup Cimahi Utara No. 44 Cimahi","Jawa Barat","0226649004","https://layanan.kan.or.id/direktori-lpk/2469/1"
"LP-1360-IDN","PT Telen Orbit Prima","LP","Laboratorium Penguji","Desa Buhut Jaya, Kec. Kapuas Tengah, Kab. Kapuas","Kalimantan Tengah","082139329885","https://layanan.kan.or.id/direktori-lpk/2628/1"
"LP-1372-IDN","Laboratorium PT PLN NUSANTARA POWER UNIT PEMBANGKITAN KALTIM TELUK","LP","Laboratorium Penguji","Jl. PLTU No. 1 Kawasan Industri Kariangau KM. 12, Kel. Kariangau, Kec. Balikpapan Barat, Kota Balikpapan, Kalimantan Timur","Kalimantan Timur","(0542) 8530818 ext 2183","https://layanan.kan.or.id/direktori-lpk/2660/1"
"LP-1388-IDN","UPT LABORATORIUM LINGKUNGAN DINAS LINGKUNGAN HIDUP KABUPATEN BARITO UTARA","LP","Laboratorium Penguji","Jl. Simpang Pramuka I Muara Teweh Provinsi Kalimantan Tengah","Kalimantan Tengah","(0519) 23367","https://layanan.kan.or.id/direktori-lpk/2600/1"
"LP-1397-IDN","Balai Besar Laboratorium Biologi Kesehatan","LP","Laboratorium Penguji","Jl. Percetakan Negara II No. 23","","081299907400","https://layanan.kan.or.id/direktori-lpk/2650/1"
"LP-1400-IDN","Laboratorium PT Provital Perdana","LP","Laboratorium Penguji","Jalan Kranji Blok F15 No. 1C, Delta Silicon 2, Lippo Cikatang, Desa Cibatu, Kec. Cikarang Selatan","","021-5011 6422","https://layanan.kan.or.id/direktori-lpk/2645/1"
"LP-1444-IDN","UPTD LABORATORIUM VETERINER DINAS PETERNAKAN ACEH","LP","Laboratorium Penguji","JL. MR. MUHAMMAD HASAN LORONG KEUCHIK AMIN AHMAD BANDA ACEH","Aceh","0651-7559050","https://layanan.kan.or.id/direktori-lpk/1179/1"
"LP-1446-IDN","Pusat Pengembangan Sumber Daya Manusia Minyak dan Gas Bumi","LP","Laboratorium Penguji","Jalan Sorogo Nomor 1 Cepu","","0296 421888","https://layanan.kan.or.id/direktori-lpk/2663/1"
"LP-1450-IDN","GUNA SUKSES INTI, PT","LP","Laboratorium Penguji","Segitiga Emas Jababeka Pintu 6, Jababeka� Inovation Center, Bizpark - Blok A/23, Cikarang, Bekasi","Jawa Barat","02129865140","https://layanan.kan.or.id/direktori-lpk/3015/1"
"LP-1455-IDN","Laboratorium PT. Binasawit Makmur, Sampoerna Agro","LP","Laboratorium Penguji","Jl. Basuki Rahmat No. 788","","08117320327","https://layanan.kan.or.id/direktori-lpk/2750/1"
"LP-1468-IDN","PT. Anindya Wiraputra Konsult Cabang Pontianak","LP","Laboratorium Penguji","Jl. Arteri Supadio Gg. Anyar RT.7, RW.10, Kel. Arang Limbung, Kec. Sungai Raya, Kab. Kubu Raya","Kalimantan Barat","+62.561-6710694","https://layanan.kan.or.id/direktori-lpk/3068/1"
"LP-1490-IDN","laboratorium Pengujian PT. ECOLAB INTERNATIONAL INDONESIA","LP","Laboratorium Penguji","Jl. Pahlawan Desa karang asem timur citeureup bogor","Bali","0218753175","https://layanan.kan.or.id/direktori-lpk/3014/1"
"LP-1493-IDN","UPT Laboratorium Lingkungan Dinas Lingkungan Hidup Kabupaten Bengkalis","LP","Laboratorium Penguji","Jalan Pertanian, Kecamatan Bengkalis","Riau","(0766) 21582","https://layanan.kan.or.id/direktori-lpk/3230/1"
"LP-1501-IDN","Laboratorium Uji Balai Besar Perikanan Budidaya Air Payau Jepara","LP","Laboratorium Penguji","Jl. cik Lanang PO Box 1 Jepara","Jawa Tengah","0291591125","https://layanan.kan.or.id/direktori-lpk/3038/1"
"LP-151-IDN","PT Semen Indonesia (Persero) Tbk. - Laboratorium Litbang dan Jaminan Mutu","LP","Laboratorium Penguji","Jl. Veteran, Gresik 61122, Jawa Timur","Jawa Timur","(031) 3981731-3","https://layanan.kan.or.id/direktori-lpk/2175/1"
"LP-1521-IDN","Laboratorium Chemical PT. Karyadibya Mahardhika","LP","Laboratorium Penguji","Jl. Raya Purwosari – Pasuruan KM. 2.5, Kel. Bakalan Kec. Purwosari","Jawa Timur","0343-2853000","https://layanan.kan.or.id/direktori-lpk/3310/1"
"LP-1524-IDN","EQuitrust LAB - PT. Kimia Farma Diagnostika","LP","Laboratorium Penguji","Jalan Bendungan Hilir Raya No. 60, Jakarta Pusat","DKI Jakarta","+62 813-7776-6644","https://layanan.kan.or.id/direktori-lpk/3276/1"
"LP-1617-IDN","PT Seafood Inspection Laboratory","LP","Laboratorium Penguji","Jalan Bedugul No 37 B, Sidakarya, Denpasar Selatan 80224, Bali, Indonesia","Bali","+62 361 -4484924","https://layanan.kan.or.id/direktori-lpk/973/1"
"LP-1619-IDN","Balai Pengendalian dan Pengawasan Mutu Hasil Kelautan dan Perikanan Manado","LP","Laboratorium Penguji","Kompleks Pelabuhan Perikanan Samudera Bitung, Kel. Aertembaga Satu, Kec. Aertembaga, Kota Bitung","Sulawesi Utara","0431 (814628)","https://layanan.kan.or.id/direktori-lpk/3803/1"
"LP-1640-IDN","PT HALQILAB KARYA INDONESIA","LP","Laboratorium Penguji","Komplek Ruko Bubulak No. 11, Jln. KH Abdullah Bin Nuh, Bogor Barat - Kota Bogor","Jawa Barat","0251-8474536","https://layanan.kan.or.id/direktori-lpk/3655/1"
"LP-1646-IDN","Laboratorium Lingkungan Perum Jasa Tirta I","LP","Laboratorium Penguji","Jl. Surabaya 2A Malang","Jawa Timur","(0341) 551971","https://layanan.kan.or.id/direktori-lpk/149/1"
"LP-1649-IDN","UPTD Balai Laboratorium Lingkungan Dinas Lingkungan Hidup dan Kehutanan Provinsi Nusa Tenggara Barat","LP","Laboratorium Penguji","Jalan Majapahit No. 56 A Mataram","Nusa Tenggara Barat","(0370) 7506904, HP 0","https://layanan.kan.or.id/direktori-lpk/3368/1"
"LP-1658-IDN","PT Pertamina Patra Niaga - Refinery Unit IV Cilacap","LP","Laboratorium Penguji","Jl. Letjen Haryono MT No. 77","","(0282) 508230","https://layanan.kan.or.id/direktori-lpk/74/1"
"LP-1664-IDN","Laboratorium PT. Mengniu Dairy Indonesia","LP","Laboratorium Penguji","JL KAWASAN INDUSTRI TERPADU INDONESIA CHINA, KAV. 72, GIIC-KOTA DELTAMAS NAGASARI, SERANG BARU","Banten","021-2555-5801","https://layanan.kan.or.id/direktori-lpk/3352/1"
"LP-1673-IDN","UPT Laboratorium Lingkungan Hidup Kota Banjarbaru","LP","Laboratorium Penguji","Jl. Trikora/Soekarno Hatta No. 8 Banjarbaru","Jawa Barat","082251551891","https://layanan.kan.or.id/direktori-lpk/3850/1"
"LP-1735-IDN","PT. NATURA PERISA AROMA","LP","Laboratorium Penguji","JL. IR. SUTAMI KM 9, SUKANEGARA, TANJUNG BINTANG","Kepulauan Riau","0721351091","https://layanan.kan.or.id/direktori-lpk/4022/1"
"LP-1784-IDN","PT Global Inspeksi Sistem","LP","Laboratorium Penguji","Jl. Pahlawan No.2, Kwadengan Barat, Lemahputro, Kec. Sidoarjo, Kabupaten Sidoarjo, Jawa Timur 61213","Jawa Timur","021 50560008","https://layanan.kan.or.id/direktori-lpk/4467/1"
"LP-1885-IDN","UPTD LABORATORIUM KESEHATAN DAERAH KABUPATEN TANGERANG","LP","Laboratorium Penguji","Ps. Desa Cikupa, Depan, Jl. Raya Serang No.Km. 15, Talagasari, Cikupa, Tangerang Regency, Banten 15710","Banten","081399736390","https://layanan.kan.or.id/direktori-lpk/4471/1"
"LP-1913-IDN","PT PERTAMINA PATRA NIAGA LABORATORIUM INTEGRATED TERMINAL PALEMBANG","LP","Laboratorium Penguji","Jl. Ki MAROGAN NO 1927, KEMANG AGUNG KEC KERTAPATI KOTA PALEMBANG SUMATERA SELATAN","Sumatera Selatan","081368980808","https://layanan.kan.or.id/direktori-lpk/6847/1"
"LP-1914-IDN","PT UNITEST PRESISI INDONESIA","LP","Laboratorium Penguji","Grha Insaka, Jalan Kaliurang KM. 10, Sardonoharjo, Kecamatan Ngaglik","","0274 2836855","https://layanan.kan.or.id/direktori-lpk/5682/1"
"LP-1919-IDN","PT Cipta Mikro Material","LP","Laboratorium Penguji","Gedung Technology Business and Incubation Center (TBIC), Kawasan PUSPIPTEK, Pengasinan, Kec. Gunung Sindur, Kab. Bogor, Jawa Barat - 16340","Jawa Barat","085714021234","https://layanan.kan.or.id/direktori-lpk/5652/1"
"LP-1922-IDN","PT Mulia Boga Raya Tbk.","LP","Laboratorium Penguji","Jl. Inti II Blok C7 No. 5-A Cibatu, Cikarang Selatan – Bekasi, 17530, Indonesia","Jawa Barat","Telp. (021) 8990 8468 dan Fax. (021) 8990 8485","https://layanan.kan.or.id/direktori-lpk/5694/1"
"LP-1925-IDN","PT. Alkana Diza Nusantara","LP","Laboratorium Penguji","Jl. Sunan Drajat RT. 41, Kelurahan Simpang III Sipin, Kecamatan Kota Baru, Kota Jambi, Provinsi Jambi","Jambi","08117487873","https://layanan.kan.or.id/direktori-lpk/5771/1"
"LP-1927-IDN","PT. ENERGI UNGGUL PERSADA","LP","Laboratorium Penguji","Jl. Tanjung Meranggas Desa Segendis RT.12 Kel. Bontang Lestari Kec. Bontang Selatan","Kalimantan Timur","0811-5209-914","https://layanan.kan.or.id/direktori-lpk/7041/1"
"LP-1929-IDN","PUSLITBANG POLRI","LP","Laboratorium Penguji","Jalan Raya Tonjong, Cimanggis, Bojonggede, Kab. Bogor, Jawa Barat, 16920","Jawa Barat","081269404581","https://layanan.kan.or.id/direktori-lpk/7038/1"
"LP-1932-IDN","Laboratorium QA PT.Nestle Indonesia-Pabrik Bandaraya","LP","Laboratorium Penguji","PT. Nestlé Indonesia - Bandaraya Factory Jl Raya Tulis-Bandar Desa Wonosegoro Kec Bandar, Kab Batang","Jawa Tengah","081141501835","https://layanan.kan.or.id/direktori-lpk/5632/1"
"LP-1933-IDN","Laboratorium Teknologi Hasil Hutan, Fakultas Kehutanan, USU","LP","Laboratorium Penguji","Jalan Lingkar Kampus USU 2, Bekala, Simalingkar A, Kec. Pancur Batu, Kab. Deli Serdang, Sumatera Utara, 20353","Sumatera Utara","061 8201920","https://layanan.kan.or.id/direktori-lpk/6870/1"
"LP-1934-IDN","Integrated Laboratory and Research Center Universitas Indonesia (ILRC UI)","LP","Laboratorium Penguji","Gedung ILRC Kampus Baru Universitas Indonesia Beji, Depok 16424","Jawa Barat","(021) 727 0152 ext. 1300","https://layanan.kan.or.id/direktori-lpk/6946/1"
"LP-1939-IDN","Laboratorium Uji Lingkungan Jurusan Kesehatan Lingkungan Politeknik Kesehatan Kemenkes Yogyakarta","LP","Laboratorium Penguji","Jl. Tata Bumi No.3, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293","DI Yogyakarta","(0274) 617601","https://layanan.kan.or.id/direktori-lpk/6864/1"
"LP-1940-IDN","Laboratorium Pengujian Balai Pengujian Standar Instrumen Pertanian Lahan Rawa","LP","Laboratorium Penguji","Jl. Kebun Karet Kelurahan Loktabat Utara Kecamatan Banjarbaru Utara","Jawa Barat","0511-772534","https://layanan.kan.or.id/direktori-lpk/6983/1"
"LP-1943-IDN","PT. Farma Medika Indonesia","LP","Laboratorium Penguji","Pergudangan Mutiara Kosambi, Blok A5 no 6, Benda, Tangerang","Banten","(021) 72780168","https://layanan.kan.or.id/direktori-lpk/7033/1"
"LP-196-IDN","PT Bentoel Prima","LP","Laboratorium Penguji","Jl. Raya Karanglo Lt.1., Kel. Banjararum, Kec. Singosari, Kab. Malang","Jawa Barat","(0341) 490000","https://layanan.kan.or.id/direktori-lpk/129/1"
"LP-1962-IDN","Laboratorium Integrated Terminal Pontianak","LP","Laboratorium Penguji","Jl Khatulistiwa No.282, Siantan Hilir, Pontianak Utara, Siantan Hilir, Kec. Pontianak Utara, Kota Pontianak, Kalimantan Barat","Kalimantan Barat","+62 541 741294","https://layanan.kan.or.id/direktori-lpk/6848/1"
"LP-1963-IDN","PT Mutuagung Lestari Banjarbaru","LP","Laboratorium Penguji","Jln. Trikora HM.3379 RT.024 RW.005 Kelurahan Kemuning Kecamatan Banjarbaru Selatan, Banjarbaru, Kalimantan Selatan","Kalimantan Selatan","0511 -5910685","https://layanan.kan.or.id/direktori-lpk/8062/1"
"LP-1964-IDN","UPT Laboratorium Lingkungan Dinas Lingkungan Hidup Kabupaten Deli Serdang","LP","Laboratorium Penguji","Jl. Karya Utama No. 1 Lubuk Pakam","","081264143098","https://layanan.kan.or.id/direktori-lpk/6855/1"
"LP-1966-IDN","UPTD BPSMB AGRO BANDUNG","LP","Laboratorium Penguji","Jalan Raya Cinunuk No. 204","","022 7830258","https://layanan.kan.or.id/direktori-lpk/7036/1"
"LP-1967-IDN","PT ENERGI UNGGUL PERSADA","LP","Laboratorium Penguji","JL. Raya Sungai Limau, RT 007 RW 003, Desa Sungai Limau, Kec. Sungai Kunyit","","081375468892","https://layanan.kan.or.id/direktori-lpk/7027/1"
"LP-1968-IDN","PT DOWA ECO SYSTEM INDONESIA","LP","Laboratorium Penguji","Jalan Raya Daendels KM 91, Desa Tlogoretno, Kecamatan Brondong, Kabupaten Lamongan","Jawa Timur","0322-6601100/-","https://layanan.kan.or.id/direktori-lpk/7045/1"
"LP-1969-IDN","Laboratorium ORF ENI MUARA BAKAU, B.V","LP","Laboratorium Penguji","Handil Baru Darat, kecamatan Samboja","","085391301500","https://layanan.kan.or.id/direktori-lpk/6962/1"
"LP-1970-IDN","PT. ZAFINA ANALITIKA INSPEKTAMA BANJARBARU","LP","Laboratorium Penguji","Jl. H. Mistar Cokrokusumo , Kel. Cempaka , Kec. Banjarbaru Selatan","Jawa Barat","0541-2430100","https://layanan.kan.or.id/direktori-lpk/6971/1"
"LP-1990-IDN","PT. Fajar Surya Wisesa Tbk","LP","Laboratorium Penguji","Jl. Kampung Gardu Sawah No. 1, RT.01 / RW.01, Kalijaya, Kec. Cikarang Bar., Kabupaten Bekasi, Jawa Barat 17530","Jawa Barat","021 8900330","https://layanan.kan.or.id/direktori-lpk/8114/1"
"LP-1995-IDN","PT AGRI INDOMAS","LP","Laboratorium Penguji","Jalan Mayor Zen, Kompleks PT PUSRI Palembang","Sumatera Selatan","+62 711 72111","https://layanan.kan.or.id/direktori-lpk/8190/1"
"LP-2047-IDN","Balai Perlindungan dan Pengujian Mutu Tanaman Pangan dan Hortikultura Provinsi Sulawesi Utara","LP","Laboratorium Penguji","Kompleks Pertanian Kalasey, Desa Kalasey, Kecamatan Mandolang, Kabupaten Minahasa","Sulawesi Utara","(0431) 831378","https://layanan.kan.or.id/direktori-lpk/10724/1"
"LP-2048-IDN","LABORATORIU TERPADU. FAKULTAS KEDOKTERAN UNIVERSITAS SUMATERA UTARA","LP","Laboratorium Penguji","JL. DR. MANSUR. NO. 5 MEDAN","Sumatera Utara","061-8210555","https://layanan.kan.or.id/direktori-lpk/8164/1"
"LP-2049-IDN","Laboratorium Air Bersih Jakarta","LP","Laboratorium Penguji","Gedung Setiabudi Atrium lantai 4 Suite 410B Jl HR Rasuna Said Kav. 62, Jakarta 12920","DKI Jakarta","0215210399","https://layanan.kan.or.id/direktori-lpk/8505/1"
"LP-2050-IDN","PT. Genetika Science Indonesia","LP","Laboratorium Penguji","Rukan Great Wall Blok C 19-21 Green Lake City Kelurahan Gondrong Kecamatan Cipondoh Kota Tangerang","Banten","+622154332034","https://layanan.kan.or.id/direktori-lpk/8295/1"
"LP-2051-IDN","Laboratorium Lingkungan Dinas Perumahan Rakyat dan Kawasan Permukiman, Pertanahan dan Lingkungan Hidup Kabupaten Kapuas Hulu","LP","Laboratorium Penguji","Jl. K.S.Tubun No.108 Putussibau, Kelurahan Putussibau Kota Kecamatan Putussibau Utara","","0567 22790","https://layanan.kan.or.id/direktori-lpk/8469/1"
"LP-2053-IDN","Laboratorium Pengujian PT. Bintang Abestaton Mahesa","LP","Laboratorium Penguji","Jl. Laksamana Malahayati Blok B No. 25, Cipinang Muara, Kec. Jatinegara, Jakarta Timur","DKI Jakarta","081292589601","https://layanan.kan.or.id/direktori-lpk/8260/1"
"LP-2054-IDN","PT Pertamina Lubricants","LP","Laboratorium Penguji","Grha Pertamina Pertamax Tower Jl. Medan Merdeka Timur No. 11-13 Kel. Gambir Kec. Gambir Jakarta Pusat","DKI Jakarta","021-31907190","https://layanan.kan.or.id/direktori-lpk/8456/1"
"LP-2055-IDN","Deputi Bidang Infrastruktur Riset dan Inovasi – Direktorat Pengelolaan Laboratorium, Fasilitas Riset, dan Kawasan Sains dan Teknologi - Badan Riset dan Inovasi Nasional (BRIN) Laboratorium Aerodinamika, Aeroelastika, dan Aeroakustika (LA3)","LP","Laboratorium Penguji","Gedung B.J.Habibie, Jalan M.H. Thamrin Nomor 8, Jakarta Pusat, 10340 surel : dit-plfrkst@brin.go.id","DKI Jakarta","087889539534","https://layanan.kan.or.id/direktori-lpk/8418/1"
"LP-2056-IDN","UPT LABORATORIUM DLH KABUPATEN BARITO SELATAN","LP","Laboratorium Penguji","JL. R. SOEPRAPTO NO. 59B SANGGU","","082256558998","https://layanan.kan.or.id/direktori-lpk/8321/1"
"LP-2057-IDN","Balai POM di Sofifi","LP","Laboratorium Penguji","Jl. Pemuda No. 40, Sofifi, Kec. Oba Utara, Kota Tidore Kepulauan, Maluku Utara","Maluku Utara","082220000538","https://layanan.kan.or.id/direktori-lpk/8314/1"
"LP-2058-IDN","PT ECO PRIMA ENERGI","LP","Laboratorium Penguji","Jl. Raya Sukomulyo KM.24, Manyar","","085749233228","https://layanan.kan.or.id/direktori-lpk/8593/1"
"LP-2059-IDN","Laboratorium Quality Control PT HM Sampoerna Tbk.","LP","Laboratorium Penguji","Jalan Permata Raya Lot CC-1,2,3,4,5 Desa Sukaluyu, Kec. Telukjambe Timur, Kab. Karawang, Jawa Barat, 41361, Indonesia","Jawa Barat","(62-67)8468000","https://layanan.kan.or.id/direktori-lpk/8420/1"
"LP-2060-IDN","Laboratorium Geoland Quattro Technolab","LP","Laboratorium Penguji","Komplek Indahco No.22 Jl. Nata Endah","","082115618130","https://layanan.kan.or.id/direktori-lpk/8659/1"
"LP-2061-IDN","PT DHARMA NUSANTARA LABORATORIUM","LP","Laboratorium Penguji","Jl. Raya Bekasi Kilometer 38, Kel. Jatimulya, Kec. Tambun Selatan, Kab. Bekasi, Provinsi Jawa Barat","Jawa Barat","085186895575","https://layanan.kan.or.id/direktori-lpk/10705/1"
"LP-2068-IDN","PT CARSURIN eMobility Solutions","LP","Laboratorium Penguji","Indonesia Life Science Center, Zona Bisnis Teknologi Kawasan Puspitek BRIN, Kec. Gn. Sindur, Kab. Bogor, Jawa Barat 16340","Jawa Barat","02150226868","https://layanan.kan.or.id/direktori-lpk/10798/1"
"LP-2177-IDN","PT Corteva Agriscience Seeds Indonesia","LP","Laboratorium Penguji","Jl Raya Krebet, Desa Krebet, Kecamatan Bululawang, Kabupaten Malang, Jawa Timur","Jawa Timur","0341879470","https://layanan.kan.or.id/direktori-lpk/12278/1"
"LP-2186-IDN","PT Eco Persada Laboratory","LP","Laboratorium Penguji","Jl. Raya Pacing No.1, Mojokerep, Pacing, Kecamatan Bangsal Mojokerto, Jawa Timur 61381","Jawa Timur","081932621606","https://layanan.kan.or.id/direktori-lpk/12083/1"
"LP-2189-IDN","Unit Penunjang Akademik Laboratorium Terpadu Institut Teknologi Sumatera","LP","Laboratorium Penguji","Jalan Terusan Ryacudu, Desa Way Hui, Kecamatan Jatiagung, Lampung Selatan 35365","Lampung","085179951519","https://layanan.kan.or.id/direktori-lpk/12026/1"
"LP-2192-IDN","Laboratorium PT Surya Kusuma Putra","LP","Laboratorium Penguji","Jl. Soekarno Hatta KM 29 no. 18, Desa Randu Gunting, Kec. Bergas","","(0298)221189","https://layanan.kan.or.id/direktori-lpk/8488/1"
"LP-2194-IDN","PT Kilang Pertamina Balikpapan","LP","Laboratorium Penguji","Jalan Yos Sudarso No 1 Kelurahan Karang Jati","","0542731988","https://layanan.kan.or.id/direktori-lpk/12831/1"
"LP-2210-IDN","CV. BANYUWANGI LABORATORIUM PROFESIONAL BETON","LP","Laboratorium Penguji","JL. JEMBRANA RT.004/RW.001 KEL. KALATAK KEC. KALIPURO KAB. BANYUWANGI","Jawa Timur","082237777759","https://layanan.kan.or.id/direktori-lpk/12261/1"
"LP-2211-IDN","Laboratorium Sentral Universitas Andalas","LP","Laboratorium Penguji","Jalan Kampus Unand Limau Manis, Pauh, Padang. Sumatera Barat. 25175","Sumatera Barat","082169596021","https://layanan.kan.or.id/direktori-lpk/12071/1"
"LP-2212-IDN","Laboratorium Penguji BPSI TROA","LP","Laboratorium Penguji","Jl. Tentara Pelajar No. 3, Bogor Barat","Jawa Barat","(0251) 8321879/ (0251) 8327010","https://layanan.kan.or.id/direktori-lpk/12011/1"
"LP-2213-IDN","PT Nojorono Tobacco International","LP","Laboratorium Penguji","Jalan Raya Kudus - Colo KM 4","","0291 – 439533","https://layanan.kan.or.id/direktori-lpk/12294/1"
"LP-2214-IDN","Laboratorium PT. Kayan LNG Nusantara","LP","Laboratorium Penguji","Jl. Yos Sudarso (Hotel Tarakan Plaza) No.89, Kel. Karang Balik, Kec. Tarakan Barat,","Bali","0551-21877","https://layanan.kan.or.id/direktori-lpk/10815/1"
